positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"اهای شما هایی که بد این گوشی رو میگین...
این چیزایی که شما میگین که این گوشی نداره.... اگر تونستید گوشی تو این رنج پیدا کنید که این امکاناتو داشته باشه به منم بگید
ممنون",0,0,5,5,5,5,5,5
"اجرا شدن اندرويد 6.0 بر روي آن","مورد هايي که ذکر کردم","این گوشی از نظر کار کرد خوبه ولی مشکل خیلی داره
1-کیفیت پایین صفحه و نبودن FHD بودن آن
2-کیفیت پایین دوربین سلفی و فلش نداختن مانند دوربین عقبی
3-نداشتن چراغ های پایین صفحه بازگشت و بستن برنامه ها
4-نداشتن حسگر اثر انگشت
5-نداشتن قطب نما،میدان،مغناطیسی،ژیروسکوپ،جهت گیری،سنسور، جاذبه و شتاب سنج که بر روی گلکسی گرند 2 وجود دارد
6-پایین بودن صدای پخش
7-نبودن میکروفون
8-نداشتن سنسور روشنایی
9-و مهم تر از همه نداشتن سنسور جاذبه
10-پایین بودن حافظه داخلی
11-و مورد هایی که دیگر در ذهن ندارم...",1,2,3,3,2,3,3,2
,,"با تشکر از دیجی
من اینو سه چهار ماه پیش خریدم و واقعا راضی ام
حالا یکی دیگه میخوام بخرم
لطفا هر چه سریعتر رنگ طلایی رو موجود کنید و در پبشنهاد ویژه قرار دهید. مچکرم.",1,0,5,4,4,5,4,4
,,"سلام خدمت دوستان من این گوشی رو دارم الان هم با همین گوشی دارم این نظر را مینویسم. گوشی خیلی خوبیه ولی نقاط ضعفی داره، اگر مثل من با این نقاط ضعف مشکلی ندارید، تو خریدش شک نکنید.
1-نداشتن سنسور نور محیط
2- نداشتن سنسور اثر انگشت
3- نداشتن قطب نما
4-نداشتن چراغ اعلان
5- نداشتن قابلیت دابل تب
6-نداشتن لرزشگیر دوربین
7-نداشتن میکروفون دوم برای کاهش نویز
8-نداشتن صفحه نمایش فول اچ دی
9-نداشتن نور پس زمینه برای کلیدهای پایینی
10-نداشتن ژیروسکوپ
11-نداشتن فست شارژ
12-صدای اسپیکر هم متوسطه",2,1,5,5,4,5,5,3
"باتري و سخت افزار","عکاسي در شب و نور کم","این گوشی رو من 3 ماهه پیش برای مادرم خریدم با گارانتی همراه سرویس خاورمیانه از بیرون گرفتم من نمی دونم تو کشوره ما چرا این جوریه که گوشی وقتی قدیمی میشه گرون تر میشه!!!! در این رنج قیمت بهترین گزینه هست شارژ باتری با استفاده ی معمولی تا 2 روز دوم میاره و همچنین باتری زود شارژ می شه (150 دقیقه ) از نظر سخت افزار خوبه روونه( امتیاز در بنچمارک انتوتو 490000 شد ) همچیش خوبی نقص خاصی نداره فقط از عکاسی تو شب نا امید می شوید چون کلی نویز داره . فیلمبرداریش HD هست و خیلی خوبه و عکساشم تو روز فوق العاده با کیفیته.... این گوشی NFC نداره همه جا میگن داره ولی نداره وقتی خریدم رفتم از نمایندگی پرسیدم گفتم شما که میگین داره کجاست؟ از کجا nfc رو روشن کنم ؟؟؟ آخرش بهم گفتن سخت افزارشو داره ولی از لحاظ نرم افزاری هنوز براش درست نکردن... یک آپدیت هم کردم گزینه ی nfc در تنظیمات در بخش مربوطه نیومد
امیدوارم حرفام براتون مفید بوده باشه",0,4,3,3,3,3,3,3
,,"من قبل این گوشی galaxy s3 داشتم که جز پرچم داران سامسونگ بود و اینو هدیه گرفتم دوربینش خوب به بالا و سلفیش هم فلش داره . من از اندروید 6.0.1 خیلی خوشم اومد که استفاده رو خیلی دلچسب میکنه . کسی در نظرات گفته بود ال ای دی نداره و نمیشه فهمید که میس کال داریم یا درحال شارژ گوشی ، درسته نداره ولی تنظیماتی داره که وقتی گوشی رو بردارید ویبره میره و یا میتونید تنظیم کنید که فلش پشتی گوشی روشن میشه پس فک میکنم با توجه به عکس برداری خوب و باتری قوی و روان بودنش و این رنج قیمت بهترین انتخابه .",2,1,4,4,3,4,5,4
"خوش دست بودن باطري و دوربين سلفي بسيارعالي","دوربين اصلي نه چندان خوب صفحه اچ دي","با سلام نظر دو ماه استفاده از این گوشی رو براتون مینویسم: رزولیشن پایین و صفحه اچ دی که در وبگردی موجب سوزش چشمانم میگردید ، سرعت پایین پردازشگر و دوربین پشتی نه چندان با کیفیت برای کاربران حرفه ای و نداشتن Nfc و قطب نما و رم پایین 2گیگ که در نهایت تصمیم به فروش گوشی گرفتم.",4,10,3,3,3,3,3,3
"["" اين گوشي خيلي باکيفيت و باکارايي""]","[""تراکم پيکسلي پايينش""]","من به همه این گوشی پیشنهاد میکنم بخرن بهترین گوشی زیر 1 تومن هست",9,2,3,3,3,3,3,3
,,"داداش میشه روش نصب کرد من الان حسگر نصب کردم کاملا دقیق کار میکنه",3,4,5,5,5,5,5,5
"همه چيش","به نظره من هيچي","واقعا عالیه اسفالت8.اساسین کرید.مورتارکمبات و یه عالمه بازیو باهاش کردم یه لگ ننداخته خداوکیلی اگه هزینشو دارید برید سمت همین ....اونایی که موافقن لایک کنن که دوستان بفهمن راسته",16,2,5,5,5,5,5,5
"باطري فوق العاده
سرعت عالي
صفحه نمايش به نسبت خوب","عدم داشتن چراغ نمايش وضعيت(تماس- شارژو ...)
تاچ نبودن کليد خانه
بالا بودن سطح دوربين از بدنه
امکانات نرم افزاري پايين تر از هوآوي","دوستان من قبلا از خرید گوشی همه این نکات را خوندم ولی یه نفر به چیزایی که من تجربه کردم اصلا اشاره نکرد که شاید این باعث میشد یه خرید دیگه ای انجام بدم.
اولین مشکل این گوشی تاچ نبودن کلید خانه هست وقتی در حال خوابیدن ازش استفاده میکنید خیلی سخته فشار دادن یه کلید سفت و این باید تاچ میبود
دوربنش از بدنش بالاتره که این باعث آسیب دیدن و خش دار شدنش میشه البته با یه کاور قابل حله تا نسبتی
مهم ترین مشکل نداشتن چراغ وضعیت هست که مثلا متوجه بشید گوشی داره شارژ میشه - گوشی قراره خاموش بشه - تماس از دست رفته داشتید
امکانات نرم افزاری اشم ضعیف هست مثلا من نمیتونم دسترسی هر برنامه به اینترنت را بنندم
یا زمان تماس وقتی توی دفترچه تلفن میرم با آخرین شماره ای که شماره گرفته زنگ میزنه و اجازه انتخاب سیم کارت به من نمیده
در مورد صفحه نمایش هم بگم صفحه اش شبیه پرینترهای جوهر افشانه درسته رنگ و لعابش جذابه ولی بعضی وقتا این جذابی تو ذوق میزنه مثلا قرمز را خیلی بد نشون میده شاید یک ال سی دی با کیفیت با رنگ واقعی را به این ال ای دی ترجیح بدم در کل صفحه نمایشش تو بعضی رنگا فوق اللعاده تو بعضی رنگا ضعیف",5,14,4,3,3,3,3,2
"سرعتش روان
دوربين
دو تا فلش کارت","اثر انگشت","من چند ماه که این گوشی رو خریدم هیچ عیبی ازش ندیدم وتا الان هیچ هنگی ازش ندیدم",7,0,5,5,5,5,5,5
,,"من J7 2016 خریدم و برادرمم A5 2016 باید اعتراف کنم که A5 2016 خیلی از نظر دوربین و کیفیت صفحه سر تر بود همینطور باطری A5 2016 هم بهتر موند کلا از من میشنوید 100 تومان بزارید روش و یه A5 2016 بگیرید
خیلی بهتره حسگر اثر انگشت و FAST شارژینگم داره
تو بازی ها هم برابر بودن و لگ نداشتن ولی فقط یه بازی واسه j7 2016 یکمی لگ داشت",1,4,0,0,0,0,3,0
,,"دوستانی که میگن Galaxy j7 Prime بهتره , بدونن که صفحه نمایش Prime از نوع IPS هستش ولی J7 معمولی Super AMOLED .",12,0,3,3,3,3,3,3
