positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"محافظ گوشي جلو و پشت و باعث ميشه از اين قابهاي مصنوعي استفاده نکني
دوربين عالي که با تنظيمات متفاوت باعث ميشه بهترين شکل عکس و فيلم بگيري
خوش دست و زيبا بودن طراحي گوشي
حسگر اثر انگشت و قدرت بالاي پردازنده براي حداقل يک سال استفاده از جديد ترين بازي ها
جدا از همه اينها همينکه از ديجي کالا بخريد اطمينان بالايي هست سالم باشه","قيمتش خيلي زياده :)","ببنیند من چند ماهه دارم مدل های گوشی با قیمتهای مختلف بررسی میکنم به نظر من باید گوشی بخرید که اول از همه ظاهرش به دلتون بچسبه
بعد گوشی سخت افزار قوی داشته باشه یا در حد نیاز شما باشه
و در آخر بهترین گوشی ، گوشیی که با هزینه خودتون بسازه
گوشی هایی که مثل همین گوشی الان هستند از سامسونگ s7 edge - از هواوی mate 9 که کمی سر تره اما اعتبار و امنیتش بنظر من کمتره همین یک ضعفه از اپل هم IPHONE 6 و HTC10
یادتون باشه این گوشی برندش واقعا سالها کارکرده و تجربه زیادی داشته
راستی هر برند مثل سونی و سامسونگ برای گوشی های جدید 2017 یک قابلیت ویژه هم گذاشتن مثلا برای سونی قابلیت تبدیل به صفحه نمایش پلی 4
برای سامسونگ صفحه OLED و...
انتخاب با خودتونه من این گوشی رو بهترین میبینم .",1,0,5,5,5,5,5,4
,,"مشکل جک هنزفری. داره",0,0,5,4,5,5,5,5
"1- صفحه نمايش عالي2- بسيار خوش ساخت و خوش دست3- مقاوم در برابر گردو خاک و آب","1- تاريکي صفحه نمايش زير نور خورشيد.2- گرم شدن قسمت پشت گوشي3-دوربين سلفي نچندان قدرتمند","با سلام خدمت دوستان
من دو هفته هستش که این گوشی رو خریدم. به لحاظ سخت افزاری فوق العاده هستش. کیفیت ساختش عالیه و افراد بدسلیقه رو هم راضی می کنه. صفحه نمایش 5.5 اینچ با کیفیت بسیار بالا خیلی تو چشم میاد. قاب پشتی فلز با روکش شیشه ضد خش هستش که خیلی زیباست. فقط اثر انگشت رو جذب می کنه. رام 3 و 32 گیگ رم. حسگر اثر انگشت فوق العاده با کوچکترین اشاره ای عمل می کنه فقط اگه قاب براش بگیرید باید دوباره انگشتها رو اسکن کنید. پشتیبانی از دو سیم کارت با تنظیمات بسیار ساده و راحت. پشتیبانی از کارت حافظه جانبی. otg که خیلی بدرد می خوره. فیلم و عکس فوق العاده در نور روز. رابطه کاربری بسیار دلپذیر . کیفیت ضبط صدا فوق العادست. هنگ توی کارها نداره به هیچ وجه. من ندیدم.
یک کلام کیفیت ساخت بی نظیر سخت افزار غول.
معایب:
1- کیفیت صفحه نمایش زیر نور خورشید کم می شه.
2- قسمت بالا پشت گوشی داغ می کنه حتی بعد از آپدیت به اندروید 7. یعضی مواقع خیلی داغ می کنه حتی توی کارهای عادی.
3- مشکل جک هدفون هم تا حالا نداشتم.
4- کیفیت بسیار پایین هندزفری. یعنی اصلاً به کلاس این گوشی نمی خوره. بسیار بی کیفیت.
5- صدای اسپیکر نسبتا ضعیفی داره.
اگرچه یه سری معایب داره ولی ارزش خریدو داره .
6- طراحی نامناسب دکمه های صدا پایین حسگر اثر انشگت که ایکاش بالا قرار می گرفت.",8,1,5,5,5,5,5,5
"خيلي گوشيه عالي و خوش دستيه، کاملاً بي نقص،دوربينش که حرف نداره، به نظر من سوني بهترين گوشيه دنياست، من اولين گوشيم سوني بوده تا آخرشم سوني ميگيرم","فقط تنها نقطه ضعفش هم همون جذب اثر انگشت در پشت صفحشه که من براي همه ي گوشي هام قاب ميگيرم، مشکلي نيست","بی نظیر. بهترین گوشیه دنیاست حرف نداره",5,0,5,5,5,5,5,5
"صفحه نمايش 4k....دوربين با کيفيت و پرقدرت.....حسگر اثر انگشت قوي","خدمات لوازم جانبي ضعيف در بازار ايران","اون دسته از دوستانی که از جک هدفون و کابل otg با بروز رسونی به ورژن 7 ایراد گرفتن.با نصب اپلیکیشن sound about و تنظیمات داخل نرم افزار sound aboutمشکل صدا مثل آب خوردن حل میشه..کابل otg هم وارد ستینگ بشین و وارد گزینه usb connectivity وانتخاب گزینه دوم ..براحتی اتصال برقرار میشه",5,1,3,5,4,5,5,5
"زيبابي بي نهايت دوربين عالي صفحه نمايش با کيفيت و بسيار نزديک به واقعيت",,"با توجه به اینکه خیلی گوشی عالی هستش و فرق نمیکنه کدوم رنگشا دست بگیری ولی دیجی جون ازت خواهش میکنم رنگ کروم که زیبایی بی نظیری داره را موجود کن . واقعا مرسی.....",8,0,5,5,5,4,5,4
,,"درباره کابلی که روش هست باید بگم اون کابل otg نیست و یک کابل tranfer یعنی کابل تبادل اطلاعات با گوشی های قدیمی تره apple مانند iphone4s و 5 هست گفتم بدونید اشتباهی ایراد نگیرید.
در ضمن در گوشی های سونی مثل گوشی های دیگه فلش رو نمیخونه باید برنامه ی es file manager رو از play store دانلود کنید و برید تو تنظیمات usb را جستجو کنید.از آنجا باید فلش را باز کنید",7,0,4,5,5,4,5,4
"سرعت پ cpu قدرتمند و صفحه نمايش فوقالعاده","بدنه ي شيشه اي","پردازنده ی بسیار قدرتمند و هشت هسته ای اون و پرثازندهی گرافیکی بسیار عالی سبب سرعت فوق العاده این گوشی شده.در کنار این موضوع صفحه نمایش فوق العاده و 4k لذت استفاده از لین گوشی را به نسبت بیشتر می کند.
درباره ی دوربین این گوشی باید بگم که در شب کیفیت خوبی نداره اما در روز فوقالعاده س و فیلم برداری 4k هم داره.
و اما بدنه و طراحی که ساده و بسار زیباست فقط شیشه پشتش اذیت میکنه یعنی امکان افتادن گوشی را زیاد می کند.
در ضمن این مدل به خاطر پردازندش ی ذره داغ میکنه.که اذیت کنندس.اما با انداختن قاب رفع میشه.
در کل عالیه حسگر اثر انگشتش هم عالیه.
درباره ی ضد آب بودنش گوشی ضد آب نیست اما مقاوم دربرابر آب هست و در برابر بخار آب هم عکس العمل جالبی نشون نمیده ممکنه رطوبت بگیره یعنی با خودتون داخل حمام و سونا نبرید.
و بعد از آب زدن گوشی هم صبر کنید سوکت های شارژر و هندفری خشک بشن بعد استفاده کنید.
چون ممکنه سولفاته شه و یا بردش تعطیل شه.
و اینکه ی کابل داره که otg",5,0,4,5,5,4,5,4
"همه چ",هيچي,"بسیییااااررررر ععععااااالللللییییی",9,1,3,5,5,5,5,5
"پدازنده قدرتمند صفحه نمايش عالي",,"من این گوشی رو 8 ماهه که دارم از هر نظر عالیه.سرعت واقعا بالایی داره و اصلا لک نمیزنه حتی اگ 99 درصد فضای گوشیتون هم پر باشه.همون اوایل ک گرفتم یکی دوبار هنگ کرد ولی از اونجا به بعد دیگ مثل مرد کار کرد و آخ نگفت.فقط به خاطر اشتباه خودم جک هنذفریش خراب شد و دیگ هنذفریش کار نمیکنه.حسگر اثر انگشتش هم فوق العادس و سرعت بالایی داره.در کل گوشی واقعا عالیه.",6,0,5,5,5,4,4,5
