positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"صفحه نمايش دوم با کارايي بالا
دوربين هاي قابل قبول نسبت به قيمت
ظاهر بسيار شيک
وزن خيلي سبک","سخت افزار صعيف
بدنه فايبرگلس شکننده
صفحه نمايش نه چندان عالي","من الان یه هفتس که این گوشی رو خریدم و میخوام نظرمو بگم تا کسایی که میخوان بخرن انتخاب درستی بکنن
گوشی خیلی خوبیه ظاهرش بی نهایت زیبا و شیک و گرون قیمت به نظر میرسه اما از اونجایی که بدنه اش از فایبرگلس باید خیلی مراقب باشید من که بدونه کیف از خونه خارج منیشم باهاش
میرسیم به صفحه نمایش دومش یه ایده ی عالی .خیلی بدرد میخوره میتونید موزیک پلیر. و وای فای و حالت صدا و چیزای دیگه رو حتی وقتی صفحه نمایش خاموشه کنترل کنید. بهترین کاربردش اینکه 4 برنامه ی اخیر رو اونجا میتونید ببینید و بدونه اینکه نیاز باشه تا به لیست برنامه های اخیر برید با یک تاچ بین 4 برنامه سویچ کنید.
بخش سخت افزار. قابل قبول نیست. البته با وجود رم 2 گیگیش بازی ای رو لگ نمیزنه اما گرافیک بازی رو کمتر میکنه اگه همون بازی رو تو گوشی دیگه ( من تو هواوی g750) بازی کرده باشین متوجه میشید. من need for speed no limit. modern combat 5. mmx racing رو تقریبا بدون لگ اجرا کردم ولی گرافیک بهترین حالتش نبود.
جایی که سخت افزارش زد تو ذوقم برنامه رتریکا بود که تو این برنامه به شدت لگ میزنه
کیفیت دوربینش خوبه ولی هیچ امکاناتی جز پانوراما نداره. حتی HDR نداشت
شاردهی بالایی داره ولی به همون نسبت هم دیر شارژ میشه خیلی. مثلا وقتی از 4g استفاده میکنم و صفحه نورش متوسط شارژ میزنم هر 5 مین شاید 1 درصد میره بالا.
همین دیگه کلا واسه این قیمت گووشی خوبیه",2,0,4,4,4,5,5,5
"قيمت خوب نسبت به کارايي
قيمت کم تر از برند هاي مشابه
سبک
نازک
زيبا",باطري,"عالی عالی اگه گوشی می خواید که نسبت به گوشی های با قیمت بالاتر مقابله کنه این خیلی خوبه
سبکی و نازکی بسیار زیاد",2,0,5,5,4,5,5,4
"همه چي",هيچي,"فقط عالی عالی",1,0,5,5,5,5,5,5
"طراحي زيبا
بدنه سبک و شيک
دوربين سلفي خوب
پشتيباني از فرمان صوتي و فرمان دستي براي عکس سلفي
پشتيباني پيش فرض از قفل knok lock","باتري ضعيف
نداشتن گزينه منوي نرم افزاري!
کابردي نبودن آنچناني صفحه نمايش دوم
کيبرد نامناسب نسبت به کيبرد سوني و سامسونگ
پيشگويي متن در کيبرد خيلي بد!","من به عنوان یه مهندس! بعد از دو ماه استفاده از این گوشی، نظرمو میگم!
امتیازات
گوشی شیک و با ظاهری زیباتر از رنج پولی که براش میدید! پشتیبانی از دو سیکارت 4G - کند نیست، ولی من هم اهل گیم نبودم، ینی لگ نداره تو کارای معمولی. دوربین اصلیش هم بد نیست، اما من که سونی داشتم، به نظرم اون بهتر بود. و البته قبلو دارم دوربینای سامسونگ ها بهتره. دوربین سلفی خوبی داره. چون میتونید با باز و بسته کردن دست، عکس بگیرید، حس خوبی میده (البته بعضی گوشی های دیگه ال جی هم این قابلیت رو دارند ). شارژری که تو باکس بود، به نظر نمیاد زیاد با کیفیت باشه و روش زده ساخت چین (خود گوشی رو زده ساخت کره)
چالش ها و مشکلات
لوازم جانبی کم یاب (اما خوب بگردید، هست)
امکان استفاده سیم دوم یا حافظه جانبی (باید یکیشو انتخاب کنید)
اینکه توی نرم افزار پیش فرضش، گزینه منو رو نداره، خیلی بده!!! نمیدونم چرا این کار رو کردند. ینی همه نرم افزارا بعد از نصب، میاد تو دسکتاپ. و فقط میتونید خودتون فولدر براشون درست کنید که امکان سرچ و آنیستال سلکتیو رو نداره.
رابط کاربریش هم زیاد دلچسب نبود.
جمع بندی
اگه دوربین سلفی و ظاهر شیک براتون اولویت داره، این گوشی خوبه براتون.
اما اگه دوربین اصلی براتون مهمه، به نظر من j5-2016 بهتره.
از نظر سخت فزار و دوربین اصلی هم سونی m4 به نظر من سره (البته فک نکنم تو بازار باشه)
در کل زیاد راضی نبودم ازش، اما یه تجربه جدید ارزون قیمت بود!",0,4,5,5,4,3,5,5
"خوش دست
دوربين سلفي","باطري بسيار ضعيف","گوشی خوبیه ولی من از باطریش راضی نیستم بعد از دو ماه باطریش خراب شد باید عوضش کنم .",1,1,3,3,3,3,3,3
"سبکي و ظاهر زيبا و با کيفيت
صفحه نمايش دوم کاربردي","کيفيت متوسط دوربين سلفي
باطري متوسط","سلام،چند ماه هست که این گوشی رو از دیجی کالا گرفتم و ازش راضیم،واسه انجام کارهای روزانه و معمولی میخواستم و از قیمت مناسب و ظاهر خاصش نسبت به بقیه گوشیهای ال جی خوشم اومد،و تا الان مشکل خاصی ازش ندیدم.",1,1,3,3,3,3,4,4
"سبک
خوش ساخت","رزولوشن صفحه نمايش","تجربه جالبی است",0,0,5,5,4,4,5,5
,دوربين,"کیفیت صفحه و باطری و سرعتش خیلی خوبه. اما برای منی که سامسونگ داشتم، دوربینش عکس رو تیره میندازه و جالب نیست. تو این رنج Huawei GT3 خیلی دوربین بهتری داره. با اینکه کیفیت هردو 13 مگا پیکسل هستند.",1,0,3,5,4,5,5,5
"پوشش تمامي نياز هاي روزمره","دوربين ضعيف","یکی برای مادربزرگم خریدم. تو این رنج قیمت خیلی خوبه و میتونه نیاز های معمولی و روزانه رو به راحتی برطرف کنه.ولی یه نقطه ضعفش دوربین خیلی ضعیف اون هست",4,6,3,3,3,3,3,3
,,"خوشکل و خوش دست و قیمت رنج خودش عالی. من راضیم",0,0,3,3,3,3,3,3
