positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"صفحه5.5
تاچ قوي و روان
دوربين در نور روز عالي
زيبا، شيک و خوش دست","عدم پشتيباني OTG
قرارگرفتن ميکروفن در جاي نامناسب
هندزفري ضعيف","من این گوشی و نزدیک 10 روزی میشه که خریدم و تاحال که مشکلی نداشتم و راضیم
دوربین خوبی داره، شیک و خوش دست، وضوح تصویر خوب، بازی های گرافیک بالارو بدون لگ اجرا میکنه
باطری خوبی داره من هم وای فای زیاد استفاده میکنم هم بازی میکنم بازم تقریبا 2 روز نگه میداره
با این قیمت و امکانت بهترین گزینه....با این امکانات بخواین برند سامسونگ یا سونی بخرید باید بیشتر هزینه کنید
بهتون پیشنهاد میکنم در خرید تردید نکنید",0,1,4,3,4,4,4,3
,,"من امروز خریدم تا الان که مشکی نداشته به غیر از تاچ که یه خورده ضعیفه بعضی وقتا باید دو سه بار بزنم رو صفحه تا کار کنه",1,1,3,3,3,3,3,3
"ازهمه نظر عاليه","من ک تا حالا بدي از اين گوشي نديدم","خیلی خوبه هم از نظر نرم افزاری عالیه هم از نظر سخت افزاری",0,0,5,5,5,5,5,5
"همه چي عالي",ندارد,"از همه نظر گوشیه عالی هست.. تو این رنج قیمت بهترینه.",0,0,5,5,5,5,5,5
"دوربين عالي طراحي شيک و کيفيت ساخت خوب صفحه نمايش خوش دست و بزرگ نرم افزار به روز و اپشن هاي نرم افزاري زياد باتري ح خيلي حوب در حد گوشي هاي حدود 800 تومني","ساپورت otg","دوستان باتری که عالی
اینترفیس بسیار جذاب
سایز مناسب
طراحی شیک و کیفیت ساحت حوب
اندروید 6
تقریبا لگ نداره
هنگ نداره
سرعت تاچ بالا
کیق
فیت صفحه خوب
کیفیت دوربین خوب و تنظیماتش عالی
در مقایسه با رقبای در این رده قیمتی قاطعا انتخاب اول خواهد بود....
سامسونگ جی 5 و ال جی k10 و ال جیاکی .اور انتخاب های بهد این
دوستان بخرین تا بفهمین چی میگم",0,1,5,4,5,4,4,4
,,"حیفم اومد تجربه شخصیمو اینجا نزارم داخله ساختمانی بودم اسکلت بتنی به همراه یکی از دوستان که A5 سامسونگ داشت و اینترنته 3 نسلش قطع شد هیچی آنتنه مکالمه هم کاملا از دسترس خارج شد ولی این y6ii چه کار کرد 4g با10درصد ظرفیته اینترنت کار کرد این مدل هواوی با بقیه خیلی فرق داره",0,0,5,5,5,5,5,5
"صفحه نمايش بزرگ و با کيفيت
دوربين جلو و عقب با عملکرد مناسب
ظاهر عالي و شيک
روان بودن در منو ها بدون لگ
امکانات مناسب نسبت به قيمت","عدم ساپورت OTG
باتري دهي ميتونست خيلي بهتر باشه
اونقدرام نازک نيست و بدون قاب قشنگه","سلام دوستان
خیلی خلاصه عرض میکنم این گوشی با توجه به قیمتش بسیار مناسبه دوربین با کیفیتی داره شاید بهترین نباشه ولی جزو خوبا به حساب میاد و عکاسی باهاش راحته
باتری این گوشی وقتی موبایل دیتا روشن باشه خیلی سریع خالی میشه ولی با وای فای به صورت نرماله ایکه میگم سریع خالی میشه نسبت به خودش عالیه ولی اگر با گوشی های قوی تر و پرچمداران مقایسه کنیم
نسبت به اونا پردازنده پر مصرف تری داره و در حالت موبایل دیتا به اوج خودش میرسه و با توجه به صفحه نمایش 5.5 اینچی شارژ دهی مناسبی نداره ولی اگر زیاد به اینترنت نمیرید یا با وای فای متصل میشید گزینه بسیار خوبیه
در بازی ها همه چیز خوب است شاید در بازی های سنگینتر لگ در بعضی مواقع اتفاق بیافته ولی در مجموع خوبه و قابل استفاده اس. منو ها کاملا روان و بدون هیچ مشکلی میتونید استفاده کنید و خیالتان از لگ راحت باشه
صفحه نمایش نور دهی مناسبی داره در زیر نور خورشید قابل دیدن است و زوایای دید خوبی دارد
یکی از ضعف های این گوشی میشه به عدم ساپورت فلش یا OTG اشاره کرد که بازم نسبت به قیمتش انتظار چندانی نباید داشته باشیم
امیدوارم کمکی کرده باشم موفق پیروز باشید.",2,0,4,5,5,4,5,4
"تاچ فوق العاده باتري عالي حتي در حالت 4g پردازنده عالي دوربين رضايت بخش صفحه نمايش عالي کيفيت ساخت عالي","عدم ساپورت otg","سلام... بعد از حدود دوهفته استفاده باید بگم ک محششششششره... انصافا با این پول بهتر از این گیرتون نمیاد! خدایی حیفه آدم این همه مقرون ب صرفگی رو ببینه و بره سراغ سامسونگ! ب حدی روان و جذابه ک ادم لذت میبره باهاش کار کنه... یعنی اپلیکیشنی با حجم یک گیگابایت رو هم بالا میاره! کد imei رو هم ک چک کردم ساخت آلمان بود! در آخر هم باید بگم ک با این موبایل اصلا حس ی میان رده رو نخواهید داشت!",0,1,5,5,5,5,5,5
"اندازه مناسب و وزن مناسب
ظاهر عالي و شيک
روان بودن و نداشتن هنگي
وضوح و شفافيت تصوير
قيمت مناسب نسبت به امکانات",نديدم,"این گوشی رو برای پدرم از دیجیکالا گرفتم. با اینکه فکر میکردم با توجه به هزینه ای که میکنم گوشی نه چندان با کیفیتی به دستم میرسه، در کمال تعجب از ظاهر و شیکی گوشی خوشحال شدم و همچنین کاملا روان کار میکنه و همچنین دوربین نسبتا خوبی هم داره. اینطور بگم که در حد z5 یا s6 میتونین روش حساب کنید. البته سنسور اثر انگشت و این چیزا رو نداره. در کل عالیه با این هزینه ای که میکنید.",2,1,5,4,4,4,4,4
"دوربين پشتي با تنظيمات حرفه اي و زياد صفحه نمايش عالي و سايز خوب دوربين سلفي عالي و هوشمند تنظيماتهاي زياد که خيلي از برندها ندارن و جالب شارژنگه داشتن خووبه خووب بازي هايي با حجم ديتاي 3گيگ که به راحتي و بدون لگ انجام ميده اندرويد مارشمالو","ساپورت نکردن otg وقتي پين ميزاري يا پسورد يا پترن را روشن کني ديگه امکان خاموش کردن و لغو کليه اينها به پايان ميرسه يعني بايد حتما يکيش انتخاب کني بايد يکيشون باشه خاموش نميشه","آقایون و خانمها من بهتون پیشنهاد میکنم حتما با وجود این قیمت گوشیه خووبی میگید شک نکید راستش من اولین بار بود از برند هواوی استفاده کردم و با کلی شک و تردید اما الان این برند از ته دل قبول دارم ماهه ماه. کلی تنظیماتهای جدید و جذاب داره تو ستینگها ، من دوست داشتم طلایی رنگ بخرم آخه یه دونه زد پنج سونی داشتم سفید بوود دیگه از سفید زده شده بوودم و دیجی هم رنگ سفید و مشکی داشت منم مشکی رو انتخاب کرد سر موقع دستم رسید ممنون از دیجی و مشکیشم خیلی خوشکله خودش قاب شفاف خشک شیشه ای تو جعبه براتون گذاشته و یه زد خش هم تو جعبه هست ولی زد خشش زود خودش خش افتاد تو چهار روز اینا، من براش فقط یه گلس گرفتم و یه قاب نیلکین طلایی واقعا جذاب شده مثل پریمیوم طلاییه داداش من شده بعد خود هواوی یه اپ داره که مخصوص خودشه هم میشه تمهای زیبا گرفت و والپیپرهای زیبا من با یه تم طلایی و قاب طلایی که براش گذاشتم عالی شده هر روز نگاش میکنم کیف میکنم. بخرید شک نکنید که عالیه دوستان. حالا هرجا برم مخفیش نمیکنم مارگش رو با افتخار میگم هواوی. مرسی هواوی و مرسی دیجیکالا همتون خسته نباشید و تشکر دارید.",4,0,3,5,4,4,4,5
"cpu octa camera best android marshmallow lcd 5.5"" hd speaker good design nice بازي real racing بدوون لگ و کاملا روون","من سرتا تهش ور رفتم چيزي نبود فقط نداشتن otg که با نرم افزارهاي شير کننده حل ميشه مشکل","من اولین باره از این برن هواوی استفاده میکنم دقیقا یک شبانه رو تو دیجیکالا داشتم توو این رنج قیمت همه گوشی هارو بررسی میکردم و گفتم بادا باد از این برند استفاده میکنم با توجه به نظرات مثبت کاربران سفارش دادم دستم رسید ، من این گوشی رو به عنوان گوشیه دوم و فبلت میخواستم داشته باشم. خودم گوشی سونی زد پنجه دارم و از هواوی میترسیدم که این تعریفها واقعی نباشند اما وقتی دستم رسید کاملا نظرم عوض شد واقعا راضی هستم با این قیمت اینهمه توانایی و کارایی چیزی از بالا رده ها کم نداره اونام تو کاغذ خیلی بالاتر هستند. اما همین میان رده داره جواب میده در هد گوشی ها بالا رده . هواوی راضی هستم از تو هرچند که خودم طرفدار پر و پا قرص سونی هستم. برندها دیگه 6یفون هم واقعا عالیه ولی من با اندروید راحت ترم. قبل این فبلت گوشیه دومم سونی xa ultra بوود خیلی خوب بود قبلشم lg k8 داشتم lg هم عالیه. اما باز هم میگم با این قیمت و کارایی و توانایی y6ii تو عالی هستی هرکی هم نظر با من بزنه لایک رو. دیجی ازت ممنونم قیمتهات خیلی خووبه من بازار هم قیمت میگیرم قبل خرید ولی بازار اکثرا قیمتها پرت پلا هست خووبه که هستی ، حتی وقتی میری توو پاساژ ها اکثرا همه جا رو نمیدوونم کور کننده نت می،ارن تا نتوونی قیمتهای تو رو که پایینتره نشونشون بدیم. با تشکر",3,2,3,5,4,4,4,5
"قيمت مناسب کيفيتي عالي","نداشتن otg","آیا قابلیت نصب ترم افزار org.را دارد",1,0,3,3,3,3,3,3
"قيمت و ظاهر",ندارد,"عالیه پیشنهاد میکنم",3,0,3,3,3,3,3,3
همش,"فقط باتريش","باتوجه به قیمت عاااااااااااااااااااااااااااااااااااااااااااااللییییییییییییییییییییی",2,0,5,5,5,5,5,5
"صفحه نمايش بزرگ به نسبت قيمت مجزا بودن شيار سيمکارت و کارت حافظه وجود گارد داخل جعبه روان بودن و لمس فوق العاده","ساپورت نکردن otg","امروز ب دستم رسید واقعا عالیه.... باورم نمیشه با این مقدار پول یه همچین موبایل شیکی گیرم اومده! انصافا در خریدش نباید شک کرد... بیش از حد مقرون ب صرفه و قشنگ هستش... تاچ عالی کیفیت ساخت عالی پردازنده عالی دوربین عالی همه چی عالی!! از خریدم بشدت راضیم و حتما پیشنهاد میکنم بخرید.. با تشکر از دیجی کالا",2,0,5,5,5,5,5,5
"کيفيت صفحه عالي صفحه نمايش عالي قابليت نر افزاري عالي دوربين فوق العاده","باتري در حالت عادي و معمول يک روز کار ميکنه","من یه ماهه خریدمش
جدا عالیه
دوربینش همه رو تحت تاثیر قرار میده
تنها نقطه ضعفش که حق داره من صبح تا شب با فورجی اسفالت بازی میکنم و شارژش تو نصفه روز تموم میشه
توو خریدش اصلا شک نکنید",2,0,3,5,5,5,5,5
"اندازه
کيفيت صفحه نمايش
رم زياد
جفت دوربين
باتريش خيلي سريع شارژ ميشه و دير تموم ميشه","پردازنده گرافيکي(اونم زياد به چشم نمياد)","یک گوشی فوق العاده نسبت به قیمت
از لحاظ کارایی بازی هم خیلی از بازی های سنگین ،کیفیت بالا و حجم بالا (Asphalt 8 و Asphalt extrime و Nova 3 و Mortal Combat و Modern Combat و Gta 5 و Need for speed most wanted و Need for speed no limits و ...) رو روش نصب کردم بدون کوچک ترین هنگ کردن یا باگ اجرا کرد.
عملکرد دوربین ،صفحه نمایش ،وای فای ،بلوتوث ،سیم کارت ها ،اینترنت 4 جی ،باتری و ... رو همشونو از هر لحاظ چک کردم هیچ کم و کسری نداره عالی عالی. (اینم بگم واسه خیلی ها سواله چراغ نوتفیکیشنم داره؛کنار حسگرها.)
امکانات و قابلیت ها و خلاصه همه چی خیلی خیلی بیشتر از قیمتشه.(با گوشی های دیگه مقایسه کنین خودتون متوجه میشین.)
فقط یه خواهشی که ازتون دارم اینه که درگیر برند ها نشین که به به گوشی طرف آیفونه یا سامسونگه یا اصلا هواویه فقط به امکانات و کیفیت فکر کنین.
یا علی.",3,0,5,4,5,4,4,5
"نسبت به قميتش حرف نداره",,"خیلی گوشی شیک وخوش دستیه .واقعادیجیکالابهترین گزینه برای خریدانلاینه",3,0,5,4,4,4,5,4
"باطري خوب ، کيفيت صفحه نمايش خوب ، سرعت عالي","صداي اسپيکر","گوشیه خوبیه نسبت به قیمتش
از لحاظ باطری و کیفیت صفحه نمایش عالیه واقعا
فقط تنها ایرادش صدای اسپیکرشه که خیلی معمولیه ...
از لحاظ سرعت هم واقعا عالیه و بدون لگ و هنگ برنامه هارو اجرا میکنه !",4,1,3,5,5,5,5,5
"گوشي با اندرويد شش
کيفيت دوربين خوب
قيمت مناسب","هر به کارش نيس ت اين گوشي با قيمت که داره عالي","من این گوشی راضی ام خیلی عالی توصیه می شه",2,0,5,3,4,5,5,3
"همه چيز","کمي لگ در سيستم آمل که به چشم نمي آيد
ضعيف بودن بردازندهي گرافيکي وداشتن لگ هاي صوتي در برخي بازي ها","این گوشی منوی فارسی دارد",4,2,5,5,5,5,5,5
