positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"اندرويد 6
صفحه نمايش بسيار باکيفيت
کيفيت ساخت بسيار خوب
باطري قدرتمند
رابط کاربري سبک","کيفيت عکس ها در نور کم زياد مناسب نيست","سلام، یک ماهی هست که دارم از این گوشی استفاده میکنم. یکی از چیزای بسیار خوبی که منو جذب کرد این هستش که بعد از ارتقا به اندروید 6 رابط کاربری بسیار شبیه به اندروید خام که روی دیوایس های نکسوس وجود داره هستش که من خیلی دوستش دارم و سرعت بسیار بالایی را برای کاربر به ارمغان میاره. کیفیت صفحه نمایش بسیار خوبه و زیر نور آفتاب هم عملکرد بسیار خوبی داره. باطری بسیار قدرتمنده و یک روز و نیم کامل نگه میداره جنس قاب پشتی یه حالت خاصی داره که وقتی دستت میگیری احساس جالبی بهت میده. در کل گوشی بسیار دوست داشتنی هستش و نسبت به قیمت بسیار عالیه.",1,0,5,4,5,4,5,5
,,"دوستان به اندروید 6ارتقاش ندین واقعا مصرف باطری وحشتناک زیاد میشه",0,2,5,5,5,5,3,5
,,"دوستمان اشاره ای کرد. این گوشی این قابلیت را نیز داراست که همان secure zone نامیده شده است و در notification bar گوشی هم مشاهده می شود.
هر کاربر برای برای ورود لازم است کد خودرا وارد کند.
برای یک گوشی این امکان حکم یک پستو را دارد.می توان مثلا دو تا تلگرام متمایز در یک گوشی داشت. نیازی به نصب مجدد نیست فقط ثبت نامش با نام کاربری دیگر است.
در ضمن هر لحظه بخواهید می توانید مکالمه را ضبط کنید فقط با لمس یک دکمه. هم می توانید اتوماتیک همه مکالمات را ضبط کنید. دومی را می شود با یک اپلیکیشن بدست اورد ولی اینکه در حین مکالمه هم بشود ؟؟؟؟ فقط اینجاست. به رابط کاربری لنوو مربوط می شود.
رابط کاربری لنوو را بسیار می پسندم قبلا سامسونگ داشتم که خوب بود لنوو بهتر نباشد کمتر نیست.",3,0,5,4,5,5,3,5
"امکانات مناسب
باتري قوي
سبک بودن","بدنه پلاستيکي","من این گوشیو چند روز میشه خریدم،در کل همه چیش عالیه تنها موردی که شاید خیلی به چشم بیاد در نگاه اول همون نداشتن ال ای دی واسه کلید های عملیاتی هست که اونم خب بعد مدتی عادت میکنین.به نظر من تو این بازه قیمیتی سخت بشه گوشی رو پیدا کرد که این امکانات رو یکجا داشته باشه",3,0,5,4,5,5,5,4
"باطري اسپيکر دوربين خوش استيل",نديدم,"در یک کلام عالیی",3,1,5,5,5,5,3,5
"طراحي و ساخت،صفحه نمايش،اسپيکر هاي استريو","لوازم جانبي کم در بازار","سلام
روز یکشنبه از بازار مشهد این گوشی رو خریداری کردم.
خودم رنگ سفید رو سفارش دادم،چون بنظر من سفیدش جذابتر و خاص تر هست..
گارانتی ارکان داره،البته تاریخ شروع گارانتی از تیرماه خورده بود!
یک محافظ صفحه معمولی و گارد پلاستیکی داخل جعبه بود..کار راه انداز هستند،ولی من گلس یک گوشی دیگه که تا حدودی به صفحه این گوشی میخورد رو تهیه و نصب کردم.
در اندروید 5 گوشی زیاد چنگی به دل نمیزنه..خصوصا باتری و رابط کاربریش..در اولین اتصال پیام اپدیت با حجم 1696 مگابایت اومد که زدم اپدیت و حدود 3 ساعت طول کشید.
بعد اپدیت هم ریست فکتوری زدم و گوشی خیلی خوب شد.از همه لحاظ خوب شد.
صفحه نمایش این گوشی شاید در نگاه اولیه اون شفافیت و وضوح رو نداشته باشه،از لحاظ کنتراست و عمق رنگها.اما لنوو از بهترین پنل ips در این گوشی استفاده کرده.گوشی از زوایای تند کیفیتش کم نمیشه و این نشون دهنده آینه که پنلش کیفیت خوبی داره.در تنظیمات صفحه نمایش میشه دمای رنگ و غلظت رنگهارو تا حدودی درست کرد.
دوربینش با توجه به 13 بودنش خوبه.
من این گوشی رو با گلکسی j7 مدل 2016 مقایسه کردم که در سرعت و اجرای برنامه ها لنوو سریعتر بود و برنامه ها رو زودتر باز می کرد.
حسگرش نسبت به میت8 که داشتم سرعت شناساییش کمتره اما بازم خوبه.
من یکی از معیارهام برای انتخاب این گوشی طراحی و اسپیکرهای 1.5 واتیش بود..حالا دالبی وقتی فعال باشه صداش واقعا عالی هست.
یکی از مزایای بسیار خوبش اینه که دوسیم همزمان فورجی داری و مموری هم میشه استفاده کنی.
باتری با توجه به 3300 میلی بودنش یک روز رو با وبگردی و موسیقی و عکس میبره.فک کنم مدام بخوای کار بکشی ازش تری جی 6 الی 7 ساعت اسکرین میده..هنوز بصورت تخصصی آزمایش نکردم باتریشو..
جنس بدنه پلی کربنات هست که با پلاستیک های معمولی فرق داره و حس خوبی میده وقتی گوشی رو دست میگیری.
شارژ شدن باتری هم از 10 تا 100 تقریبا 2 ساعت طول می کشه.
در آخر می خوام این گوشی رو توی این رنج شدیدا توصیه کنم.",3,0,5,4,5,5,5,4
,,"واقعا کسانی که انتقاد کردند یا با گوشی بلد نیستند کار کنند یا اولین بار است گوشی هوشمند دست می گیرند. عزیز من قبل از انتقاد برو یاد بگیر کار با دستگاه را . فرقی نمی کنه هر دستگاهی را.
اولا این را با گوشی دو سه میلیونی مقایسه کردن یعنی چه؟
ثانیا مثلا نور صفحه کمه. خب برو نور را از auto در بیار ببین نور متوسط صفحه چشمهاتو میزنه از بس سپیده.
آنتن دهی از محاسن برجسته این گوشی.
در ضمن سار گوشی که کسی به آن توجه نداره نصف اپل است و نسبت به خیلی ها عالی.",5,0,5,4,5,5,3,5
"همه چيز","دکمه هاي پايين نور ندارند که در برابر آن همه امتياز ديده نمي شود. در ضمن کسي که نتواند جاي سه دکمه را چشم بسته تشخيص ندهد بهتر است همان سامسونگ بخرد 400 بالاتر.","بعید میدانم کسی در این نظر دهی ها باندازه من روی خرید گوشی حساس بوده باشد چون بسختی گوشی عوض می کنم.
تمام مشخصات این گوشی برایم مهم بود حتی سنسور قطب نما.
تبلت لنووA8 داشتم و بسیار از آن راضی.
بالاخره از دیجی خریدم.
دو هفته است. در یک کلام فوق العاده
زیبا، صفحه نمایش عالی، سرعت حافظه 4جی، انواع سنسور، سنسور اثر انگشت دلربا، صدای فوق العاده . هر صدایی استریو پخش میشه. دوربین بینظیر. چون بیشتر از این الکی حجم حافظه را پر میکند. هوشمندی در حد اعلا حتی نور صفحه، باطری خوب. اندروید 6 بلافاصله با اولین اتصال از طرف لنوو پیشنهاد میشه. 1.6 گیگا دانلود میشه براحتی و نصب میشه.
یقینا در این رنج قیمتی با این امکانات کامل بی نظیره. حتی صد تومان بالاتر.
ملت الکی گول برندهای مرسوم را می خورند. اگرچه لنوو خود یک برند برتر است.
هیچکس ندیدم از این برند بد بگه. در ضمن بلندگوها دالبی اتموس است یعنی صدای عالی مصرف کم.
فقط خواستم نتیجه تحقیق و خریدم را بگویم چون دیگران هم در انتخاب درستم کمک کردند.",5,1,5,4,5,5,3,5
,,"با سلام من این گوشی 2 روز خریدم البته 2 روز کمه برای بررسی ولی حالا شاید حرف های من کمکتون بکنه
اول از همه که ظاهر واقعا به دل بشینی داره وقتی دستد میگیری میفهمی که چقدر کیفیت ساخت بالایی داره اینم بهتون بگم که حسگر اثر انگشت بخوبی کار میکنه و با دفعه اول جواب میده کیفیت صفحه عالی داره که 5.5 اینچ بودن جذاب ترشم میکنه برای دیدن فیلم عالیهه من چون فکر میکردم فرکانس پردازندش 1.3 برای بازی مناسب نیست ولی بعد از نصب چند بازی دیتا دار متوجه قدرت گوشی شدم من این بازی هارو با اخرین کیفیت اجرا کردم و عالی جواب داد asphalt 8
mortal combat x...nova 3...gta 5....need for speed....دوربینش کاملا در حد 13 بقیه گوشی هاست اشکالی نمیشه بهش وارد کرد کاملا از پس کار های روزانه برمیاد دوربین جلوشم که خیلی خوبه حالا میرسیم به جایی که من کلی باهاش با گوشیایه دیگه کل انداختم{که تو همشونم پیروز شدم}اسپیکرای این گوشی یعنی چنان با کیفیت و بلنده که تو مهمونی احتیاجی به دستگاه دیگه ای نداری بقیه چیزاشم که قابل قبوله اگه کمکتون کرد لایک فراموش نشه راستی دیجی کالا از بازار ارزون تره من تو مشهد کمتر پیدا نکردم",13,2,4,5,4,4,5,5
,,"کیفیت ساختش فوق العاده صدای دالبی اتموس عالی صفحه نمایش با کیفیت .باتری وحشتناک. تا حالا هرکی این گوشی رو دستم دیده خوشش اومده. در ضمن یک کاور صفحه نمایش و یک گارد پلاستیکی همراه گوشی هست. فعلا نکته منفی در این گوشی ندیدم.",13,1,5,5,5,4,5,5
"سرعت عالي کيفيت دوربين عالي
حسگر اثر انگشت عالي اسپيکر عالي ديگه چي ميخواي؟ همه چي عالي","جاي يکي از سيم کارت ها و کارت حافظه يکي است","حسگر اثر انگشت عالی اسپیکر عالی دیگه چی میخوای؟ همه چی عالی",4,7,5,5,5,5,4,5
"کيفيت ساخت.امکانات.باطري قدرتمند.بلندگوهاي قوي.آپديت خودکار به اندريود6.ظاهر زيبا","باطري غيرقابل تعويض توسط کاربر که اونم در گوشيهاي موجود امري رايجه","دوستان عزیز دراین رنج قیمت گوشی که تمامی امکانات اینو داشته باشید پیدا نمیکنید.ب اطری و بلندگوهای قدرتمند.صفحه نمایش بزرگ باکیفیت.سخت افزار قابل قبول.دوربین باکیفیت.",4,3,5,4,4,3,5,3
"همه چي","سي پي يو و گرافيک ضعيف در مقابل گوشي هاي روز دنيا","تقریبا دوماهی میشه ازش دارم استفاده میکنم ، سرعت حسگر اثر انگشتش که بی نظیره ، کیفیت دوربینش واقعا محشره باید استفاده کنید تا متوجه بشید من خودم دوربین حرفه ای دارم ولی تا وقتی این گوشی کنارمه ازش استفاده نمیکنم، تنها ضعفش توی سرعت سی پی یو و گرافیکه در مقابل گوشی های طراز اول دنیاست که البته اینو بگم که هر جور برنامه و کاری باهاش میشه انجام داد اما از سرعت عجیب غریب سامسونگ یا ال جی یا اپل خبری نیست اما به هیچ وجه تو هیچ چیزی کم نیاورده تا الان.",3,4,5,5,5,5,5,5
,,"من این گوشی رو از جای دیگه ای تهیه کردم باید بگم این گوشی رو حتما باید باهاش کار کنین تا بفهمین چرا فوق‌العاده است من این گوشی رو یک ماهی هست دارم از هر جهت که فکرش وبکنین عالیه به شما هم پیشنهاد میکنم تو خریدش شک نکنید واز دیجی کالا میخوام سفید ش رو هم موجود کنه چون میخوامش حتما .ممنون از دیجی جون همیشه خوب.",8,1,3,3,3,3,4,3
,,"من این گوشی رو از جای دیگه ای تهیه کردم",3,1,3,3,3,3,4,3
"حسگر اثر انگشت سريع
صفحه نمايش فول اچ دي
اسپيکر پر قدرت
تراشه ي پر قدرت
باتري عالي","جنس بدنه پلاستيکي","سلام هر کس که میخواد یه گوشی میان رده با قابلیت های زیاد تو این رنج از قیمت ها بخره این گوشی رو توصیه میکنم+ فقط یک خواهش از دیجی کالا لطفا فیلم نقد برسی این گوشی رو بذارین",6,1,5,5,4,4,3,5
"حافظه داخلي 32 گيگ
پشتيباني از otg و شارژ سريع
جدا بودن شيار هاي دو سيمکارت و کارت حافظه ؛ در مجموع سه شيار
باطري قوي؛ بلندگوي قوي
داشتن حسگر اثر انگشت؛ ضبط برنامه هاي راديو","از دوربينش انتظار کيفيت بهتر داشتم","چند هتفه میشه این گوشی رو خریدم. تعجب می کنم گوشی با این همه امکانات قیمتش زیر یک تومن شده. یکی از ویژگی های خوب این گوشی داشتن قابلیت secure zone هست که مثل یه حساب کاربری جداگانه در ویندوز عمل می کنه . یعنی شما عملا می تونید مثلا دو حساب کاربری برای تلگرام و اینستاگرام و غیره داشته باشید بطور همزمان
داخل خود جعبه اش یه قاب شفاف هست
بیش از بیست برنامه همزمان باهاش باز کردم ولی حتی یک بار هم لگ نداشته.
چون تو گوشی بازی نریختم در مورد کیفیت اجرای بازی ها نظری ندارم.
غیر از دوربینش که انتظار داشتم کیفیت خیلی بهتری داشته باشه از بقیه امکاناتش واقعا راضی ام.
اندرویدش هم که قابلیت ارتقا به مارشمالو رو داره و برای من هم پیغام داده",4,2,5,5,5,4,5,5
"[""کيفيت صفحه نمايش و کيفيت ساخت عالي"",""باتري خوب"",""هر دو دوربين با کيفيت و با رنگ هاي طبيعي"",""اسپيکرهاي خوب"",""امکان استفاده از دو سيم کارت و کارت حافظه""]","[""لوازم جانبي""]","چند روزیه واسه مادرم گرفتم؛ گوشی خیلی خوبیه تو این رنج قیمت و خیلی خوش ساخته. البته Huawei G8 هم مثل K4 Note گزینه ی خیلی خوبیه تو این رنج. پیشنهاد میکنم هر دو رو از نزدیک ببینین هر کودومو پسندیدین انتخاب کنین چون از لحاظ سخت افزار و قابلیت ها خیلی به هم نزدیکن؛ اگه میخواین دو تا سیمکارتو همزمان با کارت حافظه استفاده کنین k4 رو بردارین یا اگه فک میکنین 3 گیگ رم نیازتونه و بدنه تمام فلزی میخواین G8 بردارین. Mate 7 تک سیمم گزینه جالبیه.
تنها عیب A7010 یا همون K4 Note به نظرم لوازم جانبیشه که به زور تو ایران پیدا میشه. اگه دیجیکالا لطف کنه کاورو محافظاشو موجود کنه که دیگه عالیه! شاد باشین",2,3,4,5,4,4,5,4
"همه چي عالي",,"سلام. من 10 روزه این گوشی رو خریدم. از هر نظر گوشی خوبیه. صفحه نمایش و دوربین ها واقعا با کیفیت . سرعتش خیلی خوبه و همون چیزی هست که دنبالش بودم.خریدشو پیشنهاد میکنم.",8,1,5,5,5,4,5,4
"بدنه محکم .صداي فوق العاده . دو سيم همزمان 4g بدون اشغال اسلات توسط مموري .صفحه نمايش عالي .دوربين ها عالي و ارزش فوق العاده نسبت به قيمت","کليدهاي لمسي فيزيکي بدون نور پس زمينه و رابط کاربري تقريبا سنگين","سلام
تقریبا دو هفته هست که این گوشی را دارم و تصمیم گرفتم یه نقد مفصل بنویسم برای دوستانی که در این رده دنبال گوشی میگردند
تا دو هفته پیش یه گوشی سونی z1 داشتم که خب گوشی خوبی بود ولی به خاطر نیاز به گوشی دوسیم تصمیم گرفتم عوضش کنم .گزینه های زیادی بررسی کردم تا اینکه تصمیم گرفتم هواوی g8 بخرم
خب به پیش موبایل فروش آشنا تو شهر خودم یزد رفتم و ایشان هواوی رو آوردند و لی گفتند لنوو رو پیش نهاد میدم و از جهت بدنه و آنتن و مکالمه و باطری ضمانتش میکنم (ممنون آقا مهدی به خاطر پیشنهادت اگه اینو خوندی)
خب لپتاپ های لنوو رو میشناختم ولی دو دل بودم نسبت به گوشی ولی تصمیم گرفتم به حرفش گوش کنم و خریدم .همین که از مغازه اومدم بیرون پشیمون شدم که دوباره بی تحقیق چیزی خریدی ؟ کم تجربه نا موفق داشتی؟
بگذریم رفتم خونه و شروع کردم به تست گوشی
گوشی بزرگ و خوش دست و محکم و از نظر من خیلی شیک بود صفحه رو که روشن کردم یه صفحه 5/5 اینچ با کیفیت عالی با لمس حساس و رنگ طبیعی خیلی عالی.صدا رو که امتحان کردم شگفت زده شدم دو تا اسپیکر 1.5 وات استریو دالبی اتموس .بسیار بلند و با کیفیت شک نکنین رقیب نداره شاید فقط دو سه تا مدل اچ تی سی که معروف به صدا هستند بتونن کمی باهاش رقابت کنند . گفتم حتما دوربینه مالی نیست ؛عکس و فیلم گرفتم و ریختم رو لپ تاپ و با عکس و فیلم سونی و گوشی های قبلیم مقایسه کردم با اختلاف سر بود .هر دو دوربین عالی خصوصا دوربین پشت تصویر شفاف با کیفیت ضبط صدای عالی . کلا ضبط صدای فوق العاده ای داره و حتی صدای پچ پچ در چند متری رو واضح ضبط میکنه در هیچ گوشی چنین ضبطی ندیدم در ضبط های حرفه ای خبرنگاری هم اونچه من دیدم اینقدر کیفیت وجود نداشت .تعجب می کنید ولی واقعیته و اصلا انسان اغراق کننده ای نیستم .در مورد کیفیت آنتن دهی فوق العاده است در جایی که گوشی های اچ تی سی قبلیم مطلقا آنتن نمیدادند و الجی و سونی های قبلیم هم با پرش آنتن مواجه بودند و صدا درست رد و بدل نمیشد هر دو سیم کارت آنتنشون پر بود و مکالمه مثل همیشه با صدای شفاف و عالی انجام شد. به خاطر اسپیکر های عالی و میکروفون قوی راحت میتونین تو مکالمه گوشی رو یه جایی بزارین و به کارتون برسین و در عین حال صحبت کنید. یه نکته دیگه اینکه گوشی های دوسیم جدید بیشترشون دو سیم واقعی نیستند یعنی اسلات دوم رو اگر استفاده کنی دیگه مموری نمیشه گذاشت و چون حافظه داخلی کم میاد عملا مجبوری مموری بذاری و میشه تک سیم ولی این دو سیم میخوره و جای مموری جداست هر دو سیم هم نسل چهارم که آخرین نسل ارتباطی است رو ساپورت میکنند .پرینتر اثر انگشت بسیار سریع و دقیقه حتی از سامسونگ سریع تر عمل میکنه و مثل بعضی گوشی ها دکوری نیست که با بعضی انگشت های دیگه هم گاهی باز بشه .فلاش دوربین دوتایی و دورنگه که خیلی پرنوره .از جهت سخت افزاری اولش فکر کردم خیلی قوی نیست چون گاهی در رابط کاربری با مکس و تاخیر مواجه میشدم بعدا فهمیدم رابط کاربری خیلی سنگینه که با چند تا آپدیتی که تو این دو هفته اومده تقریبا حل شده و در بازی و نرم افزار اتفاقا خیلی خوب عمل میکنه .نمره بنچمارکش 37000 هست که تقریبا بالاست و لنگتون نمیزاره . باتری خوبی داره و با توجه به صفحه بزرگ با کیفیت تقریبا خوب میره ولی مثل بقیه گوشی ها هنگام روشن بودن اینترنت خود گوشی مصرف خیلی بالا میره .حافظه داخلی 32 گیگه که خیلی مناسبه . اما عیبی که من دیدم فقط کلید های لمسی گوشی است که هم گاهی خوب لمس نمیشه و هم نور پس زمینه نداره که هر چند عادت میکنید ولی از لنوو متعجبم گوشی همه چی تموم زده چرا اینو رعایت نکرده . شاسی و بدنه آلمینیوم یک پارچه است ولی قاب پشت پلی کربناته که بد نیست و دیر اثر انکشت میگیره . صفحه محافظ گوریلا گلس 3 داره ولی یک برچسب ضد خش و یه گارد شیشه ای به علاوه یه شارژر گردن کلفت و هندزفری داخل جعبه است. سنسورها تکمیله و خوب عمل میکنه . خیلی طولانی شد و چیزی دیگه به ذهنم نمیرسه و عموما برای چیزهایی که میخرم کامنت نمیذارم ولی این یکی فرق میکرد و یک سورپرایز واقعی است با توجه به اینکه گوشی زیاد داشتم و گوشی های زیادی هم دست گرفتم مطمئن باشید که اگر چشم من رو گرفته چشم شما رو هم خواهد گرفت و تا چند صد هزار تومن بالاتر گزینه بهتری نیست ضمن اینکه 18 ماه گارانی معتبر ارکان هم داره .بخرید و دعای من هم بکنید . یا حق",24,2,5,5,5,4,5,4
"باتري ،دوربين با کيفيت ،اندرويد 6 ،سنسور اثرانگشت و..","آنتن دهي ضعيف","سلام من دو روزه که این گوشی به دستم رسیده همه چیزش عالیه ،فقط نمی دونم چرا آنت دهیش برای اینترنت ضعیفه شایدم من اینطور فکر میکنم.",2,4,5,5,5,5,5,5
"کيفيت دوربين ها بسيار بالا
حسگر اثر انگشت سريع
صفحه نمايش با رزولوشن بالا
صداي دالبي وحجم صداي بالا
اندرويد 6",ندارد,"من خودم این گوشی رو گرفتم

برای گرفتن گوشی خیلی گشتم . شاید خیلیا بگن که ما میریم سامسونگ میخریم خیلی هم خوبه

میخام بگم که این طرز فکر رو از سرشون بیرون کنن
چراکه من مقایسه کردم

همه چیز این گوشی از سامسونگ های هم رده خودش بالاتره
نمونه کوچیک دوربین


این گوشی 2 تا شیار جداگانه سیمکارت و یه شیار کارت حافظه داره که هر دو سیمکارت شبکه 4G روساپورت میکنن


اقلام همراه گوشی رو هم بگمکه خودم خیلی دنبالش بودم


شارژر ( آداپتور و یو اس بی )
هنذفری
خش گیر صفحه
قاب ابریک لنوو
دفتچه راهنما",10,1,5,5,5,5,5,5
فينگر,,"سلام به همگی
منم به تازگی این گوشی رو گرفتم ، همیشه طرفدار پروپاقرص htc بودم این بار گفتم دل و بزنم به دریا و برند جدیدی رو امتحان کنم و انصافا نسبت به قیمتش می ارزه و خوبه
جنس محمکی هم داره وخوراکه امسال منه که خیلی گوشی میندازن زمین
سرعتش هم خوب بوده و سریع هم شارژ شده",10,0,5,4,5,3,2,2
"[""سنسور اثر انگشت،قدرت کم نظير پروسسور""]","[""نبود ال اي دي کليد راهنما""]","یک هفته هست که این گوشی رو گرفتم
پکش بسیار کامل بود،دیجی کالا فراموش کرده که در بسته گوشی هندزفزی قاب و محافظ صفحه اورجینالش هم هست.دور بدنه اش هم فلزیه نه پلاستیکی...
سی پی یوی بسیار خوبی داره،چیزی که باعث تعجب من شد اینه که فایلهای tsکه از فورمتهای بسیار قوی دی وی دی هستش رو بسیار راحت و سریع باز میکنه و تازه زملن پخش حتی میتونی روی تصویر زوم بزرگنمایی و کوچک نمایی انجام بدی.
گوشی آیفون 6 برادرم نمیتونست فرمتtsرو پخش کنه و این بسیار جای تعجبه.
باطری بسیار قوی و خوبی داره،اگه یه ضرب اینترنت وصل باشی و روزی هم سه چهار ساعت وبگردی و تلگرام باشی آخر شب لااقل چهل درصد باطری داری.
فلاش و دوربین اصلی بسبار خوبه ولی دوربین سلفی در حد پنج نیست ولی کارراه اندازه خوبیه.
بازی آسفالت و نیدفوراسپیت کال آو دیوتی و مدرن وارفر رو بی هیچ نقصی اجرا میکته
تو این قیمت داشتن سنسور انگشت قوی و سریع تعجب آوره
در مجموع پول آش میدی و جوجه میزنی،بدون اغراق یکی از بهترین،کاملترین و اقتصادی ترین انتخابهاست که پشیمونی نداره",13,2,5,5,5,5,3,5
"قيمت مناسب
سخت افزار قدرتمند
اندرويد 6
دوربين خيلي خوب","جنس نه چندان خوب بدنه
داغ کردن بالاي گوشي","شاید بشه گفت تو این رنج قیمت بهترین گوشی همین گوشیه تو چند وقتی که من با این گوشی کار کردم جز در بازی اسفالت که خیلی سنگین و جزو بازی های دیتا دار هست دیگه جایی ازش هنگ و لگ ندیدم و برای عکاسی بسیار مناسبه چه با دوربین عقب چه با دوربین سلفی در کل برای خریدگوشی با همچین قیمتی بهترین گزینس و تو خریدش شک نکنید.",0,6,5,3,5,5,3,2
دوربين,پردازنده,"بنام خدا ...این گوشی خوبیه ولی کمی گرونه",2,6,3,3,3,3,3,3
