positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"من این گوشی و تهیه کردم و راضی هستم به عنوان یک گوشی ساده، اگر وای فاس داشت تکمیل بود.",2,1,3,4,3,4,5,3
"صفحه نمايش بزرگ صفحه کليد بزرگ","نداشتن ويبره درست نبودن حروف روي صفحه کليد نداشتن صداي بلند حين زنگ خوردن","گوشی توی این رنج قیمت گوشی خوبیه ولی برای من که برای استفاده پدرم خریداری کردم دو تا عیب خیلی بزرگ داشت یکی اینکه ویبره نداره و دو اینکه موقعی که زنگ میخوره اصلا صدای بلند و قابل توجهی نداره و یجورایی بلا استفاده اس
برای پیامک دادن هم اصلا مناسب نیست و حروف روی ص.کلید با حروف اصلی تعریف شده روی گوشی مطابقت نداره و یکی عقب تره",4,5,3,3,3,3,3,3
,"حروف نوشته شده روي کليدها با حروفي که تايپ ميشود يکسان نيست","این گوشی حتی اگه تخفیف هم نخوره ارزش داره.واقعا عالیه.من که دارم ازش لذت میبرم.",2,3,5,3,4,3,4,3
"باتري قوي",,"صدااش خیلی کمه،کم نه بیش از حد کمه،صدای بلندگوی جلوش هم همین طوره وقتی با کسی صحبت میکنی اگه تو جایه یکم شلوغ باشی صدارو نمیفهمی،واسه تنظیمات گوشی باید خیلی وقت بزاری تا بفهمی چی به چیه،بقیه ی چیزاش نسبت به قیمتش تا حدی قابل قبوله،اگه اشاره ای به این‌مشکلات شده بود شابد منصرف میشدم از خریدنش",2,3,3,0,3,0,5,2
,,"قیمت بسیار کم است و نباید توقع بسیار بالا داشت اول اینکه پیام دادنش صحیح است وهیچ اشتباهی در ان نیست و من زیاد توضیح درمورد این گوشی نمیدم چون قبلا بیشتر دوستان گفتن
ولی یک مورد را من بگم من وقتی سیم کارت داخل گوشی میگذارم 4الی7ساعت بعدش سیم کارت را جواب میده یعنی شما اگر گوشی خود را خاموش روشن کنید 4الی7ساعت بعدش میتوانید از سیمکارت استفاده کنید وقتی باطری را خارج میکنید و سیم کارت داخلش میگذارید و گوشی را روشن میکنید نمیتوانید استفاده کنید
حالا والا من نمیدونم از من اینطوری هست یا از همه",0,3,3,3,3,3,3,3
,,"سلام
دوست عزیز خواهش میکنم ناراحت نشید
1-چرا به دوستان اطلاعات غلط میدید. اولا اگه شما این گوشی را خریده باشید وقتی نظر میدید باید کنار اسمتون بنویسه خریدار این محصول. که کنار اسم شما چیزی ننوشته!!!
2-مگر اینکه از دیجی کالا نخریده باشید که مقصر خود شما هستیدو معلوم نیست چی خریدید. وگرنه من که این گوشی را خریده برای پیام نوشتن هیچ مشکلی ندارم و هرچی رو کلید حک شده موقع نوشتن هم همونه نه یه کلید قبل ترش.
3-کیفیت صفحه کلید هم به نظر من خیلی خوبه.
نمیدونم شما از یه گشیهبا این قیمت چه انتظاری دارید.
4- فونتش هم خوبه مگر اینکه با یه گوشیه هوشمند و میلیونی مقایسه بشه.
بازم ببخشید ولی باید میگفتم",5,2,5,3,4,5,5,4
,,"سلام
در مورد صفحه کلید که گفته بودین جابجا میزنه، من تماس گرفتم با شرکت یاس گفتن بیارین رام میزنیم درست میشه.",1,0,3,3,3,3,3,3
"ظاهري زيبا و صفحه نمايش بزرگ به نسبت","جابجايي حروف در پيامک","گوشی ظاهری زیبا صفحه ی بزرگ و قیمت مناسبی داره
اما
آنتن دهی خوب نیست.برای پیامک دادن ،حروف فارسی روی صفحه کلید متفاوته با اون چیزی که تایپ میشه.",0,3,3,3,3,3,3,3
,,"یکی از ویژگی های منفی این گوشی عدم امکان مسدود کردن شماره دلخواه مجبورید همه شماره ها رو مسدود کنین!",3,2,3,3,3,3,3,3
,,"این حروفش با دکمه هاش نمیخوره و نمیشه باش اس داد خیلی سخته اینجوری یکی عقبه حروفای روی دکمه هاش",3,3,3,3,3,0,3,3
