positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"کيفت دوربين عالي
باطري عالي
وضوح تصوير","صداي فس فس موقع فيلبرداري
بزرگي بيش از حد
افت قيمت","من تقریبا ماهه این گوشی رو دارم و تقریبا راضی هستم",0,0,3,5,5,5,3,3
"دوربين . جنس بدنه . شارژ سريع . و ...","ضعف خاصي نديدم","بهترین نقطه قوت این محصول کره ای الاصل بودن و اینکه دیجی کالا باتوجه به سابقه خوب خودش همه کالاهای ارسالی با وکیوم و با گارانتی اصلی ارایه میکنه. مثل فروشگاههای دیگه نیست که گوشی بعد از هزار انگولک و برگشت به تنظیمات کارخانه ........... دیجی کالا بهترینه",1,0,5,5,5,5,5,5
"دوربين دوگانه 16+8 مگا پيکشلي در پشت دستگاه
دوربين 8مگا پيکسلي در جلو","امکان استفاده همزمان سيم2 و رم وجود ندارد.يا بايد رم استفاده شود يا سيم.
سايه انداختن روي صفحه.(يعني اگر طولانس مدت در حال تاسپ هستيد بعد از خروج از کيبرد شاسه کيبورد رو صفحه ميمونه.","خیلی خوشحال میشم اگر راجع به این گوشی من اشتباه کرده باشم.
خیلی دوس دارم بخرم.
ولی قابلیت استفاده اجباری رم به جای سیم2 یا باالعکس و سایه انداختن دلمو زد.",0,0,3,3,3,3,3,3
,,"کلا گوشی خوبیه من به شخصه با صداش بیشتر از همه چیش حال میکنم .ولی متوجه نشدم لرزش گبیر اپتیکالش چیکار میکنه دقیقا چون عکس تار زیاد گرفتم باهاش.",3,0,4,4,4,3,3,3
"دوربين عالي
صفحه نمايش فوق العاده
قيمت مناسب","باتري نسبتا ضعيف
اسپيکر نامناسب
کاربردي نبودن","سلام. من حدود یک هفته ای میشه گوشی رو از دیجی کالا خریدم. گوشی واقعا خوبیه فقط تنها عیبش باتریشه که در صورت اجرای بازی های سنگین خیلی سریع خالی می کنه ولی در استفاده معمولی نزدیک یک روز شارژدهی دارد. نقطه ضعف بعدی آن اسپیکرشه که کیفیت صدای خوبی نداره. اما صفحه نمایش و دوربینش عالیه. از نظر سخت افزاری هم در اجرای هیچ بازی ناامیدتون نمی کنه. خیلی هم گول ماژولار بودن گوشی رو نخورید چون فقط یک ترفند تبلیغاتی هست و کاربردی نیست. امیدوارم تونسته باشم راهنمایی کنم.",2,0,3,3,3,3,3,3
"سهولت استفاده
قيمت خوب
دوربين عالي
لوازم جانبي مناسب",باطري,"گوشی خوبیه و کارایی مناسبی داره فقط در مورد ماژول کم پلاس یه مقدار ایراد وجود داره. از من که کار نمیکرد",3,0,3,3,3,3,3,3
"همه چي",هيچي,"دوستان انقدر از باتری این محصول ایراد نگیرید.با اضافه کردن ماژول کم پلاس گوشیتون شارژ میشه.ظرفیت باتری این ماژول 1200 میلی امپره.",2,1,5,3,5,3,3,5
,,"خیلی دیر سراغ ماژول رفتم و گارانتی تعویض هفت روزه گذشت. دوستانی که خریداری کردن ماژول رو نصب کنن و اگر مشکل داشت تعویض کنن.
هیچ کدوم از دکمه های ماژول کار نمیکنه متاسفانه و ساخت چین است",6,1,5,4,5,5,4,5
"دوربين فوق العاده
فن اوري هاي جديد","ضد اب نبودن","من اول تصمیم داشتم ایفون هفت پلاس بخرم به خاطر برند و دوربین فوق العادش ولی وقتی فهمیدم که g5 از لحاظ دوربین امتیاز بیشتری نسبت به ایفون هفت پلاس در سایت های معتبر اورده و من میتونم با نصف قیمت ایفون این گوشی رو بخرم در خریدم لحظه ای شک نکردم مخصوصا در پیشنهاد ویژه که قیمت این محصول با لوازمی از قبیل کیف و خش گیر و ... واقعا بصرفه است, من دو روزه که با این گوشی کار کردم دوربین بی نهایت با کیفیت و صفحه نمایش بینظیرش منو به وجد اورده حتما به شما هم پیشنهاد میکنم در مورد سخت افزارش هنوز زوده اظهار نظر کردن ولی مطمئنم تا سالها جوابگوی من خواهد بود باطری خوبی داره چون من زیاد با گوشی کار میکنم فقط مشکلش که هست زمان شارژ شدن کامل باطری کمی طولانیه در حدود دو ساعت که اونم با فست شارژ قابل حله در کل در خریدش در این رنج قیمت مخصوصا در پیشنهاد شگفت انگیز شک نکنید",6,1,5,5,5,5,3,5
"دوربين.کيفيت خوب تصوير",,"گوشی خوبیه برای کسی که لذت عکس گرفتن رو چشیده باشه",2,0,4,4,2,2,3,3
