positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"ارزش خريد نسبت به قيمت",باتري,"اگه مشکل پولی ندارید چیز بهتری می تونید بگیرید",1,1,3,2,3,2,3,2
هيچ,"تاچ ضعيف.باطري افتضاح.هنگ هاي مکررو....","من این گوشیو توپیشنهاد شگفت انگیزخریدم.اصلا توصیه نمیکنم بخرید تاچش بسیاردیرعمل میکنه.گوشی یه سره توهنگه.باطریش خودبه‌خود خالی میشه خلاصه که سرتونو درد نیارم پولتونو بیرون ریختنه اگه بخریدش چون منم الان دیگه ازش استفاده نمیکنم و انداختمش کنار.یه کم دیگه پول روش بزارید حداقل بتونید ازش استفاده کنید نه مثل من که دیگه به کارم نمیاد",2,1,3,3,3,3,3,3
"طراحي خوب و زيبا
وزن کم
سيستم عامل و برنامه هاي خوب
قيمت پايين (پيشنهاد شگفت انگيز )","عدم پايداري و آنتن دهي در مکالمه
سخت افزار خيلي ضعيف براي ورژن 4.4.2 اندرويد
اينترنت 3G ضعيف و مصرف بالاي باتري هنگام استفاده از نت
قدرت صداي خيلي کم هنگام مکالمه و پخش آهنگ
حساسيت کم دکمه هاي پايين و نا پيدا بودن در شب","سلام من قبل از خرید این گوشی یه جی ال ایکس آسا از دیجی خریدم که تقریبا هم رده با این گوشی هست . ( مبنای قیاس من ) .در کل این گوشی برام نقش یه تبلت سفید کوچولو رو داره . چون آنتن دهی ضعیف داره به درد مکالمه نمی خوره . با اینکه کلی برنامه های غیر ضروری اش رو غیر فعال کردم و سیم کارت هم نگذاشتم بازم کند عمل می کنه . دکمه های پایین هم توی شب معلوم نیستن و کمی هم خوب عمل نمی کنند .
دوستان می گن که سوکت شارژرش در می آد، اینطور ندیدم باشه . اگر قرار باشه هر طور سیم کشیده بشه و سوکت در نیاد پس لابد یا سیم باید دچار بریدگی بشه یا سوکت گوشی گشاد بشه. در کل تلنگری شد که تصمیم بگیرم پولدار بشم که جنس خوب بخرم و دنبال ارزونی نباشم",3,2,0,0,5,2,5,2
,,"من این گوشی را به عنوان گوشی دوم در پیشنهاد شگفت انگیز خریدم، قیمتش بسیار مناسب است و نسبت به کارکردی که ارائه می دهد مقرون به صرفه است. از امتیازات مثبت آن می توان به شکل ظاهری آن که بسیار سبک و شکیل است و همچنین دو سیم کارت بودن آن که یک سیم کارت سایز معمولی و یک میکرو را در آن می نوانید قرار دهید (جای رم sd جدا از دو سیم کارت می باشد) که این خود امتیاز بزرگی است زیرا در اکثر‌ گوشی ها با slot دوم یا می توانید سیم کارت قرار دهید یا رم و هر دو با هم امکان پذیر نیست. هندزفری با کیفیتی دارد اما به گوشی های دیگر مثل سامسونگ وصل کنید کیفیت آن بسیار افت می کند
و فقط با خود گوشی match می شود. شارژر گوشی نیز در صورت اتصال باید بی حرکت باشد زیرا مدام از گوشی جدا می شود و ثابت نمی ماند. و همچنین کیفیت پخش تصویر آن نیز چنگی‌ به دل نمی‌زند‌. در مجموع خرید بسیار مناسبی است دوستان و سپاس از وقتی که گذاشتین.",2,0,5,4,4,4,4,3
"نسبت به قيمتش خيلي خوبه","سرعت پايين","من 4 تا از این گوشیا تو پیشنهاد ویژه خرید.
اگه میشه بازم تو پیشنهاد ویژه بزارید 10 تا میخام
با تشکر",0,3,5,3,3,5,4,3
"شکل ظاهري
کيفيت بدنه
منو فارسي","کند عمل کردن","اگر کسی میخاد بخره باید بدونه که خیلی کند عمل میکنه، صدای مناسبی نداره برای تماس ها و درگاه شارژش هم مشکل داره برای من. هر شارژری میزنم زود در میاد
فقط ظاهرش خیلی خوبه و منو فارسی",2,1,2,4,2,3,5,2
"قيمت بسيار خوب در قبال يک گوشي اندرويد","يک مقدار کم کاري براي طراحي سوکت شارژر از طرف شرکت سازنده","خلاصه عرض کنم که الان گوشیهای ساده ی نوکیا تو بازار هست، شما از این گوشی اگر در حد قیمت یه گوشی نوکیا ساده انتظار داشته باشید متوجه میشید که خیلی فراتر از حد انتظارتونه. i love you digikala",0,3,5,5,5,3,5,3
اندرويد,"تاچ ضعيف / گير نيامدن قاب و گلس","توی شگفت انگیز خریدمش ولی قاب و گلسش گیر نمی آید
دیجی کالا هم موجود ندارد",1,0,3,3,2,3,3,1
,"کند بودن گوشي هنگام باز و بسته کردن نرم افزارها
اتصال ضعيف به واي فاي
قطع و وصل شدن مکرر 3جي يعني بيشتر اوقات 2جي است
صداي کم بلند گو هنگام موسيقي گوش کردن","این گوشی حتی بدرد صحبت کردن معمولی هم نمیخورد گوشی دیگری بخرید",8,2,0,2,2,0,3,2
"طراحي و ساخت","کند عمل کردن","من دیروز این گوشی دستم رسید برای مادرم خریدم. شکل ظاهر و ساختش واقعا عالیه و خیلی دوست داشتم . باتری با ظرفیت پایینی داره ولی برای استفاده کم یک روز جواب میده
اینکه منوی فارسی داره خود گوشی خیلی خوبه خصوصا برای استفاده مادرم . دوربینش هم کیفیت مناسبی نسبت به لنز 3.2 داره
تنها اشکال که کوچیک هم نیست و خیلی اذیت می کنه کند عمل کردن سیستم اونه. با توجه به سخت افزار ش خیلی باید سریعتر از این باشه ولی متاسفانه نیست.
اگر در نظر دارید بخرید با این دید که کند و با تاخیر عمل می کنه بخرید",7,2,2,4,2,3,5,2
"دوربين جلو فلش دوربين","سرعت پايين","سلام
یکی از ضعف های این گوشی باطری ان است که بسیار زود خالی میشود
و همچنین سرعت لمسی ان زیاد جالب نیست.",8,2,3,3,3,3,3,3
"طراحي
کيفيت ساخت بسيار عالي","تراشه مرکزي تک هسته اي و ساخت شرکت گمنام
باتري نه چندان قوي","این گوشی رو من حدود 10 ماه هست ک خریدم از نظر ظاهر گوشی با اصالتی به نظر میاد از لحاظ سخت افزاری هم ک دیجی توضیح داده ولی نگران نباشید تمام نیازهای یک کابر معمولی رو برطرف میکنه لانچر خود گوشی اغلب اوقات گیج میزنه و کنده که با نصب لانچر دیگه ای رونتر میشه من تلگرام و چندتا بازی بدون دیتا نصب کردم از کاراییش واقعا راضیم تا حالا هنگ نداشته به جز در مواردی ک دو یا چندتا برنامه با هم باز باشه آنتن دهی اینترنت تو حرکت جالب نیست ولی نا امید کننده هم نیست از نظر دوربین هم ک نگا به قیمت بکنید و خودتون متوجه کیفیت بشید ولی بازم چون از فلش استفاده شده تصاویر رو قابل تحمل تر میکنه آهان داشت یادم میرفت هر هندزفری بهش نمیخوره با اینکه سنسور مجاورت نداره ولی با تماس صورت با صفحه حین مکالمه صفحه گوشی خاموش میشه
جمع بندی: میشه گفت بهترین انتخاب تو پایین رده ها برای اشخاصی هست ک ارزونی ،کیفیت ساخت،کاربردی بودن براشون توخرید گوشی الویت اصلی رو داره
در انتها از پراکنده بودن و طولانی بودن نظرم عذر میخوام",23,2,4,5,3,4,4,2
[],[],"گوشی بسیار خوبی. کسانی که میخوان گوشی بسیار خوب با امکانات بالا و قیمت ناچیز بخرن این مورد رو از دست ندن با تشکر",6,3,5,5,5,5,5,5
"پشتيباني از زبان فارسي",,"از زبان فارسی پشتیبانی میکنه. خطش هم درشت میشه
گوشی خوبیه",8,6,5,5,5,5,5,5
[],[],"من یک سال این گوشی رو خریدم و تبریک می گم به سازندش با این گوشی که ساخته عالیه اهای کسی که داری نظر منو می خونی و داری تصمیم می گیری بخری یا نه ...اگر نخری از دستت رفته فوق العادسسس",10,11,5,5,5,5,5,5
"قيمت، طراحي، کارکرد خيلي خوب",,"این گوشی از نظر من در رده خودش گوشی مناسبی امکاناتش تقریبا برای کسایی که دنبال یه تلفن هوشمند با قیمت پایین هستن کاملا مناسبه، از لحاظ طراحی هم نسبت به بقیه هم رده هاش خیلی خوبه",6,4,5,5,5,5,4,4
,,"اقا جان نگیرید ، باتریش یجوری خالی میکنه انگار تهش سوراخه",24,13,0,0,0,0,3,0
"خوش دست بودن
قيمت مناسب","سوکت شارژر خيلي بد تعبيه شده
سرعت پايين در اکثر موارد
دوربين ضعيف","خب سلام دوستان
این گوشی چند روز پیش به دستم رسید و قبل از هر چیز از دیجی کالا ممنونم به خاطر سرعت بالای ارسال که زود بدستم رسید.
این گوشی در کل تو این رنج قیمت خوبه ولی چند تا مورد هست که بد نیست شماهم بدونید. سوکت شارژرش رو اعصابه چون بد طراحی شده و مدام در میاد. باطریش تقریبا میشه گفت ضعیفه.
ظاهر خوب و شیکی داشت.
سرعت وای فای و دیگر مواردش پایین تر از حد انتظار من بود.
صفحه لمسیش خوبه ولی دکمه های برگشت و home دیر عمل میکنه باید چند بار بزنی.
صفحه نمایشش بد نیست.
آنتن دهی خوبه.
خلاصه تو رنج قیمت خودش خوب بود ولی اگه میتونید پول بیشتری بدید حتما اینکارو بکنید و یه رنج قیمت بالاتر و بهترش رو بخرید.
با تشکر از دیجی کالا",2,7,3,3,4,3,3,2
,,"سلام
دوستانی که این گوشی رو خریداری کردند لطفا راجع به سرعت و کیفیت استفاده از اینترنت این گوشی هم بگید .
ممنون",4,1,3,2,2,2,4,0
"کيفيت ساخت بالا
دارا بودن دوربين سلفي و مکالمه
پشتيباني کارت حافظه",,"با این قیمت واقعا عالیه، کاملا خوش ساخت و باکیفیت و با توجه به قیمتش امکاناتش عالیه",8,2,5,5,5,5,5,5
,,"از فارسی پشتیبانی میکنه. خطش هم درشت میشه مشتییی.
گوشی خیلی خوبیه",6,1,5,5,5,5,5,5
,,"سلام.من این گوشی رو برای مادرم میخوام بخرم خیلی برام مهمه که منوی فاریسی داشته باشه......دوستان لطفا بگید از زبان فارسی پشتیبانی میکنه؟؟؟",3,0,0,0,0,0,0,0
,,"نظر من بعد از چند هفته کار باهاش اینه
نسبت به قیمتش واقعا خوبه مخصوصا نسبت به گوشیهای هم قیمتش نمایشگر خوبی هم داره و برنامه هایی مانند شبکه های اجتماعی را بدون لگ میره ولی نباید انتظار اجرای بازی یا
برنامهای سنگین را ازش داشت
باتریش چندان خوب نیس
یک مشکلی که داشت اینه که اگه یکی از دکمهای لمسیش را چند بار بزنی تا چند لحظه دیگه کار نمیده
اما در کل بد نیست",7,0,0,0,0,0,0,0
,,"از نظر امکانات گوشی خیلی خوبیه
خوش دسته
سبکه
با این امکانات باتری مناسبی نداره و شارزش زود تموم میشه و اگر دیتا روشن باشه نهایتا 1 روز به زور دووم میاره
بسیار بسیار بسیار ظریفه و با کوچکترین ضربه ای شیشه اون میشکنه واسه من از فاصله 10 سانتی افتاد رو یه سطح صاف و شیشه ترک خورد و بعد از چند ساعت ترک به کل صفحه کشیده شد و فاتحه گوشی خونده شد توصیه میکنم همون روز اول که خریدید بدون معطلی یه برچسب واسه شیشه و یه کاور ژله ای حتی واسه گوشیهای دیگه هم که شده واسش تهیه کنید، این کارو نکنید هفته اول گوشیتو دادی رفته.
در ضمن کاور پشتش هم خیلی بد و سخت باز میشه که اگه دقت نکنی ممکنه بشکنه
سیم کارت دوم رو میتونید با سایز اصلی بزارید و لازم نیست mini بکنید",4,1,0,0,0,0,0,0
,,"این محصول کدام کشوراست؟لطفابگویید.",3,2,0,0,0,0,0,0
,,"آقای ((حسین کریم)) اگر وای فای روشن باشه یا آنتی ویروس رو گوشی نصب شده باشه شارژ رو حتی وقتی باش کار نمی کنی هم کم می کنه.
من این گوشی زو دارم و پرسیدم بهم این رو گفتن. ولی در کل مال من به صورت معمول 12ساعت کار می کنه .",4,0,5,5,5,5,5,5
,,"سلام گوشیم حتی زمانی که استفاده نمی کنی شارز کم می کنه کسی میدونه برای چیست؟ممنون میشم جواب بدین",3,2,5,4,4,4,5,4
,,"سلام اول از همه می خواستم از دیجی کالا بخاطر بسته بندی و ارسال سریع تشکر کنم
دوما می خواستم بگم که گوشی بسیار خوبی است و اصلا هنگ نمی کنه و می تواند تماما نیاز های شمارا برطرف کند",6,0,5,4,4,4,5,4
,,"دیجی کالا تو هم لطفا نقد و بررسیش رو بذار",3,0,5,5,5,5,5,5
,,"سلام.این گوشی حدود یه هفته س که رسیده دستم .من از این گوشی واقعا راضیم.چون اصلا هنگ نداره چون من حدود 25تا برنامه نصب کردم وهیچ هنگی نکرده.
فقط بگم که فقط سیمکارت یک3Gداره وسیمکارت یک باید میکرو باشه.
ممنون از دیجی کالا به خاطر بسته بندی مناسب و سرعت تحویل بالا.",6,0,5,5,5,5,5,5
,,"باسلام
همون طور که گفتهع بودم وقتی گوشی رو خریدم قابلیت هاش رو براتون بنویسم.
نوع امتیاز دهی من.خیلی عالی . عالی . متوسط . بد
طراحی ظاهر:خیلی خوش دست ساخته شده.فقط دوربینش جای خوبی قرار نگرفته و از زیبایی اون کم می کنه و از اون مهم تر وقتی تو دست بگیرید انگشتتون همش روی لنز میره.
امتیاز من به ظاهر عالی
حافظه: من روش یک کارت حافظه ی 8 انداختم و خیالم راحته و تاحالا هرچه قدر دوست داشتم روش فیلم . عکس و موسیقی ریختم. البته امتیاز من ملاک نیست چون اصلا بدون کارت حافظه باهاش کار نکردم.
با این حال امتیاز من:خیلی عالی
سخت افزار: اینو بگم که من الآن حدود15 تا نرم افزار روش نصب کردم و اصلا هنگ نکرده.(البته خود گوشی های فلای از همون اول اول تیک داره ولی هنگ نکرده)
امتیاز من:عالی
دوربین: دوربین دومش که بدک نیست ولی کلا راضی نیستم.اینو بگم که توی نور عکاسی(دوربین دوم) درحد دوربین3 هست.
امتیاز من :متوسط
دوربین اصلی:نسبت به خودش خوبه و من راضیم.
امتیاز من :عالی
فلاش: خیلی نوری نداره .
امتیازمن:بد
امتیاز من در کل: عالی
به نظر من برای خریدش به LG L40 سر بزنید.
باتشکر از دیجی کالا برای بسته بندی عالیش",5,2,5,5,5,5,5,5
,,"باسلام خدمت دیجی کالای عزیز خواهشا عکس رنگ سفیدش بزارین.ممنون",5,0,5,4,4,4,5,4
,,"دیشب سفارش دادمش. هنوز به دستم نرسیده . به نظرم گوشی خوبی اومد.البته قصد داشتم گوشیLg l40 رو بخرم ولی بعدش که این رو دیدم خوشم اومد چون صفحش بزرگ تره و تراکم بیکسلیش هم بالاتره.تازه دوربین دوم و فلاش هم داره.
ولی خوب ال جی معروف تره .
وقتی رسید دستم براتون از خوبی و بدی هاش می نویسم.
از دیجی کالا هم می خواستم نقد و بررسی بکنه تا مشترا بدونن گوشی خوبیه یا نه.عکس رنگ سفیدش رو هم بذارن.
باتشکر",3,1,5,5,5,5,5,5
