positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"من دارم و راضی ام خیلی خوبه",4,4,5,5,5,5,5,5
"خيلي داره از جمله دوربين و قابليت هاش",ندارد,"دوستان من به تازگی این گوشی رو خریدم
از جمله نقات قوتش دوربین و پردازندش هست که کم نمیاره.
ضمنا حالت لایو فوتو ایفون سون پلاس هم تو این گوشی هست.
عکاسی بسیار سریع
رابط کاربری خیلی عالیه.
کیفیت صفحه فوق العادست.
با یک قاب پشتی خوب اصلا سر نمیخوره از دست.
سرعت اینترنت بالا.
کیفیت و صدای اسپیکر هاشم خیلی بلند و عالیه ولی دربرابر استریو های دیفون یکم کم میاره. که اونم بخاطر ضد اب بودنشه.
ضمنا اینایی که جدید میاد خودش اندروید هفت روش نصب است برای منم همینطوریه.
اثر انگشتش بسیار با دقته.
اصلا شک نکنید برای خرید.
با تشکر از دیجی کالای عزیز.",6,4,3,5,3,5,5,2
,,"درودبرشما اول از همه از دوربین شروع میکنم،کیفیت بسبارخوب وقابل قبولی داردباg5مقایسه کردم بهترازg5 بودالبته نه زیادبیشتراختلاف توی رنگ هابودکهs7بهترعمل میکرددرموردفیلمبرداری هم عالی هستش من یک فیلم یک دقیقه ای گرفتم باکیفیت k4 حجم فیلم شد440 گیگابایت که خیلی بالاست،درموردباطری راستش من باتوجه به3600بودنش انتظاربیشتری داشتم،درمورد سخت افزارمن اکثربازیهای سنگین روباهاش تست کردم وخیلی راحت ازپسش براومد فقط پشت گوشی خیلی داغ میشه امابعدازپایان بازی سریع خنک میشه،به لحاظ زیبایی هم که عالی هست امامن دوست داشتم قاب پشتی هم فلزمیشد آخه باشیشه خیلی لیزه وقتی هم که زمین بخوره شیشه کامل خوردمیشه درصورتی که اگه فلز بودهم لیزنمی شدهم خوردنمی شد.به هرحال این سلیقه ی منه.درموردبه روزرسانی به اندروید7من هنوزانجام ندادم اگه دوستان انجام دادن بگن خوب بوده یانه چون حجم به روزرسانی بالای یک گیگ هست.ازهمون روزاول هم براش کیف لبتابی بگیرید بهترین راه حل هستش،ممنون که تاانتها خوندید مجکرم...",2,6,3,3,3,3,3,3
"همه چي","فقط گلسش بلند ميشه","این گوشی 64 دارم عالیه از هر نظر از نظر من 7sاپل میخوره",3,2,4,5,5,5,5,5
,,"چند ماهه ازش استفاده میکنم و توسط خود گوشی هم آپدیت اندروید 7 کردم و کاملا عالی تر شده هیچ ضعفی نمیبینم",1,0,5,5,5,5,5,5
"همه چي",هيچي,"عالیی من انداختم تو اب هیچی نشد اصلا نگران نباشید",4,1,5,4,5,5,5,5
,,"دوستم یه 128 گیگش رو گرفته و داد دستم من یه چکش کنم. اولین نکته منفی اینترفیس لگی و کندشه. من نمیدونم سامسونگ چرا انقدر خودزنی میکنه. خود این دوستم دید که گوشی هوآوی من که الان 2 سال عمر کرده اینترفیس سبکتری داره و تو پیمایش سریعتره. نکته بعدی اینه که وقتی چنتا برنامه رو با زاپیا ریختم رو گوشیش به طرز عجیبی برنامه ها رو کند نصب میکرد! نکته بعدی اینه که تو ویدئو های تستش واضحه که اگر از پشت بیوفته زمین 99 درصد احتمال ترک خوردن قاب شیشه‌ای پشپتش هست به خاطر همین زود دادم دست خودش! کلی خورد تو ذوقم چون میخواسم اگه چشمم رو بگیره بخرمش. ولی من دوسش ندارم.",3,23,0,1,1,0,2,0
"رواني و صحولت در کار کردن
طراحي زيبا","شايد يکم کيفيت اسپيکرش خوب نباشه","سلام دوستان من چند روزیه این گوشی رو خریدم باید بگم شاهکاره و واقعا گوشیه خوبیه تنها ایرادی که میتونم ازش بگیرم کیفیت یکم نامناسب اسپیکرشه که اونم بنظر من چیزی از خوبی هاش کم نمیکنه فقط یه نکته ایی راجع به شارژر وایرلسش بگم که بر خلاف تبلیغات خود سامسونگ که گفته از شارژر سیمی سریعتر شارژر میکنه باید بگم بر عکسه و با شارژر سیمی از صفر تا صد گوشی در حدود یک ساعت و نیم طول میکشه ولی با شارژر وایرلس در حدود دو ساعت و نیم طول میکشه تا شارژ کامل شه با تشکر",8,4,5,5,5,5,5,5
"بهترين گوشي اندرويد مخصوص بازي","به جا ماندن اثر انگشت","گوشی20 است پیشنهاد میکنم بگیرین چون همین ها در بازار تمام می شوند درزمن این گوشی به اندروید 7 هم ارتقا پیدا می کند",8,4,2,5,5,5,5,5
,,"من نزدیک دو -سه ماه از این گوشی استفاده کردم
هر بازی سنگینی رو جواب میداد ، کیفیت باتریش قابل قبول بود و اگه رو حالت پاور سیوینگ قرار بگیره خیلی خیلی عالی نگه میداره گوشی یبار از دستم افتاد رو کاشی و طوریش نشد ، اونقدرا هم نازک نارنجی که میگن نیست
اما گوشیم هنگی داشت و یک روز هم کاملا خاموش کرد که مرجوع شد و مبلغش برگردونده شد
و البته این مشکل برای همه گوشیا صدق نمیکنه و مثلا یک در صد میتونه باشه
اما ! کیفیت سلفی این گوشی واقعا اعصاب خرد کنه در حالیکه مثلا کیفیت j7 بهتره ! انگار یه پرده ی محو رو عکسا هست ،اون فردی که گفته بود کیفیت سلفی ایفون از این کمتره نمیدونم رو چ حسابی اینو گفته بودن !
و اینکه افت قیمت گوشیاش سامسونگ واقعا زیاده ! از بیشتر برندها (نه همشون ) بیشتر افت قیمت داره . چون گوشیای متنوع و زیادی تولید میکنه و قیمت گوشیای قبلیش میاد پایین !
و این گوشی سر خرید قاب و گلس فوق العاده کفرتون رو بالا میاره ، راه اینکه هم محافظ صفحه داشته باشید هم قاب ، اینه که اسپری نانو رو صفحه تون اسپری بشه که کاملا شبیه گلس میشه و عالیه فقط قیمتش فقط یکذره ! سرسام اوره برای یه محافظ صفحه .
از خوبیای دیگه ی این گوشی میشه به هندزفری عالی ، کیفت صفحه نمایش دیدنی و صفحه ی ادج که برای من واقعا جذاب و خاص بود اشاره کرد . و اینکه شما میتونید یا دو سیم و یا یک سیم و یک مموری استفاده کنید که خیلی خوبه .
در کل شما از خریدتون پشیمون نمیشید ! هر چند اگر کم حوصله هستید به نظرم همون مدل ساده و فلت بهتر بدردتون میخوره .",5,10,4,3,5,4,5,5
