positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"سرعت پردازش
دوريين خوب
صفحه شفاف
خوش دست","فقط باطري صعيف","من یک ماهه این گوشی رو گرفتم از همه لحاظ مورد تایید هست ، الا باطری ضعیف
در کل راضیم و برا باطریش هم یه پاور بانک گرفتم",1,0,3,4,4,3,4,4
"همه چي",هيچي,"من سه هفته ای هست خریدمش
من نمیدونم چرا میگن باطریش بده اتفاقا قلبلیت شارژ سریع داره از حدود 20 درصد شارژ تا 90 درصد حدود نیم ساعته شارژ می کنه نگه داری باتریشم خوبه
واقعا خوشکله یه بار تو یه اتوبوس یه پیرمردی ازم پرسید چیه گوشیت! واسش خیلی قشنگ بود
میخاستم اول پی 8 بگیرم اما بهتر که اینو خریدم چون حسگر اثر انگشت حالا فهمیدم چه خوب و کارایی داره
همه چی کامل",2,0,4,4,4,4,5,3
"زيبايي
کيفيت
امکانات",باطري,"من سه روزه دارمش عالیه دوسشدارم",1,0,4,5,4,4,5,5
"طراحي و سخت افزار","دوربين غير طبيعي","همه چیش عالیه فقط دوربینش غیر طبیعیه",0,3,4,5,5,5,5,4
"ظاهر به شدت زيبا
فلشر دوربين جلو
حسگر اثر انگشت
جنس بدنه فوق العاده
حافظه داخلي کافي",,"یه گوشی باکلاس و خوشگل
دست طراحش درد نکنه که هرچی هنر داشته خرج طراحی این گوشی کرده
چیزایی که یه گوشی باید داشته باشه:
+دوربین خوب
+فلشر مناسب برای استفاده از کیفیت دوربین در جاهای تاریک
+رم بالا که سیستم بتونه راحت و روون کار کنه (هر گوشی بنا به رابط کاربری یه حدی از رم رو میخواد مثلا HTC با رم دو راحت کار میکنه ولی به صورت موازی گوشی های هواووی و سامسونگ و ال جی باید 3 گیگ رم داشته باشن که این گوشی 3 گیگ رم داره)
+حافظه داخلی بالا (حافظه داخلی یه چیز دیگه است درسته که با مموری میشه حافظه گوشی رو افزایش داد ولی توصیه میکنم اگه حتی مجبور شدید پول بیشتری بدید ولی گوشی با حافظه داخلی بالا بگیرید حداقل 32 گیگ)
+امکان به روز رسانی به اندروید 6
+حسگر اثر انگشت که امنیت گوشی رو میبره بالا (این قابلیت باعث میشه اونایی هم که رمز نمیذارن برای گوشیشون رمز بذارن چون راحت گوشیشون با گذاشتن انگشت باز میشه) کیفیت حسگر انگشت عااالیه راحت انگشتتونو میشناسه فقط کافیه دفعه اول همه نقطه های انگشتتون رو براش تعریف کنید
+در آخر یه باتری خوب هم باید داشته باشه که بتونید از تمام امکانات گوشی به خوبی استفاده کنید
این گوشی همه اینا رو داره و به نظرم هرکی میخواد هزینه کنه یه چیز خوشگل بگیره چون همه گوشیا همه برنامه ها رو راحت اجرا میکنن زیاد درگیر اعداد و ارقام گول زننده نشید که جیبتونو خالی کنن",6,0,5,5,5,5,5,4
"[""طراحي.کيفيت دوربين.سزيع شارژ شدن و تموم نشدن زود باطري""]","[""ندارد""]","با سلام دوستمون که گفتن میت اس گرفتن و سوخت این گوشی نو نبوده و صاحب مغازه بهتون کلک زده .چون کمپانی های معروف بدون بررسی گوشیاشونو نمیفرستن بازار.بنده شیش ماه دارمش قبلا نوت فور داشتم که هم مثل این گوشیم خوش دست نیس کیفیت دوربینش پایینتره گوشیمه و هم داغ میکرد و هم هنگ و رابطه کاربری هواوی از لحاظ اسونی و سادگی خیلی بهترشه بهتون پیشنهاد میکنم که بخرین به شرط اینکه این گوشی رو از جای مطمئن تهیه کنید",4,2,5,5,5,5,5,5
"ظاهر زيبا.رم 64 گيگ
رابط کاربري نه چندان خوب.نداشتن فست شارژ.باتري ضعيف",,"من دو هفته پیش به قصد خرید سامسونگ a7 2016 رفتم ولی هنوز مردد بودم فروشنده تا دودلی منو دید سریع شروع کرد از mate s تعریف کردن و منو قانع کرد که بخرم .همون شب اول دیدم براش اپدیت اندروید 6 مارشاملو اومده و خوشحال شدم شروع به اپدیت کردم از شب تا صبح که اپدیت شد تازه یه مرحله اش تموم شد. اپدیتشو تا روز بعد ادامه داشت تا اینکه یهویی گوشی خاموش شد و دیگه روشن نشد .گوشیو بردم نمایندگی بعد از دو هفته مشخص شد مشکل سخت افزاری داره داره و یه گوشی نو بهم دادن .کارتونشو باز نکرده دادم به همون فروشنده و با 120 تومن ضرر همون گوشی A7 2016 سامسونگ رو خریدم و خیلی هم از انتخابم راضیم",7,7,2,3,3,3,4,3
"صفحه نمايش امولد.دوربين.کيفيت بدنه.امکانات نرم افزاري جالب نظير ناکل تک و...","ميشه گفت باتري اما اونقدا هم نه.","سلام دوستان یه ماهی میشه این گوشی رو خریدم.سریع میرم سراغ اصل مطلب این گوشی واقعا خوبه و تجربه کاربا یک اسمارت فون لوکس رو بهتون میده.صفحه نمایش عالی.دوربین عالی.طراحی خیره کننده.بدنه فلزی که واقعا از دست گرفتن گوشی خسته نمیشید و نمیخاید اونو زمین بذارید.
فقط اگه باتریش قوی تر بود بهتر بود مثلا 3000میلی آمپربه جای 2700اما من شخصا از تمام ظرفیت باتری استفاده نمیکنم یعنی باتریم اکثرا بین 15تا 90هست.اما هر یک ماهی ریست میکنم باتری رو تا عمرش بیشتر بشه.امیدوارم هوآوی تو اندروید نوقا(اندروید7) یکم رو مصرف باتری و بهینه سازی رابط بیشتر کارکنه.درکل اگه میخای بخری شک به دلت راه نده. ببخشید زیاد شد خاستم از همه چی گفته باشم یه جورایی.یاعلی.",4,1,5,5,5,5,5,4
طراحي,"ماندگاري شارژ باطري","به نسبت هزینه و خدمات این گوشی واقعا عالیه",1,1,4,4,4,3,5,3
,,"فقط میشه گفت بهترین",3,2,5,5,5,5,5,5
"طراحي زيبا","داغ شدن گوشي...نداشتن فست شارژ...کمبود لوازم جانبي...باطري نه چندان قوي","یک ماهه این گوشی رو خریدم قبلش s6 سامسونگ داشتم...کیفیت صفحه و دوربین نسبت به ساسمونگ ضعیف تره... تو استتفاده خیلی کم حتی چت کردن هم گوشی داغ میکنه...شارژ شدن گوشی دو ساعت و نیم طول میکشه و خیلی خوب هم نگه نمیداره در روز حتی دو بار هم شارژ میکنم...کمبود لوازم جانبی واسش خاسم کاور بگیرم تا این لحظه که گیرم نیومده... سعی کردم عیب های گوشی رو بنویسم غیر از این موارد هم مشکل دیگه ای نداره",3,3,4,5,3,4,5,3
,,"این گوشی لقب زیباترین طراحی رو در بین پرچمدارهای همرده اش رو یدک میشه خیلی زیباس...",3,2,5,5,5,5,3,5
