positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"سلام من خودم این گوشی رو شیش ماه خریدم....واقعا ازش راضیم",4,0,5,4,4,4,5,3
,,"من که از این گوشی خوشم میاد و بهتون پیشنهاد میکنم",1,0,5,5,5,4,5,4
,,"بسم الله الرحمن الرحیم
دوستان، اگه دنبال یه گوشی هستید که همه چیزش 100% عالیو بدون عیب باشه باید بدین واستون بسازن!!!! چنین چیزی ممکن نیست.... ولی این گوشی گوشی مناسبیه. من دو تاشو خریدم. یه 16 گیگ واسه مادرم. یه 64 گیگ از دیجی کالا واسه خودم. مخلص کلام. توصیه می کنیم....
یا علی",8,0,4,5,4,4,4,4
,,"تنها عیب ضد آب نبودنه
من که ازش خیلی راضی هستم
دوربین، تاچ، اندازش صفحه، عالیییی",10,2,4,4,4,4,3,4
,,"4 ماهی هس که این گوشی رو دارم، تو این چهار ماه هنگی ازش ندیم،حافظه اش واقعا عالیه،صفحه نمایش خوبی هم داره. با اندروید 6 هم مقدار بیشتری شارژ نگه می داره و زودتر هم شارژ میشه(گرچن هنوز شارژ شدنش طولانیه).من که رضایت دارم(گرچند گوشیهای جدید تری از هوآوی هم اومده)",8,2,4,4,4,4,4,4
"دوربين سلفي بسيار قوي همين طور دوربين اصلي و...... که تا فردا صبح ميشه در موردش بحث کرد",,"دوربین سلفی و اصلی این گوشی فوق العادس من 2ماه هست این گوشی رو از دیجی خریدم نسبت به قیمتش خیلی گوشیه توپیه کیفیت تصویرش رو میتونید در تنظیمات صفحه نمایش بیشتر کنید به نظر من P8از P9بهتره من این دو گوشی رو در دیجی مقایسه کردم و کیفیت تصویرP8بالا تر از P9بود من این گوشی رو به کسانی که دنبال گوشی برای خرید میگردن پیشنهاد میکنم .این گوشی از لحاظ نرم افزاری هیچ مشکلی نداره اما ای کاش با همین امکانات صفحه نمایش بزرگ تری برای این گوشی طراحی میشد و یه مشکل دیگه که ممکنه برای خریداران پیش بیاد جا انداختن سیم کارت هست باید کلید رو درون سوراخی فشار بدید تا در باز بشه اگر هم نتونستید کسانی که موبایلی دارن میتونن کمکتون کنن",9,5,5,5,5,5,5,5
"وزن و ضخامت کم و ايده ال اندازه نرمال صفحه 64 گيگ حافظه و 3 گيگ رم","استفاده نکردن از LCD IPS_NEO باطري تقريبا ضعيف جدا نبودن جاي سيمکارت با رم دوربين سلفي و دوربين اصلي کمي ضعيف نسبت به ساير مدل هاي خود شرکت","سلام.دوستان
من تقریبا بعد از چهار ماه تحقیق برای خرید گوشی اقدام کردم و اوایل میخواستم SAMSUNG GALAXY J7 2016رو بگیرم ک بعد همین طوری داشتم تو برنامه دیجی کالا میگشتم ک چشمم به HUAWEI HONOR 7خورد ک تقریبا با کمی ترس و ریسک از دیجی کالا اونو خریدم و واقعا الان ک حدودا 6 روز میگذره فوق العاده ظاهر شده ولی واقعا دوستان این گوشی اصلا بصرفه نیست به نظرم آنر7 بهتر هستش اگ خودتون یه نگاه به مبلغ و کارایی این دو گوشی بیاندازید متوجه میشید ک اون گوشی بهتره و فقط به نظرم تو آنر 7 نبود NFC و لرزشگیر اپتیکال کمی نگران کننده است ک زیاد نگران نباشید موفق باشید
ممنون",2,10,3,5,5,5,4,3
,,"گوشیه بی عیب و نقصیه",1,2,5,5,5,5,5,5
"[""دوربين بسيارعالي""]","[""باتري. ""]","سلام دوستان من این گوشی را2ماه پیش از همینجا خریدم
برادرم پی 8مکس خرید ک خیلی از این گوشی بهتره
اگه زیاد باگوشی کارمیکنی یا استفاده اینترنتت زیاده این گوشی جواب کار رانمیده و
باید دوباردرروز شارژش کنی.
باقابلیتهای زیاد ی که این گوشی داره باتریش مناسب نیست
اهان داشت یادم میرفت یه عیب بزرگ دیگه ای که داره خاموش شدن صفحه درحین نمایش فیلمه که همش باید روی صفحه کلیک کنی که روشن بمونه",4,14,2,4,3,3,5,4
"همه چيزش",نداره,"راضیهستم کامل",4,0,5,5,5,5,5,5
زياد,نديدم,"مدت زیادی دنبال یک گوشی 64 گیگ مناسب بودم الان هم حدود 6 7 ماهی است که خریدم و از خریدم راضیم
من رنگ مشکی اش را می خواستم که نبود ولی طلایی هم قشنگه
دوربینش واقعا خوبه قابل رقابت با سایر گوش های برند روز قیمت بالا
کیفیت صدا هم توی مکالمه و هم رسانه خوبه
خوش دسته
توسط به روز رسان خود گوشی به اندروید 6 هم آپدیتش کردم به راحتی بعد از آپدیت خیلی از قابلیتها بهتر شد
الان 32 گیگ از 64 تا حافظه مشغوله تعداد زیادی اپلیکیشن روش نصبه به راحتی هرچه تمامتر کار میکنه
اگر بین برندها مردد هستید توصیه می کنم بخرید",4,1,4,3,4,5,4,3
"سخت افزار و LCD خوب و عالي","تا الان که چيزي نديدم","اینو برای خواهرم گرفتم و مزایاش : سخت افزارش خوب و عالیه ، قیمتش توی شگفت انگیز عالی بود ، دوربینش توی روز کیفیت خیلی خوبی داره ، از لحاظ ظاهر هم خیلی خوب و خوش دسته و تاچ قوی ای هم داره در کل توی این رنج قیمت بهترینه یه چیزی هم بگم اونم اینه که من یه زمانی طرفدار پر و پا قرص سونی بودم و زمانی که Xperia Z اومد خریدم و شدیدا به همه پیشنهاد میدادم ولی بعد یک سال به شدت پشیمون شدم ، گوشی های سامسونگم دست دوستام دیدم و اینکه منظورم از اینهمه مقدمه چینی این بود که با اکثر برندها کار کردم و حتی خودم الان ماکروسافت دارم و روی هیچ برندی هم تعصب ندارم ولی بعد تحقیقات فراوان به این نتیجه رسیدم که این گوشی توی این رنج قیمت مخصوصا شگفت انگیز عالیه و پیشنهاد میکنم.",5,0,5,4,5,4,5,4
[],[],"این گوشی عالیه.یعنی اینکه کلا یک بسته ی کامله.دوریین خوب.سخت افزار مطلوب. و....ولی میشه با این پول به گوشی های قدر دیگه مثل z3 plus.z5. lg g4هم نگاهی انداخت . ولی در کل گوشیه خوبیه",6,5,4,5,5,4,4,4
,,"سلام بر دوستان من این گوشیو کادو براى پدرم خرید و دیدى که از کاراییش داشتم
بهتره با این پول یه galaxy s6 یا galaxy s5 گرفت
و البته اگه بخواهین با این مبلغ s6 بخرید باید دست دوم تهیه کنید
ولى براى کسانى که عشق به هو اوى دارند این موبایل یکى از بهترین گزینه هاس",1,7,3,3,3,3,3,3
,,"اقا تو که حالا a5 2016 خریدی چرا الکی در باره این گوشی بد میگی اصلا a5 2016 در حدی نیست با این گوشی مقایسه بشه که تو میگی رقیب اصلا a5 2016. honor 5x. honor shot x. و huawei g8 هس پس الکی از رو تعصب برند چیزی نگو",7,3,4,3,3,3,3,3
"[""همه چيزش عاليه""]","[""ضعف باتري""]","من این گوشی را حدود دو ماه میشه خریدم واقعا گوشی خیلی خیلی خوبی است نه داغی نه هنگی 500 تا برنامه نصب کردم . ازنظرظاهر هم خیلی زیباست مخصوصا رنگ طلاییش . فقط یه کم باطریش ضعیفه",9,0,3,3,3,3,3,3
"کيفيت بالا","پايين بودن کيفيت دوربين سلف","به نظر من بسیار ظاهر زیبایی دارد",5,2,4,4,3,3,5,5
,,"واقعا نداره ارزش خرید
باتری ضعیفه
صفحه نمایشش خوب نیست
خلاصه که همینa5(2016)به نظرم بهتره تا این",1,35,1,4,2,3,3,2
[],[],"شما با همین پول میتونید محصولات با صرفه تری بخرید",2,16,3,3,3,3,3,3
[],[],"از من میشنوین نخرید خریدم خود به خود ال سی دیش خراب شد بعداز یک ماه تعمیرم کنی یاز عیب میده",1,22,4,5,4,5,3,4
"[""3گيگ رم وcpu قوي""]","[""ندارد""]","تو یه ماهی که دارمش واقعا فوق العادس کیفیت تصویرHD سرعت پردازش فوق العاده بالا دوربین بسیار باکیفیت به نظر من از همه گوشیهای موجود تو بازار بهتره تو خریدش شک نکنین بخرید وحالشو ببرید",8,1,5,5,5,3,3,4
"[""سخت افزار قوي ""]","[""با مقايسه با A5 2016 کمي ضعف دوربين و صفحه نمايش و باطري داشت""]","اول بار گوشی که انتخاب کرده بودم A5 2016 بود ولی وقتی این گوشی رو دیدم گفتم اینکه سخت افزارش دو برابر اینه
دوربینشم بالاتره جلوش
ولی تنها چیزی که جلومو میگرفت از خرید این گوشی مارکش بود که هووای بود
من طرفدار سامسونگم و از هووای خوشم نمیاد
ولی خوب بد جو دو دل شده بودم
تا بالاخره A5 2016 رو خریدم یک هفته بعد هم دوستم هووایی P8 رو خرید
واقعا وقتی دوربینشونو مقایسه کردم A5 2016 یه سرو گردن بالا تر بود
باطریشونم هم همینطور سامسونگ یه سرو گردن بالا تر بود
سخت افزار هم که از هر دوشون هنگی ندیدم و بازی دیتا دار نصب کردم ولی هر دوشون بدون مشکل اجرا کردن و لگ نداشتن
ولی صفحه نمایش سامسونگ یه سرو گردن واقعا عالی تر نشون میداد
و الان من واقعا راضی هستم از A5 2016 مخصوصا الان که به اندروید 6 اپدیتش کردم
هر باشه سامسونگه دیگه",4,27,3,1,1,2,3,1
"[""همه چي""]","[""هيچي""]","گوشیه خوبیه",2,0,5,5,5,5,5,5
"[""کيفيت مکالمه وعکس وفيلم بالاس""]","[""باطري ضعيفه ""]","گوشیه خوبیه من چند روز پیش برای مادرم خریدم که ازش راضیه وبا تشکر از سرویس دیجی کالا که خیلی به موقع رسید",3,1,3,3,3,3,3,3
"[""کيفيت ساخت""]","[""ندارد""]","گوشی خوبیست پیشنهاد می کنم نسبت به خریدش اقدام کنید
متشکر",7,5,5,4,3,3,3,5
"خوش دست بودن امکاناتش سرعتش دوربين",,"تو خریدش شک نکنید",7,2,5,5,5,5,5,5
,,"یک ماهه ک این گوشی رو خریدم. قبلا گوشی های زیر یه تومن داشتم. دوربینش برام م مهم بود و وقتی مقایسه دوربینش با آیفون اس 5 رو دیدم واقعا مجاب شدم بخرم. به ظاهر گوشی و سرعتش خ اهمیت میدم ک رنگ گلدش رو دارم و راضی م گر چ مشکی رو ترجیح میداذم. به لحاظ سرعت پردازش حس میکنم نسبت ب سامسونگ های هم رده ش یا ی نسبت خیلی کوچیک، کندتره کمی. باتری قابل توجهی هم نداره. صفحه نمایش هم سایزش مناسبه اگر بزرگتر بود خیلی بهتر بود. حافظه داخلی هم خیلی خوب.",7,4,4,5,3,5,4,2
"[""همه چيز جز باطري""]","[""باطري""]","سلام.دوستان من 8 ماه این گوشی رو دارم روزی که تازه اومد خریدم یک ملیون هفتصد،نه طرفدار برند خاصی هستم نه از گوشی خاصی طرفداری میکنم،چون عاشق گوشی هستم اکثر پرچمدارهای گوشیها رو تو 5 سال اخیر داشتم،قبلا هم که گوشیهای دیگه ای مد بود.بگذریم من تو این هشت ماه با 40 گیگ برنامه و بازی و نرم افزار های پر حجم نه لگی نه ضعفی واقعا فوق العادست دوتا 16گیگش رو برای پدرم و داداشم گرفتم .از همه لحاظ عالی بدنه،زیبایی،رام،رم،هشت هسته ای،دوربین پشت و سلفی عالی فقط دیر شارژ میشد و زود شارژ خالی میکرد یه فست شارژ خریدم .کلا مشکلم حل شد ،الانم p9 خریدم عالیه ولی به نظر من زیبایی p8 یه چیز دیگه است.ببخشید سرتون رو درد آوردم،اگر مفید بود بزنین لایک رو
تشکر از دیجی کالا",94,9,5,5,5,5,5,5
[],[],"این گوشی با این قیمت میتونست بهتر باشه ولی نیست این باید اثر انگشت داشت و امکانات دیگر",17,8,5,5,2,5,3,5
[],[],"از نظر زیبایی حرف نداره سی پی یو خیلی قوی جی پی یو خوبه نمایشگر ای پی اس نعوو که زاویه دید رنگ عالیه بالاترین سوعییچ انتن دوتا بالا یکی پایین که تا به امروز بی رقیبه دوربین با کزفت خیلی خوب و چهار رنگ با قابلیت های زیاد مثل عکاسی از نور و... اگر حسگر اثر انگشت داشت بهتر میبود ارزش خرید نسبت به قیمت تمام شده خوبه کسایی که با هواوی کا نکردن بدونن از کیفیت اصلا کم نمیاره واین حرفا که هواوی بعداز یه مدت ضعیف وکند میشه یه دروغ محضه لطفا پولتونو که با زحمت بدست میارید برای برند ندید حداقل گوشی رو بذ حسب نیازتون بخرید و مصرف باتری در اندروید 6 خیلی بهتر شده موفق باشید ولایک کنید بیشتر خوانده بشه شاید بدرد کسی بخورد",41,2,3,3,3,3,3,3
"[""همه جا ""]","[""نور صفحه در روشنايي روز""]","عالی نسبت به قیمت وسیستمش عالیست اگر این گوشی طراحی سامسونگ بود قیمتش بالاتر بود .
این گوشی عالی است",11,2,5,5,5,5,3,5
"هميش خوبه به نظرم","فقط باتري ضعيف","سلام و دورد من مدتی این گوشی خریدم حدودا 2 هفتس همیش خوبه و رون ولی از لحاظ باتری کمی ضعیفه اگر باتریش 3000 ملی امپری بود بهتر بود من گاهن با استفاده مداوم تا 2 دفه در طول روز دو دفه هم شارژ کردم
در کل گوشیه خوش ساخت و خوبیه ولی واسه کسانی که عاشق نت گردی با بازی نیستن به نظرم خوب نیس",4,1,4,5,5,5,5,4
,,"گوشیه خوبیه",4,2,4,4,4,4,4,4
"قيمت تقريبا مناسب",,"در مقایسه با سایر برند ها باید گفت قیمت منطقی دارد.
برند سونی و هووآوی قیمت های منطقی دارند.
برند سامسونگ خیلی زیادی و الکی گران است.چرا؟ چون مردم توسط رنگ های اشباع شده LED جذب میشن.در حالی که کیفیت عکس و ویدئو های سامسونگ داخل کامپیوتر یک دنیا کمتر از داخل گوشی است.",9,4,4,3,4,4,5,3
"[""اين گوشي فيلم برداري قوي داره "",""رم بالاي ان بي نزير""]","[""اگر پنج و نيم اينچ بود بهتر بود""]","من خودم این موبایل هوشمند دوست دارم و بنظر من قابل رقابت با z4وs5است",6,5,4,5,3,5,5,4
"[""ظاهر\nسبکي\nرم خوب\nحافظه خوب\nصفحه نميش خوب\n""]","[""باتري\nنداشتن سنسور چشمي صفحه نمايش""]","ین گوشی رو یه ماهه گرفتم برای دوستان بگم که از لحاظ زیبایی عالیه از لحاظ سبک بودن عالیه از لحاظ کیفیت صفحه نمایش عالیه از لحاظ سرعت هم عالیه اما...
دو عیب اساسی داره اول اینکه سنسور چشمی صفحه نمایش نداره برای اوناییکه مثلا برا خواندن اخبار یا متن میخان ایتفاده کنن بگم که من خودم بخاطر این موضوع خیلی اذیت میشم . هی باید صفحه نمیش رو لمس کنین .
دوم باتریشه که من تا عصر بیشتر دوام نداره . بگم که خیلی هم باهاش توی نت هستم . البته نور صفحه نمایش رو کم کنین بهتر میشه ولی نه خیلی
در کل اگه توی این رنج قیمت و زیبایی خیلی ایده ال هست
اگه بزارین روش سامسونگ بهتر",3,8,3,3,3,3,3,3
,,"سلام...
اگه رنگ خاکستری موجود بشه و یه هدیه هم روش بذارین درجا خریدمش...",5,2,3,3,3,3,3,3
,,"سلام دوستان
اگه تو این رنج قیمت خرید دارید ، شک نکنید و این گوشی رو بخرید
طراحی ظاهری و جنس بدنه تمام فلزش عالیه
حافظه داخلی 64 و دوربین سلفی 8 !!!
8 هسته و رم 3 !!!
مگه داریم با این قیمت؟
قبل از این گوشی p7 داشتم که خوب بود ام این عالیه
ممنون از دیجی کالا
چون قیمتش از نمایندگی هوآوی پایینتره",5,3,5,5,5,5,5,4
"[""قيمت مناسب "",""طراحي عالي"",""دوربين با کيفيت"",""کاربري آسان""]","[""باتري متوسط""]","این گوشی فوق العاده شیک و مدرن طراحی شده همه چیش عالیه به جز باتریش که اونم خوبه",4,2,5,5,4,5,5,4
"طراحيه زيبا، نرم افزار قوي تقريبا بدون هنگ ، کارکرد بسيار راحت در کل ظاهر خوبي داره","باطري ضعيف، سخت افزار بسييييار ضعييييف يعني با ي پخ ميشکنه مثلا بدنه فلزه ولي دست بش ميزني غر ميشه، در کل خيلي ضعيف و غير مقاوم براي استفاده س ماه خوبه نه بيشتر","به نظر من الان پیدا کردن ی گوشیه خوب خ سخته من چندین مدل گوشیه هوآوی و گرفتم تا ب ی سریا ثابت کنم گوشیه خوبیه ولی متاسفانه ک متضرر شدم ب دلیل اینکه انقد گوشی های هوااوی ضعیف ک فقط ب ظاهر و زیبایی توجه کردن اصلا ب این توجه نکردن بنده خدایی ک میخره حداقل ی سال استفاده کنه هنوز یکسال نشده من س مدل هواوی خریدم همشون ضعیف بودن الان از بس ک عصبانی بودم دیشب گوشیمو از تعمیرگاه گرفتم p8دارم در حال حاضر لایتشم داشتم و میت هم داشتم،
خ ارومو با فاصله نیم متر از دستم افتاد کلا سیستمش ریخته بهم ال سی دی ش ک شکست هیچی تاچشم دیگه کار نکرد دادم درتش کنند دوتا ال سی دی عوض کردن تا کار کرد الان فقط تاچ کار میکنه ولی کل گوشی قاطی کرده کیفیت نداره دوربین کار نمیکنه....
خلاصه عصبانیم چون ی ماه گشتم تا انتخابش کردم ولی بازم آب دوغ خیاری بود
هوآوی نخرید",6,25,3,3,3,3,3,3
,,"سلام حدود یک هفته هستش این گوشی رو گرفتم، نه تنها بخاطر قیمت مناسبش ارزش بالای خرید داره بلکه واقعا گوشی با کیفیتی هستش و تقریبا بگم هیچ ایرادی نمیتونی ازش بگیری- ممنون از دیجی کالا ، چون نمایندگی هوآری تو بازار مبایل قیمت این گوشی رو گرونتر از اینی که من خریدم قیمت میده",3,1,5,5,5,5,5,4
[],[],"لطفا رنگ مشکیشو موجود کنید",4,1,3,3,3,3,3,3
,,"آقا لطفا یا پیشنهاد شگفت انگیز بذازین یا تخفیف بدین . تورو خداااا",9,0,5,5,5,5,5,5
,,"دیجی خواهشا رنگ خاکستریشو موجود کن
این قیمتی که گذاشتی عالیه خاکستری یا نقره ای شو موجود کن بگیرمش...
مرسی",3,0,3,5,5,5,4,4
