positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
[],[],"لطفا زودتر موجودش کنید.......",6,0,3,3,3,3,3,3
"رعايت حقوق مصرف کننده در اکثر موارد توسط اين سازنده","ساده بودن اين نوع گوشيها مورد اقبال خيلي از افراد نو انديش نميتواند قرار بگيرد","فکر میکنم اهل فن بتوانند تاریخ هجری شمسی را نیز مانند مدلهای خیلی قدیمی تر در این نوع گوشی هم بریزند-البته چنانچه حال وحوصله این کار را داشته باشند.
ضمنا از شما انتظار داریم( به زودی) را (در مورد موجود شدن این گوشی) به اندازه ی به زودی ماشین اصلاح wall طولانی نکنید-انشاءالله موفق وسرفراز باقی بمانید.",3,0,5,3,3,4,3,3
"[""صفحه کليد خوب. صداي واضح. پخش ويديو و mp3. ذخيره خوب. چه رم چه باطري عاليه. انتن دهي عالي ""]","[""عکس و برنامه نتونستم توش بريزم""]","هرچند دیجی کالا نیاوردش ولی از بیرون خریدم یکماست باهاش دارم کار میکنم. عالیه",3,0,3,3,3,3,3,3
,,"من 3 عدد سفید میخواهم",4,0,3,3,3,3,3,3
,,"موجود کنید",6,0,3,3,3,3,3,3
,,"این گوشی خیلی عالیه از هر نظر هم از نظر طراحی ظاهری و امکانات گوشی نسبت به خیلی گوشی های ساده دیجی کالا لطفا این گوشی رو موجود کنید مخصوصا رنگ سفیدش چون اینجا تو بازار رنگ سفیدش پیدا نمیشه همش هرجا میری سیاه رو دارن ممنون",8,1,5,4,4,5,5,4
"قابليت کار با گوشي همزمان با پخش موزيک
داراي Reminder","عدم قابليت تايپ فارسي در حالت منو انگليسي
کيفيت بسيار ضعيف صفحه نمايش
منو‌هاي تو در تو و عدم توانايي تغيير کار کليدهاي جهتي و...
عدم توانايي ثبت دو شماره براي يک مخاطب
صداي مکالمه و اسپيکر مکالمه بسيار بي کيفيت","دوستان عزیز، بنده این گوشی رو چندروزی هست استفاده می‌کنم، نسبت به نزدیک‌ترین رقیبش از لحاظ قیمت در برند سامسونگ که همون Samsung B310E باشه مقایسه کردم بیشتر:
علاوه بر موارد بالا که در قسمت «نقاط قوت و ضعف» گفتم، باید به چند مورد دیگه هم اشاره کنم:
- این گوشی با اینکه مموری میخوره هیچ‌گونه فایل منجری نداره و فقط میتونه موزیک و ویدیو‌های توی مموری رو بخونه (حتی عکس هم نه، یعنی شما بجر اون ستا عکس پس‌زیمنه که تو تنظیمات هست، دیگه عکسی نمیتونید تنظیم کنید)
- برای پاک کردن هر مسج باید تک تک مسجارو باز کنید و بعد حذف کنید
- منو‌ها خیلی تودرتو طراحی شده و در نتیجه برا یه کار ساده باید چنجا دور بزنید تو منو
- اسپیکر مکالمه در مقایسه با مدل سامسونگ مشابه اصصصلا قابل مقایسه نیست (با توجه به اینکه توقع از یه گوشی ساده فقط مکالمه و مسج هست و اگه همین دوتا هم بد باشه دیگه هیچی دیگه!!!)، علاوه بر اینکه همون اول کیفیت زیاد جالب نیست، به زودی هم اسپیکرش خراب میشه و تو گوشتون وز وز می‌کنه
- با توجه به باتری سنگین و مثلا قویش، اصلا با رقیب سامسونگش که 800میلی‌آمپر باتری داره، قابل مقایسه نیست.
- چراغ قوه رو هم گه متاسفانه گذاشته پشت گوشی و فقط وقتی صفحه‌کلید باز شد با دوبار کلید جهتی بالا باز میشه و در حالت صفحه خاموش چراغ روشن نمیشه (که میتونه مزیت هم باشه)
و...
خلاصه به نظر من اگه یه گوشی مناسب میخواید من بهتون Samsung B310E رو پیشنهاد می‌کنم که هم کمی ارزونتره، هم شیکتره (به نظر من)، هم نازکتره، هم شارژدهیش بهتره، هم به عنوان یه گوشی بیزنس و فقط مخصوص مکالمه، مسج و موزیک خیلی بهتر تحلیل و طراحی شده.من جفتشون رو همزمان تست کردم.",1,3,2,1,1,1,2,0
,,"با سلام و خسته نباشید
لطفا گوشی را موجود نمایید.
ما همچنان در انتظاریم.
با تشکر",6,0,4,2,2,3,3,2
"سبک بودن و پخش موسيقي","کيفيت پايين","این گوشی رو چند روزه خریدم و کاملا پشیمونم . اولش که خاستم دو سیم کارت همزمان با همداشته باشم لیست شماره ها اصلا نشون داده نمیشد و هیچ شماره ای رو هم نمیتوستم ذخیره کنم. برای همین اپدیت کردم و درست شد ولی با اپدیت زبان فارسی به طور کامل از روی گوشی حذف شد . حتی اگه پیامک فارسی برام بیاد نمیشه خوند. به جای حروف فارسی مربع نشون میده. اینها نشون میده که این گوشی پر از ایراده. موسیقی رو هم نمیشه جلو عقب کرد . SEEK نداره",1,3,0,0,2,3,2,0
"خوبه در کل ولي...",اعلانهاش,"عارف جان هرکاری کنی در زمان قفل صفحه باز یه خط از پیام و اسم فرستنده رو نشون میده.
میسکال هم داشته باشی اسمشو نشون میده.
من نمیدونم پس این قفل صفحه به چه درد میخوره!!",3,0,3,3,3,3,3,3
,,"با سلام.اینکه پیامک رو حتی در زمان قفل صفحه نمایش میدهد آیا در تنظیمات نمیشود این مشکل را حل کرد؟و چند ثانیه نمایش میدهد یا دائم رو صفحه میماند؟",1,1,3,3,3,3,3,3
,,"امکان مخاطب سریع داره؟
لطفا هر کی داره جواب بده برام خیلی مهمه",1,0,0,0,0,0,0,0
,,"سلام
چند پرسش:
1- یادآور داره؟ چند تا؟ میشه براشون عنوان گذاشت؟
2- تقویم داره؟ میشه توش یادآور هم ذخیره کرد؟
3- ضبط مکالمه هم داره؟
4- قفل صفحه کلیدش چه نوعی هست؟ رمزی ، دو کلیدی یا . . .",1,0,0,0,0,0,0,0
,,"من که رفتم از بیرون خریدم زیر مودمم علف سبز شد از بس وایسادم تا دیجی بیاره",11,0,0,0,0,0,0,0
,,"تو رو به خدا موجودش کنید.
منتظرشم.",8,0,5,5,5,5,5,5
,,"خواهشاٌُ تو همین هفته موجود کنین.میبینین که خیلی درخواست داره.",8,0,5,5,5,5,5,5
,,"منتظریم تا موجود بشه بخریم از دیجی کالا",8,0,0,0,0,0,0,0
,,"اولین نظر در مورد این گوشی مربوط به 1/4/94 هست و الان هم 14/6/94 یعنی نزدیک به سه ماه هست که این گوشی موجود نشده!!! میخواستم ببینم دقیقا کی موجود میشه چون برای من خیلی مهمه که این گوشی رو از دیجی کالا بخرم. ممنون",4,0,0,0,0,0,0,0
,,"با سلام، لطفا نوکیا 222 رو هم موجود کنید. در قسمت اخبار دیجیکلا خواندم که عرضه شده.",0,0,0,0,0,0,0,0
,,"در ضمن یادم رفت بگم حدود 40 ساعت هم برای موزیک گوش دادن جواب میده.",1,0,0,0,0,0,0,0
,,"من به عنوان mp3 پلیر (و چراغ قوه) ازین گوشی استفاده میکنم... بدون سیمکارت هم کار میکنه... کیفیت صدای خروجی از فیش 3/5 میلیمتری هم عالی هست و اصلا فرقی با یک گوشی گران نداره... در ضمن وقتی فیش هدفون تا انتها داخل بره با یک صدای کلیک سر جاش قفل میشه.",0,1,0,0,0,0,0,0
,,"من میخوام به عنوان mp3 استفاده کنم ازش.بدون سیم کارت هم کار میکنه
چند ساعت موسیقی پخش میکنه.کسی که داره لطفا جواب بده.",0,1,0,0,0,0,0,0
,,"لطفا موجود کنید کلی می خوام",3,0,5,5,5,5,5,5
,,"سلام
من خریدمش
دو سه روزه
در نگاه کلی خوش دست و زیباست
کار کردن باش خیلی عذاب آور نیست
ولی همونطور که دوستان هم گفتن مدیریت فایل و تقویم شمسی نداره که به نظر من یه مقدار تو ذوق می زنه
ولی در کل گوشی بدی نیست",4,0,0,0,0,0,0,0
,,"فلش داره ولی دوربین نداره",1,1,0,0,0,0,0,0
,,"از دیجی کالا درخواست موجود کردن گوشی های بدون دوربین با کیفیت را داریم. مرسی.",4,0,0,0,0,0,0,0
,,"لطفا موجود کنین میخام بخرم",0,0,0,0,0,0,0,0
,,"لطفا سریع موجودش کنید و ببریدش تو پیشنهاد ویژه",0,0,0,0,0,0,0,0
,,"سلام دیجی جون
منتظرم..
کی این گوشیو میاری؟
تو بازار هس ولی ب کیفیت شما نیستن..",1,0,0,0,0,0,0,0
,,"منو فارسی داره ولی اکثر گوشی های بازار به علت اینکه به سفارش ایران نیستند تقویم شمسی نداره
شارژر یو اس بی میخوره که یه مزیت بسیار بزرگه
کیفیت مکالمش خیلی بده
سبک و مصرف کم
بقیشو دیگران متذکر شدند",1,0,0,0,0,0,0,0
,,"بدنه بسیار بی کیفیتی داره طوری که به راحتی روش خط میفته
کیفیت مکالمش خوب نیست",0,0,0,0,0,0,0,0
,,"آقای جاوید عزیز اگر دوباره نظرم رو البته با دقت بخونید متوجه میشید که من فقط عدم نمایش میس کال یا همون تماس از دست رفته رو زمانی که گوشی قفل هست رو نگفتم،بقیه موارد همه قید شده!!!
البته همه این مواردنرم افزاری هست و از ارزش این گوشی چیزی کم نمیکنه، و هرگز مثه گوشیهای چینی نیست هم از لحاظ کیفیت ساخت و استراکچر و هم از لحاظ طراحی نرم افزاری ،مخصوصا"" فونت گوشی!!!",0,0,5,5,5,5,5,5
,,"با سلام
طبق گفته های آقای یزدی
مزایا را بیان کردم ولی از معایب چندتا رو بیان نکردن
معایت:
شارژر سه شاخی هست
چند کلمه اول پیام دریافتی رو نشون میده،حدود نصف خط رو
فقط سه پس زمینه داره و متاسفانه این هم قابلیت افزودن نداره
بخش مدیریت فایل نداره
اگه کسی تماس بگیره و ما متوجه نشیم علامت معروف میس کال رو نشون نمیده و باید کد حفاظتی رو وارد کنی تا نمایش بده که آیا کسی تماس گرفته یا نه
در کل من از خریدش پشیمون شدم . انگار گوشیای چینی هستش و اصلا فکر نمیکنی داری با نوکیا کار میکنی",3,0,0,0,0,0,0,0
