positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"دوربين عالي و ساخت عالي و آندرويد خام و سال‌ها پشتيباني و....","قيمت بسيار بالا","از هر نظر عالی هست فقط دیروز با قیمت نجومی بدون گارانتی و...وارد بازار شد قیمتش یا آیفون 7 پلاس 128 برابر است که این پاشنه آشیل برای این گوشی عالی هست",0,0,3,3,3,3,3,3
,,"بعد از دست گرمی هایی که گوگل با ساخت مشارکتی نکسوسها با کمپانیهای بزرگ داشت و خودش رو آماده نبرد با دست پخت اختصاصی خودش میکرد و کسب تجربه ای که داشت , حالا ساخته دست خودش رو با دو دستگاه قدرتمند به بازار سنگین و نزدیک اندرویدیها معرفی کرد . به نظر روی کاغذ شروع قدرتمندانه و امیدوارانه ای به نظر میرسه . واحتمالا موفقیت بالاتری رو نسبت به نکسوسها تجربه خواهد کرد.همه چیز در xl در بالاترین سطح استاندارد سال 2016 قرار داره ,یک پرچمدار واقعی . از بهترین تراشه پرچمدارای اندرویدی تا دوربین قوی , صفحه نمایش Quad Hd , باتری قوی , رم قوی , امکانات کامل که اگه در مورد هر کدوم بخوام توضیح بدم کلی باید حرف بزنم و از همه اینها مهمتر شما در مورد گوشی پرچمدار گوگل حرف میزنید این یعنی با رگبار آپدیتهای متعدد و بهینه سازیهای متعدد نرم افزاری از سوی توسعه دهنده اندروید یعنی گوگل مواجه هستید . وقتی از اندروید صحبت میشود شاید بیشترین ایراد به باگها و ضعفهای بهینه سازی و آپدیتهای کوتاه مدتی که بهترین کمپانیها هم حتی بیش از 2 تا 3 سال نرم افزار اندروید دستگاه ها را به روز نمیکنند . برخلاف پشتیبانی نرم افزاری ios ها . اما خبر خوب وجود pixel است و مشکل آپدیتی وجود ندارد . در واقع اولین آپدیت اندرویدها برای pixelها خواهندآمد و دستگاه همیشه به روزی را در اختیار خواهید داشت و این پشتیبانی قطعا با توجه به تجربه نکسوسها طولانی خواهد بود.",0,0,4,5,5,4,4,4
"جابجايي اطلاات با ايفون بصورت خودکار
google assisst فوق العاده
اندرويد 7","ميتونست بقل هاش تراشخورده تر باشن","این خیلی گوشیه خوبیه اما سعی نکنید با گوشیه های اندویدی هم رده مقایسه بشه این گوشی که اولین مدل گوشی گوگل به تنهایی بوده برای تصاحب بازار ایفون به بازار اومده من بر این باورم که میتونه با هم رده هاش رقابت کنه اما نه برای مدت طولانی اما همینکه میزان 50% ایفون رو خیلی کم میکنه جا رو برا گوشی های اندرویدی باز میکنه خداحافظ آیفون",1,2,2,5,4,2,5,4
,,"دوستان عزیز لطفا اگه اطلاعات کافی ندارید اطلاعات اشتباه به مردم ندید. اولا طراحی یه چیز سلیقه ییه و اگه از نظر شما زشته دلیل نمیشه گوشی زشتی باشه. دوما اون دوست عزیزی که میشگه s7 سریع تره لطف راجبه پردازنده گوشی و سیستم عامل گوشی و فیلم های مقایسه ایی یه تحقیقی کنه. دل کل یکی از 3 گوشی برتر اندرویدیه این گوشی. بیاید با تعصب نسبت به یه سرکت خاص نظر ندیم",2,1,4,5,5,4,2,3
,,"واقعا متاسفم این همه نظر گذاشتن ولی اصلاً تفاوت اساسی گوشی گوگل را با بقیه آندرویدی ها، نمیدونن، بقیه گوشی های آندرویدی مثلاً زیبا حداکثر تا 2 سال آپدیت میشن اونم فقط پرچمدارها ولی گوشیهای گوگل مثل نکسوس و حالا پیکسل تا سالها از طرف کوگل پیشتیبانی میشن،بحث دوربین عالیش و.... بماند",4,0,3,3,3,3,3,3
,,"واقعاً به معنای واقعی کلمه زشته!
مقایسه این با گوشی هایی مثل z5 premium, iphone 6s plus مثل مقایسه آفتابه با ههواپیماس!
ایکاش یک ذره زیبا بود",2,11,0,0,0,3,3,0
,,"شاید از نظر سرعت کمى ضعیفتر از بقیه رقبا باشه ولى توى مولتى تسکینگ کم نیاورده",0,8,4,5,5,5,3,4
"همه چي","به جز نداشتن شارژ بيسيم","دوستان همین که فضای ابری رایگان داره خیلی خوبه تازشم محددیت نداره. من اعتقاد دارم گوشی موفقی هست",3,0,5,5,5,5,5,5
,,"اول فکر میکردم این گوشی سریع ترین گوشی اندرویدی باشه ولی وقتی تست سرعتش رو با s7 دیدم ، از لحاظ سرعت ضعیف تر بود.",1,11,4,4,4,4,4,4
,,"اینو بدونید بی شک میتونه بهترین اندرویدی باشه گوگل تا حالا شرکت های اندروید رو ساپورت میکرد و گاهی نکسوس میزد اما الان خودش گوشی سازی رو راه انداخته و الان بین این موندم که وایسم این بیاد بخرمش یا برم Apple 6s بخرم",3,5,5,5,5,5,5,5
,,"این گوشی حالا حالاها قرار نیست موجود بشه با توجه به طرحه رجیستری و این که گوگل فروشگاه یا نمایندگی نداره تو ایران و برخلاف نکسوس ها این گوشی مستقیما توسط خود گوگل به فروش میرسه احتماله این که هیچ وقت موجود نشه هم هست حتی",2,6,3,5,5,5,3,4
,,"گوشی خوبیه",3,1,5,5,5,5,0,5
"اندرويد نوقا
ساخته شده توسط گوگل
وزن مناسب
تراشه کوالاکوم اسنپدراگون 821",,"چیز خوبیه از لحاظ تراشه قوی تر از lg g5 هست ولی بازم g5 از لحاظ اقتصادی بودن از این بهتره ولی باورم نمیشه که دیجی کالا اینو میخاد بفروشه",2,4,3,5,4,5,4,5
"ظرفيت128 گيگ
شارژسريع 15 دقيقه شارژ و 7 ساعت استفاده
اندرويد 7.1
مجهز به اثر انگشت
دوربين 2.3 اينچي","نبود حافظه جانبي",عااااااااااااااالی,4,1,5,5,5,5,5,5
,,"من میخواستم هواوی 6p رو بخرم، وقتی فهمیدم سری جدید در راه هست منتظرش موندم
الان هم مشتاق هستم که این گوشی رو خریداری کنم ... کلا هیچ چیزی مثل اندروید خام گوگل نمیشه",12,3,3,3,3,3,3,3
دوربين,,"سلام. خیلی این گوشی به دلم نشسته ؛ فوق العاده هست! اگر بودجه شو دارید حتماً باید جزو انتخاب های جدی خودتون قرار بدید!!",8,1,5,5,5,5,3,5
"پردازنده اسنپدراگون 821
رم 4 گيگ
دوربين فوق العاده
جديدترين نسخه اندرويد
USB TYPE-C","نبود لرزش گير اوپتيکال
نبود درگاه کارت حافظه
طراحي نسبتا بد
نبود شارژ سريع","با سلام
تاریخ 13 مهر بود که این گوشی طی مراسمی توسط گوگل معرفی شد
گوگل بر این ادعا بود این گوشی و برادر کوچکترش اولین گوشی های گوگل هستن که طراحی و توسعه نرم افزار و سخت افزار آن و هماهنگی بین آنها توسط گوگل صورت گرفته پس میتوان انتظار داشت اولین گوشی اندرویدی که میتونه رقیبی جدی برای آیفون های اپل با سرعت فوق العادشون باشه و گوگل گفته اولین گوشی اندرویدی که کمترین تاخیر در جوابگوی تاچ رو داره پس باید انتظار سرعت لمس زیادی رو داشت.
از همه اینها که لگذریم میرسیم به دوربین پیکسل های گوگل
پیکسل های گوگل توانستند در DXO Mark امتیاز فوق العاده 89 رو برای اولین بار در گوشی های هوشمند کسب کنند و این 3 امتیاز بیشتر از آیفون 7 اپل و 1 امتیاز بیشتر از گلکسی اس 7 سامسونگ است.
نمیتوان به ضد آب نبودن آن خرده گرفت زیرا خیلی از کاربران اصلا از این قابلیت استفاده نمیکنند اگر بخواهیم صادق باشیم این گوشی میتونه تنها رقیب جدی اپل در بحث نرم افزار و روونی سیستم عامل باشه ولی تا وقتی که این گوشی انتشار پیدا نکنه و با آن کار نکنیم نمیتوان چیزی درباره آن گفت.
با تشکر",11,17,4,5,4,5,3,4
,,"البته اکثر یوزر ها از روی سی پی یو و رم و ویفیت صفحه گوشی هارو مقایسه میکنن ولی واقعیت اینه یه گوشی دقیقا وقتی خودشو نشون میده که مدتی باهاش کار میکنیم و میبینیم چه نیاز هاییو برایدما پوشش میده . من فکر میکنم درسته سی پی یو این مدل بسیار قویه و رم مناسبیم داره اما خیلی از چیز های لازم برای کامل بودنو نداره
من فکر میکنم s7 edge هنوزم بهترین گوشی برای یه یوزریه که از اندروید استفاده میکنه و همه جنبه هارو کامل پوشش داده .
مثلا یکی از اون مهمترین چیز هایی که توی گوشی اگر نباشه من بشخصه با مشکل روبرو میشم کلید هوم هست !",2,22,3,3,3,3,3,3
"نداشتن. کارت حافظه. جانبي","نداشتن دوربين. دوگانه
نداشتن. امکنات. دوربين","گوشی جدید. گوگل. از امکانات. دوربین. اصلی. بی بهره. هست.و. کارت حافظه. جانبی. ندارد. و دوربین دوگانه.نداردو. شکل گوشی. زشت. تر شده.",4,27,3,3,3,3,3,3
"دوربين بسيار قوي در سايت dxomark","بايد در دست بگيرم","با اومدن این گوشی و تمرکز گوگل در ساخت یک گوشی با سخت افزار مناسب با آندروید دیگه به سیستم عامل آندروید نمیگن هنگروید و این گوشی به راحتی اپل را کنار خواهد زد",12,10,3,3,3,3,3,3
