positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,باتري,"باتریش خیلی ضعیفه. من 8 ماهی هست خریدم از دست باتریش اعصابم خورده.",3,9,2,3,3,3,3,3
,,"سلام
نمیدونم این چه کاریه که گوشی رو تو بازار عرضه نمیکنن...!!!!!!!
آقا شاید یکی از گوشی با نمایشگر خمیده خوشش نیاد، بعد شرکت سازنده گوشی تخت نمیده تا مشتری رو زور کنن خمیده بخره
طراح گوشی انقد فهم نداشته که s8 تخت هم تولید کنن، و فقط زده خمیده کرده هر دوتارو. به جایی که به این نکته ساده و پیش پا افتاده ای که سال ها خودشون استفاده کردن با دید جدید نگاه کنن
گوشی های با صفحه خمیدش هم که داغونه (مشکل پیکسل صورتی)، حالا گیر داده بازم به خمیده...!!
من خودم از طرف دارای سامسونگم ولی قرار نیست آدم چشمشو رو همه چی ببنده.
حالا برو بچه ها و دست اندرکاران دیجی، مخلص کلام؛ اگر امکانش هست گیربیارید موجود کنید، واقعا طرفدار داره این مدل
دم شما گرم",20,4,3,4,4,4,5,2
"دوربين با کيفيت",باتري,"باتریش یکم ضعیفه ولی در مجموع انتخاب خوبیه",10,7,4,5,5,5,5,4
,,"گوشی خیلی خوبیه من الان هفت ماه هست دارمش از هر نظر عالیه و اصلا داغ نمیکنه و هنگی نداره در کل بی نظیره.",9,6,5,5,5,5,5,5
"صفحه نمايش با کيفيت
دوربين با کيفيت عالي
سخت افزار بسيار قدرتمند
عمر باطري قابل قبول
کامل بودن از نظر دارا بودن حسگر ها و همچنين دارا بودن فلش led",ندارد,"تجربه 3 ماهه استفاده از این گوشی .
بنده قبل از خرید این گوشی حدود چهار ماه رو به تحقیق درباره مدل فلت اس 7 رو وقت گذاشتم . بنده هر گونه فیلمی درباره این گوشی شامل :تست ضربه ، تست سخت افزار، کالبد شکافی گوشی . و ... رو نگاه کردم و میتونم اطمینان بدم که این گوشی از هر نظر کامله ، نقطه قوت مدل فلت نسبت به مدل ادج این هست که مدل های ادج بعد از چند مدت به مشکل پیکسل صورتی دچار میشن که من اون رو با وضوح دیدم و فقط یک مورد نبوده ، همچنین مقاومت کمتر مدل ادج به دلیل صفحه نمایش خمیده . بنده میتونم اطمینان بدم اگر میخواهید گوشی پرچمدار اندرویدی بخرید حتما گلکسی اس 7 فلت را در انتخاب های خود قرار بدهید ، این مدل بجز باطری و سایزصفحه نمایش و خمیده بودن صفحه نمایش هیچ گونه فرقی با مدل ادج نمیکند.",20,1,5,5,5,5,5,5
"دوربين
cpu
صفحه نمايش
...",ندارد,"خیلی خوبه من از گوشی تا توان آخر کار میکشم و تا حالا ضعف خاصی توش ندیدم",10,1,5,5,5,5,5,5
,,"این گوشی بهترین گوشی سال انتخاب شده GSMA هم اونو تایید کرده",11,2,3,3,3,3,3,3
زياد,"توضيحات نوشتم","سلام دوستان میخوام یه نکته ای رو بگم برای کسانی که میخوان از این مدل گوشیا بخرن بگم من یه مدتی اس 6 ادج خریدم اول از همه از طراحی گوشی خیلی خوشم اومد گوشی قشنگی بود و هر کسی میدید دوست داشت این گوشیو دستش بگیره اما باید یه نکته ی مهم در مورد این سری خمیده چه سری6 چه 7 اج سامسونگ برچسب مناسب براشون پیدا نمیشه من یه مدت رو گوشیم برچسب های فول بادی انداختم که ژله ای بود کل گوشیم میپوشوند اینم بگم بلندم نشد اما بعد از 30 روز استفاده زرد شد برچسب جوری که اصلا احساس میکردی گوشیت چرک شده باید بندازیش دور اینم بگم این مدل برچسب اصلا ضربه گیر نبودن فقط و فقط جلو خط و خش و میگرفت خلاصه این برچسب و کندم و رفتم یکی دیگه مدل گلس خریدم اون بلند شد بعد مدتی خلاصه ی کلامم اینه اگر براتون محافظت از گوشی مهم نیست یا به قول معروف اصلا در قید پولتون نیستین که گوشی بیوفته میشکنه برید سمت این مدل چون آخره هر چی طراحی و امکاناتو دارن اما نه مثل من هستین و دوست دارین گوشیتون تمیز بمونه و آسیبی بهش نرسه برید سراغ ی گوشی دیگه اینم بگم به حرف فروشنده ها گوش ندید الکی میگن این برچسب بلند نمیشه بعدا بری پیششون بگی بلند شده بهونه میارن براتون امیدوارم کمک خوبی بهتون کرده باشم",6,0,3,5,5,5,5,5
"انصافا در کل خيلي خوبه...","باتري و کم بودن حافظه داخلي","انصافا همه چیش خوب و جذابه
یه کم سرعتش گاها پایین میاد که شاید طبیعی باشه.. ایکاش حجمش 64 یا 128 بود.. خداییش 32 کمه
اما باتریش اصلا خوب نیست
توجیه گارانتی کیفیت بالای اسکرینه ولی من قانع نمیشم
با مصرف معمولی من هر شب باید شارژ بشه و البته بعدازظهر ها هم پاور بانک برای احتیاط همراهمه
یه اتفاقاتی هم میفته که به نظر میاد بخاطر اندرویدش باشه.. مثلا یه سری اپ ها رو که قبلا جابجا کردی به کارت وقتی بروزرسانی میشه دوباره بر میگرده به حافظه داخلی ..
ضمنا دوربین هاش بهترین هاییه که تا حالا داشتم",7,4,4,4,5,5,4,4
"خوشدست بودن
کيفيت دوربين
خيلي سريع شارژ ميشه
ضد آب بودن","باطريش خيلي بده همون طوري که سريع شارژ ميشه خيلي سريع هم شارژ تمام ميکنه من يهد 4 ماه باطريش رو عوض کردم
يکم قطرش نسبت به بقيه سري هاي اس بيشتره","کلا گوشی خوبیه هنگ اصلا نمیکنه ضد آب هم هست ولی باطری بدی داره اگه کسی میخواد گوشی بخره سمت این نره بره سمت آیفون7 خیلی بالاتر از اینه لطفا این رو با اپل کسی مقایسه نکنه معلومه این بهتره شما بیچاره ها برای این میگین بهتره چون پول اپل رو ندارید شما رو چه به اپل برید با همون نوکیا",6,45,0,0,0,0,0,0
