positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"همه چي",هيچي,"عالیه در خریدش شک نکنین",0,0,5,5,5,5,5,5
"همه چيز","چيز خاصي درش نمي بينم","این گوشی جز بهترین گوشی ها هستش سخت افزار قوی طراحی بسیار زیبا و شیک لمس سه بعدی دوربین 4k و خیلی چیز های دیگه",4,0,5,5,5,5,5,5
"همه چيز",هيچي,"سلام. من این گوشیو 1 ساله دارم. واقعا محشره . iOS رو اصلا نمیشه با اندروید مقایسه کرد. اگرم نگاه کنید از اس 7 هم بهتره طبق فیلم های رسمی که داخل اپارات و یوتیوبه . در خریدش شک نکنید. واقعا هرگز نمیشه ایفون رو با سامسونگ و سایر برند ها مقایسه کرد چون ایفون واقعا یک جهان دیگس",6,4,5,5,5,5,5,5
,,"امروز به دستم رسید و بعد از 4 سال از 5 به 6 اس کوچ کردم اونم به دلیل اینکه قیمتش به نظرم به صرفه و منطقی شده. به شدت راضی ام.
مهمتر اینکه تو این آشفته بازار ریپک (repack) و ریفوربیش (Refurbish) بودن ایفون ، هم پک اصلی بود و هم گوشی .ممنون دیجیکالا",5,3,4,5,4,3,5,4
,,"من حدود 9 ماه هست که دارمش و واقعا عالیه ولی برای من 64 گیگ هس پیشنهاد میکنم اگه بین سامسونگ و اپل انتخاب میکنید اپل رو انتخاب کنید و حافظه بالاش رو بگیرید این گوشی اصلا هنگ نمیکنه دوربینش حرف نداره و کاملا ضد اب و ضربه و ظریف هست . در مورد اینکه نمیتونه از اندروید برنامه بگیره و اینکه قابلیت سیو کردن موزیک نداره و احتیاج ب برنامه هایی داره که موقع خرید بهتون میزنن و توضیح میدن و مهم ترین ویژگیش اینه که سیستمش هر چند ماه یه بار بروز رسانی میشه و سیستم ایفون 4 هیچ فرقی با 6 نداره ولی الان خریدن ایفون هفت بهتره چون تفاوت قیمتی با 6 داره",5,9,5,5,5,5,5,5
,باتري,"الان بحث مهم داخل موبایل بحث نگهداری شارژه سخت افزار قوی کردن ولی با باتری ضعیف",11,0,3,3,3,3,3,3
,,"تو خرید اصلا و به هیچ عنوان شک نکین! من 1 سال که دارمش، باترى عالی، تاچ فوق العاده، کیفیت فوق العاده!
از اول که خریدم 1 بار هم هنگ نکرده",13,11,5,5,5,5,5,5
,,"هیچوقت نمیام از اقیانوس اندروید بیفتم تو حوض ios",17,51,3,3,3,3,3,3
"همه چي خوبه","طراحي جالب نيست","به نظرم گوشی خوبی هستش اما من اچ تی سی 10 گرفتم امکاناتش بهتره حتی دوربین و باتری قوی ترازاین هستش",12,28,3,3,3,3,3,3
"همه چي عالي","هيچي نديدم","از خریدش پشیمون نمیشید",22,11,5,5,5,5,5,5
"دوربين باکيفيت و ساخت عالي در کنار سيستم عامل فوق العاده ios",,"در خرید این گوشی اصلا شک نکنید",40,61,5,5,5,5,5,5
"سخت افزار عالي و بدون هنگ","بدنه ضعيف","من 6 ماه هست که این گوشی رو دارم. از نظر سخت افزار، یعنی دوربین یا پردازنده عالی هست اصلا هنگ نمیکنه واقعا خوبه.باتری خوبی داره. اما بدنش یکم ضعیفه ، پیشنهاد میکنم اگر کسی میخواد بخره 16 گیگ نخره من خودم دارم خیلی اذیت میشم واقعا کمه.",41,6,3,2,5,5,5,4
,,"من به تازگی این گوشی خریدم بنظرم خیلی عالیه شارژ باطری که در حد اعتدال. ظاهرش شیک خوش دست و دوربین سلفی خوب دوربین اصلی با کیفیت عالی بنظرم در خریدش نباید شک کرد..استفاده ازش هم خیلی سخت نیست بعد از یه مدت عادی میشه .. بنظر من آیفون نقطه ضعف خاصی نداره یکی از تفاوت هاش بطور مثال میشه گفت ذخیره کردن آهنگ هاست که با اندروید متفاوته..
من خرید این گوشی رو پیشنهاد میدم",47,11,3,4,3,3,5,4
,,"خیلی اتفاقی توی پیشنهاد ویژه دیدم و خریدمش
با توجه به بازار الان که پر شده از گوشی های رفرش شده و تقلبی خریدن گوشی توی پیشنهاد ویژه با گارانتی 18 ماهه ( باتوجه به گوشی های بدون کارانتی رسمی) خرید خیلی خوبی بود من قبلا s6 سامسونگ داشتم
قابل مقایسه نیست حتما پیشنهاد میکنم بخرید",48,20,4,5,5,5,5,5
,,"فقط با اپل ایدیش مشکل دارم و حافظه برنامه هاش واقعا بالاسقعا عالیه و هنگ نمیکنه کیفیت دوربینش حرررف نداره عالیه عالیییی،خیلی خوبه درکل ولی حسسسابی باید مراقب باشی حساسه بدنش",21,7,3,3,3,3,3,3
,,"واقعا گوشی خیلی خوبی هستش و مدل 32 گیگ واقعا از همه لحاظ بهتره تو نسخه 10 سیستم عامل دیگه مشکل باتری که برای مدل های قدیمی تر 6اس بود رو نداره همچنین حافظه 32 گیگ واقعا عالیه نه خیلی کم مثل 16 نه خیلی زیاد مثل 64
پیشنهادش میکنم.",22,5,3,5,4,4,5,5
"خيلي خوش دسته","کارکردن باهاش يکم سخته","عالیه واقعا خوش دسته",24,10,5,5,5,5,5,5
"خوش دست و پر کاربدده","شارژ باتريش زياد خوي نيست","گوشیه خوبیه خوش دسته و دوربین خوبی هم داره ولی فک نکنین خییلی شاخه واقها معمولیه درحد اندروید یعنی اگه دوباره میخواستم بگیرم شاسد انتخابش نمیکردم ولی خب گوشیه بدی نیست",18,71,3,3,3,3,3,3
قدرتمند,"باتري(در استفاده طولاني)","گوشی قوی عالی",32,13,3,5,5,5,3,5
"طراحي زيبا","قديمي شده","گوشی خوبیه ولی یکم قدیمی شده",26,78,4,5,4,5,5,2
