positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"حافظه 32",,"بنظرمن توی این رنج قیمت سامسونگ جی7 پرایم خیلی بهتره , من خودم جی7 پرایم گلد دارم خیلی ارش راضیم از دی جی کالا گرفتم
از لحاظ 1.سنسور اثر انشگت
2. صفحه با کیفیت فول اچ دی
3.بدنه یک پارچه ی فلزی
4.سخت افزار قوی تر سی پی یو 8 هسته ای 1.6
5.دوربین سلفی
6. باتری با ظرفیت 3300 میلی امپر
یک مقایسه خیلی مختصر بود امیوارم مفید باشه
باتشکر",6,8,1,2,2,3,2,3
,,"واقعا جای تاسف داره که برندی به این عظمت،از پردازنده‌ Snapdragon 400 و پردازنده گرافیکی Aderno 305 داره استفاده میکنه!
شاید باورتون نشه ولی من از همین دیجیکالا یه Sony E1 خریده بودم که یه پایین ردس و پردازنده اون Snapdragon 200 و پردازنده گرافیکیش Aderno 305 !!!!
ضمنا دیجیکالا پردازنده گرافیکی Sony E1 رو به اشتباه زده Aderno 302 من با CPU X و چندتای دیگه که نگاه کردم 305 بود.",0,3,1,5,2,3,5,0
"اسم 10",قيمت,"سلام شاید گوشی خیلی جالبی باشه اما قیمت و مشخصات با هم نمیخونه صفحه نمایش فول اچ دی نیس تراکم پیکسل خیلی پایین پردازنده اسنپدراگون 400 باتری متوسط بدنه پلاستیکی فقط یه اسم 10 یدک میکشه یه مقایسه با هم رنج قیمتیهای خودش میکنم عرق سردی بر پیشانیم میشینه البته بازم میگم ممکن گوشی خوبی باشه ولی من بر مبنای قیمت و امکاناتی که ارائه میده گوشیها بررسی میکنم با سپاس",2,1,0,2,0,2,2,0
"رام3 و رم32","پردازنده نسبتا ضعيف،تراکم پيکسلي پايين تو اين رنج قيمت","دیزایر 826 سرآمد میان رده های اچ تی سی هستش،جالبه اچ تی سی بعد از اون تو برند دیزایر داره پسرفت میکنه،بنده یک سال و نیم 826 داشتم واقعا نسبت به قیمتش فوق العادس",1,4,3,3,3,3,3,3
"ظاهر.دوربين هاي جلو وعقب.صدا وتصوير","بنظذم همه چي مناسب","من گوشیو خریدم.و کاملا راضی هستم این کسایی ک میگن نمیدونم حسگر انگشت نداره و پیکسلش کمه و..
باید بگم اینا همه یجوری حرفای دهن پر کن تبلیغاتی دیگر برندهاس.
گوشی کاملا کارکرد عالی داره و راضیم من.
بعضی ها حوری نظر میدن ک قراره انگار با ی گوشی ی تومنی ادم اپولو بفرسته هوا.
کیفیت دوربین ها مناسب طراحی ظاهری عالی.صدا و بلندگو ها خیلی خوبه.حتی پردازنده هم خوبه تمام بازی های سطح بالا کثل اسفالت و فیفا و نوا رو راحت بازی کردم",8,6,4,5,5,5,5,5
,,"سلام خدمت شما عزیزان
من به نظر خودم گوشی های htc یکی از بهترین برند های گوشی است این گوشی هیچ ضعفی ندارد تنها ضعف او این است که فقط گه گاهی به مدت
2 دقیقه هنگ میکند واقعا ازش راضیم من خیلی گوشی های متنوه ای داشتم اما این بینشان یک چیز دیکس
با تشکر",10,18,5,4,4,4,5,5
,,"من این مدل رو دو ماه پیش از نمایندگی در دبی خریدم .ساخت تایوان هست. به شدت سبکه .دوربین سلفی گوشی واقعا خوبه . دوربین اصلیشم من خیلی راضیم ازش .کیفیتش قابل قبوله و راضی نگهت میداره . گوشی کاملا تخت و به نظرم بزرگ محسوب میشه .کیفیت صداش هم عالیه .کار باهاش واقعا راحته .در کل برای کسی که دنبال یه گوشی میان رده با قیمت خوب هست به نظرم جزو بهترین هاست .
((فقط صدای گوشی وقتی داری باهاش حرف میزنی به قدری زیاد هست که همه مکالمتو میشنون .کم هم میکنی صدات واضح نمیره))",16,0,5,3,4,4,4,3
,,"یکی از دلایلی که این گوشی گرونه اینه که تاییدیه صدای hi-fi داره و نباید از لحاظ قیمتی با جی سون پرایم که از ی بلندگوی عادی استفاده میکنه مقیسه نکنیدش.",9,1,3,3,3,3,3,3
"همه چي گوشي خوب نگاه به پردارندش نکنيد همه چيو مثل اب خوردن باز ميکنه",,"همه چی گوشی خوب نگاه به پردارندش نکنید همه چیو مثل اب خوردن باز میکنه",9,3,3,3,3,3,3,3
,,"نه پردازنده خوبی داره نه به روزه",15,22,0,3,0,3,2,0
