positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"صداي مکالمه عالي و با کيفيت
خوش دست بودن
عمر باطري بالا تقريبا 6 روز
داشتن چراغ قوه
ضبط صدا با کيفيت خوب","جستجوي شبکه وقتي آنتن ميرود به سختي صورت ميگرد
بعضي وقتها خود به خود زبان نوشتاري گوشي از فارسي به انگليسي تغيير ميکند","با سلام خدمت دوستان من این گوشی رو که البته مدل b312e هستش آذر 93 از دیجی کالا خریداری کردم. گوشی خوش دستیه و صدای مکالمه آن عالیه.امکان تایپ اس فارسی در آن یکم سخت به نظر میرسه ولی با یکم تمرین عادت میکنین.چراغ قوش کارآمده و بعضی جاها به درد میخوره ،به راحتی در جیب جا میگیره با افتادن روی زمین قاب پشتش میپره اصلا به درد بازی های ساده هم نمیخوره (جاوا) و برای اینترنت اصلا مناسب نیست.اسپیکرش در حد متوسط رو به بالاست .آهنگها رو باید اول در در یک playlist انتخاب کنین تا بتونین با مدیاپلیر گوشی آهنگ رو اجرا کنید ولی اگه مستقیم از روی فایلهاتون آهنگ رو بخوایین اجرا کنید کارتون سخت میشه و برای افزایش صدای فایل آهنگ دوباره از اول اجرا میشه.دوستان من خودم کارشناس bts در همراه اول هستم و همیشه در حال سفر در جاده ها و رسیدگی به ایستگاههای همراه اول هستیم و مهمترین چیز برای ما آنتن دهی گوشیه هر چه قدر شما به دکل های موبایل نزدیکتر باشید نه تنها ضرر نداره بلکه خیلی هم به صلاحتونه چون گوشیتون کمترین توان رو برای برقراری تماس یا استفاده از اینترنت همراه استفاده میکنه و باطری کمتری مصرف میکنه و در فاصله های دور گوشی با توان بیشتر برای بهبود کیفیت سیگنالینگ کار کرده و به مغز و بدن شما آسیب بیشتری میرساند.این گوشی هم در جاهایی که انتن هست و تحت پوشش دکل های موبایل هستیم خوب آنتن میده ولی به محض اینکه به منطقه ای که فاقد آنتن میباشد وارد میشویم در حال جستجوی آنتن باقی میماند و امکای برگشت آنتن حتی وقتی که از آن محیط خارج میشویم وجود نخواهد داشت مگر اینکه دوباره یک بار گوشی رو ریستارت کنم تا آنتن گوشی پر بشه این تنها ایراد این گوشی به عنوان گوشی دوم هستش.امیدوارم که مفید واقع شده باشد.",2,0,3,2,2,4,4,2
[],[],"با سلام هر دو سیم کارت گوشی همزمان فعال هستن",0,0,3,3,3,3,3,3
,,"یه چیز دیگه هم یادم رفت! فقط دکمه هایی که عدد دارن زیرشون نور داره که همونا کافیه, چون فقط همینا هستن که جاشون مشخص نیست ادم باید ببینه؛ وگرنه اون دکمه های بالا پنج تا دونه هستن جاشون مشخصه!
بازم نقطه ضعف نیست
باطری هم یه اپلیسون کمتر مصرف میشه این جوری!",0,0,4,3,4,4,5,3
"شارژدهي خوب
انتن دهي خوب
اينترنت کار راه انداز
رابط کاربري خوب
سبک و خوش دست و ظاهر زيبا",نداره,"این گوشی یه سری چیزاش خوبن, یه سری چیزاشم نسبت به قیمت خوبن!
شارژدهی که واسه من یک هفته, برای اس بازی و تماس چیز دیگه هم نداره که!
بعضیا گفته بودن انتن نمیده خوب, اما واسه من همیشه انتن پره, بعضی جاها هم هیچ گوشی انتن نداره اینم روش, دیگه ربط به گوشی نداره!
رابط کاربری مناسب و کار باهاش راحته, چند نفر گفته بودن دکمه واسه سایلنت کردن نداره که, هیچ مشکلی نیست, شما کلا سه تا دونه دکمه فشار بدی میرسی به جایی که میتونی سایلنت کنی, دو ثانیه طول نمیکشه!
اینترنت هم که مرورگرش اپراس, میشه یه سری تنظیمات انجام داد که واسه یه سرچ گوگل یا ویکی پدیا کوچولو دم دستی,بدون لود کردن عکس البته , مناسب باشه, توقع بیشتر نمیره چون اگه قرار بود این چیزارو داشته باشه که اینم یه روز شارژ نگه میداشت!
دو سیم کارته بودنش تقریبا الکیه اون تصوری که از دو سیم کارته داریم نیست, فقط دو سیم کارت میشه توش گذاشت و در یک زمان یکی فعاله یکی غیر فعال,البته خیلی مطمین نیستم در این مورد, اینو خودتون بیشتر تحقیق کنید, واسه من مهم نبود.
سبکه و خوش دست, شیکم هست.
هندزفری هم تو جعبه ش نداره که نقطه ضعف گوشی نمیشه, یه هندزفری 15 تومنه, اگرم توش میذاشتن 15 تومن گرون تر میشد!
فقط خیلی مقاوم نیست, لازم نیست بخوره جایی تا اینو بفهمید! دستتون بگیرید مشخصه, که چاره ش یه کیفه. اینجوری خط اینا هم روش نمیفته.
و قیمت دیجی هم از بیرون مناسب تر بود, بیرون حدود سی درصد گرون تر بود!",0,0,4,3,4,4,5,3
[],[],"دوماهیه که این گوشی روخریدم سرجمع 5 .6 بارشارژش کردم",0,0,3,3,3,3,3,3
"[""باتري بسيار عالي ""]","[""عدم داشتن هندزفري در جعبه ""]","بیشترین چیزی که در این گوشی عالیه باتریش هست که حدود 10 روز نگه میداره تا الان همچین باتری گوشی که بتونه انقدر باتری نگه داره ندیده بودم بجز اون سیاه سفیدای قدیمی من از اون فقط برای تماس استفاده میکنم در جاهای شلوغ که صدا ی خوبی داره از اون در کنار گوشی هوشمند بکار میبرم تا الان از امکانات دیگش استفاده نکردم",2,0,5,5,3,3,3,4
"[""سادگي ""]","[""بدون نقاط ضعف""]","ازدی جی کالاخواهشمندم این گوشی راموجودکندکه بتونیم بخریم.همین دیشب میخواستم سفارش بدم که تمام شد.لطفااین گوشی راموجودکنید..باتشکرازدی جی کالا....سپاس",0,0,3,3,3,3,3,3
,,"سلام دوستان من خودم از طرفدارهای پر و پا قرص سامسونگ هستم گوشی اول خودم galaxy J7 هستش خیلی هم راضیم اما به عنوان گوشی دوم تو پیشنهاده شگفت انگیز دیجی کالا با قیمت عالی گوشی Fly FF241 انگلیسی (مونتاژ چین) رو انتخاب کردم بدلیل اینکه پاور بانک داره و این ویژگی اش کاملا منحصربفرده و میتونم هر جا گوشی اولم خاموش شد وصل کنم بهش و شارژش کنم و باتری اش هم فوق العاده قوی هستش و کیفیت ساختشم عالیه میتونید تو گوگل تحقیق کنید، پیشنهاد میکنم قبل از انتخاب یه نگاهی به اون گوشی هم بیندازید، پشیمون نمیشید، موفق باشید",0,1,3,3,3,3,3,3
"[""سبک و مناسب مکالمه و قابل اتصال به هندزفري بلوتوث""]","[""عدم پشتيباني از انتقال مخاطبان با بلوتوث ""]","متاسفانه با بد شانسی یا خوش شانسی همون دو روز اول گوشی سوخت!من یک گوشی سی تومنی هم از دی جی خریدم که خیلی بهتر بود!وقتی نتونم مخاطبانم رو به گوشی جدید منتقل کنم چطور میتونم ازش استفاده کنم.مشکلم بیشتر هم شده بود.باید مدام با گوشی اصلیم شماره تلفن رو پیدا میگردم و با دست دیگر با این گوشی کلنجار میرفتم! هزار تا مخاطب رو که نمیشه با سیمکارتو دست جابجا کنی.من که حوصلش رو ندارم!یادمه خونده بودم میشه با بلوتوث جابجا کرد ولی من که هر چی گشتم نشد!فایل مخاطبین رو با رو هم آوردم تو گوشی ولی باز نتونست ساپورت کنه و فایل رو بیاره تو.گوشی!عملا نمیشه استفاده کرد اگر نتونی مخاطبین رو داشته باشی.چون هر لحظه ممکنه آدمهای بیشتری رو اضافه کنی تو لیستت و برای ما ها که به گوشی های هوشمند عادت داریم سخته مدام ور رفتن به 2تا گوشی.پیشنهاد میکنم گوشی ارزون قیمت آندرویدی بخرید و با استفاده از گوگل اکانت مخاطبین رو در هر ثانیه به روز رسانی کنید تا این مشکل رو نداشته باشید.",0,1,3,3,3,3,3,3
عاليه,ندارد,"دیجی لطفا مشکیش رو بیارید .... مشکیش که بیشتر طرفدار داره لطفا موجود کنید می خوام بخرم
مرسی دیجی کالا",1,0,3,3,3,3,3,3
