positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"گوشی خوبی نیست نوت 5 بهتره",1,1,1,1,1,1,4,1
"دوربين رزوليشين صفحه نمايش صدا استفاده از فناوري هاي جديد","باتري داغ کردن گوشي ليبل","چیزی که من رو غافل گیر کرد استفاده همزمان 2 نرم افزار تو گوشی و قابلیت کو چیک کردن صفحه نرم افزار هاو 100 البته ک صفحه نمایش ک نگو.دوربینشم خوب بود مخصوصا برای من ک دانشجوهستم و عکس از جزوه کارمه خوب بود.
نکته بعدی تا حدی ضعیف بودن باتری که البته برای صفحه نمایششه اما اگه کار معمول می کنید حدود یه روز تا یکو نیم روز میشه نگه داشت.داغ کردن گوشی برای من عجیب بود چون من بازی سنگینی هم باش نکردم اما معمولا تو مصارف زیاد داغ می کنه.در ضمن بخاطر لبه هاش لیبل معمولا هی ور میاد.",1,1,3,4,4,4,4,2
"پردازنده قوي دوربين نسبتا خوب باتريش واقعا فوق العادس","قيمت نسبتا زياد صفحه نمايش edge گلس خوب براش نيومده","سلام
من این گوشی رو از دیجی خریدم
اولین مورد باتریه
برخلاف نظر همه برای من 2 روز کار میکنه
من بازی limbo , gangester vegas و ..... همه اش انجام میدم وقت کنم و باطری دوام عالی ای داره
دومین مورد دوربینه که کیفیتش عالیه ولی در حالت zoom رو عکس از note 4 کم آورد
پردازنده عالی تاحالا لگ و هنگ ازش ندیدم
ولی
تمام کارایی که با این گوشی میکنید با galaxy a7 هم میشه کرد
یعنی هزینه بالا برای گوشی اندروید اشتباهه!!!
ولی از همه لحاظ این یک گوشی هست که تا سالها میتونه از پس اجرای همه چی بر بیاد",5,4,0,5,5,3,5,4
"دوربين فوق‌العاده باتري مناسب و قدرتمند صفحه نمايش باکيفيت طراحي و ظاهر زيبا عملکرد بي نقص نرم افزاري","سايز s7 بهتر استاندارد تر از اين گوشي هست","باسلام خدمت کسانی که قصد خرید این گوشی رو دارن
اگه بخوای راحب هر بخش این گوشی صحبت کرد اولین چیزی که میشه راجبش بحث کرد و شما رو شگفت زده میکنه هنگام استفاده دوربین فوق العاده این گوشی هست چه دوربین جلو و چه عقب امکانات زیاد و کارآمد و فوکوس انقلابی این گوشی،،، راجب باتری این گوشی باس بگم شما رو آزار نمیده و دیگه مث گوشی نسل قبل نیست و دیر دیر خالی میشه و زود زود شارژ،،،، حسگر این گوشی سریع و دقیق هستش،،، عملکرد بی نقص نرم افزاری رو میتونید با این گوشی تجربه کنین هیچ لگی و هیچ کندی درش وجود نداره،،، طراحی و زیباییش که حرف نداره ولی صحبت آخر من اینه که اگه لبه های خمیده برای شما مهم نیس s7 رو تهیه کنید سایز استاندار تری داره و قیمت مناسب تر،،،، در ی جمع بندی گوشی کاملا بی نقصیه و همه ی انتظارات شما رو بر آورده میکنه",9,0,4,5,5,4,5,4
,,"من نزدبک به 3 یا 4 ماهه که خریدمش ، خواستم که نظرمو بگم شاید شمام استفاده کردی
گوشیه خوب خوش دستیه ولی خب چون زود لیز میخوره من همیشه با قاب کار میکنم باهاش ، و اینکه چون اولین تجربم از سری edge بود اول لبه های خمیدش یجورایی آزار دهنده بود واسم ، ولی الان حال میکنم باهاشون ، مصرف باتریش افتضاح بود ولی وقتی انددوید رو به 7 ارتقا دادم واقعا عالی شد ، خیلی عالی نگه میداره ، دوربینشم عالیه حرف نداره
من فردیم که فیلن دانلود میکنم با گوشی و با پلیر ها نگاه میکنم ، تقریبا گوشبم پره ، اما حتی یک ذره هم هنگ و یا ابنکه از سرعت گوشی کم بشه ندیدم ، در مورد مقاومتش بستگی به فردی داره که ازش استفاده میکنه
من از دستم افتاده ولی خب چیزی نشده ، البته اینو بگن فوقش از ارتفاع 1 متری افتاده که اگرم چیزیش بشه باید تعجب کرد ولی من چون گلس ننداخته بودم و روی آسفالت افتاد تعجب کردم D-:
اثر انگشتشم خیلی خوبه سریع و بدون نقص ، ولی آسیب پذیره حواستون باشه ، و درمورد ضد آبیش بگم که خیالتون راحت هرجا خواستید ببرید
و خلاصه از هر نظری خوبه
گوشیه قبلیم آیفون بود و چون اولین گوشی آیفونی بود که داشتم و به اندروید عادت داشتم زیاد راحت نبودم ولی اونم خیلی خوب بود ، اینو گفتم که بدونید متعصب نیستم ، دنبال راحتیه خودمم
به هرحال اگر زیاد حرف زدم معذرت
اگر ضعف داشت نوشتم به بزرگیه خودتون ببخشید
یا علی",13,0,4,5,5,5,5,5
"کيفيت صفحه نمايش و عکس برداري عالي","نسبت به سال ساختش هيچي","با سلام... در ابتدا بگویم نه شرکت سامسونگ و نه شرکت اپل برای من نیست که بخوام حرصشونو بخورم....دوستان، من اولین سری این گوشی که وارد ایران شد را خریدم یعنی در حدود یک ساله که دارمش... در حال حاضر کیفیت تمامی اسمارت فونها حداقل برای کارهایی که اکثر ما با آنها انجام می دهیم مشابه همدیگر هستند مانند تماس تلفنی، اینترنت، چک کردن میلها، تلگرام، اینستا و سایر موارد.... تنها تفاوت بین گوشی ها در حال حاضر در ظاهر آنها و کیفیت صفحه نمایش و کیفیت عکس برداری آنهاست.
قضاوت در مورد ظاهر گوشی کاملا شخصی و سلیقه ایست و من شخصا به خاطر دو لبه ایج این گوشی و به حداقل رسوندن کناره ها از ظاهر S7 خوشم می یاد.
در زمینه کیفیت عکس برداری و کیفیت صفحه نمایش به جرات هیچ گوشی به پای این مدل از سامسونگ تا حالا نمی رسه.. حتی دوستانی که آخرین مدل اپل را خریدند باز هم می گویند عکس و کیفیت صفحه نمایش S7 بهتره از گوشی اونهاست... مخصوصا دوربین اصلی اون و اپل حتی با دو قرار دادن دو لنز هم نتونسته کیفیت بهتری رو به دست بیاره. ولی دوربین سلفی اون نسبت به آخرین مدل اپل چون 5 مگاپیکسل هست ضعیفتره.
در مورد صدمه پذیری که دوستمون گفته بود، جنس شیشه روی گوشی Corning Gorilla Glass 4 هست و به این راحتی ها حتی خط روش بر نمی داره چه برسه بشکنه. تا حالا بیش از 10 بار گوشی من که هیچ محافظی هم نداره از دستم افتاده.
در مورد اسکن عنبیه، خوب این تکنولوژی جدیدی بود که قرار بود سامسونگ از نوت 7 به بعد بزاره و S8 این قابلیت رو داره.
در مجموع تجربه یک ساله من از این گوشی اینه که خیلی خوبه و نسبت به قیمتش خیلی خوبه و حتی نسبت به آخرین مدل اپل هم بهتره.. من خودم منتظر نوت جدید هستم.",11,1,5,4,4,4,4,4
"طراحي زيبا","سنسور اثر انگشت اصلا جاي خوبي نيست.نميشه به راحتي ازش استفاده کرد
صفحه نمايش خيلي ظريفه.اگه از دستتون بيوفته از خريدتون پشيمون ميشين","گوشی بسیار زیباییه.ولی محل سنسور اثر انگشت جای مضخرفیه.درضمن درسته زیباست ولی مطمئن باشین یه بار از دستتون‌میوفته زمین و به خاطر زیبایی که ملاک خرید خیلی از مردمه پشیمون خواهی شد",7,16,3,3,4,2,5,5
"دوربين هاي جلو و عقب با کيفيت شارژ سريع آنتن دهي خوب کيفيت ساخت خوب کيفيت صداي مناسب","سنسور اثر انگشت نه چندان خوب کاهش سرعت جزئي بعد از آپديت به اندرويد 7 آسيب پذيري بسيار بالا صفحه نمايش بدليل طراحي خميده","من گوشی رو یه هفتس خریدم و اولین تجربه من از گوشی های سامسونگه ... تجربیاتم تو این یه هفته رو در خدمتتون میزارم ... اول از نظر ظاهری نمیشه گفت مجذوب کنندس ولی نسبتا نمای خوبی داره ... از لحاظ دوربین کیفیت هر دو دوربین کاملا راضی کنندس ... کیفیت صدای خوبی داره ... باتریش عالی نیست اما خوبه ... به شخصه انتظار داشتم از سنسور تشخیص چهره توی این گوشی استفاده بشه که متاسفانه نداره و به همین دلیل نمره بالایی توی نوآوری بهش ندادم ... سنسور اثر انگشتش نتونست راضیم کنه و خیلی از اوقات اگه یکم زاویه انگشتتون متفاوت باشه نمیتونه تشخیص بده ... آنتن دهی خوبی داره ... در کل به نظرم گوشی خوبیه ولی بهتر بود سامسونگ بجای ویژگی های بی استفاده مثه اندازه گیری ضربان قلب و اکسیژن خون و این چیزا که کاملا جنبه تبلیغاتی داره از پتنت هایی از قبیل تشخیص چهره و کانتنیوم استفاده کنه و سنسور اثر انگشت هم بهبود بده ... صفحه نمایش گوشی بدلیل طراحی خمیده بسیار آسیب پذیره و فقط کاور های کتابی میتونن تا حدودی محافظتش کنن ... شارژ سریعش خیلی خوبه و وقتی نیاز دارید گوشی سریعا شارژ میشه ... در کل از 10 بهش 8 میدم",9,11,3,4,3,4,4,3
perfect,not,"این گوشی عالی است بخرید این که مشکل داره و هنگ میکنه فقط شایعه است واقعا عالیه",11,8,3,5,5,5,5,5
"همه چي تا اين لحظه بي نظير","واقعا هيچي","دوستان بهترین پرچم دار اندروید چندین ساله پرچم دارهای سامسونگه .سامسونگ فاصله گرفته از برندهای دیگه گوشی بجز اپل.اپل هم که دمش گرم ما ایرانیارو حساب نمیکنه.پس چرا با این همه بی اعتنایی به ایرانیا باز اپل میخرند من موندم اونم با اون همه مشکلات در استفاده .برترین هست نه برای ما.s7 edge واقعا عالیه همراه با عینک vr و شارژر بیسیم.",16,6,5,5,5,4,5,5
