positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"CPU 2GHZ","قيافه خوبي ندارد","گوشی قدرتمندی هست از هز نظر از CPU از نظر کیفیت دوربین از نظر کیفیت تصویر ولی قافه اش به ظاهر خوب نیست",1,2,3,5,5,4,3,4
"اندرويد خام و روان بودن سيستم عامل ماژول ها usb type c","صفحه نمايش امولد که رنگ هارو واقعي نشون نميده ساخته شده توسط لنوو دوربين متوسط","در این قیمت گوشی های خیلی بهتری هسا مثل
sony z5p
گوشی خوبیه ولی صفحش امولد که سفید رو زرد نشون میده و قرمز رو نارنجی و صفحه ipsخیلی بهتره
خوبه ولی قیمتش بالاست
این گوشی چون توسط لنوو ساخته شده کیفیت زیاد خوبی ندارد",4,3,3,5,2,2,5,0
"سنسور اثر انگشت با کارايي قدرتمند
امکان دستور حرکتي و صدايي به گوشي
فلش سلفي
فلش دو رنگ پشت گوشي","نداشتن هندزفري در پکيج
جدا نشدن کابل usb از شارژر (با توجه به type-c بودن رابط)
ماندن اثر انگشت روي قاب پشتي","بعد از باز کردن جعبه، حس داشتن یه گوشی یکتا رو حتما خواهید داشت. کارکرد گوشی با توجه به پردازنده قدرتمندش بدون اشکال به نظر میاد. قاب دور گوشی فلزیه که ظاهر مستحکمی داره. کلید های کم و زیاد کردن صدا جدا هستن که لمس اونا رو راحت تر می کنه. سنسور اثر انگشت بخوبی کار می کنه و مشکلی مشاهده نمیشه، کیفیت عکس ها هم به نظر خوبه.
از لحاظ ظاهری به غیر مشکل جا موندن اثر انگشت روی پشت صفحه پشتی گوشی که از جنس شیشه هست، نمیشه ایراد دیگه ای بهش گرفت، خیلی شیک به نظر میاد (مخصوصا قیاف پشت گوشی)
با توجه اینکه این گوشی ظاهرا نسخه چینی بوده و نسخه صادراتیش نبوده، همه توضیحات دفترچه و راهنما به زبان چینی هستن.
ضمنا منوی فارسی هم داره (توی مشخصات گوشی گفته شده بود که نداره).",2,3,3,4,4,5,5,4
دارد,"يکم گرون","با وجود اینکه ماژول های زیادی بهش وصل میشه و امکانات باحالی داره ولی از نظر پردازنده ضعیفه اگه پرازندش خوب بود ارزش خرید داشت",1,2,2,5,5,2,5,5
"ظاهر
کيفيت سخت افزاري","يه کمبودايي داره خب !","من بیشتر ین چیزی که در ماه اول خرید من رو اذیت کردن نبودن تنوع لوازم جانبی اون بود . خیلی گشتم . دیجی هم که نمیاره . ولی از طریق بای چاینا تونستم که از چین لوازم خیلی متنوعی براش بخرم . . فقط یک عیب دیگه ای داره اینه که موقع شارژ وقتی با گوشی کار میکنم به نظر میاد که یکمی پشت گوشی گر م میشه .",6,0,4,4,4,5,5,5
,,"این گوشی با این حدود قیمت فقط به درد کسانی میخوره که میخواهند گوشی متفاوتی از نظر ظاهری دستشون بگیرن وگرنه از لحاظ پردازنده و کیفیت دوربین و ... با این قیمت اصلا توصیه نمیشه، چه بسا خرید S7 سامسونگ با اندکی تفاوت بهترین گزینه است . از لحاظ دوربین هم فقط از این سری فقط moto z و moto z force قابل رقابت با سایر پرچمداران است ولی در اکثر بنچمارک ها از s7 , iphon , p8 .pixel , .... پائینتر است و بنظر لنوو از اسم موتورولا دارد بهترین استفاده میکند پس در انتخاب دقت داشته باشین چون اگه پشیمان بشین خیلی سخت تر میشه جبران کرد چون رد کردنش سخت تر است مگر با ضرر بسیار",12,7,2,3,2,3,4,3
"تقريبا همه چي مخصوصا نگهداري شارژش و شارژر خودش خيلي سريع شارژ ميکنه","شارژر هاي معمولي بهش نميخورن و حتما تبديل ميخواد.
لوازم جانبيش سخت گير مياد","من حدود یک ماه هست که این گوشی رو از دیجیکالا گرفتم و واقعا ازش راضیم. اگه دنبال گوشی هستید که شارژ خوب نگه داره این گوشی عالیه. کیفیت دوربینش هم خوبه. اون موقع که من گرفتم هدیه همراهش نبود. خود گوشی هیچی همراهش نیست حتی هندزفری.",6,3,4,4,4,5,4,4
,,"فقط ، فوق العاده زیبا",2,7,2,4,3,3,5,4
,,"هر گوشی خوبی و بدی ای داره
نسبت ب هم قیمتا دوربینش خیلی بد بود",2,9,2,5,2,5,5,4
"زيبايي و ظاهري خاص","کيفيت دوربين نا اميد کننده","من این گوشی رو خریدم و همون روز اول دوربینش زد تو ذوقم. دوربینش انگار گوشی چینیه و اصلا تو کت آدم نمیره که با این قیمت گوشی بخری که دوربینش انقدر ضعیف باشه به نظرم لنوو موتورولا رو نابود کرد و حتی حیف اسم موتورولا بود که در کنار لنوو بیاد چه برسه به این که لنوو بخواد گوشی هاشو بسازه. لنوو اگه از پس ساخت گوشی بر میومد گوشی های خودش انقدر داغون نبودن",33,10,0,0,1,2,4,4
,,"در ادامه محاسن ذکر شده این گوشی باید اضافه کنم که هم OTG و هم شارژ سریع رو ساپورت میکنه.
در ضمن تنها گوشی دو سیم کارتیه که دیدم قابلیت 3G برای سیم کارت غیر دیتا فعال هست. چرا که گوشی های دیگه سیم غیر دیتا فقط قابلیت 2G دارند.",7,12,3,3,3,3,3,3
,,"دوستان عزیز ک این گوشی رو تهیه نکردید بهتره بدونید ک این کمپانی خیلی کم گوشی میزنه مث سامسونگ نیس ک هرروز یه گوشی بده بیرون و فقط قیافشو کج کنه
مطمئن باشید پشیمون نمیشید...",16,25,5,5,5,5,5,5
,,"باهاش کار کردم منو یاد LG G5 انداخت ... البته میتونم بگم کیفیتش یه مقدار بالاتر هم بود اما پخش موسیقی LG G5 واقعا سر تره
ولی هر چی باشه موتورولاست دیگه , یعنی خاصه ... به نظرم حتی از اپل هم کارآییش بهتره",14,24,3,5,5,5,5,5
"همه چيز دريک کلام،","پشتيباني نکردن از otg","دریک کلام،عالی عالی عالی ،فقط بدونید که این گوشی ساخت امریکاست، با گوشیهای چینی و کره مقایسه نکنید بخصوص افرادی که نداشتن این گوشی را،هنک توکارش نیست،داغ کردن نه،شارژسریع بخصوص اگر گوشی را خاموش کنید،روان،سریع،خوش دست،باطری فوق تصور،دوربین عالی،درحالت مزاحم نشوید100درصدشارژتا15ساعت،من 40روزقبل از دیجی تهیه کردم روزبه روز از استفاده باهاش بیشتر لذت میبرم،بعدازتجربه داشتن سامسونگ،سونی،اچ تی سی،شک نکنید اگر دنبال گوشی سریع وروان وفاقدهنک هستید،s6وz5,قابل مقایسه با این گوشی نیست،ممنون از دیجی کالا",14,25,3,5,4,5,4,4
