positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"زيبا.سخت افزار قوي.",,"سلام دوستان عزیز من دیروز گرفتم خیلی گوشی روان.بخدا.حرف الکی هم نمیگم.اندورید6بود زبان فارسی هم داره داخل تنظیمات زبان.18ماه گارانتی داره .گارانتی من ازتاریخ16فروردین96شروع شده بود.خیلی دوربین خوبی داره.واقعا حس خوبی داره.جلوی گوشی سفید..پشت گوشی سبز ابی.چرم.اندورید7هم امده واسش.",1,1,3,3,3,3,3,3
"دوربين،باتري،ظاهر،کيفيت،سرعت،انتن دهي",حافظه,"با سلام من این گوشی رو تازه از دیجی کالا گرفتم خیلی بهتر از اون چیزی بود فکر میکردم دوربین و باتری و تاچ و سرعت عالی خوش دست،ولی سنسور حرارت و فشار نداره،که البته مهم هم زیاد نیست اندروید هم شش روش هست ظاهرا اپدیت شده،جنس پشتش هم با کیفیت و آبی خوش رنگی است ولی بیشتر شبیه پلاستیک فشرده است تا چرم،باتری با استفاده زیاد بیش از ده ساعت هم میره،",3,0,3,5,4,5,5,4
"همچيش خوبه","نبود محافظ صفحه و قاب محافظ در ديجي کالا","بسیار روان و پر سرعت و شیک",3,0,5,4,3,4,5,3
"همه چي",ندارد,"چقد خوبه این گوشی من الان زد 2 دارم با همین پردانزده با کلاک 2.5 دیگه معرکه میشه صفحه نمایش هم فوق قالعادس واقعا گوشی خوبیه اگه گوشیمو خوب بفروشم اینو صد در صد میخرم.",3,1,5,5,5,5,5,5
"داشتن امکانات خوب شيک بودن و خاص بودن گوشي","من که نديدم","گوشی بسیار شیک وخاص برای افراد خاص امکانات لازم رو داره من که خیلی خوشم اومد مرسی از دیجی کالا متشکرم",3,1,3,3,3,3,3,3
"صفحه نمايش فوق العاده و از اون مهمتر طراحي جذاب","باتري نسبتا ضعيف","برای اونایی که به خاطر قیمت محدودیتهایی دارن و اصالت و طراحی رو به امکاناتی مثل دو سیمکارته بودن و حافظه جانبی ترجیح میدن گزینه جذابیه.
با رنگشم اصلا مشکل ندارن...بسیار زیبا و هیجان انگیزه و کسالت رنگهای همیشگی مشکی و خاکستری رو از یادتون میبره.
بالاخره جزء اصیلترین برندهای دنیاست",4,0,5,4,4,4,5,4
,,"گوشی عالیه نسبت به قیمتش رقابتیه
من که خریدم
رنگ سبز ابی جلوش سفیده حواستون باشه.",8,2,5,5,5,5,5,5
"کيفيت ساخت و خوش دست بودن",,"عالی از هر نظر بعد از دوسال استفاده ممتد هنوز جذاب هست.",4,1,3,3,3,3,3,3
عالي,هيچ,"عالی پیشنهادخریدمیدم.اندروید7واسش میاد",3,1,3,3,3,3,3,3
"اندرويد خالص
صفحه نمايش عالي
کيفيت ساخت عالي","حافظه کم (کاش کاذت حافظه جانبي ساپورت ميکرد)
دوربين البته زيادم بد نيست
باتري","کسایی که این گوشیو بی کیفیت میدونن تاحالا از نزدیک لمسشم نکردن، بعدشم این گوشی واسه سال 2014هست الان نباید نقد بشه، درکل گوشی خاصیه",35,3,4,4,4,5,5,4
,,"نسبت به قیمتش نمی ارزه ..
با این قیمت میشه گزینه های بهتری انتخاب کرد .
دوربین و باطری ضعیف از معایبش هست",5,35,3,3,3,3,3,3
"هيچي والا","همه چي","گوشی با کیفیت پایین سنگین و بسیار اسیب پذیر اصلا راضی نیستم",2,39,1,1,2,0,4,4
"قدرتمندي در طراحي و ساختار محکم","cpu و RAM ضعيفي داره","نسبت به بقیه و قیمتها، قبمتش گرونه
ولی کیفیت موتورولا یه چیز دیگه اس همیشه",18,5,2,5,3,3,5,3
"Active display
ژست‌هاي حرکتي","دوربين عقب و جلو","من دو سالی میشه که این موبایل رو دارم همه چیش عالیه هم زیباست هم سخت افزارش قابل قبوله. تنها نقطه ضعفش هم دوربینه که واقعا خوب نیست مخصوصاً دوربین جلو.
یه قابلیتی داره بنام Active display که وقتی موبایل رو از جیب درمیارم یا دستم رو بهش نزدیک میکنم، ساعت و اعلان‌ها رو نشون می‌ده که من تقریباً هدفم از خریدن این گوشی همین قابلیت بود.",16,4,5,5,5,5,5,5
