positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"واقعا که بهترین.هم شارژش عالیه.از کیفیت هم که کم نداره.واقعا بی نظیره.یک ساله از دیجی کالا این گوشی رو خریدم و واقعا عااااالی.",3,0,5,5,5,5,5,5
"خوش دست
با کيفيت از هر نظر","نبود درگاه حافظه جانبي","سلام. من 6 ماه پیش این گوشی رو خریدم و واقعا عالیه و حتی یک لحظه پشیمون نیستم ، این گوشی بازیهای سنگین مثل real racing3 - need for speed - asphalt 8 و همه بازی های سنگین رو به راحتی و بدون کوچکترین لگ یا کندی اجرا میکنه ولی بعد از 6 ماه کار باهاش بخاطر اینکه حافظه اش کلا پر بود ، گوشی هنگ کرد طوری ک فورس ریستش کردم و واقعا واسم عجیب بود !",3,2,3,5,5,5,5,5
,,"ایفون ایفون و باز ایفون!!!!!
بسیار هیولا شده بود واسه من یکی ایفون چیه!ایفون غوله!ایفون خراب نمیشه!!!!
ایفون یه گوشی با امکانات خاص خودش سیستم عامل محدودی داره به فرض مثال شما حق نداری تنظیمات دوربین از تو دوربین انجام بدی!!! حق نداری شخصی سازی کنی!حق نداری فایل منیجر داشته باشی!حق نداری برنامه هاتو ایکون هاشو جابه جا کنی!با هزار مکافات دانلود کن به شدت وسایل جانبی گرون به شدت هنگام استفاده زیاد از گوشی خصوصا مثال بزنم تو بازی nba2k2016به شدت داغ میکنه نسبت به قیمت به هیچ عنوان نمیرزه
فقط واسه کلاس عالیه",10,27,0,5,1,5,3,0
"خوش دست بودن و بسيار شيک
داراي سخت افزار قدرتمند",,"من تقریبا 6 ماه هس این گوشی رو دارم از همه نظر عالیه و بیشترین مشکلی ک کاربران در رابطه با این گوشی میگویند باتری آن است حال میخواهم چند راه حل برای بهبود عملکرد باتری رو بتون پیشنهاد کنم
1-اول از همه سعی کنید همیشه Low power mode را روشن نگه دارید که این کار را میتوانید در قسمت settings انجام دهید
2-نگذارید باتری گوشی خالی شود ترجیحا تا 20٪ خالی شد آن را دوباره به شارژ بزنید با این کار باتری گوشی دچار استرس نمیشود
3-باتری های استفاده شده در این گوشی ها نسل جدید هستند از نوع لیتیومی و نیازی به شارژ کامل ندارند و در بعضی از مواقع شارژ کامل باعث خرابی آن هم میشود پس گوشی را ترجیحا تا 80% بیشتر شارژ نکنید
با این کارها خودتان متوجه بهبود عملکرد باتری میشوید
تشکر که وقتتون تا اینجای کار به من دادید با رضایت و موافقت شما دوستان عزیز نکات دیگری هم ارائه می دهم
یا علی",11,4,3,5,4,4,5,4
,,"سلام
1ماه دارم 64گیگ برا وب گردی اصلا خوب نیست
تو بازی های گرافیکی ب شدت داغ میکنه همه اپل ها ایجورن البته
ب شدت سیستم عامل محدود داره
نبود فایل منیجر
نبود شارژ سریع
ضد اب نبودن
صفحه نسبت ب قیمت کم کیفیتش
خوبی هاش
با کلاسه شیک کوچیکه خوش دسته
در کل ی ذره تحقیق کنید ارث ما نیست که اپل یا سامسونگ یا ...بسته ب نیازت گوشی رو انتخاب کن ک به کارت بیاد
هرکی گفته اپل هنگ نمیکنه واقعا در اشتباه تو این 1ماه 3بار هنگ کرد ک مجبور ب گرفتن دکمه هوم و پاور با هم شدم حتی خاموش نمیشد!!!
قبلش جی2داشتم خداییش بسیار راضی بودم
واقع بین باش عزیز اون چیزی که به کارت میاد بگیر",15,34,3,3,3,3,3,3
,,"سلام دوستان،بدون طرفداری مختصر میگم،وقتی این گوشی با این همه آپشن جدید و کیفیت درجه یک در یک گوشی که خوش دست ترین گوشی دنیا لقب داره پس توی خریدش شک نکنید",26,7,5,5,5,5,5,5
"باتري با عملکر دي رضايت بخش
سيستم عامل روان و بدون هنگ (برعکس اندرويد)
طراحي فوق العاده (درست مثل 5s)
دوربين 12 مگاپيکسلي بي نظير
تراشه قدرتمند A9 و 2 گيگابايت حافظه ي رم که با توجه به سيستم عامل iOS فوق العادس!","دوربين سلفي با کيفيت پايين (نسبت به 5s)
حافظه ي کم 16 گيگ با توجه به حجم بالاي سيستم عامل و حجم بالاي نرم افزار هاي iOS","سلام.گوشی آیفون SE از نظر ظاهر کاملا شبیه به 5s است اما از نظر سخت افزار با آیفون 6s برابری میکنه . اگر با صفحه نمایش کوچک مشکلی ندارید من این گوشی رو پیشنهاد میکنم ولی اگر با صفحه نمایش کوچک مشکل دارید من آیفون 6s رو پیشنهاد میکنم.
قابل توجه اون دسته از عزیزانی که درمورد حافظه ی 16 گیگ این گوشی سوال دارن باید بگم که اگر اهل نصب نرم افزار جدید و زیاد و اهل بازی کردن و عکاسی و فیلمبرداری هستید من نسخه ی 64 گیگابایتی رو پیشنهاد میکنم ولی اگر اهل عکاسی و فیلمبرداری و بازی نیستید و به یکی دو تا بازی و چندین نرم افزار ساده اکتفا میکنید من نسخه ی 16 گیگابایتی رو پیشنهاد میکنم و اینم اضافه کنم که به دلیل حجم بالای سیستم عامل iOS حدود 3 الی 4 گیگابایت در اختیار خود گوشی و حدود 12 گیگابایت در دسترس شما هستش و فراموش نکنید که حجم نرم افزار های iOS نسبت به اندروید حجیم تر هستند.
امیدوارم اگر قصد خرید این گوشی رو دارید با توجه با توضیحاتی که دادم تونسته باشم کمکتون کرده باشم.
یا علی...",19,3,5,5,5,5,5,5
,,"من این گوشیو 5 ماهه دارم ، از نظر سخت افزار و سیستم عامل عالیه ، حسگر اثر انگشت سریع ، دوربین اصلى با کیفیت خوب ،ولى دوربین سلفى در شرایط نورى کم ضعیف عمل میکنه .",13,1,4,4,4,4,5,2
,,"سلام، من دو ماهه این گوشی رو خریدم، واقعا عالیه، البته من 64 گیگش رو خریدم، باتریش عالیه، بخرید قول میدم پشیمون نمیشین",16,2,5,5,5,5,5,5
همچي,هيچ,"دوستان از نظر باطری خیالتون کاملا آسوده باشه فقط توی بازی های حجیم و سنگین(ازنظر گرافیک)به علت سخت افزار فوق العاده قدرتمندش کمی مصرف بالاتر میره به طور عادی اما باز هم جای نگرانی نیست در کل این گوشی هیچی براتون کم نخواهد گذاشت و شما هم در مقایسه با سایر آیفون ها و برند دیگه های به جز اندازه صفحه که کاملا هم استاندارد هست اما برای دست ها و انگشت های بزرک که شاید حال نده کم بود دیگه ای حس نخواهید کرد.",7,0,4,5,3,4,4,4
