positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"همه چيز بجز دوربين","دوربين ضعيف نسبت به g5","حیف که این گوشی دوربینش از g5 ضعیفتره ضعیف هم نباشه عملکردش خوب نیس ولی همه چیزش عالیه",2,30,2,4,4,4,4,3
,,"من الان 3 ماهه این گوشی رو دارم از لحاظ باتری و دوربین خیلی خوبه سرعتش هم بد نیست ظاهرش هم میپسندم یعنی واسم تکراری نشده سنسور اثر انگشت هم عالی و بی نقص عمل میکنه تنها ایراد به این گوشی آنتن دهی بدش نصبت به باقی هم رده های خودش است بخاطر همین میخوام عوض کنم و اس 8 سامسونگ بگیرم",5,24,2,4,4,3,4,2
"طراحي و خوش ساخت
دوربين
آنتن دهي خوب واي فاي
عملکرد عالي ديتاCAT12","از نظر من فقط باتري","سلام خدمت دوستان
تجربه حدود یک ماه استفاده از گوشی وی 20 چندتا مورد مختصر میگم
گوشی خوش ساخت و دوست داشتنی هست
بابت دوربین میشه گفت رضایت بخشه،فقط دوربین وایدش تو شب و تاریکی نویز داره،دوربین سلفیشم در حد قابل قبوله
در مورد آنتن دهی برای سیم کارت اتفاق افتاده جایی که چندنفر انتن داشتن تو ی محیط ولی من دسترسی به شبکه نداشتم
در خصوص ارتباطات دیتا و وای فای عالی عمل میکنه
تنها موردی که جالب نیست و میشه از نظر من ایراد گرفت باتری گوشی هست که ضعیفه،دوستانی که استفاده زیاد دارن با گوشی من پیشنهاد نمیکنم
ولی ب لطف شارژ سریع میشه گفت میتونید کنار بیایید
اندازه گوشی هم بستگی ب سلیقه فرد داره که بتونه کنار بیاد یا نه
صفحه نمایش دوم تا حدودی کاربردی هست(نسبت ب عزیزانی که میگن خیلی کاربردی)لااقل برای من،ولی بهتر از قابلیت همیشه روشن هست",5,4,4,5,4,5,5,4
,,"نسبت به سامسونگ و سونی هم رده خودش خوب نیست
و زیاد داغ میکنه",7,34,1,3,2,3,3,2
"درمقايسه باg4:اثرانگشت،دوربين16،اندرويد7.","ب راحتي خش افتادن روي قسمت بالاوپايين v20ب دليل آلوينيوم بودن.خوش دست نبودن.","سلام من v20روخریداری کردم واقعاالان پشیمونم چون تقریباباg4برابری می کنه فقط اندرویدوباتریش ازg4بالاتره ک انروید5.1کارموراه مینداخت باتریشم ک ب خاطر ابعادبزرگ v20همون اندازهg4 نگه میداره.",3,24,1,2,5,5,2,5
"حسگر اثر انگشت
سرعت و استحکام بالاي گوشي
زيبايي
رزوليشن بالا و بزرگي صفحه نمايش
ضبط صداي عاليييي","خالي شدن سريع باطري","من بین این گوشی و اپل 7پلاس مونده بودم
ولی چون من عاشق اپلیکیشنم .محدودیت اپل رو نپسندیدم از یه طرف گوشی هم خیلی میندازم زمین استحکام گوشی خیلی مهم بود برام
الان یک ماههv20 نقره ای خریدم کلی برنامه و بازی زدم سرعتش عالیههه اصلا لگ و هنگی نداره.
دوبار از دستم رو اسفالت افتاده اخ نگفته.زیبایش عالیه همه خوششون میاد
من 24 ساعته نتم بازه و فقط بازی میکنم در روز 2 بار الی 3 بار شارژ میکنم
بدون اینترنت و بازی صبح تا شب شارژ دارین
درکل من که خیلییییی راضیم
به عنوان اشانتیوم هم هدست بی سیم الجی کادو داد خود شرکت .کیفیت صدای هدستشم عالیهههه ویبره هم میزنه تازه خخخ
در کل برای خریدنش اصلا شک نکنید
فقط حتما اصل بخرید و موقع خرید کارت گارانتی طلایی بگیرید چون پشتیبانی شرکت الجی عالیهههه.
بابت باطری هم نگران نباشید پاوربانک های همراه دیگه مشکل شارژ رو حل کردن",14,2,5,5,5,5,5,4
"بدنه مقاوم
دوربين 135 درجه
کيفيت بسيار بالاي تصوير برداري در حالت منوال و اتوماتيک
ضبط صداي بسيار قوي
کيفيت خروجي هندزفري بي نظير",ندارد,"نمیدونم به غیر از همه اینهایی که توی وی بیست هست, چه توقعی از یک پرچمدار میشه داشت. بهترین انتخاب موجود هست ببن پرچمدارها. در مورد جی6 هم که دوستان سوال کردن, فقط توی سی پی یو که 821 هست نسبت به وی بیست برتری داره و با توجه با قیمت های موجود , جی 6 در مقابل وی بیست با قابلیت تعویض باتری اصلا ارزش خرید نداره.
ضمن اینکه یکی از دوستان در مورد مقاومت گوشی گفته, واقعا بی نظیره. لبه بالای گوشی من خیلی محکم افتاد روی لبه آهنی که برای چارچوب در اتاق درنظر گرفته شده بود و هیچ اتفاقی برای بدنه نیفتاد. حتما پیشنهاد میکنم.",8,2,5,5,5,5,5,5
"دوربين بسيار عالي
طراحي زيبا در مقايسه با بقيه گوشي هاي هم قميت
باتري قوي
کيفيت صداي عالي
اندرويدي متفاوت","هيچ مشکلي نداره","همه چیش عالیه . اگه یکم تحقیق کنید میفهمید که عالیه . فقط لطفا رنگ مشکیش رو موجود کنید",7,2,5,4,4,3,4,4
,,"این گوشی در مقابل ضربه به صفحه دوربین بسیار حساس بوده و شیشه جلوی دوریبن خیل سریع میشکندو نمایندگی تعمیرات هم پاسخ میدهد که قسمت کامل پشت آن به همراه دوربین ها تعویض شودکه مبلغ آن بالا میشود به خاطر این مشکل از خرید آن جدا خودداری کنید",1,6,3,2,4,3,3,3
"همه چيز به جز باطري","تا حدي باتري.","باتری این گوشی با قابلیت های زیادی که داره باید باتری قویتری براش طراحی میشد. البته شارژ سریع تا حدی این ضعف رو جبران میکنه ولی مستلزم صرف وقت و زمان هست.
از اونجایی که باتری قابل تعویض هست شرکت ال جی میتونه باتری هایی با ظرفیت و توان بیشتر تولید کنه تا اگر کاربری صلاح دونست و نیاز داشت از باتری قوی تر استفاده کنه.",8,1,5,5,5,5,5,5
