positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"ظاهر.4جي.صفحه نمايش","باتري.دوربين ولمس ميوانست بهتر باشد.حافظه داخلي","دوستانی که قصد خرید این گوشی رو دارند یه نگاهی به زت تی ای وی6 بکنن پشیمون نمیشین
رم اون 2هست این 1.5 اون فلزی هست حافظه اون 16 این 8 طراحی و ظاهرشم که نگو روان و عالی",1,0,4,4,3,4,5,4
"از همه لحاظ عاااااليه","فقط لمسش خيلي ضعيفه","از همه لحاظ عالیه فقط لمسش خیلی ضعیفه.
از لحاظ سرعت و دوربین و همه چیز خوبه.
من باری آسفالت 8 رو اجرا کردم روش بدون هیچ افت سرعتی",0,1,5,5,5,4,5,5
"باطري قابل تعويض
خوش دست بودن
کارايي راحت
پيدا شدن لوازم جانبي
قيمت مناسب","حافظه ي پايين که مي شه با رم ميکرو اس دي درستش کرد","حتما پیشنهاد میکنم هنوز که نتوانستم بخرم ولی از همه نظر حرف ندارد",1,0,3,3,3,3,3,3
"همه چيزش","حافظه پايين( با 26 تومن رفع ميشه) فقط و فقط همين","نسبت به قیمتش واقعا عالیه، توی محاسبات واقعا سریعه و کم نمیاره. نیخه اندروید بروزی هم روش هست. طراحی ظاهریش با عکسش قابل مقایسه نیست. استفادشم خیلی راحته.لوازم جانبی خوبی هم داره که شامل یه هندس فری، یه شارژر و باتریش میشه. باطریش جداس و باید توش قرار بدین.",2,0,4,5,5,4,5,4
"تراشه طراحي 4g روان بدون هنگ اندرويد شيش نور صفحش هم خيلي کم ميشه براي شب خيلي مناسبه","باتريش زياد قوي نيس ولي خوبه مديريت فايلش يکم ازيت ميکنه که مديريت هواوي روش نصب کردم خوبه خودکار روي sd زخيره نميکنه","توی این قیمت این و زد تی ای از همه بهتره ولی ال جی شناخته تره و قتعاتش از زد تی ای بهتر پیدا میشه توی این قیمت بهترین گوشیه",0,0,4,5,3,4,5,4
"همه چيزش",ندارد,"پیشنهاد میکنم بخرید ضررنمیکنید",2,0,5,4,4,4,5,5
,,"با توجه به نظرات فکر کنم خوب باشه نسبت به قیمتش تازه خیلی خیلی خوشگله.حالا شک دارم که خوبه یا نه",4,1,3,3,3,3,3,3
"اينترنت 4G
شيک و زيبا
اندرويد 6
قيمت مناسب","عملکرد نه چندان مناسب باطري
يکم لوازم جانبيش بد گير مياد","من قبلاً سامسونگ J3 2016 داشتم صفحش با یه ضربه ی خیلی کوچک شکست! دیگه نمیصرفید اون رو درست کنم k8 خریدم و از خریدم راضیم",0,0,5,4,4,4,5,4
,,"با این قیمت عالیه",1,0,4,4,4,4,4,4
"4g
برند خوب
صفحه خيلي خوب
اندريد 6 مارشمالو عالي
قيمت البته شگفت انگيز","نسبت به قيمت و خوبيهاش نقطه ضعف خاصي ندارد","سلام دوستان من چند وقتی بود دنبال یه گوشی خوب باقیمت مناسب میگشتم خیلی هم تحقیق کردم تا به این گوشی رسیدم الانم که بدستم رسیده خیلی ازش راضیم گوشیه بسیار زیبا و خوش دستی هست هنگ هم تو کارش نیست(با 30 تا برنامه باز راحت و روان کار میکرد اصلا هم داغ نکرد) باطریش خوبه یک روز را با استفاده تقریبا زیاد راحت جواب داد در کل امکاناتش بیش از قیمتش می ارزه در خریدش لحظه ای شک نکنید",0,0,5,4,5,4,5,4
