positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"کیفیت پایین صفحه نمایش",2,1,3,3,3,3,3,3
"صفحه نمايش خوب
باطري عالي
فست شارژ!
دوربين خوب
قيمت منصفانه","تو اين رنج و رده نقطه ضعفي نميبينم","بیشتر از اون چیزی که پول میدی،آش تحویل میگیری راضیم ازش",11,3,5,4,4,5,4,4
,,"دوستان توجه کنید...
با دیدن یه ویدیو که نمی شه گفت این گوشی خوبه یا بده؛ شما چطوری با دیدن یه ویدیو اومدی این نقطه ضعف ها رو در مورد گوشی بیان کردی...
نظر شما وقتی اعتبار پیدا می کنه که حداقل ده روز با گوشی کار کنی و انواع مختلف فعالیت ها رو با گوشی انجام بدی و گوشی رو به چالش بکشی تا بفهمی این گوشی در کدوم مورد قوی عمل می کنه و در کدوم مورد ضعیف...
من خودم این گوشی رو ندارم ولی هر وقت می خوام در مورد یک گوشی اطلاعات کسب کنم میام نظرات کاربرانی رو می خونم که این گوشی رو چند وقتیه که دارن...و بعد از مجموع نظرات دوستان در مورد اون گوشی به نتیجه می رسم که این گوشی ارزش خرید داره یا نه",10,2,4,4,4,4,4,4
,,"سلام. من این گوشی رو دو ماه پیش ، قبل از اینکه دیجیکالا بیارش خریدمش .
اون موقع با اینکه گرونتر بود ارزش خرید داشت چه برسه به الان که قیمتش پایینتر اومد . رابط کاربری شبیه اپل هست . حسگر اثر انگشت دقیق و سریع و عالیه . کیفیت دوربین ها خوب و در شب و روز عکسهای خوبی میتونید بگیرید . کیفیت تصویر عالی . تاچ عالی . باطری حداکثر دوساعته شارژ کامل میشه و اگه مثل من خیلی زیاد از گوشی استفاده کنید بیشتر از یک روز جواب میده . من قبلا سامسونگ و ال جی هم داشتم و باید بگم که هانر اگه از اونا بهتر نباشه ، بدتر هم نیست .
شک نکنید .",5,1,4,4,3,4,3,3
"پردازنده قوي
رم بالا
حافظه زياد
دوربين باکيفيت
صحفه نمايش باکيفيت",,"این گوشی خیلی عالیه. به راحتی همه ی بازیهای دیتا دارو اجرا میکنه. اگه میخواین بخرینش شک نداشته باشین",9,1,5,5,5,5,4,3
"بدنه خوب
باتري خوب","صفحه نمايش معمولي
تو شب دوربين معمولي","من این گوشی را واسه خانمم خریدم اول از دوربین بگم تو روز قابل قبوله ولی تو شب خیلی معمولیه این دوتایی بودن دوربین هم که ما نفهمیدیم واسه چیه صفحه نمایش کم رنگ و بی روح شاید تو نگاه اول خوشتون بیاد ولی بزاریدش کنار یه گوشی دیگه مثل هواوی جی 8 متوجه میشید که اصلا رنگهاش خوب نیست کلا سری هانر همشون همینجورین بدنه اش خوبه و خوش دست باتریش هم خیلی خوبه سخت افزار هم که تو رده متوسطه هستش البته بهتر از پردازنده های این رده قیمتی مثل اسنپ 615 یا مدیا تک هلیو x10 هستش فعلا هم لوازم جانبیش نیامده کسانی هم که دارن گلس روش نزنن بخاطر 2.5 d بودنش لبه های گلس خوب نمیچسبه ولی من یه محافظ صفحه از جنس tpu واسش گرفتم که کل صفحه را پوشش میده ایرادش اینه انگشت مثل گلس خوب روش حرکت نمیکنه در کل تو این رنج قیمتی بهتر از گزینه های برندهای دیگه هستش تاکید میکنم تو این قیمت نه بیشتر",5,5,3,3,3,3,3,3
دوربين,باطري,"گوشی معمولی اما قیمت مناسب",0,4,3,3,3,3,3,3
,,"قابل توجه دوستانی که نظر دادید j7 prime ....
موبایل j7 prime برای غیر حرفه ای ها خوبه...
اول اینکه از نظر سنسورها j7 در مقابل 6x حرفی برای گفتن نداره.
حسگر ژیرسکوپ برای بازی های سه بعدی و واقعیت مجازی ضروری هست که 6x این حسگر رو دارا میباشد بر خلاف j7.
دوم صفحه نمایش خودتون مقایسه کنید و فناوری ساخت رو.tft رده پایین ترین فناوریه.چون ایرادهای زیادی داره تنها برای موبایل های ارزان قیمت استفاده میشه.مقاوم ترین صفحه نمایش ips هستش دوستان. رنگ هارو طبیعی نشون میده و کم مصرفه.
حافظه داخلی که 6x دوبرابره و cpu هم قویتره..
سرعت اینترنت نسل چهارش هم بیشتره چون cat6 هستش.
حسگر اثرانگشت 6x خیلی قویتره سه دهم ثانیه کافیه برا شناسایی و خیلی دقیقه.
حالا هر کی هر کدوم رو خریده مبارکش باشه انشاله.",6,0,5,5,5,5,5,5
,,"با یه جستجوی ساده توو اینترنت میتونید راه حل ساپورت همزمان دو سیم و کارت حافظه رو مشاهده کنید، خیلی هم سادست من واسه گوشی خودم و p8 و g8 و p8 lite انجام دادم",4,1,3,2,4,5,2,2
"همه چي",هيچي,"هواوی داره میترکونه سری هانر عالیه دمشون گرم خدایی از سامسونگ که فقط پول برندشو میگیره بهتره ایول این کوشی حرف نداره",3,1,3,5,5,5,5,5
