positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
همچي,"نور نسبتا کم صفحه
نور پس زمينه کليد هاي پايين","این گوشی با توجه به قیمتش تقریبا هیچ نقصی نداره، حتی عملکرد و سرعتش هم رضایت بخش بوده، انتن دهی صدا دوربین و ... همچی قابل قبول
دوستی نوشت این گوشی دو سیم کارتش 4جی و 3جی نیست!!!
کلا هیچ گوشی دو سیم کارته حتی موتورولای 2 میلیونی من هم دو سیم کارت همزمان 4جی نداره و اصن نیازی هم نیست داشته باشه چون اینترنت فقط از یک سیم کارت گرفته میشه
تنها کاستی این گوشی نداشتن نور پس زمینه کلید های پایین صفحه هست و نور کلی صفحه نمایش در حداکثر خودش برابر نور عادی گوشی های دیگه میشه.
در مجموع برای گوشی دوم یا اولین گوشی برای بزرگترها کاملا قابل قبوله",3,0,5,3,4,4,5,3
"چيز خاصي نداره","همه چي","بد ترین عیبش اینه که کلید هوم و سایر کلید ها که زیر صفحه تاچ هست چراغ نداره و در شب اصلا مشخص نیست و باید از ذهن کمک گرفت وحدودی اونو لمس کرد
مورد بعد سرعت پایین با عین حال اینکه برنامه خاصی روش نصب نکردم
نداشتن منو که یه نقص بزرگ برای کسی که تا به حال گوشی منو دار داشته.
شارژ اش سریع خالی میشه و زیاد زمان می بره تا شارژ بژه
در کل خریدش رو پیشنهاد نمی کنم.",3,1,3,2,3,0,2,2
"4جي
قيمت مناسب
باتري عالي","دوربين در حد3مگا نه8مگاپيکسل
آنتن دهي ضعيف
تعداد هنگ بالا
صفحه نمايش خيلي ضعيف
بدرد سلفي نميخوره","از دیجی کالا برای کالاهای خوبش تشکر میکنم ولی درخواست دارم با دقت کامل مشخصات فنی گوشی هارو در سایتشون قرار بدن تا مشتری گمراه نشه. این گوشی هردو سیم کارتش 3جی و4جی نیست وفقط از یکیش میشه 4جی استفاده کرد و سیم دوم 2جی میشه.",0,3,3,3,3,3,3,3
"سادگي و راحتي کار","با توجه به قيمت نقطه ضعف خاصي نداره","من این گوشی رو خریدم. کار کردن باهاش خیلی راحته و شلوغ پلوغ نیست.تنظیمات زیادی هم نداره. کیفیت همه چیزش هم نسبت به قیمتش خوبه. برای کسایی مثل من که تماس ، پیامک و در حد چند تا نرم افزار کاربردی با گوشی کار میکنن خیلی خوبه.",3,1,4,3,3,4,4,2
4g,"پرش آنتن مکرر","سلام
این گوشی پرش آنتن مکرر داره هردوتا سیم هم پرش داره و تاچشم ضعیفه و کیفیت تصویرشم پایینه، بقیه چیزاش عادیه",0,3,3,2,2,3,3,2
"4g
اندازه مناسب
کيفيت مناسب دوربين
قيمت خيلي مناسب","اندرويد 5
دوربين سلفي بد","سلام. این گوشی رو تازه خریدم ولی مطالب زیر رو میتونم درموردش بگم:
1- کلیدهای گوشی بک لایت نداره و شبها باید به حافظه مراجعه کنین
2-هیچگونه امکانات اضافی نداره و برای کسانی که فقط اهل مکالمه و پیامک هستن و به بقیه گوشی کاری ندارن خیلی خیلی مناسبه
3- از این بابت که 4g داره هیچ حرفی رو برای ارتباط با اینترنت و استفاده به عنوان یه مودم همراه باقی نمیزاره
4- کیفیت تصویرش خوبه و تمام رنگها رو به خوبی نشون میده
5- صدای مکالمه خیلی خوبه هم گوشی هم میکروفون ولی پخش صدا به صورت آیفونی در حد رفع نیازه
6- به قول یه بنده خدایی به راحتی تو جیب جا میشه:دی
7- باتریش با تقریبا دو ساعت مصرف اینترنت و با زنگ خور زیادی که من دارم یه روز کامل جواب داد
8- شارژ باترین از 12% تا 100% که گذاشتم تقریبا 2 ساعت زمان برد
9- حساسیت لمس صفحه خوبه و مشکلی احساس نمیکنین. حتی با برچسب محافظ صفحه
در انتها عرض می کنم برای کسانی که اهل نصب نرم افزار نیستن و فقط مکالمه و تلگرام و مصرفهای عمومی هستن بسیار گوشی خوبیه و واقعا به قیمتش میارزه",5,0,5,3,2,4,3,2
"قابليت 4g در هر دوسيمکارت و شکيل بودن","صفحه نمايش کم کيفيت","به عنوان گوشی دوم و مودم همراه خیلی خوبه اما کیفیت صفحه نمایشش مثل محصولات سامسومگ نیست. و به عنوان کلیپ نگاه کردن و فیلم خوب نیست.",2,1,3,3,3,3,3,3
"شيک و زيبا","کيفيت پايين صفحه ي نمايش
عدم توانايي در نمايش تنوع رنگها","این گوشی تازه به دستم رسیده است.در کل گوشی بدینمی باشد ولی برای اشخاصی چون بنده که بصری هستند و کیفیت رنگ برایشان مهم است گوشی مناسبی نیست(این گوشی قابلیت نمایش طیف وسیعی از رنگها چون انواع و اقسام بنفش،سبز و زرد را ندارد).",1,0,2,2,2,3,4,3
"خيلي زياده",,"علی هستش نخری از دستت رفته",0,3,5,5,5,5,5,5
"دوربين خوب
حافظه ي داخلي خوب
CPUمناسب و خوب
RAMمناسب و خوب
اندرويد 5.1 که براي اين گوشي مناسب مي باشد. و...","صفحه نمايش مناسب ولي کوچک که مي توانست 5 اينچ باشد","نسبت به قیمت امکانات سخت افزاری و نرم افزاری بسیار خوبی دارد.اگه نخری از دستت رفته.
من که هر چه سریع تر می خوام این گوشی رو بخرم.",1,3,5,5,5,5,5,5
"دو سيمکارت داراي تمام شبکه هاي ارتباطي
دوربين مناسبذو ابزار هاي کاربردي","صفحه نمايش کم کيفيت
اندرويد 5.1 که مي توانست 6 هم باشد","این مدل گوشی تی پی لینک بر عکس قیمت کم دوربین خیلی مناسب همراه با LED فلش و ابزار های خوبی در دوربین هست و البته صفحه دو سیمکارت که هردو توانایی استفاده از شبکه های 2G , 3G , 4G را دارا هستند که این توانمندی در هیچ یک از گوشی های رده بالا هم قابل مشاهده نیست البته استفاده از اندروید 5.1 و صفحه نمایش کم کیفیت و رزولوشن تصویر نامناسب این گوشی ممکن تست دلیل قیمت کم آن باشد ولی در این مدل سعی شده بهترین نوع شبکه های ارتباطی و دوربین تقریبا میان رده و مناسبی به کار گرفته شود تا نظر این دستت از مخاطبان گوشی های تلفن همراه را به خود جذب کند البته با رم و cpu و گرافیک این گوشی سعی در انجام بازی های گرافیکی نداشته باشید و بیشتر برای کار های عادی و بلزی های میان و پایین رده کرافیکی از آن استفاده کنید.",2,0,5,3,5,3,4,5
"زيبا
اينترنت 4G
دوربين با کيفيت
رابط کاربري زيبا و سريع",,"سخت افزار‌ش که در حد قیمتش عالیه طراحیش هم خیلی شیکه",2,0,5,5,5,5,5,5
,,"ظاهرا تی پی لینک , یه مدلو یاد گرفته و هر گوشی ای میزنه , یه شکله !!! تقاضای طراحی جذاب برای میان رده هاش داریم !",3,3,5,3,4,4,3,1
