positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,,"این گوشی را حدود یک ماه هست دارم و واقعا ازش راضی هستم و دردسری برام نداشته ، هم از نظر زیبایی خیلی زیباست و چشم نواز و هم از نظر کار کردن باهاش واقعا لذت می برم ، بلندگو هاش کیفیت خوبی دارد ، باتریش هم با اینکه 2600 هست ولی به راحتی یک روز را جواب میده و حتی من تا نزدیک دو روز هم نیازی به شارژ نداشتم",0,0,5,5,3,4,3,5
"سخت افزار قوي","عدم ساپورت نرم افزاري و اطلاع رساني خوب براي استفاده درست و بهتر","1- من بعد از حدود بیشتر از یک ماه استفاده در بعضی اوقات مشکل رفتن آنتن یا قطع شبکه رو داشتم ولی دفعاتش خیلی کم و مدت زمانی که طول میکشید تا شبکه برگردد خیلی کوتاه بود.
2 - یکی از اشکالات بزرگ این گوشی نبود برنامه های پیش فرض در خود گوشی به صورت فابریک هستش ... برنامه هایی که مال خود موتورولا باشه ... مثلا برای پخش موزیک - دیدن عکس و فیلم - مدیریت فایلها و از این دست ... شما باید همه این برنامه ها رو بصورت اپ مجزا از گوگل استور دانلود کنید اون هم برنامه هایی که توسط شرکتهای دیگری نوشته شده ....
3 - مشکل دیگه ای که من باهاش برخورد کردم نبود یا ندادن اطلاعات کافی برای کار و استفاده در شروع از لین گوشی بود و این باعث شد تا پایه اتصال سیم کارت یک، در یکی از زمانهایی که من قصد تعویض سیم کارت با سیم دیگری رو داشتم (موقع تعویض سیم کارت) شکسته بشه و وقتی هم به خدمات پس از فروش مراجعه کردم عنوان شد که برای تعمیر یا برطرف کردن این عیب کل مادربورد دستگاه باید عوض بشه و این شکستگی شامل گارانتی هم نمیشه و هزینه اش هم خیلی میشه ...!!!!!!! که واقعا خیلی سنگین ....!!! و الان گوشی من فقط با سیم دو کار میکنه .... بدون کارت حافظه ....
4- نکته بعدی وابستگی شدید این گوشی به ماژول های طراحی شده توسط شرکت های ثالث برای این گوشی میباشد تا این گوشی حرفی برای گفتن داشته باشهو البته گرونی فوق العاده این ماژول ها ...",1,1,2,4,2,2,4,2
"سخت افزار قوي","عدم ساپورت نرم افزاري و اطلاع رساني خوب براي استفاده درست و بهتر","1- من بعد از حدود بیشتر از یک ماه استفاده در بعضی اوقات مشکل رفتن آنتن یا قطع شبکه رو داشتم ولی دفعاتش خیلی کم و مدت زمانی که طول میکشید تا شبکه برگردد خیلی کوتاه بود.
2- یکی از اشکالات بزرگ این گوشی نبود برنامه های پیش فرض در خود گوشی به صورت فابریک هستش ... برنامه هایی که مال خود موتورولا باشه ... مثلا برای پخش موزیک - دیدن عکس و فیلم - مدیریت فایلها و از این دست ... شما باید همه این برنامه ها رو بصورت اپ مجزا از گوگل استور دانلود کنید اون هم برنامه هایی که توسط شرکتهای دیگری نوشته شده ....
3- مشکل دیگه ای که من باهاش برخورد کردم نبود یا ندادن اطلاعات کافی برای کار و استفاده در شروع از لین گوشی بود و این باعث شد تا پایه اتصال سیم کارت یک، در یکی از زمانهایی که من قصد تعویض سیم کارت با سیم دیگری رو داشتم (موقع تعویض سیم کارت) شکسته بشه و وقتی هم به خدمات پس از فروش مراجعه کردم عنوان شد که برای تعمیر یا برطرف کردن این عیب کل مادربورد دستگاه باید عوض بشه و این شکستگی شامل گارانتی هم نمیشه و هزینه اش هم خیلی زیاد میشه ...!!!!!!! که واقعا خیلی سنگین ....!!! و الان گوشی من فقط با سیم دو کار میکنه .... بدون کارت حافظه ....
4- نکته بعدی وابستگی شدید این گوشی به ماژول های طراحی شده توسط شرکت های ثالث برای این گوشی میباشد تا این گوشی حرفی برای گفتن داشته باشهو البته گرونی فوق العاده این ماژول ها ...",0,1,2,4,2,2,4,2
"طراحي خوب
اندرويد به شدت نزديک به اندرويد گوگل
روان و راحت","قيمت نسبتا بالا","چند روزی هست که خریدمش، راضیم. خیلی روان کار میکنه. زیباست و جذاب و خوش دست.
اما نسبت به مشابهاش (از لحاظ سخت افزاری)، قیمتش یه مقدار بالاست.",3,0,4,5,4,4,5,5
"ضخامت کم و جنس بدنه قوي","کيفيت پايين تر دوربين نسبت به آيفون و گلکسيS7","اولا گوشی و برندی خاصه. واقعا استفادش لذت بخشه. از همه نظر قویه. جنس بدنه عالی با طراحی زیبا. ضخامت فوق العاده کم. برجستگی دوربین هم هیچ مشکلی ایجاد نمی کنه. ماژول باتریش خیلی عالیه. گوشی خیلی سریع شارژ میشه ظرف 20 دقیقه به 50 درصد میرسه. خوب شارژ نگه میداره. برنامه پیش فرضش کم هست و چیزای زاید نداره. سخت افزار خیلی قوی داره و سرعتش بسیار بالاست. حافظه داخلی 64 خیلی خوبه. کیفیت نمایشگر منحصر بفرده. بلندی صدا برای پخش موسیقی عالیه. دو سیمکارت میشه سوار کرد. 4G هم عالی و خیلی خوب عمل میکنه. سنسور اثر انگشتش بسیار جالبه چندین انگشت و کاربر براش قابل تعریفه. منشی صوتی خیلی خوبی داره. کیفیت دوربین خیلی خوب و دوربین جلو هم دارای فلاش هست.
فقط گاهی رنگ بندی عکسها در آب و هوای ابری کمی با واقعیت فرق داره که ضعفش تو عکس برداری حساب میشه.
در مجموع حرف نداره.",6,0,4,5,5,4,5,5
"کيفيت ساخت بالا
صفحه نمايش خوب
سرعت بالا و روان بودن
آنتن دهي بسيار قوي
باطري قابل قبول به همراه ماژول باطري فوق العاده","قيمت بالا
دوربين متوسط در صورت عدم استفاده از ماژول دوربين
عدم وجود لوازم جانبي","من درکل راضیم فقط عدم وجود لوازم جانبی کلافم کرده.به علت شکننده بودن بامپر سه بار با هزینه بالا بامپر عوض کردم.",6,3,4,5,2,3,5,5
"زيبايي سرعت ماژول دار بودن کيفيت خاص بودن","احتياط بيشتر در سالم نگه داشتن","سلام
اگر دنبال یک گوشی خاص و زیبا با کارایی و سرعت بالا هستید
حتما أین گوشی را انتخاب کنید
من اپل سامسونگ هم داشتم
موتو زد عالیه
پشتت به ماژول هایش هم همیشه گرم هست
متفاوت باشید!",5,6,4,4,4,4,4,5
,,"تو خریدش شک نکنید",1,3,5,5,5,5,5,5
"سخت افزار قوي
ماژولار
رابط کاربري سريع و روان
سبک و خوشدست نسبت به ابعاد بزرگ
شارژ سريع","گرونه
طراحي ظاهري ميتونست بهتر باشه","سلام خدمت همه دوستان
این گوشیو چند هفته پیش از دیجیکالا خریدم. اندروید 7 روش نصب بود و خوشحال شدم که فعلا نیاز به آپدیت نداره چون تو مشخصات دیجیکالا و سایتهای دیگه اندروید 6 یا قابل ارتقا به 7 نوشته شده. لوازم داخل جعبه دقیقا همونی بود که در قسمت مشخصات قید شده. بامپری که توی جعبه بود از جنس پلاستیک خشکه و موقع جا زدن دور گوشی باید احتیاط کرد که نشکنه. ماد باطری که همراهش هست خیلی کاربردی و خوش ساخته و براحتی پشت گوشی قرار میگیره و دو نوع از این باطری ساخته شده که فرقشون شارژشدن با شارژر وایرلس هست و تا اونجایی که من مشخصاتشو بررسی کردم این ماد باطری که همراهش هست از نوعیه که نمیشه با شارژر وایرلس شارژش کرد و فقط روی بدنه با شارژر خود گوشی میشه دوباره شارژش کرد.کیفیت صدای هندزفری بد نیست ولی جنس ساخت خیلی معمولیه. توربو شارژر عملکرد خوبی داره و خیلی سریع باطریو شارژ میکنه. رابط کاربری گوشی خیلی روان و سریعه و برای کسایی که دوست دارن سرعتی و تندوتیز با گوشی کار کنند و تحمل لگ و کندی رو ندارن کاملا مناسبه. ابعاد گوشی بزرگه ولی به خاطره نازکی و سبکی خیلی خوش دسته. سنسور اثر انگشت خیلی سریع و دقیق عمل میکنه.دوربین سرعت فوکوس و عکسبرداری خیلی بالایی داره و بدون تاخیر عمل میکنه و کیفیت نسباتا خوبی داره و در شرایط نور کم هم عکسهای خوبی میگیره. دوربین سلفی هم فلاش داره که خوبه ولی از لحاظ کیفیت عکس معمولیه. کیفیت صفحه نمایش خوبه ولی خیلی هم شارپ و درخشان نیست. من شخصا طراحیهای قدیمیتر موتورولا رو نسبت به این مدل بیشتر دوست داشتم مثل سری x . مشکل پرش آنتن در حالت 4g که آقای روشن ضمیر اشاره کردن رو من هم باهاش برخورد کردم ولی فقط در یک محدوده خاص بود و در جاهای دیگه این مشکلو نداشتم. و در آخر باید بگم که طراحی ماژولار این گوشی عملکرد خوبی داره و اگر موتورولا روی این موضوع بیشتر کار کنه و مادهای جدیدتری براش تولید کنه میتونه آینده خیلی خوبی داشته باشه.
از خریدم رازیم و با تشکر از دیجیکالا.",24,6,4,5,4,4,4,5
,,"با سلام
من مدیر عامل یک شرکت تخصصی هستم.دوسال بود که به دنبال یک گوشی خوب و شیک و عالی بودم تا اینکه moto zرا پیدا کردم و من را به یاد دوران قدیم انداخت که با پردازشگر z80ساخت موتورولا کار میکردیم.
الان سه ماه است با این گوشی کار می کنم.
اگر آن را به زمین نیندازید از هر نظر عالی و مناسب است.
نازک شیک صفحه واضح سرعت بالا عکس خوب و ....
باز هم میگم آن را نیاندازید ،عالی است مخصوصا آپشن ها",13,42,4,5,4,5,5,5
