positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
[],[],"دوستانی که این گوشی رو دارن. متوجه کیفیت صدای کم چه در حالت اسپیکر و چه حالت هندزفری رو شده اند.
برای بالا بردن کیفیت صدا.
از این روش استفاده کنن.
بسیار جوابگو هست. و کیفیت عالی میشود.
حتما امتحان کنید
ابتدا این شماره رو بگیرن:
*#*#3646633#*#*
1- از همون منوی بالا ( به سمت راست حرکت دهید ) harward testing رو انتخاب کنید.
2 - گزینه اول یعنی audio رو انتخاب کنید.
3- گزینه اول یعنی normal mode رو انتخاب کرده
4- گزینه type رو روی گزینه media تنظیم کنید
5- قسمت level رو روی آخرین level ( level6) تنظیم کنید.
6- قسمت max vol رو عدد 159 قرار داده. و برروی set کلیک کرده.
7 - یه بک ( برگشت به مرحله قبلی ) زده و گزینه دوم یعنی headset mode رو انتخاب کنید. و مراحل گزینه 4 تا 6 را دوباره انجام دهید.
در آخر چند بک زده تا از این مراحل خارج شوید.
کار تمام است .
از کیفیت بالای صدای گوشی خود لذت ببرید.",2,0,3,3,3,3,3,3
,,"سلام آقای علیرضا نوری
فک کنم اگه ایمیل یا شمارمو بنویسم دیجی کالا نظرمو ثبت نکنه. ولی خیلی راحت میشه برگردوند به اندروید 4.
توو سایتای خارجی سرچ کنید. حتی فیلم آموزششم موجوده.
موفق باشید.",1,0,3,3,3,3,3,3
"زياد داره","پشت بدنش پلاستيکيه
اندرويدش پايينه","من اوایل اسفند94خریدمش از دیجی کالا
اول اینکه- گوشیه قشنگیه و عکسی ک بالا گذاشتن با کاورشه و وقتی کاورشو برداری خ خوشگل تر ازین میشه!کاورشم طوریه ک علاوه بر محافظت، قیافه گوشیو مثه بقیه کاورا به هم نمیزنه-برا کسایی ک به ظاهر اهمیت میدن مناسبه!
دوم اینکه- از نظر سخت افزار بیرونی(صفحه و بدنه و اینا) به سستی گوشی ای مثه سامسونگ نیست.دوبار از دوست خودم افتاده،اونم رو اسفالت،اما جز یه خراش کوچیک چیزی نشده)-برا کسایی ک امکان اسیب دیدن گوشیشون زیاده مناسبه!
سوم اینکه- از نظر سخت افزار داخلی،بنظرم نسبت ب قیمتش خوبه.cpu=octa core 1.7GHZ \ RAM=2GB \ ROM=16GB \ rear camera=13MP zoom automatic \ front camera=5MP zoom sabet / battery=4000mAh sabete / procossor=mediaTek 64 bit ba cpue octa core 1.7GHZ true8 / از تکنولوژی ips ام بهره برده -برای کسایی ک ب هنگی حساسنو سرعتو روونی میخوانو از نرم افزارای سنگینو بازی میخوان استفاده کنن خوبه!
چهارم اینکه- ازنظر نرم افزاری ک خب اندرورید 4.4.4 هست ک ب نسبت قیمت یکمی پایینه ورژنش ک البته قابل ارتقاست اما یسری امکاناتو ک میاره،یسریو میبره.بنظرم اگه نیازی بهش میبینیدو حتما root لازم دارینو و بابرنامه نویسی اشنایین، ارتقاش بدین درغیر اینصورت احتمال اینکه پشیمون بشید زیاده.ولی واسط کاربریش طراحی جالبی داره میپسندمش.ترکیب رنگاشم دوس دارم.3,4G رو ساپورت میکنه
پنجم سایر-صداش چ هدفونش چ اسپیکرش،راضیم نکرده و بنظرم کمه.ولی صدای مکالمش خوبه.صفحشو دوس دارم،رنگاش شفافو روشنه و درحد ال جی رضایت بخشه و ای پی اسم ک باعث شده موجو اینا نیاد تو ال سی دیت.نوتیفیکیشنش اگه میس کال یا پیام نخونده داشته باشین روشن میشه ک میتونین تو تنظیماتش اصا آف بزاریدش.ابدا هنگیو کندی تو کارش نیست حتی با سنگین ترین اپلیکیشنا.سرعت دانلودش خوبه.دوربینش متوسط رو ب خوبه،البته اگه تنظیماتشو درست کنید دلخواه ترم میشه.اپلیکیشنای داخلی گوشی ام از طراحیو رنگبندیای خوبی بهرمنده.تاچش فوق العادست.باطری گوشی من وقتی مدام باش نت باشمو بازی ام کنم،دو تا سه روز جوابگوعه و اگرم فقط بخام پیام بدمو زنگ بزنم باور کنین ده روزم شارژ نمیخواد!!هدفونش رنگ خودش نیستو سفیده ک این خیلی زد تو ذوقم.ولی کاورش خدایی خوش استایله.گرافیکش و تصویرش هم خیلی خوبه.سایز گوشی طوریه ک راحت میشه باش کار کردو دست گرفتو پ دادواینا.تنظیماتشم کاملا آپشناله و هرجوری ک بخوای میتونی تغیرش بدی.یه خاصیت دیگه ای داره اینه ک دست هرکسی پیداش نمیکنیو برند قشنگیه!!!!!!!
خلاصه ک گوشی خوبو راضی کننده ایه",2,0,4,3,4,5,5,3
"سخت افزار خوب","نبود تجهيزات جانبي","جناب اقای مجید یگانه سلام
من از اینکه به اندروید 5 اپدیت کردم پشیمونم شما چطور برگردوندید به 4؟؟؟ لطفا روش توضیح بدیدممنون میشم
من بردم گارانتی گفتن نمیشه به 4 برگرده !!!
خوهش میکنم جواب بدید",0,0,2,4,2,3,2,2
,,"سلام.
چند روزی میشه این گوشیو خریدم.
گوشی خوبیه. فقط دو تا مشکل ازش دیدم.
یکیش که دوربینه. و همه هم گفتن.
دومیش هم اینه که این گوشی 4 جی داره. ولی فقط واسه دیتا ! یعنی برای تماس میره روو حالت 3جی یا 2 جی..
البته فک نکنم زیاد مهم باشه. چون ما 4 جی رو فقط واسه اینترنتش میخوایم نه تماس.
راستی برخلاف نظرات تمام دوستان به نظر من اندروید 5 خیلی بهتره. درسته بعضی از امکانات رو میگیره. ولی سرعت و روونی گوشی رو فضایی میکنه.
امکاناتی هم که میگیره زیاد مهم نیس. به نظر من سرعت مهم تره.
من همون روز اول اندرویدشو 5 کردم. ( یعنی با اندروید 4 اصن کار نکردم )
ولی به توصیه دوستان دوباره برگشتم به اندروید 4. تا تستش کنم.
ولی باز پشیمون شدم باز میخوام آپدیت کنم به 5.
موفق باشید.",3,1,3,3,3,3,3,3
,,"سلام
چند ماهی هست که این گوشی رو خریداری کردم
از ظاهر و باطنش راضی هستم
فقط یک مورد اذیتم میکنه قسمت contact manager سرعت کمی داره و بعضی مواقع باز نمیشه آیا کسی اطلاع داره این مشکل از کجاست",0,0,5,4,4,4,5,4
,,"دوستان گوشی خوبیه ولی گول باتری 4000 میلی امپری رو نخورید.چون 3 ماه هست که خریدم ولی باتریش نا امیدم کرد چون 4000 واقعی نیست.خوش بینانه ترین حالت 2500 واقعیه.منم گول باتریشو خوردم و الان از خریدم راضی نیستم.درضمن حالت دو ضربه بعد از اپدیت کردن به 5 از بین میره و این یعنی یه ضعف.",0,1,3,3,3,3,3,3
"تاچ قوي
سرعت بالا در اجراي نرم افزار
باطري عالي
تصوير خوب و بسيار شفاف
قابليت اتصال به حافظه فلش يا همون او.تي.جي","قديمي بودن سيستم عامل
کيفيت دوربين پشتي متوسط","من چند روزی هست که این گوشی را بعد از کلی تحقیق و تفحص خریدم. دلم می خواست از دیجی کالا بگیرم که متاسفانه موجود نبود و هنوز هم نیست.در این بازه قیمتی گوشی های زیادی را دیدم، اما هر کدوم اشکالاتی داشتند. باارزشترین گوشی ها ، از برند انر و هواوی بودن اما هیچکدوم راضی کننده نبود. مثلن هواوی p8lighte یکی از گزینه ها بود. ولی با توجه به اینکه گوشی قبلیم رزولوشن پایین تر داشت و باتریش قوی تر بود، من باید روزانه شارژش می کردم، حالا در این مدل هواوی رزولوشن رفته بالاتر و قدرت باتری کمتر شده! اگر این مورد را در نظر نگیریم سایر مشخصات این دو گوشی کاملن یکسان هستند. یا مثال دیگر انر مدل 4ایکس بود فکر کنم. همه چیزش خوب بود ولی باطری ضعیف تر داشت و حافظه داخلی 8 گیگ که البته بیش از 4 گیگ هم سهم سیستم عامل می شد و راضی کننده نبود این وضعیت. البته این گوشی هم نقطه ضعف هایی داره. مثلن دوربینش خیلی با کیفیت نیست که البته واسه من کافیه. یا اندروید کیت کت داره که قدیمی هست و اپگرید کردنش به لالی پاپ هم مشکلات زیادی واسه گوشی بوجود میاره. اما مورد مهمی که بنده را ترغیب کرد به خریدن این گوشی، باطریش بود. الان به راحتی 48 ساعت از شارژ بی نیاز هستم در حالت عادی که صحبت بکنم و وب گردی کنم و شبکه های اجتماعی را چک کنم و... و اگر از حالت کم مصرفش استفاده کنم، میتونم تا 4 روز شارژ داشته باشم. این مورد واسه من ارزش زیادی داره. در هر صورت فکر میکنم کسی که این گوشی را بخره، از خریدش پشیمون نمیشه.",1,0,4,4,4,4,4,3
,,"بالاخره گرفتمش
چون دیجی کالا موجود نداشت از بیرون خریدم
دوربینش منو یکم نا امید کرد
ولی در عوض استرس باتری ندارم
ولی نمیدونم باتریشو چموری تست کنم
با وای فای خونه هر یک ساعت 20%شارژش میره
و اینکه آپدیتش کنم یا نه
مغازه دار گفت ببیر گارانتیش که سازگار هستش آپدیت کنه برات...
نظر شما چیه دوستان!",0,0,4,3,4,5,5,3
"همه چيز به جز دوربين","فقط دوربين","این گوشی دارای دوتا باتری هست که یکی 4000 و دیگری 1200 هست . باتری 4000 این گوشی رو میتونید ازش خارج کنید ولی ممکنه بهش آسیب برسونه و روی خود باتری هم قید شده . زمانی شما میتونید از باتری دوم یا همون 1200 استفاده کنید که گوشیتون زیر پنج درصد شارژ داره و به این صورته که شما باید پاور سیو گوشی را روشن کنید و خواهید دید که یک درصد شارژ را تا ساعت ها حفظ میکنه که البته پیشنهاد من اینه که قبل از اینکه گوشیتون خاموش بشه بزنید تو شارژ . در مورد دوربینش هم باید بگم که 13 هست ولی بخاطر لنز کوچیکش کیفیتش خیلی اومده پایین . میتونید برید مشخصات عکس هایی که باهاش گرفتیدو ببنید . راستی باتری این گوشی حافظه داره یعنی باید این گوشی تو هر بار شارژ شدن تا صد در صد شارژ بشه وگرنه نسبت به دفعه های بعدی ضعیف تر میشه که اگه باتریتون ضعیف بشه دوباره راه حل هایی برای برگردوندن باتری وجود داره که اگه دوستان بخوان میتونم توضیح بدم . با تشکر .",1,1,5,5,5,5,5,5
