positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"باتري خيلي خوب
کارايي بالا نسبت به قيمت
سرعت عملکرد بالا
صفحه ي فول اچ دي
طراحي زيبا",,"من 2 ماهه اینو خریدم خداییش راضیم ازش با چند تا گوشی از برند های معروف هم مقایسه کردم که قیمتشون خیلی ازین بیشتره ولی این سرتر بود . هرکی که میخواد بخره و شک داره اصلا نگران نباشه این عالیه",0,0,3,5,4,5,5,5
,,"من این گوشی رو 7 ماهه خریدم اوایل خیلی خوب بود ولی الان کاملا ناراضیم،دکمه های ولوم و قفلش خراب شده،نمیدونم برای چی؟
ب هزار سختی و زحمت باید صفحشو روشن خاموش یا صداشو کم و زیاد کنم،با اینکه زیاد سنگینش نکردم ولی خیلی هنگ می‌کنه
در کل زیاد راضی نیستم",2,5,3,3,3,3,3,3
"متن کامنت را بخونيد !","حافظه اي که 40% را فايل هاي سيستمي خودش ميگيره !
بستگي به خودتون داره !","سلام عزیزان ، اول ممنونم از دیجیکالا بابت این محصول عالی . دوم اینکه این نظر ممکنه مکمل همه نظرات باشه و به جای خوندن اون همه کامنت ، همین کامنت همه چیز رو روشن کنه.

اول از همه بهتره بگم که این گوشی از نظر قیمت نسبت به امکاناتش بهترینه ، اون هم به دلیل اینکه شرکت tplink که غول چینی در زمینه ساخت مودم و ارتباطاته تازه میخواد بین رقبای گوشی ساز جا باز کنه پس دلیل قیمت ارزونش اینه که اینکه مشکلی داشته باشه !
دوم اینکه من 6 ماهه این گوشی رو خریداری کردم و فردا هم یکی دیگه رو سفارش میدم و چند روز پیش هم یکی برای دوستم گرفتم !!! به خاطر اینکه اگه میخواستم گوشی جدیدی که چنین مشخصاتی داشته باشه و به عنوان مثال samsung بخرم قطعا قیمت چند برابر این رو داشت ! کیفیت دوربین عقب خیلی خوبه و برای عکسای خونگی و دوره همی کفایت میکنه . نمیدونم بعضیا نسبت به این قیمت میخوان دوربین حرفه ای canon بخرن که میگن دوربینش بده؟قابلیت فوکوس این امکانو میده که هرجای تصویری که سیاهه کافیه با انگشت لمس بشه تا دوربین نور را نسبت به اون تیکه روشن تر یا تاریک تر کنه !
سوما مشخصات این گوشی واقعا برای کاربران عادی مثل ما خیلی خوبه و اینکه امکاناتش هم قابل قبوله ، یک مموری 32 گیگ انداختم روش و کاملا راضیم !

من از این گوشی کلهم دو ایراد دیدم که البته نسبت به قیمت و کیفیت ساختش ایرادات ریزی هستن و با لوازم جانبی حل میشن.

1- اینکه شارژ گوشی اگه حواستون نباشه یکمی زود خالی میشه اون هم با کم گذاشتن نور صفحه و پخش نکردن همزمان چند برنامه حل میشه ( در تنظیمات گزینه ای برای باطری بهینه داره که خیلی کمک میکنه )

2- ظاهر شیک و شکستنی یکمی دل آدمو میلرزونه که نکنه از دستم بیوفته و آسیب ببینه ، که قابی که چند وقت پیش توی دیجیکالا برای این محصول (قاب hybrid این گوشی ) کاملا ضد ضربش میکنه .


بنظرم برای خرید این گوشی نسبت به این قیمت شک نکنید !

موفق باشید !",1,0,5,4,5,5,4,4
,,"من که ازش رضایت کامل دارم.
شارژ خوب نگه میداره
کیفیت دوربینش خوبه
صدا متوسط به بالا
صفحه نمایش عالی
سریع شارژ میشه
همه اینا که گفتم نسبت به قیمتش بود.",2,0,5,5,5,4,5,4
"کيفيت تصوير خوب
خوش دست نسبت به ابعاد بزرگش
عمر باطري عالي
پشتيباني از 4G
قابليت دانلود توربو","کيفيت ساخت پايين
رابط کاربري ضعيف
دوربين در حد متوسط
هندزفري نه چندان خوب","من سه ماهی میشه این گوشی رو از دیجی گرفتم، نسبت به قیمتش گوشیه خوبیه و از کیفیت تصویر خوبی برخورداره، طول عمر باطریش عالیه و در استفاده معمولی(دانلود، تلگرام،بازی، تماس) یک روز کامل دوام میاره، ولی اگر فقط بخواید از تماس استفاده کنید تا سه روز دوام میاره، من تست کردم و جواب داده، البته اگر نور صفحه در حد متوسط باشه، دوربینش روی کاغذ خوب به نظر میرسه ولی در نور کم عکاسی خوبی نداره، ولی در نور روز و در محیط باز عکاسی باهاش لذت بخشه، به خاطر اندازه بزرگش میتونید از دیدن فیلم لذت ببرید، در کل نسبت به قیمتش خوبه، ممنون از دیجی کالا",9,5,3,3,3,3,3,3
"صفحه نمايش","صداي گوشي","در کل ازش راضیم . نسبت به قیمت فوق العادس .",6,1,5,4,4,4,5,4
"باتري،صفحه نمايش","سنسور proximity","سلام دوستان
من شش ماهه این گوشی رو دارم
فقط میتونم بگم فوق العاده اس با این قیمت
صفحه نمایشش عالیه،من باهاش صفحات کتابهای با فرمت پی دی اف رو باز میکنم و رزولوشن عالی داره،کوچکترین جزئیات رو نشون میده
باتریش هم واقعا خوبه،زود خالی نمیشه،دوربینش کیفیت خوبی داره....
تنها مشکلش اینه که موقع مکالمه،گاهی سنسور proximity بخوبی کار نمیکنه...اینم مهم نیس به نظر من...
به نظر که که عالیه...",7,1,4,4,5,4,4,4
"برعکس اونايي که ميگن باطريش ضعيفه خيلي هم خوبه 3000 هستش - صفحه نمايش و کيفيت خيلي خوب","دکمه روشن و خاموش و ولووم روي قاب هستش که هنگام باز کردن بايد احتياط کرد","من حدود دو ماه هستش این گوشی مدل 5.5 اینچش خریدم نسبت به k10 ال جی و هو آ وی که هم رده اون هستن یا j5 خیلی بهتره- صفحه نمایش بالی سیاه و پایین مشکی حالت خاصی داره وقتی قابش مشکی باشه/ هنگام خرید گلس و قاب اورجینال همراه گوشی از دیجی هدیه گرفتم. ممنونم( گوشی خاصیه)",4,4,5,5,4,4,5,4
"خوش دست- طراحيش خوبه- رزوليشن خوبي داره و ........","با 4g زود شارژ تموم ميکنه - دوربينش از اونيکه سازنده گفته ضعيف تره","سام. در کل گوشی خوبیه با این توضیح که حواسمون باشه چقدر پول میدیم و چقدر از یک گوشی انتظار داریم. این برند مشهور به ساخت گوشی ارزان قیمت با کیفیت مناسب در جهان است. اما متاسفانه در ایران خدمات پس از فروش خوبی ندارد. به نسبت قیمتی که می پردازید اگر ادم سخت گیری نیستید و دنبال برند خاصی نمیگردید گوشی خوبیه. من چند ماهه دارم و ازش راضیم. اینترنتش خوب جواب میده حتی با 4g. خوش دسته و رزو لوشن خوبی هم داره. در مورد کیف، کاور و اسکرین پروتکتور باید بگم میشه از گوشی های مشابه چینی دیگه استفاده کرد . من اسکرین پروتکتور رو تو شهر ساری راحت پیدا کردم.",5,2,4,3,4,4,4,3
نمايشگر,باتري,"بسیار خوب و کارامد",2,4,3,3,3,3,3,3
