positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"داشتن حسر اثر انگشت در پشت گوشي
جنس فلزي قاب پشتي
عملکرد سخت افزاري خوب","نداشتن منو","سلام گوشی در این رنج قیمت عالیه و اگر این مقدار پول میخواید خرج کنید مورد خیلی خوبیه",0,0,3,3,3,4,4,2
,,"من این گوشی رو4ماه داشتم گوشی بدی نبود فروختمش به خاطردو علت یکی اینکه بااین که باطری 3000میلی امپری داشت موقع کارکردن به نظر من زود شارژ تموم میکرد ولی درحالتی که استفاده نمیکردم وفقط گه گداری استفاده میشدشارژ خوب نگه میداشت علت دومی هم اینکه رابط کاربریش سنگین بوددربقیه موارد خوب بوداینو صادقانه گفتم یاعلی",3,2,5,5,4,3,3,3
عاليه,عاليه,"فوقولعاده نسبت به قیمت",0,0,5,5,5,5,5,5
"صفحه نمايش . اثر انگشت.قيمت مناسب","دوربين. رابط کاربري","دوربین خوبی نداره از الجی و سامسونگ ضعیف تره و رابط کاربری روان نیست. ولی بقیه چیزاش عالیه . وبا این قیمت خیلی خوبه.",3,3,3,5,5,5,5,5
"پردازنده نسبتا خوب
زيبا و خوش دست
دوربين خوب
باتري متوسط","نداشتن otg
کمي هنگ دارد","من این گوشی هشت ماه دارم . پردازندش نسبتا خوب است پردازندش نسبت به j7 و j5 2016 برابری می کند. دوربینش از j7 بهتره ولی با j5 2016 برابر است.باتریش اولا دیر شارژ می شد ولی الان سریع تر شارژ می شه ولی نسبت به قبل کمتر شارژ نگه می داره . من خیلی باهاش بازی مکنم از نظر هنگ متوسط رو به پایین است . بدنش زود خط بر می داره . من گوشیم آب رفت توش خیلی گوشی ضعیف تر شد کاش به جای اینکه از بدنه ی فلزی استفاده کنه از بدنه پلاستیکی استفاده می کرد . این گوشی از نظر نرم افزاری خیلی خوبه ولی از نظر سخت افزاری زیاد نه .",0,0,5,5,5,5,5,5
,,"بسیار بی کیفیت بعد از مدتی هنگ میکنه",1,1,0,0,0,0,0,0
"همه چي","خداوکيلي هيچي","سلام من واس اولین بار از دیجی کالا خریدکردم و همین گوشی رو خریدم خداوکیلی خیلی راضی ام مدت زمانی که طول کشید اوردن فقط 2روز بود من خودم گوشی بازم و از گوشی سر در میارم اول میخواستم از بازار بگیرم که هرجا میرفتم و گوشی پلمب میخواستم گوشی دسته دو جلوم میزاشتن وبجای نو میفروختن ولی وقتی برام اوردن همه چیزش پلمب و وسایلاشم اصلی بود و تصمیم گرفتم هرچی میخواستم بخرم از دیجی کالا بخرم",0,0,5,5,5,4,5,5
"دوربين طراحي ساخت حسگر اثر انگشت آپشن هاي جالب و خيلي باحال شباهت زيادي به اپل از نظر نرم افزار شارژ سريع","از نظر من که ندارد","من حدودا یک ماه است که از این گوشی استفاده میکنم
و حتی یک بار هم نشده که خستم کنه
سریع شارژمیکند وآپشن زیادی دارد و با حسگر اثر انگشت کار های فوق العاده ای میتوان انجام داد. دوربین قدرتمند . راحتی در استفاده
با اینکه بزرگ است اما آپشنی دارد که میتوان توسط آن آپشن،یک دستی نیز با آن کار کرد.اپلیکیشن های جالب و کار آمد
خلاصه که گوشی فوق العاده فوق العاده عالی وباحالی است",1,0,5,4,4,4,5,3
,"سخت افزار ضعيف","با این پول میتونید xiaomi redmi note 4x بخرید
سخت افزاری معادل nova plus داره
آنر5x متاسفانه سخت افزار ضعیفی داره و به کند شدن و ضعف در اجرای برنامه ها مشهور شده.. کافیه تو سایتهای خارجی نظرات رو بخونید.که مثه ایرانیا با تعصب نظر نمیدن.",1,0,3,3,3,3,3,3
"اثر انگشت دوربين. اندروني به 6 ارتقا مي شود",ندارد,"عالی در یک نگاه به گوشی صفحه خودش دورش رو تنظیم می کنه",1,0,5,4,5,3,5,5
