positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
,"زياد لک ميگيره","تو این رنج قیمت عالیه
سنسور اثر انگشت سریعی داره",1,0,5,4,4,3,4,3
"همه چي","واقعا هيچي","من گوشی یک هفته دارم دوربین باطری همه چی عالیه قیمتشم مناسبه و یک میان رده عالیست",4,0,5,5,5,0,5,5
"اثر انگشت قوي
صفحه نمايش با کيفيت
بدنه زيبا و خوش دست
دوربين خوب با توجه به اين قيمت
پردازنده قوي در بين ميان رده ها","بدنه با جذب اثر انگشت","این گوشی واقعا عالیه ، بنظرم از 5X خیلی بهتره . تازه اندرویدشم 7 هست و ایموشنش 5 .
من اینو با J7 2016 که گرونتره مقایسه کردم ، این از هر لحاظ بهتره .
خدایی خیلی رابط کاربری هوآوی خوب شده و حالا کار کردن با ایموشن 5 یه حس خوبی به آدم دست میده . بعلاوه این که این گوشی توی اجرای اندروید ، کوچکترین مشکلی نداره
اثر انگشت هم که واقعا سرعتش خیلی خوبه .
خلاصه اینکه تو خریدش شک نکنید .",17,2,5,5,5,5,5,5
"فقط بگم عاليه بسيار زيبا",,"گوشی هواوی عالی هستن من که رازیم
لطفا هرچه زودتر رنگ بنفش را موجود کنید
و بزارید شگفت انگیز
با تشکر از دیجی کالا که همیشه مشتریانش را همایت میکنه",10,3,5,5,5,5,5,5
"طراحي و ساخت فوق العاده
سخت افرار روبه بالا",نداره,"من اول میخواستم گوشی p9 lite رو بخرم ولی وقتی این گوشیو دیدم نظرم کرا عوض شد هرکی این گوشیو نخره ضرر کرده این گوشی رو از نظر ساخت که نگاه کنی اصلا انگار نه انگار که هواویه. در اخر هم باید بگم قیمت این گوشی هم عالیه حتما بخرید",12,0,5,5,5,5,5,5
"ظاهر بسيار زيبا و کيفيت ساخت فراتر از ميان رده
سخت افزار خوب
جديد ترين نسخه اندرويد
صفحه نمايش عالي
پشتيباني از otg","فعلا هيچ","بهترین میان رده با این قیمت هستش. هواوی‌توی میان رده ها عالی عمل میکنه. این گوشی از همه لحاظ فوق العاده هست. تا دستتون نگیرید و باهاش کار نکنید متوجه ویژگیهاش نمیشید. راضیم",11,0,3,5,5,5,5,4
"Cpu عالي
ظاهر عالي
باتري خوب",هيچي,"عالیه ظاهر خوب باتری. Cpu و...",7,1,4,5,4,4,5,4
"حسگر اثر انگشت فوق العاده سريع
اندرويد7
صفحه نمايش با کيفيت
باتري خوب","نداشتن گوريلاگلس
دوربين متوسط
سلفي در حالت زيبايي وحشتناک","گوشی سریعی هست چون هشت هسته همزمان فعاله، باتری خوب نگه میداره گزینه های زیادی برا کم مصرف شدن باتری داره از جمله کاهش رزولوشن، حالت ذخیره باتری، کلا از لحاظ باتری ناامید نمیشید، کیفیت صفحه نمایش عالیه، فقط تنها چیزی که اذیتم کرد کیفیت دوربین ها هست که متوسط کمی ضعیفه در کل اگه دوربین مد نظرتونه شاید دلسرد بشید وگرنه تو این قیمت خریدش عالیه شک نکنید",3,4,3,4,3,5,5,4
همه,هيچي,"حرف نداره بی نظیره",5,1,5,5,5,5,5,5
"همه چيز",هيچي,"من این گوشی رو امروز از دیجی کالا خریدم خیلی عالیه فقط خیلی دلم میخواست رنگ آبی یا سیاهش بود متاسفانه مجبور شدم طلایی خریدم",3,0,5,5,5,5,5,4
"طرحي بسيار زيبا و کيفيت ساخت خوب به همراه مشخصات سخت افزاري مناسب و اندرويد 7","حافظه داخلي مي توانست 32 گيگ باشد و شيار سيم کارت دوم هيبريدي نباشد","اگر این گوشی رو با honor8 مقایسه کنید در بسیاری از آیتم ها مشابه هستند و به راحتی نیاز های یه کاربر نیمه حرفه ای رو برطرف میکنه در حالی که مدل honor8lite ارزون تره
درضمن بدنه این گوشی از شیشه و فلز هستش.",9,2,5,5,4,4,5,4
زيبا,"حافظه داخلي کم","گوشی زیبایی هست و برای استفاده روزمره و نت عالیه نمیشه ازش انتظار داشت بازی های دیتا دار رو روان اجرا کنه... در مجموع خوبه",3,10,3,4,3,5,5,3
,,"عالی عالی حرفی برای گفتن ندارم",10,1,5,5,5,5,5,5
,,"دوستان من نظر و تجربه استفاده از این گوشی رو تو بخش نظرات p8 lite 2017 نوشتم میتونید اونجا ببینید
در کل بی نظیره، فقط نمیدونم چرا دیجی ننوشته otg ساپورت میکنه",8,2,5,5,5,5,5,5
,"حافظه داخلي کم","با این مشخصات فنی، واقعا این مقدار حافظه داخلی کم لطفیه، در حالی که ثابت شده گوشیهایی که از حافظه جانبی استفاده نمیکنن کمتر به مشکلات نرم افزاری و باگ و کرش میخورند، اگر 32 گیگ بود حرف نداشت متن:",12,16,3,3,3,3,3,3
,,"من این گوشی 3 هفته هست که خریدم از همه امکاناتش راضی هستم و گوشی خیلی خوش دستی ام هست",12,0,3,4,4,5,5,4
