positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
"اتصال آسان به لپتاپ
زيبايي
سرعت بالا","شارژ شدن","من دو روزه که به دستم رسیده و ازش راضی هستم . همچنین به ویندوز 10 هم وصل میشه .",0,0,4,4,4,4
زياده,نداره,"بسیار عالی
این دسته خیلی بهتر از دوالشوک 4 هستش
من با هردو بازی کردم ، این گیم پد واقعا بهتره",2,0,5,5,5,5
"طراحي زيبا
حساسيت بالاي دکمه ها
عملکرد عالي در بازي","صداي زياد دکمه هاي y, x, b, a","باسلام، دیروز این دسته به دستم رسید و عملکردش تو بازی مخصوصا فیفا بی نقص هست. علاوه بر این کاملا با ویندوز 10 سازگار بوده و به راحتی با بلوتوث و بدون نیاز به دانگل می توان بصورت وایرلس بازی کرد. در نهایت اگر کسی می خواهد یک تجربه گیمینگ در پلتفرم قدرتمند pc با گرافیک خیلی بالا و گیم پلی XBOX one تجربه کنداین دسته را پیشنهاد می کنم.",2,1,5,5,5,5
,,"خودم اولین دسته ای که خریدم دسته الیت بودش ولی بعدش این دسته رو هم خریدم چون بلوتوث هم داره و برای کامپیوتر عالیه",1,0,5,5,4,4
کيفيت,"برد کم","خیلی خوبه توصیه میکنم.",3,0,5,5,5,5
"طراحي ضد لغزش و عرق زير دسته
وجود بلوتوث داخلي
طرحي شده براي PC و تمامي نسخه هاي Xbox
اتصال به PC بدون نياز به دانگل يا سيم به وسيله بلوتوث
طراحي بسيار زيبا و خوش دست","کاش از بين 8 ميليون طرح مختلف (ادعاي مايکروسافت) بيشتر از 3 رنگ قرار ميداديد!
نقد ضعيفي بهش وارد نيست فقط به قسمت بازي اهميت بيشتري بديد علاوه بر اينکه نزديک تابستونه","این دسته ها بیش از 8 میلیون طرح و رنگ مختلف دارند که متاسفانه فقط 3 طرح از این دسته رو تووی دیجی کالا مشاهده میکنیم دسته هایی بسیار زیبا و خوش دست که بیشرفت زیادی نسبت به XBOX 360 از نظر ظاهر و سیستم داخلی داشته و نسبت به دسته XBOX ONE از نظر ظاهری پیشرفت خاصی نداره فقط کمی ظاهر بهتر شده ولی در باطن چرا شک ها بسیار قویی شده و حس خوبی بهتون میده علاوه بر چرخش شک ها درون شک قطعاتی وجود داره که این لرزش رو لرزون تر کرده بعلاوه وجود بلوتوث داخلی نشون میده برای PC هم مهندسی شده و با توجه به اینکه ویندوز 10 هم از ایکس باکس ها پشتیبانی میکنه اگه نسخه اخرش رو داشته باشید درایوهای دسته روی سیستمون از همین حالا امادس و تمام بازی ها رو پشتیبانی میکنه و نیازی به تنظیم دسته ها نیست همون طور که گفتم مهندسی شده برای تمام سیستم هاییه که مایکروسافت بهش ربط داره که ویندوز 10 هم شامل میشه و اینم متذکر شم به گوشی هاتونم متصل میشه با سیم و بی سیم میتونید به هر ایکس باکس وصلش کنید و بازم با سیم یا بی سیم میتونید به پی سی متصل کنید فقط اگه بی سیم میخواید باید سیستمتونم بلوتوث داشته باشه اگه نداره از دیجی کالا بگیری فقط باید بلوتوث نسخه جدید باشه در غیر این صورت به مشکل میخورید تووی جعبشم بجز دسته یه اموزش برای اتصال به پی سی و ایکس باکس داره و یه دفترچه راهنما بعلاوه 2 تا باطری قلمی تووی دیجی کالا 3 رنگ آبی مشکی و سفیدش موجوده امیدوارم مفید بوده باشه حرفام و بکوبید لایکو که بقیم ببینن بازم فراموش نکنید خود شرکت ماکروسافت دسته رو هم برای پی سی هم ایکس باکس ها زده ینی اتصال بدون هیچ مشکلی برای پی سی وجود داره تابستون نزدیکه بخرید حالشو ببرید قیمت دیجی کالام باتوجه به اینکه به اصل بودنش مطمعنید عالیه همه جا هم توو همین رنج قیمته از همینجا بگیرید که از اصل بودنش مطمعن باشید",9,1,5,5,5,5
,,"قبلا کنترلر Xbox 360 داشتم واسه PC استفاده میکردم، راضی بودم، اینو سفارش دادم هنوز نرسیده ولی شک ندارم اینم خوبه.",3,0,5,5,5,5
"فوق العاده شيک و با کيفيت",ندارد,"فوق العاده کار کردن باهاش راحت و لذت بخشه،من ایکس‌باکس وان اس رو از همین دیجی کالا برای روز مرد برای همسرم خریداری کردم و دسته دومش رو به محض موجود شدن بعد از سه هفته خریداری کردم...فوق العاده بود کاملاً اوریجینال و کاملاً مشابه دسته اولی که توی پک خود ایکس‌باکس وان اس بود.
حتماً از دیجی کالا خریداری کنید، دسته سفید توی بازار نیست، همه مشکی دارن.
از دیجی کالا سپاسگزارم",3,0,5,5,5,5
"اتصال راحت",,"دسته بسیار خوبیه. راحت به سیستم وصل میشه . با بلوتوث هم به سیستم بسیار راحت وصل میشه. فقط یه مشکل اساسی توی بازی فیفا 17 داره . اونم اینکه وقتی با بلوتوث وصله لگ میزنه ولی با کابل کاملا درسته . این مشکل توی دسته ds4 نیست.",0,1,4,4,4,4
,,"من امروز خریدمش باید بگم با بازی هایی مثل mw2 همخونی نداره اصلا ولی با mw3 داره با فاینال فانتزی 13 همخونی نداره اصلا ودوربین هی دورسرت میچرخه ولی با شماره لایتینگ داره اگر بخواید به کامپیوتر نصب کنید باید یه بلوتوث نسخه 4 بخرید .خوش دسته و شیک ولی اینکه فکر کنید با تمام بازی ها کاملا مچه اشتباهه من چندتا مثال براتون زدم .قابلیت زدن هدفون هم داره که خوب کار میکنه.این تجربیات من بود از چندین ساعت ور رفتن .اگر فکر کردید ایکسپدر نصب میکنید و اون بازی هایی که تشخیص نمیدرو راحت میرید بدونید من امتحان کردم و نشد باز.بدرود",0,5,5,5,5,5
