positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
,,"بهترین دسته ی بازی به همه پیشنهاد میکنم",3,1,3,3,3,3
"راحت بودن ان و داراي دکمه هاي کاربردي و تاچ پد و روکش عرق گير ان","هيچگونه نقات ضعف","دوستانی که دستشان زیاد عرق میکنه این دسته رو پیشنهاد میکنم بسیار عالی با امکانات عالی و همینطور روکش جنس ان طوری هست که باعث میشه دست شما عرق نکنه",3,2,5,5,5,5
,,"کیفیت دسته مدل قبل نداره",2,8,2,3,3,2
"فوق العاده زيبا و خوش دست","زود عرق کردن","از همه نظر عالیه.فقط یه مشکل داره که سریع دستتون عرق میکنه که کاور گرفتم مشکلش حل شد. در کل فوق العاده دسته خوبیه .",4,1,5,4,5,4
"همه چيز","هيچ چيز","چیزی برای گفتن وجود ندارد",9,2,5,5,5,5
,,"قیمتش مناسبه. دکمه های R2 و L2 نرمی داره شارژدهیش هم خوبه. راضی ام. حالا چقدر دوام داشته باشه نمیدونم!",7,1,3,4,3,4
,,"بسیار کند است",2,30,0,0,0,0
"مات شدن قسمت هاي براق که ديگه خش بر نمي داره
کارايي زياد مثل وصل شدن به گوشي هاي اندرويدي و ios","خالي شدن زود شارژ باتري","سلام دوستان دو روزی هست که از دیجی جون سفارش دادم و منتظرم برام بیارن از نظر من دسته ی خوب و راحتیی و به خصوص خیلی پر استفادست مثلا به گوشی های اندرویدی و ios وصل میشه و می تونید باهاش اسفالت 8 بازی کنید و راستی تو کامپوتر تو ویندوز 8 هم می تونید به جای دسته ی xbox 360 تنظیمش کنید و باهاش کار کنید هرچند دسته ی ps4 هست",8,6,4,4,5,3
"لايت بار روي قسمت بالايي پد
رواني انالوگ هاي دسته","پک آسيا","دسته از مدل پک آسیا ارسال میشه
استفاده برای PC چندان راحت و بدون دردسر نیست.",6,2,4,2,4,1
"کيفيت ساخت بالا
داراي ستون نور در بلاي دسته که به زيبايي دسته مي افزايد
باتري قوي
اسپيکر خوبي دراه
نور جلوي دسته","افتادن لک بر روي دسه
غرق کردن دست بغد نيم ساعت در دست گرفتن دسته","من این دسته رو امروز از دیجی کالا تحویل گرفتم (مشهد).
در مشهد ، من همه جای مشهد رو گشتم و دسته ی 2016 رو با قیمت های بالا تر از اینو دیدم و تصمیم گرفتم از دیجی کالا که قیمت بسیار خوبی داشت سفارش بدم.
این دسته نسبت به مدل قبلی خود کاملا بهبود یافته و اگر هنوز در خرید یک دسته ی دیگه شک دارید پیشنهاد میکنم بگیرید.
مرسی دیجی کالا عالی بود .",9,1,5,5,5,5
"رنگ مات که جلوه ي زيبا تري بهش داده
اضافه شدن نوار لايت بار در قسمت تاچ پد","اين دسته هيچ جاي ضعفي نداره","این دسته هیچ جای ضعفی نداره و کاملا عالیه در دسته قبلی بعضی از نقات براق بودن وخش میفتاد خوشبختانه در این دسته همه جاش ماته و این دسته در قسمت تاچ پدش یک نوار لایت بار گذاشته برای راحت کردن مردم تا نخوان دسته رو کج کنن رنگ نوار لایت بار رو ببینن",7,1,5,5,5,5
,,"من پنچ روزه که بدستم رسیده...از اونجایی که ps4 من از این جدیدا نیست و دسته فابریک خودش قدیمیه،تنها فرق این دسته تو رنگ کنترلر ها هستش که این دسته جدیده مات تره اصلا این باعث نشه که از خریدتون پشیمون شین چون این دسته جدید نگش همینه و در ضمن به دسته جدید یه لایت بار به پد موس اضافه شده.",9,1,5,5,5,5
,,"الان حدود پنج روزه رسیده دستم کاملا راضیم و اورجیناله",9,1,5,5,5,5
"داشتن لايت بار بيشتر بيشتر شدن استحکام در دکمه هاي R2وL2",,"واقعا عالیه و حس بهتری داره نسبت به دسته قبلی من که باهاش حال کردم",10,1,5,5,4,5
