positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"فک نکنم چیزی برای گفتن مونده باشه...همه هرچی که بود رو تو نظر هاشون گفتن
من فقط میتونم بگم که از خریدش اصلا پشیمون نمیشید
فقط زوم دیجیتالش میتونست بهتر باشه",1,0,5,5,5,5,5
"هر چي که بخواي",هيچي,"بهتر از این تو این رنج قیمت نیست",2,0,5,5,5,5,5
"زوم اپتيکالش عاليه",هيچي,"عالیه
فقط تو شب باید بزارید رو حالت دستی تا ایزو رو خودتون تنظیم کنید...",3,0,5,5,5,5,5
"زوم بسيار خوب
باتري قوي
سيستم raw
عکس بدون نويز","هيچي به غير از سنگين بودنش","سلام حدود 1سال ونیمی میشه که دارمش.بسیار راضی ام و تاحالا کلی عکس ازش انداختم.اینایی میگن که نویز زیاد داره و یا کیفیت خیلی پایینه باید بگم سخت در اشتباه اند.شما یا این دوربین را اصل نخریدی یا اینکه بلد نیستی باهاش کار کنی.برای اینکه کیفیت عکس بالا بره ابتدا روی حال P قرار بده و بعد اینکار ها رو انجام بدید:
1:حتما حتما حتما iso در روز روی 100 باشه در شب هم روی 300 یا 400 خوبه ولی در شب اگه 400 کم بود و عکس تاریک و بد افتاد روی خودکار قرار بدید iso را.iso واسه کیفیت عکس و همچنین نور عکس میباشد که در روز بهترین حالت روی 100 است ولی در شب بستگی دارد.
2:شاید تا حالا به فرمت raw در تنظیمات نگاهی انداختین باید بگم که این سیستم فرمت raw فرمت غیر فشره تصویر میباشد و وقتی روی اون حالت عکس میگیرید حجم عکس ها یکدونه اش میشه 20 یا 15 یا 30 مگابایت به خاطر اینکه در فرمت raw یه سری چیز ها اضافه هستش که بعدا باید توی کامپیوتر به jpg تبدیلش کنید با نرم افزار مخصوص کانن.یک گزینه دیگر هم هستش به اسم raw+jpg این گزینه پیشنهاد میشود که وقتی iso 100 هستش کیفیت عکس ها چند برابر میشود میتونین خودتون تست کنید.فقط به همین دو گزینه که گفتم دست بزنین و روی دریچه دیاف و .... دستکاری نکنین چون تنظینات کارخونه قابل برگشت نیست.برای دریافت اطلاعات بیشتر در مورد این دو گزینه حتما حتما به سایت سر بزنید و مثلا بنویسید iso چیست یا raw چیست خودتون متوجه میشین.ببخشید طولانی شد لایک یادتون نره",6,1,5,5,5,5,5
"زوم قدرتمند","عکسهاي بيکيفيت در نور کم","سلام
من این دوربینو یکسالی میشه که دارم.
به جز زوم،از هیچ چیزه دیگش رازی نیستم.
عکساش فقط توی نور افتاب نسبتا خوبه.
توی شرتیط دیگه حتی هوای ابری ،نویز زیادی داره.
فقط بدرد زوم کردن و عکاسی از سوژه های دور میخوره.بیشتر کارایی یک تلسکوپ یا دوربین دو چشمی رو داره تا یک دوربین عکاسی.
عکساش حتی از خیلی از گوشیها هم بی کیفیت تره.",3,6,2,3,3,2,2
,,"من عکس های خوبی توی شب و نور کم گرفتم ولی نمیشه لینک عکسامو ارسال کنم. احتمالا با تنظیمات اتوماتیک عکس میگیرید که نتیجه خوب نیست و نویز داره. توی صفحات قبل گفتن با چه تنظیماتی عکس تو شب میشه گرفت.
توی کامنت قبلیم هم گفتم بعضی دوستان ممکنه با عکاسی و تنظیمات دوربین آشنا نباشن و روی اتوماتیک میزارن و از نتیجه راضی نیستن بعد میان با دوربین گوشی مقایسش میکنن و ایراد میگیرن!

نمیگم دوربین بی نقصیه ولی انقدر ویژگی های جالب داره که اکثر سایت های خارجی با DSLR های درست حسابی حرفه ای مقایسش میکنن.
اگه یه سه پایه داشته باشین حداکثر زومش کاملا هم کاربردیه. فیلمبرداری با سرعت 120 فریم و 240 فریم درثانیه داره. ولی 4K نداره که بنظرم زیاد ضروری هم نیست چون کاربا 4K نیاز به تجهیزات و سخت افزار خاص داره.

بنظرم عکس هارو توی کامپیوتر مشاهده کنید که کیفیت واقعی رو ببینید چون اکثر ما به ال سی دی های بزرگ و رزولوشن بالای گوشی عادت کردیم و تو صفحه ی 3 اینچی دوربین عکس رو میبینیم بعضی ها تو ذوقشون میخوره و از خود دوربین ایراد میگیرن که بی کیفیته، یا فقط از روی جدول مشخصات راجع به محصول قضاوت میکنن.
سایز سنسور از نظر عددی کوچیک حساب میشه ولی کیفیت و تکنولوژی ساختش عالیه حتی عکس از ستاره های کم نور آسمون توی شب گرفتم.

اگه بخواین بیشتر هزینه کنید خب معلومه گزینه های بهتری هم برای خرید هست. اما با این قیمت ازاین بهتر گیر نمیاد.",8,0,5,5,4,4,5
,,"دوستان عزیز من چند وقتیه که این دوربینو دارم
ولی من از عکسی که باهاش میندازم رازی نیستم نویزه زیادی داره عکس در شب افتضاحه در نور روز عکساش بهتره ولی در کّل یک محصول متوسطه ولی یکی از دوستان انموقع که من خریدم اون سونی خرید و این مشکلاتو نداشت
این تجربه من بود در مورد این دوربین
موفقّ باشید",1,10,3,3,3,3,1
,,"دوربین بدی نیس ولی گول زومش رو نخورید،البته محدوده فاصله کانونیش کمه و فقط برای عکس های اماتور خوبه",1,7,3,3,3,3,3
,,"الان دارمش ولی میخام بفروشم و حرفه ای بخرم",0,10,3,3,3,3,3
,,"من واقعا ازین دوربین راضی هستم.تو این رنج دوربین هم توحداکثر زوم هم ماکرو خوبه. البته گزینه های دیگه ای هم هست اما گرون تر هستن.

نمیدونم چرا اکثر کامنت ها با گوشی موبایل مقایسه کردن. لنز گوشی در مقابل دوربین عکاسی مثل اسباب بازی میمونه
بستگی داره انتظارتون از دوربین چیه. دوربین گوشی برای گرفتن عکس سریع و کار راه اندازه
اما برای دوربین عکاسی باید حداقلِ اطلاعات عکاسی رو داشته باشین و با تنظیمات دوربین آشنا باشید
کسایی که ایراد میگیرن حتما دوربین رو همیشه توحالت اتوماتیک میزارین که عکس های خوبی نگرفتن.

و اینکه این دوربین DSLR نیست اما تقریبا به اندازه ی یه DSLR امکانات دراختیارتون میزاره
اگه اهل طبیعت گردی یا نجوم باشید خیلی براتون مناسبه. عکس و ویدئو از حفره های ماه،قمرهای مشتری و حلقه ی زحل گرفتم که واقعا جذابه.
میتونید کیفیت نمونه ویدئو هایی که با این دوربین تو حداکثر زوم گرفته شده رو تو یوتیوب ببینید و خودتون مقایسه کنید.",8,1,5,5,4,4,5
