positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"اندازه کوچک
زوم زياد","حسگر تصوير بسيار کوچک
غوکوس خودکار کند
عدم امکان نصب فلاش اکسترنال","به عنوان کسی که کمی تجربه عکاسی با دوربین های مختلف ئر سطوح مختلف رو دارم توصیه میکنم به سمت دوربین های کامپکت مخصوصا از انواعی که حسگر های کوچکتر از یک اینچ دارن نرن چون کیفیت همشون نا امیتون میکنه و کیفیتشون در حد گوشی های رده بالای شرکت هایی مثل سونی و سامسونگه. پیشنهاد میکنم برید سمت دوربین های DSLR یا حد اقل بدون آینه تا تغییر رو حس کنید. بنده به شما اظمینان میدم که اگر مدتی با یه دوربین حرفه ای عکاسی کنید حتی از دست گرفتن این جور دوربین ها هم سر باز میزنید. چون واقعا نسبت به دوربین های حرفه ای و نیمه حرفه ای خیلی ضعیفن. پیشنهاد من خرید دوربین D3300 نیکون یا 700d کانن هستش که هر دوشون عالی هستن و حسگرون حدودا 12-13 برابر این دوربینه.",0,0,1,4,1,3,1
"کيفيت عکاسي عالي (در شرايط نوري ايده آل)
کيفيت فيلم برداري عالي (در شرايط نوري ايده آل)
اسپيکرهاي استريو مناسب
کيفيت ساخت بالا، ظاهر زيبا","فيلم برداري در شب نااميدکننده
فلش جاي مناسبي نداره
عکاسي پانورما نداره
لنزش زود غبار ميگيره","سلام
من این دوربین را حدود یک ماهه که دارم.
در شرایط نوری ایده آل، فیلم بردای و عکاسی باهاش بسیار رضایت بخشه.
صدا را خیلی خوب ضبط میکنه.
برنامه برای اتصال اندروید و IOS داره و این خیلی خوبه که بصورت بیسیم بشه بهش وصل شد و تصاویر و فیلم را منتقل کرد و یا با گوشی، دوربین را کنترل کرد. البته برای ویندوز موبایلها فعلا چیزی نداره.
امکان اتصال بیسیم به ال ای دی را نداره که اگر میداشت دیگه عالی میشد
خیلی دوست دارم عکاسی ماکرو را با این دوربین انجام بدم ولی نتونستم با وضعیتی که میخوام انجام بدم. البته اصلاً عکاسی هم بلد نیستم.
عکاسی از فاصله نزدیک، به خاطر کنار بودن فلش، سایه ها را متمایل به راست میکنه.
در کل از خریدم خیلی رضایت دارم، البته قیمتش برای من بالا بود و بصورت اتفاقی، تونستم، یه دست دو تهیه کنم.",0,0,4,4,4,3,3
,,"همش خطای کارت حافظه میزنه",0,1,2,2,2,2,2
"بدنه محکم
واي فاي
فلاش قوي",,"این مدل و مدل بالاترش 720، برای عکاسی اماتور عالی ست.بخصوص که قابلیت فوکوس دستی دارد. البته معنی فوکوس در این دوربین ها به منزله ی استفاده از رینگ فوکوس نیست چون رینگ اصلا ندارن، بلکه به کمک جوستیک روی دوربین امکان فوکوس وجود دارد.امکان وایرلس بودنش نیز کمک می کند تا فایلها با سرعت بالا به گوشی شما منتقل شود و همچنین می شود به صورت وایرلس عکاسی کرد آنهم با دانلود canon camera connection از بازار یا.... .اما تنها ضعفی که میشود گفت این است که به دلیل کوچک بودن بدنه، احساس عکاسی به شما دست نمی دهد.و بیشتر مثل عکاسی با کامپکت های ساده است.
من البته برای استفاده از حالت وایرلس در عکاسی یه سه پایه رومیزی کوچک برایش گرفتم که آن هم در دیجی کالا موجود است.",0,1,3,4,4,4,3
"زوم بالا
فيلم برداري FHD با سرعت 60
خوش دست
کيفيت ساخت عالي
عکس عالي در تاريکي","نداشتن خروجي ميکروفن
نداشتن ريموت شاتر(البته با گوشي ميشه)","دوستان این دوربینو 7 ماهه دارم و کلی سفر کردیم و با این دوربین عکس گرفتیم...مطمئن باشید از خریدنش پشیمون نمیشید.....",1,0,5,5,5,4,4
,"ذخيره نکردن عکس با فرمت raw","این دوربین فوق العادس من که یک ساله باهاش کار میکنم عالیه عکس هایی باهاش کرفتم که باورتون نمیشه از این دوربین باشه.
بخاطر قدرت زوم بالاش میشه عکس های پرتره نابی با این دوربین گرفت.
البته بهتون بگم اینایی که از کیفیت صحبت میکنن اگر دوربین 5d دستشون ندن وقتی mod روی حالت اوتومات باشه عکسها جالبی گرفته نمیشه پس یه خورده خلاقیت به خرج بدید و یه مطالعه ای در مود دیافراگم سرعت شاتر و ایزو داشته باشید تا عکساهای زیبایی بگیرین",2,0,5,5,5,5,5
,"اصلا کيفيت عکسش راضي کننده نيست","اصلا کیفیت عکسش راضی کننده نیست",3,5,0,3,3,3,3
"زوم بالا
کيفت عکس عالي
سبک و حمل راحت",,"دوستان عزیز من این دوربین رو تیر ماه خریدم واقعن ازش راضی ام و برای کاربرد روزانه فوق العاده اس
یه نکته ی مهم اینه که با نصب یه نرم افزار روی اسمارت فون می تونید از طریق WIFi عکس ها رو روی موبایل یا تبلت منتقل کنید و یا موبایل رو ریموت دوربین کنید یه قابلیت دیگه داره که تو ایران فعال نیست
در کل ارزش خرید این دوربین نسبت به پول پرداختیتون خیلی بالاس
امیدوارم تهیه کنید و لذت ببرید.",3,1,5,5,5,5,5
,,"سلام ب همه دوستان
من این دوربین از نمایندگی برج 4خریدم
فیلم برداری خوبی داره و صدا با کیفیت ضبط میشه
زوم بسیار عالی داره از ماه عکس گرفتم فرورفتگیهای سطحش مشخص شد
فلشش عالیه تاریکی مطلق عکس انداختم جزییات عالی ثبت شدن
خوش دسته
nfc و wifi خوبه
خلاصه کنم شک نکنید تو خریدش منکه راضی ام",3,0,5,5,5,4,4
"دوربين خوبه براي کار خانگي","روشن نشدن فلاش در حين فيلم برداري","دوربین خوبیه",1,0,4,4,3,3,4
