positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"باطري فوق‌العاده کيفيت عکس وفيلم عالي","ليز بودن دوربين","من دوساله دارمش باید بگم فوق‌العاده است از خریدش شک نکنید، با یک بار شارژ برای چندمین بار میتونی کلی عکس فیلم بگیری کیفیت فیلمبرداری محشره، کیفیت عکس عالی، الان ارزان شده",1,0,5,5,4,5,4
,,"موجودش کنید",2,1,5,5,5,5,5
,,"ماشالله به این ثبات قیمت. والا طلا بعد از دو سال از این دوربین افت قیمت بیشتری داره. من موندم که کسی هم با این قیمت این دوربین رو میخره؟",15,1,4,4,4,4,0
,,"آقای علی قرامحمدی (1394/4/11) :
بدون شک Sony RX100 III را بگیر.
Canon G7 X رقیب Sony RX100 III است نه دوربین گرانقیمت تر Canon G1 X Mark II Review.
کیفیت فیلم و عکس Canon PowerShot G1 X Mark II پایین تر است.
Canon G7 X بسیار بهتر از Canon G1 X Mark II است. در کیفیت عکس و فیلم. فریب قیمت بالای Canon G1 X Mark II را نخور.
اگر قیمت برایت مهم نیست و عجله ای نداری صبر کن و Sony RX100 IV را بگیر.
این سری سونی حالت ارگونومیک خوبی نداره و احساس سر خوردن از دست بهت دست میده. اگه دوربین رو به یک دوست بدی احساس بدی داری و فکر می کنی الآن به زمین می افتد.
ژآپنی ها در طراحی افتضاحند.",1,1,0,0,0,0,0
,,"دوستان سلام.خواستم من رو راهنمایی کنین بد جور تو انتخاب canon g1 x mkii وsony rx100 iii گیر کردم.هر دو تاشون خوبن ولی نمیدونم کدومو انتخاب کنم.",0,0,0,0,0,0,0
,,"ای بابا ! این شرکت بازرگانی ایران کی میخواد ورژن 3 این محصول رو واردکنه؟ این که مال چند سال پیشه! یه ماهه دیگه نمایشگاه سی پی + ، شاید نسخه 4 معرفی بشه!",5,0,0,0,0,0,0
,,"خداروشکر واردات گوشی های سونی بر عهده‌ شرکت بازرگانی ایران نیست و گرنه گوشی سونی هم نمیتونستیم بخریم!!!",30,0,4,4,4,4,0
,,"همچنان دارمش.خیلی ازش راضیم.گفته دوستمون رو قبول دارم.دوربین باید همه جا قابل استفاده باشه.اونم با این کیفیت.موقعی که من خریدمش با G1X کنون یه قیمت بودن تقریبا. هنوز به خودم اجازه ندادم با دوربین دیگه ای عوضش کنم.از E2 فوجی فیلم هم خوشم میاد .",1,0,4,5,4,5,3
,,"دجی کالا تو یه فیلم نقد و بررسی گفت بهترین دوربین دوربینی است که همه جا قابل استفاده باشه این دوربین با بدنه کوچیکی که داره و همینطور کیفیت بالاش همه جا قابل استفاده است اما دوربین های حرفه ای هم بزرگند و هم حمل و نقل آنها نیاز به کیف مخصوص داره اما چیزی که خیلی مهمه قیمت دوربین است.",6,0,5,5,5,5,5
,,"فقط کوچیک بودنش شاید جالب باشه وگرنه با این قیمت میتونی Canon 650D با یه لنز خوب بگیری که از لحاظ کیفیت و امکانات قابل مقایسه نیست",5,0,0,0,0,0,0
,,"چند نکته:1-از دیجی کالا بخرین""فقط""!!2- ساخت ژاپن هستش3- لنزشcarl zeiss آلمان4-با این قیمت دیگه ساخت ژاپن گیر نمیاد ...!",10,0,5,5,5,5,5
,,"سلام.چند ماهی هست خریدمش.کیفیت عکس و فیلمش عالیه مخصوصا با این ابعاد و وزن.خیلی ازش راضیم.",6,0,4,5,4,5,3
