positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"خوش دست کوچک شارپ يودن عکس ها رنگ هاي گرم قيمت مناسب","نبود واي فاي","در یک کلام برای شروع عکاسی عالی و مناسبه",1,1,4,4,4,4,5
,,"این دوربین بنظر بنده از نظر امکانات عالیه و برای کسایی که میخوان عکاسی حرفه ای رو شروع کنن یک دوربین عالیه",0,0,5,5,3,5,4
,,"دوربین خوبیه ولی قیمتش نسبت به 3200 توجیه نمیکنه خریدش رو ...
یعنی امکاناتی که اضافه کرده تفاوتی با 3200 در اصل عکاسی نمیکنه. اگر دنبال عکاسی حرفه ای هستین توصیه نمیکنم که بخرین این محصول رو.
کلا قیمت لوازم عکاسی توی سال اخیر خیلی بالا رفت که جای نگرانی داره.",2,7,3,5,5,2,1
"کيفيت عکس با توجه به استانداردها
شارپنس عالي در سطح dslr ها
با توجه به قيمت پرداختي هيچ دوربيني چنين آيتم هايي و در اين سطح ارائه نمي ده
و...","نبود wifi و lcdلمسي که خيلي هم مهم نيست چون هزينه اش رو پرداخت نمي کنيد.و تاثيري هم در کيفيت عکاسي ايفا نمي کنه","واقعاً دوربینی هست که امتحانش و پس داده در همه دنیا، آدم تاسف می خوره از بعضی نقدهای بچه گانه که پایه علمی و هنری نداره، من به دوستانیکه این نقدها رو میگذارند پیشنهاد می کنم یه سری به سایت ها و کانالهای تخصصی عکس و دوربین و کلا هنر عکاسی بزنند و نمونه عکس های این دوربین و ببینند بعداً نقد بنویسند.",11,1,5,5,5,5,5
"سبکي
کيفيت عالي",,"خیلی دوربین خوبی هستش .حتما به بقیه پیشنهاد میکنم",0,0,5,5,5,4,3
"باتري خوب
قيمت خوب
فوکوس دستي
عکاسي در شب عالي
منوي فارسي","فعلا نديدم اما اگرم داشته باشه به نسبت ويژگي هاي زياد و قيمت پايينش خيلي مهم نيست...","من خیلی وقت بود دنبال یه دوربین خوب برای شروع عکاسی به طور نیمه حرفه ای می گشتم... بعد از کلی تحقیق در این باره به این دوربین رسیدم تا اینکه یه روز که قصد داشتم بخرمش دی جی کالا هم شگفت انگیزش کرد!! دوربین های گرون قیمت هم رده کیفیت این هم فقط پول صفحه لمسی و اتصال وای فای شون رو میگیرن که برای من به شخصه این دو ویژگی مهم نبود...
زوم‌ پایینشم با ارتقای لنز حل میشه که ناگفته نماند با همین لنز مبتدی هم عکسای قشنگی میگیره... خلاصه برای آغاز کار پیشنهادش میکنم😊",2,0,5,5,5,5,5
,,"شما رو حالت vivid عکاسی کنید، مشکلتون حل میشه
ضمن اینکه اگر فایل هایش RAW این دوربین رو با مشابه های کنون ی ش مقایسه کنید، متوجه عمق رنگ می شید. توی ویرایش عکس های خام معلوم میشه چقدر عمق رنگش اتفاقا خوبه
سایت dxomark هم به عنوان یک سایت معتبر و تخصصی عکاسی عمق رنگ این مدل رو بالاتر از مدل های مشابه کانن اعلام کرده",0,0,5,4,4,4,5
"همه چيزش","هيچ چيز","من دنبال دوربین دی ال اس ار زیاد کشتم و توی این رنج قیمت بهترین هست هم از نظر کیفیت هم از نظرات دیگر واقعا توی خریدش شک نکنید .",8,1,5,5,5,5,5
,,"من اصلا از کیفیت رنگش راضی نیستم! همه رنگا رو یه درجه کم رنگتر می کنه! با هرتنظیمی که عکس می گیرم رنگ واقعی رو نشون نمی ده! اصلا عمق رنگ خوبی نداره! به عنوان یه دوربین تمرینی در مقایسه با کانن های تمرینی اصلا ترجیحش نمی دم از خریدش پشیمونم! مونده رو دستم! همین زمستون 95 خریدم. از دی جی کالا",3,28,3,3,3,3,2
,,"خیلی ممنونم بابت راهنمایی چند روزی میشه گرفتم از دیجی فوق العاده س خوش دست .عکسای شارپ . لنز جمع شونده",13,5,5,4,5,3,5
,,"با سلام
من این دوربین رو سه روز پیش تو شگفت‌انگیز خریدم ، فرداش رفتم کیف براش بخرم پشت شهرداری ایستگاه امام خمینی ، قیمت پنجاه تومن ارزون تر بود با گارانتی ، از دیجی کالا توقع دارم یک چیزی رو شگفت انگیز میکنه لااقل قیمتش هم قیمت مغازه های خورده فروش باشه ، نمیخوام کمتر باشه ، با تشکر",66,3,3,3,3,3,3
,,"در درجه اول ببینید هدفتون از خرید دوربین و عکاسی چیه. اگر فقط قصد دارید عکس های خانوداگی و یادگاری بگیرید بین مدل های هم گروه نیکون و کانن تفاوت زیادی نیست.
اگر هم علاقمند به عکاسی هستید و میخواهید حرفه ای تر کارکنیدبازهم یکی از این دومدل را برای شروع کار انتخاب کنید.به مرور زمان هرچه که پیشرفت میکنید نیاز هاتونو بهتر متوجه میشیدو اطلاعاتون هم بیشتر میشه .این دو مدل
سطح ابتداعی دروبین های DSLR هستند. در اینده هم باچشم باز تری میتونید ارتقا بدید. دوربین با لنز 18 -140 را هم مد نظر داشته باشید",12,1,3,3,3,3,3
