positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"من با این دوربین تجربه عکاسی داشتم دوربینی فوق العاده خوب و همچی تمومیه ولی چه کنم که پولشو ندارم",13,2,5,5,5,5,5
,,"این دوربین بی نقص و زیبا طراحی شده
5 ماهه تجربه کار باهاشو دارم فوق العاده و بی رقیبه
کانن برند اول جهانه و از دیجی کالا خواهش میکنم کانن رو اول لیست کالا هاط دوربین قرار بدن",16,12,5,5,5,5,5
"[""کيفيت تصوير بالا""]","[""قيمت بالا زيباي کم""]","عالی فقط کاش خوشکل تر و اررون تر بود",5,18,5,5,5,5,3
,,"امکانات و کیفیتش خیلی خوبه ولی قیمتش بالا هست.",23,5,5,5,5,5,4
,,"سلام این دوربین واقعا درکیفیت عکس منحصر به فرد است",27,12,5,5,4,4,4
"کيفيت بالا و تمرکز فوق العاده اي در عکاسي","خيلي خيلي کم داره","اگر بتونید مثل سایت پیکسل شماهم علاوه بر قیمت و موجودی انبار توضیحات خلاصه و مفیدی از جمله مدل ،مناسب برای استفاده ی چه کاربرانی و... ،حیفه هم سایتتون عالیه و هم خدماتتون با تشکر از زحمات شما...",38,6,4,4,4,4,2
"کيفيت ساخت خيلي خوب - امکانات مناسب-","قيمت بالا - همچنان ضعيف در دامنه ديناميک و عمق رنگ(نسبت نيکون)-","سلام -
با بررسی فایل های خام این دوربین و نیکون d810 واقعا به این نتیجه میرسیم که نیکون یک دوربین کامل تر و قابل استفاده تر را عرضه کرده - اگر جایی و اشتباه کردم شما عزیزان اصلاح بفرمایید-
1-d810 حاصل چند سال آپدیت و رفع اشکال مدل های قبلی است - ان قدر رزولوشن بالایی ندارد که با کمی افزایش ایزو عکس ها به فنا روند - متاسفانه در این مدل های کنون شاهد افزایش نویز به دلیل کوچکتر شدن بیش از حد مساحت پیکسل ها هستیم - موردی که در ان d810 واقعا عملکرد بهتری دارد -
2- فایل های خام هر دو دوربین را که در شرایط یکسان ثبت شده اند وارد acr کنیم برای پردازش - نیکون با بیش از 2 استاپ دامنه دینامیک بیشتر و حدود 5 استاپ قابلیت پوش کردن واقعا اجازه هیچ گونه برتری را به رقیب خود نمیدهد - ضمن اینکه در بخش عمق رنگ هم همچنان برتر است - در شرایط نور کم هم بدون هیچ چون و چرایی d810 پیروز میدان خواهد بود -
اگر با خود میگویید در عوض رزولوشن بالاتر دارم حق دارید. اما به چه قیمتی ؟ کمی بیشتر بحث کنیم -
قطعا یک عکاس ورزشی یا خبری سراغ این دوربین ها نخواهد نرفت - بیشتر مورد توجه عکاسان طبیعت و منظره یا شاید تعداد کمی از عکاسان تبلیغاتی خواهد بود - حالا برای یک عکاس منظره چه اولویت هایی وجود دارد؟ دامنه دینامیک و عمق رنگ ! و هم چنین قابلیت پوش کردن سایه ها - که در تمامی این موارد d810 به وضوح برتری دارد -
کدام لنز است که بتواند 50 مگاپیکسل رزولوشن تولید کند؟ آیا اصلا لنزی هست ؟ اگر هست با چه قیمتی ؟ این در حالیست که در حال حاضر لنزهای زیادی هستند که میتوانند سقف رزولوشن d810 را پر کنند(چه در برند نیکون و چه در سایر برندها مانند زایس و ...) - و لنز های قیمت مناسب هستند که نسبت به قیمتشان واقعا رزولوشن معقولی را در این دوربین تولید میکنند -
همه چیز اعداد و ارقام نیست - خروجی در عمل مهم است - شما حتی اگر 100 مگاپیکسل هم داشته باشید ولی لنزی برای تولید این حد از شارپنس نباشد پس به چه درد میخورد ؟ ایا جز این است که باعث افزایش شدید نویز . کیفیت نامناسب در نور کم . و کاهش محسوس سرعت و عکاسی پیاپی برای شکار لحظه ها میشود؟
اگر بخواهیم جمع بندی داشته باشیم واقعا به نظر میرسد فعلا برای بهره وری از این مقدار رزولوشن زود است و گزینه های زیادی برای استفاده بهینه از ان موجود نیست (منظورم لنز مناسب . قیمت تمام شده و ...)-
در کل نیکون d810 یک بدنه کاملا معقول و تقریبا بی رقیب برای رزولوشن های بالا محسوب میشود که به نظر. عاقلانه تر این است که برای انتخاب از این سری دوربین ها سراغ دوربینی برویم که امتحان چند ساله خود را پس داده است -
سایت dpreview و dxo برای بررسی عمیق تر واقعا مفید خواهد بود-
از دیجیکالا ممنونم که فرصت تبادل نظرات و تجربیاتمان به یکدیگر را امکان پذیر کرده",63,15,3,4,4,4,3
"کيفيت عمومي عکس و فيلم عالي","قيمت بالا -
قيافه نسبتا زشت","قیمتش زیاده ولی اگه از قیمتش کم کنیم دوربین عالی هستش",12,5,5,4,4,4,1
,,"تعجب میکنم یکی میاد میگه من مدرس عکاسی هستم و رشته ی تحصیلیم عکاسیه بعد میگه از فروشگاه تخصصی، دوربین میخرم که فروشندش توی باغ باشه!!!!!!
دی جی کالا یه فروشگاه معتبره که جنساش نو و اصل هستن ، وقتی من میدونم این دوربین چیه و مورد نیازم هست یا خیر ، چکار دارم فروشنده سواد داره یا در کنار دوربین چی میفروشه!",34,2,0,0,0,0,0
,,"جناب آقای حسینعلی پیام نجار (1394/8/1) :
دوست عزیز، وقتی یک مشتری بیچاره ای که اطلاعات تخصصی زیادی نداره میره یه مغازه دوربین بخره که سرش کلاه میذارن... اگه خودت یه سر به بازارهای دوربین یا هر وسیله دیجیتال دیگه بزنی متوجه میشی. فروشنده ای که هزار جور دروغ از مشخصات فنی تا قیمت و گارانتی میگه تا شما رو متقاعد به خرید از مغازش کنه.
یا به عنوان مثال وقتی وارد مغازش میشی قیمت دوربین رو مناسب اعلام میکنه ولی وقتی مشتاق شدی و خرید کردی میگه باید کارت حافظه رو هم از خودمون بخری وگرنه دوربین از گارانتی خارج میشه. (آخه چه ربطی داره؟!!!) اونوقت یه کارت حافظه ساده رو 3-4 برابر گرونتر میفروشن تا حسابی جبران قیمت مناسب اولیه رو کرده باشن. آخرش هم میگن بسته بندی دوربین رو برای شما باز کرده و از پلمپ خارج شده پس باید همینو بخری. البته میتونید قبول نکنید که کارت حافظه رو از اون مغازه بخرید، در اینصورت اونم دوربین رو بدون گارانتی به شما تحویل میده که البته دوربین بدون گارانتی تو بازار خیلی ارزونتره، اونوقته که میفهمی چه کلاهی سرت رفته.
تازه این یه مثال خیلی خیلی ساده بود. هزاران راه کلاه برداری مشابه وجود داره. تازه اگه متعلقات اورجینال داخل جعبه رو برندارن یا عوض نکنن.
من خودم حاظرم پول بیشتر بدم اما ریخت کاسبهای بازار رو نبینم. اگر هم برم بازار فقط ظاهر دوربین رو می بینم آخرش میام از دیجی کالا میخرم
از دیجی کالا هم ممنونم که شرایط خرید امن و قابل اطمینانی رو فراهم آورده.",56,3,0,0,0,0,0
