positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"برای کسی که تازه پا به دنیای عکاسی حرفه ای و دوربینهای dslr می گذاره عالیه
ارزش خرید بالایی هم داره
پیشنهاد می کنم بخرید از تصمیمتون پشیمان نخواهید شد.",2,0,5,3,4,4,5
,,"به نظر من دوربین خوبیه و از نظر استادم قابلیت بهترین شدن تو سری کنن هم داره چون شما میتونید با یه تنظیمات دستی ساده اونو به بهترین دوربین ممکن تبدیل کنید در ضمن باطری خیلی خوبی داره فیلم برداریش هم همینطور و قابلیت تنظیم دستی هم داره و از نظر من 1200 به خاطر نداشتن وای فا زیاد انتخاب مناسبی نیست",2,1,5,5,5,5,5
,"نبود دفترچه فارسي","من تازه این دوربین رو گرفتم و بابت wi_fi و nfcبه مشکل خوردم و نمیتونم نصب کنم دفترچه فارسی هم که نداره
بابت کلاس رایگان اموزشی هم که ایده ال زنگ زدم و میگن اردیبهشت تشکیل میشه
دوستان اگه راهنمایی به نظرشون میرسه لطفا راهنمایی کنن",3,1,4,4,3,4,3
"کيفيت بسيار بالا","اصلا نداره","20 دیقه هست به دستم رسیده فوق العادست خیلی خیلی خوبه
برا اونایی که میخوان اولین بار یه دوربین عکاسی بگیرن خیلی خیلی خوبه راضیتون میکنه من پیشنهاد میکنم حتما بگیرید",6,3,0,0,0,0,0
"wifi
قيمت مناسب
کيفيت ساخت بالا
عکاسي عالي
فيلم برداري 1080","اگه ضعفي در اين دوربين ميبينين بايد به دوربين هاي بالاي 3 ميليون تومن فکر کنيد","سلام خدمت دوستان عزیز. من قبل از این که این دوربین رو بخرم چند ماه تحقیق کردم و با چندین عکاس حرفه ای مشورت کردم. در کل بگم این اولین دوربین حرفه ایه که من خریدم ولی باید بگم بدون شک این دوربین عالیه . هیچ شک و تردیدی به خودتون راه ندید . بیخود پول اضافی هم خرج مدل های بالا تر نکنید . عوضش میتونید یه لنز توپ برای همین دوربین بگیرید. هرچند با لنز 18-55 هم عکس های محشری میشه گرفت باهاش. خلاصه اینکه بخرید و لذت ببرید . ممنون از دیجی کالا",5,1,5,4,4,5,5
"ارزان ترين دوربين حرفه اي",,"با سلام خدمت دوستان
اولین بار از این مدل دوربین را خریدم
حدود 200 تا عکس گرفتم زیبا بود",2,0,3,3,3,3,3
"فوکوس اتوماتيک"",""داشتن واي واي"",""دلشتن nfc"",""فلش خوب"",""همه چيش","مگه داره؟","فوق العادس کیفیتش عالیه من با وای فایش وصل شدم به گوشی برنامشو نصب کردم بدون یذره اینترنت بهش وصل شدم با وای فایش به عکسا دسترسی دارم به خود دوربین دسترسی دارم باهاش با گوشی فوکوس میکنم تصویر زنده دوربین از موبایل عالیه من خیلی خوشم اومد قیمتشم خوبه حتما بخرید",10,0,5,5,5,5,5
"با لنز is2 فوکوس خوب
فلش خودکار","صداي فوکوس دستي توي فيلم ضبط ميشه
صداي بسته شدن شاتر بسيار زياد است
کيفيت بد بدنه
فيلم برداري تا 30 فريم بر ثانيه
عکساي نه چندان جذاب","والا من تازه با لنز is 2 تهیه کردم اصلا راضی نبودم فقط به درد دانشجوهای عکاسی میخوره که میخوان یکی دو سال دیگه یا یک لنز خیلی عالی براش بخرن یا کلا عوضش کنن.اصلا بدرد مصرف خونگی نمیخوره مصرف حرفه ای هم که فکر نمیکنم",4,13,4,4,4,5,3
,,"من اسن دوربین رو 3 ماه هست که خریدم اصلا کیفیتش بسیار عالیه.....این دوربین رو بنده از بازار خریدم اول قصد داشتم نیکن 3200 بخرم اما واقعا کیفیت ساخت پایینی داشت",4,3,4,5,4,4,4
,"حالا که زبان عربي داره کاشکي منو فارسي داشت","دوربین خیلی عالییییییی هست برای امثال من که حرفه ای نیستیم اما حرفه‌ای عکس میگیریم",10,1,4,4,4,3,4
,,"چقدر نظرات متفاوته، آدم نمیدونه چیکار کنه",15,4,3,3,3,3,3
"WIFI فوق العاده
شارژ باطري عالي
بدنه سبک و با کيفيت",,"سعی کنید حتما بجای لنز IS III با لنز IS II به دلیل داشتن لرزشگیر عالی و فوکوس خودکار و دستی انتخابی. در هر حال ز داشتن این دوربین سبک و با کیفیت در این رنج قیمتی لذت خواهید برد",13,3,4,4,4,5,4
"WiFi داخلي","نمي دانم","از دوستانی که از این دوربین استفاده کرده اند میپرسم: آیا شارژدهی باطری و کیفیت فیلمبرداری این دوربین راضی کننده هست؟(با توجه به تحقیقاتی که داشتم باطری بسیار ضعیفه. و اینکه دوستی فرموده بودند که فوکوس ممتد در هنگام فیلمبرداری نداره)
البته اگه Nikon D3300 وای فای داخلی داشت ، حتی یک لحظه هم به این دوربین Canon فکر نمیکردم
حتی با اینکه Nikon اخیرا مدل D3400 رو هم معرفی کرده اما متاسفانه اون هم WiFi نداره و فقط به بلوتوث بسنده کرده!",9,3,2,3,4,4,3
"کيفيت بالا",,"کیفیت وزیبایی ظاهری",3,4,3,3,3,3,3
