positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"امکانات زياد","کيفيت پايين عکس و فيلم","بعد از یکماه لنزش خراب شد و خطا میده
سونی، نیکون یا کانن ممکنه امکانات کمتری داشته باشند و گرون تر باشند ولی مطمئن تر هستند.",2,0,2,1,2,3,2
....,"آسانسور لنز بسيار ضعيف","در یک جمله , اگر دوربین را خریدید از بیرون آمادن و نقص فنی لنز تعجب نکنید",1,0,4,3,1,1,2
"قيمت مناسب","نويز زياد
فلاش ضعيف و ظريف","نور فلاش خیلی ضعیفه و اونم بخاطر کوچک بودن سایزشه،کیفیت دوربین روی کاغذ خوبه اما در عمل اونجوری که انتظار دارین نیست،کیفیت عکس برداری در روز رضایت بخشه اما در شب با وجود ISO نسبتا خوب خیلی نویز داره ضمناً تصاویر در زوم زیاد کم کیفیت میشن که اونم بخاطر ساختار دوربین های کامپکت هست که اکثراً همین مشکل رو دارن
اما این دوربین برای یک کاربر مبتدی و خانگی و کار های مانند مدارس و ادارات مناسبه پ در روز و نور کافی عملکرد مناسبی داره",2,0,1,2,4,2,3
,,"عالی است پیشنهاد میکنم",1,1,5,5,5,5,5
,,"عالی بعنوان دوربین دوم",1,1,3,2,4,5,5
"به نسبت قيمت ، عکس و فيلم قابل قبول ، نه عالي
وجود لرزش گير
عدسي لنز باکيفيت
زوم بالا براي کاربري هاي خانگي","گارانتي بسيار بسيار ضعيف
رابط کاربري دوربين ميتوانست بهتر باشد
آسانسور ضعيف لنز","با سلام و درود
به نظر من گارانتی نقش خیلی مهمی رو در خرید کالاهایی از این قبیل ، داره
من این دوربین رو بعد از کلی تحقیق برای کادوئی تولد خواهرم خریدم که متاسفانه دوربین خوبی از آب درنیومد (حداقل برای من که اینطور بود) کلا 2 بار بیشتر باهاش عکس نگرفتیم ،که خراب شد لنز کامل بیرون اومد و از حالت فوکوس خارج شد و دیگه هم به حالت اول برنگشت ، متاسفانه اون زمان دیگه مهلت یک هفتگی دیجی کالا تمام شده بود ، بنابراین ما رو معرفی کردن به شرکت گارانتی کننده
(فوکا فیلم) ، که شرکت مربوطه به هزار و یک دلیل که خودتون بهتر میدونید از مرجوع کردن کالا خودداری کرد بعد از کلی دردسر یه دوربین دیگه فرستاد که اونم دقیقا مشکل آسانسور لنز داشت که به قول مسئول پشتیبانی فروش شرکت فوکا این یه چیز عادی و همه دوربین های این شرکت اینطوری هستند
(که این عادی نیست ) خلاصه من یه چیز رو تو این خرید فهمیدم اول اینکه از شرکت فوجی تو ایران خرید نکنم دوم اینکه دوربین های سوپر زوم به دلیل وزن بیشتر لنز و قطعات بکار رفته بیشتر ، در لنز ،استعداد بیشتری برا خراب شدن دارن",4,1,4,2,3,4,4
"لرزش گير تصوير فوق العاده
فيلم برداري عالي و با کيفيت
قابليت عکسبرداري با کيفيت در هر موقعيت","ظريف و نازک","من این دوربین رو تقریبا چهار ماهه خریدم
مسافرتم زیاد باش رفتم و عکس زیاد باش گرفتم.
اون موقع که من این دوربین و خریدم یک کارت حافظه هم همراه دوربین دادن که قیمتش هفتاد هزار تومن بود.
واقعا کیفیت تصویر برداریش عالیه و آدم از تماشای عکسایی که گرفته لذت میبره.
من حتما این دوربین رو بهتون پیشنهاد میکنم.",1,1,5,5,2,5,4
"کيفيت عکس فوق العاده","يکم نويز تو ايزوهاي بالا","این دوربین منو به عنوان یه عکاس شگفت زده کرد.",2,2,5,4,5,5,4
"کيفيت مناسب عکس ها و فيلم ها
امکانات زياد","نداشتن wifi و gps","با سلام من چند وقت پیش این کالا رو از دیجی کالا خرید. از خریدم هم تقزیبا راضی هستم البته باید در نظر داشتن کیفیت عکس های این دوربین به دوربین های نیمه حرفه ای و حرفه ای نمیرسه و نسبت به قیمتش خوب هست و امکانات خوبی داره که کاربرهای مبتدی رو از تنظیم سرعت شاتر و غیره نجات میده البته میشه به صورت دستی تمام تنظیمات رو انجام داد. اگه wifi و gps براتون مهم هست به مدل های FinePix-F800 و FinePix-F770 یه نگاهی بندازید.فقط یه سوال داشتم این هست که توی دیجی کالا نوشته قابلیت عکاسی به فرمت RAW رو داره ولی من ندیدم.",1,2,4,4,5,5,4
,,"یک کلام سامورایی !",2,2,5,2,3,5,4
