positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"باطري خيلي خوبي داره","فلش يکم سرعتش کمه","من این دوربین 3 ماه خریدم واقعا ازش رازی هستم پیشنهاد میکنم واسه خرید",0,0,5,5,5,5,5
"حجم و وزن مناسب
خوشدستي
مناسب براي شروع عکس برداري آماتور","کمبود لوازم جانبي در ديجيکالا!!!","اول یه تشکر که دوربین رو به با وجود مشکلات ایام نوروز به دستم رسوندید،دوم که یه گله کوچیک بخاطر لوازم جانبیش،مجبور شدم بیشترشونو بخاطر اطلاعات اشتباه یا مشکل قطعه مرجوع کنم.زیاد وقت نکردم باهاش کار کنم.نرم افزارهای نیکون رو نصب کردم،عالین.برنامه فضای ابریش به صاحبای نیکون 18 گیگ فضای مجازی اضافه میده که کلا میشه 20 گیگ.بعد از سینک نرم افزاری که دوستمون اشاره کرد،بلوتوث گوشیتون روشن باشه،عکس بلافاصله منتقل میشه،البته باید گزینه شو توی تنظیمات فعال کرده باشید.باز هم نظر میذارم",1,0,0,0,0,0,0
,,"اول از اینکه این دوربین فاقد وای فای می باشد و به مدد بلوتوث در بر قراری ارتباط بی سیم به شما امکانات می دهد که با اپلیکشنsnapbridge امکانات جذابی و برای شما به همراه مصرف باتری کم در اختیار شما میگذارد همچنین با ارائه‌ی این دوربین در سال 2016 شما به مراتب با تکنولوژی به روز آوری نسبت به 5300 رو برو خواهید شد که در سال 2012 ارائه شده است
همچنین باتری قدرتمند با 1200 شات از نکات قابل توجه در این دوربین می باشد
دامنه وسیع ISO امکان گرفتن عکس های فوق‌العاده در تاریکی و برای شما بوجود می آورد",3,1,5,4,5,4,5
"جمع جوري قيمت مناسب. کيفيت عکس ها به نصبت رقبا.","تا اينجا نبودن دکمه تنظيم ايزو و دياف روي بدنه","دوربین جمع جور و خیلی خوبیه.
عکسای که میگیره هم خیلی خوبه به نصبت هم رده ها.
ارتباط بلوتوث داره که عالیه.
در کل اگه میخوایین
تازه شروع کنین و دوربین جمع جوری برای عکاسی داشته باشین که وزنش اذیتتون نکنه و قابلیت بالایی داشته باشه ( این بازه زمانی این بهترین گزینه هست)
ظعفی که من دیدم نبود دکمه ی ایزو و دیافراگم روی بدنه بود و باید دکمه ی info. رو بزنی بعد از اونجا بری ایزو و بازی دیاف رو تغییر بدی.
درضمن دوستان این دوربین رو با سری های 5000 و 7000 مقایسه نکنن چون امکانات متفاوتی دارن
و یه نصیحت نقد هایی که میگید از روی کاغذ و نوشت و اطلاعات محدوده وبسایت های فروش نباشه برید چنتا سایت خارجی و معتبر مشاهده کنید امتیازاتی که میدن رو مقایسه کنید کیفیت عکسا رو پایش کنید .
اگه امکانش هست تو دست بگیرید
با چنتا دوربین دیگه مقایسه کنید بعد نظر بدین .
بلاخره اینجا بهترین مرجع برای نظر خواهی هست و مردم میان برای خرید از نظرات نوشته شده ی اینجا استفاده میکنن .
اساتیدی هم که با این دوربین کارکردن لطفا نظراتشون رو اینجا بیان کنن خیلی ها تازه کار هستن و آشنایی کافی ندارن .
با تشکر سایت بزرگ دیجیکالا.",5,1,4,3,3,2,4
,,"چقدر خوشگله این دوربین، لنزشم برخلاف سری قبل 18_55 خیلی قشنگ طراحی کردن و هودخور هم هست. فن آوری ارتباطی هم داره که اگه درست کارکنه خیلی کار راه اندازه. بیشتر از دوساله D5200 با لنز 18_140استفاده میکنم و sx60. این دوربین مشخصاتش روی کاغذ و عکسهاشو میبینم بنظرم دوربین جالبیه. اگه قصد خرید داشتم حتما یکی از گزینه هام بود.",1,1,3,3,3,3,3
"وزن کم
کوچک بودن","سيستم اتصال Snapbridge بلوتوث هيچ ارزشي ندارد و غيرکارآمد است","دوربین بسیار مناسبی است و توصیه میکنم بخرید و لذت ببرید.
من با گارانتی خود نیکون نیکونگرش خریدم.",1,0,3,3,3,3,3
,,"فرق سریه 3باسری 5 و7 نیکن در آپشن ها و سرعت شاتر هست که سری 7سرعت شات بیشتری داره که اکثرا در عکاسی هایه روز مره به کار نمیاد حتی در عکاسی هایه خاص شرایط نوری باید فوق‌العاده باشه در عمل نوع سنسور و پردازنده و کیت لنزه که تصویرو با کیفیت میکنه پس با تعصب از سریه 5یا7 یاد نکنید لطفا !!!",6,3,5,4,5,3,5
"تکنولوژي بروز","قيمت پايين","طبق تست سایت معتبر dx0mark که به دوربین گوشی پیکسل گوگل نمره بالای 90 داده بود این دوربین از d5500 بهتره نه d7200 البته تنها یک امتیاز کمتر داره دلیل این هم خیلی ساده است شاید از لحاظ سری 7200 بالاتره ولی 3400 از لحاظ تکنولوژی ساخت بروز تر می باشد البته این سایت به آپشن های دوربین کاری داره تنها تصویر خروجی رو مد نظر قرار میده
به نظر بنده چون ابعاد کوچکتری داره جمع وجور تر به نظر میاد برای افراد غیر حرفه ای خیلی بهتره و به نظر من تا این هست باید بیخیال سری پنج نیکون شد",7,1,3,3,3,3,3
"کيفيت بالا
سرعت خوب
قيمت مناسب",ندارد,"برای کسانی که تازه وارد هستن دوربینی فوق‌العاده",6,5,5,5,5,5,5
,,"این دوربین در حد دوربین من که D7000 نیست چ برسه D7200
در توصیفش همین بس که این در کلاس مبتدی و اون در کلاس پروزیومر هست سری دی7000 نیکون رو شدیدا توصیه میکنم مخصوصا با قیمت رقابتی
کافیه در دیجیکالا مشخصاتشو بخونین
سپاسگزارم",3,13,3,3,3,3,3
