positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"آقا سایت ها خیلی چیزارو میگن،باید استفاده کنی تا ببینی،من d100, 750d دارم،تعداد فوکوس بالاشو قبول دارم،ولی اصلا در برابر وزن بالاشون و دقت صفحه ضعیفشون و خیلی چیزای دیگه به چشم نمیاد،در کل اگه میخاید عکسایی که میگیرید به واقعیت نزدیکتر باشه،d100 گزینه ی خوبیه،ولی اگه تعداد فوکوس مد نظرتونه 750d بیشتر کمکتون میکنه،مشکل بزرگ 100d نداشتن وای فای هستش،امیدوارم توی خرید کمکتون کرده باشم.",1,1,3,3,3,3,3
,,"من تعجب میکنم از دوستی که‌ میگن این مدل با 750d تفاوتی ندارن یا میگن از d33p0 بهتره...!!!
شما کافیه عبارت d3300 vs 100d یا 750d vs 100d رو تو اینترنت جستجو کنید تا ببینی سایت های معتبری مثل dxomark و snapsort چی میگن
عمق رنگ d3300 و داینامیک رنج ش خیلی بالاتره. فیلتر لوپس نداره و بیست و چهار مگاپیکسله و تعداد نقاط فوکوسش خیلی بیشتره.
اون وقت چطور این دوربین رو با d3300 مقایسه می کنین؟!
در مورد 750d هم همین طور
اصلا 100d در حدی نیست که‌ با 750d و d3300 مقایسه بشه",0,1,3,3,3,3,3
,,"از دیجیکالا خواهش میکنم نظرایی که غیر منطقیه رو ثبت نکنن،ینی چی بعضیا از هیچی خبر ندارن میگن با این قیمت میشه d3300 و غیره خرید؟؟؟برید مشخصات رو ببینید،چند ماهه دارم استفاده میکنم عالیه،در ضمن 750d هم دارم تقریباً مثل همینه با این تفاوت که وزنش راحت دو برابر 100dهست ودارای نقاط فوکوس کم،نتیجه میگیریم که این مدل دوربین خیلی بهتر از d3300و 750d هست،خیالتون راحت.",5,3,3,3,3,3,3
کوچک,گران,"چه کاریه با این پول میشه نیکون d3300 گرفت که حتی از 700d هم بهتره چه برسه به این",5,4,2,3,2,3,0
"سبک، جمع و جور... مناسب براي دستهاي کوچک... الاالخصوص بانوان و نوجوانان","نداشتن AF Assist Lamp","نداشتن AF Assist Lampعملا عکاسی در نور کم و شب رو غیر ممکن میکنه...",4,3,3,3,3,3,3
"اندازه کوچک","تعداد نقاط فوکوس = 1","تفاوت اصلی این دوربین با 700d توی تعداد نقاط فوکوس هست. 700d دارای 9 نقطه فوکوس هست ولی برای 100d فقط یکی داره",3,4,4,4,3,2,4
,,"بله مموری SD هستش که وای فای داره، Mobi و Toshiba و ..",4,0,0,0,0,0,0
,,"سلام
دوستان من این دوربینو تازه خریدم
این دوربین وای فای نداره
ایا قطعه ی سخت افزاریی هست که بشه بهش وصل کرد تا بشه عکسارو با وای فای ارسال کرد؟؟؟
ممنون میشم اگه کمک کنید",2,1,0,0,0,0,0
,,"با سلام من این دوربین رو گرفتم
میخوام ببینم بپرسم که مدت زمانی که باتری با شارژ کامل خالی میشود چقدر است!؟
و این که متاسفانه فروشنده بانری حود رو در دستگاه من جا گذاشته و من نمیدونم حالا کدوم باتری من هستش راهی هست که بشع پی برد!؟
بسیاار ممنون",0,1,0,0,0,0,0
,,"کانن 100D یا همون SL1 در حال حاضر کوچکترین و سبکترین دوربین DSLR دنیاست .
دوربینی با تمام قابلیت های 700D کانن اما با جثه ای کوچکتر .
تنها تفاوت این دوربنین با 700D در باتری ضعیف تر ، عکاسی پیاپی کندتر (4 فریم در برابر 5 فریم در ثانیه) و چزخنده نبودن LCD ست .
که البته این تفاوتها با توجه به 21 درصد قیمت ارزونتر ، 27 درصد وزن کمتر و از همه مهمتر 42 درصد حجم کمتر ، واقعاً به چشم نمیاد . . .
این دوربین با یک باتری کاملاً شارژ شده 380 عکس میگیره که به خودی خود اونقدرها هم کم نیست!
اگه دوربینی با قابلیت های فراوان ، خروجی حرفه ای و حجم کم میخواین ، یا EOS M بگیرید یا 100D .
EOS M گرچه تقریباً تمام قابلیت های 100D و خصوصاً سنسور مشابه اون رو داره ، اما از 100Dهم کوچکتره ، با این تفاوت که DSLR نیست . و این یعنی عمر کمتر باتری با وجود یکی بودن مدل باتری ها و نداشتن برخی قابلیتهای حرفه ای تر مثل نصب ریموت تایمر برای عکاسی تایم لپس .
یک تفاوت دیگه هم وجود داره ، اونهم اینکه 100D مستقیماً با همه ی لنزهای کانن سازگاره ، اما EOS M برای استفاده از لنزهایی غیر از لنزهای کیت خودش باید از یک مبدل استفاده بکنه که به تنهایی حدود 300 تومن قیمت داره .
انتخاب من بین 700D و 100D قطعاً 100D خواهد بود . چون اندازه و وزن برام خیلی مهمه ، ضمن اینکه دقیقاً همون قابلیتهای 700D رو با قیمتی کمتر در اختیارم میذاره!",9,1,5,5,5,5,2
,,"من توضیحات دیجی کالا رو دیدم و خریدمش . برای من که عالی بود",6,0,0,0,0,0,0
,,"ترجیح میدم 700D یا D5200 بگیرم تا این! یا اصن یکم بیشتر اگ پول بزارین میش canon 60D با یه لنز خوب خرید",4,7,5,5,2,4,0
,,"واقعا نسبت به ابعاد و اندازش عملکرد فوق العاده ای داره",12,0,0,0,0,0,0
