positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"وزن کم جمع و جور بودن کيفيت تصوير عالي",ندارد,"من این دوربینو امروزگرفتم البته از تو بازار بالنز 18_140 من خیلی راضیم کیفیت تصویر عالی زوم وفوکوس راحت خیلی خیلی دو دل بودم بین این مدل و کانن 700d اما الان میگم که شک نکنید این بهترین گزینه ست ...ممنون از دیجی خیلی کمک کرد",4,2,4,4,4,4,4
,,"از هر نظر عالیه
اصلا در خریدنش نباید شک کرد.",6,1,5,5,5,5,5
"کيفيت عالي نسبت به اين قيمت
GPS
باطري فوق العاده",,"این دوربین عالیه نسبت به پولی که پرداخت می کنید واقعا ارزش داره GPS واقعا گاهی اوقات خیلی خوبه که بدونید کجا عکس گرفتین و میتونید استفاده های خوبی ازش بکنید نمیدونم چرا بعضی ها میگن این برای آماتور هاست اگر عکاسی رو خوب بدونید میتونید با همین دوربین هم حرفه ای کار کنید چیزی از دوربین های حرفه ای کم نداره به نظر من میشه گفت بیشتر از پولی که پرداخت میکنید آش میخورید در کل ارزش خرید با این قیمت نسبت به امکانات و کیفیت در مقایسه با برند های معروف دیگه رو داره",6,0,5,5,5,5,5
,,"من هم مشابه خیلی از شما دوستانِ عزیز ، مقایسه های زیادی رو انجام دادم . خب دو برند اصلی دوربین های Dslr تو بازار کشورمون نیکون و کانن هستند . توان خرید و نقدینگی شما محدوده ی مانورتون رو مشخص میکنه . تویِ این رنج قیمت بهترین انتخاب همین nikon d5300 هست . خیلی به گفته ی بعضی منابع اینترنتی اکتفا نکنید که میگن نیکون برایِ کار در آتلیه خوبه و کانن برای فضای باز . اندکی آشنایی و تسلط به دوربین و مقداری آگاهی از قوانین عکاسی میتونه خودش رو تو عکس ها نشون بده که این دوربین d5300 چقدر قوی هست و تا سال ها نیاز شمارو برای عکاسی پاسخگو خواهد بود . باز هم تاکید میکنم در این محدوده ی قیمت d5300 بهترین انتخاب خواهد بود",8,0,5,5,5,5,5
,,"من خودم D5500 دارم ولی از اونجایی که‌ این مدل کاملا مشابه دوربین منه در موردش نظر میدم
به نسبت قیمتش عالیه
تو برندهای دیگه مثلا کنون با این قیمت همچین چیزی پیدا نمی کنین
در خریدش شک نکنین و تعصب برندی نداشته باشین
اغلب ایرانی ها رو کنون تعصب دارن که خیلی کار غلطیه
البته توصیه می کنم اگه پول دارین، D5500 رو بگیرین چون واقعا بهبود یافته نسبت به این مدل",6,0,5,4,4,5,5
,,"دوربین فوق العاده ایه.من خودم ازش دارم و دارم لذتشو میبرم.همه چیزش عالیه مخصوصا قیمتش.البته پیشنهاد میکنم با لنز 18-140 بگیرید تا تفاوت رو حس کنید",8,1,5,5,5,5,5
"کيفيت عکس و فيلم بي نظير
ارگونومي عالي
با اين لنز عالي
افکت هاي خارق العاده",ندارد,"سلام راحت و خلاصه بگم نگیری ضرر کردی چون تقریبا خودم سه چهار ماه درگیر بودم بین دنیایی از دوربین ها که بالاخره گرفتم. با یکی از دوستام که عکاس حرفه ای بود عکس های این دوربین و نیکون دی 7100 رو کنار هم گذاشتیم اصلا نمیشد تشخیص داد کدوم کیفیتش پایین تره چون واقعا با کیفیت هستش.از لحاظ افکت هم واقعا بی نیاز از فتوشاپ و نرم افزارهای دیگه میشید چون افکت های خیلی زیبایی داره. ختم کلام بگیر ازش استفاده کن حالشو ببر شک نکن",9,0,5,5,5,5,5
,,"برای آماتورها بهترین دوربینه لطفا موجودش کنین",11,0,3,3,3,3,3
,"صداي فکوس به هنگام ضبط در ويدئو","سلام خدمت دوستان، من خیلی راجع به خرید این دوربین تحقیق کردم، وبرای این کار از چند آتلیه کمک گرفتم ، من در ابتدا تصمیم به خرید فوجی فیلم سری (زد) داشتم، ولی بعد از تحقیقاتی که انجام دادم به این نتیجه رسیدم که قیاس این دو کاره اشتباهی است چون واقعا قابل قیاس نیستند، قیاس این دو مثل قیاس پراید و زانتیا هستش،من بلافاصله پس از خرید این دوربین در سفری که به خارج از کشور داشتم عکس های فوق العاده داشتم،
حتما تو خرید 5300 لنز 18 ،140 را انتخواب کنید، بلوتوث بسیار بسیار کاربردی و قابلیت عکس گرفتن از طریق گوشی،باطری قابل قبولی داره.
تنها ضعف این دوربین که من پیدا کردم وجود صدای فکوس به هنگام فیلم برداری در فیلم هستش.
اگر میبینید بیشتر آتلیه ها کنون دارن علتش این هست که بیشتر از فیلم برداری استفاده می کنند،البته فیلم برداری بسیار خوبی داره و صدای خیلی کمی داری که هرکسی متوجه آن نمی شود.
اگر در خریدش شک دارید ، شک نکنید که بهترین گزینه تو این رنج هست،",10,1,4,5,5,4,5
,,"این دوربین با این کیت لنز بهترین گزینه برای شروع عکاسی هست...
بنده از شما درخواست دارم این دوربین با این کیت روبه جای کیت 18-55 موحود کنید،چون واقعا مشتریاش خیلی بیشتره",10,0,4,4,3,5,5
