positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"داشتن دو ديال
فيلم برداري مناسب","کنترل نويز معمولي","دوستان اگر سر برند حساس نیستید واقعا D7100 دوربین خیلی بهتری حد اقل در زمینه عکاسی از این دوربین هستش. در رده نیمه حرفه ای هم هست اما این دوربین سطه مبتدیه.",2,2,3,4,3,2,3
,,"دوربین عالی.واسه کسی ک تازه عکاسی رو شروع کرده زیادی ام هست.چون تاحدودی خیلی حرفه ای",1,0,3,3,3,3,3
,,"یک کلام
D5500 خیلی سرتره
کافیه عبارت d5500 vs 760d رو جستجو کنید تا بفهمید تو این رنج قیمت نیکون بهتر عمل کرده",0,0,5,3,3,3,3
"داشتن نمايشگر دوم
داشتن دو ديال
مناسب براي فيلم برداري
لنز هاي ارزان نيکون","کنترل نويز نه چندان مناسب اما بهتر از مدل هاي قبلي
سنگين","سلام به دوستان عزیز
لطفا اینقدر سر اینکه نیکون بهتره یا کانن بحث الکی نکنید.
کر دو برند برند فوق العاده ای هستن و هر کدوم برتری های دارن، معمولا سنسور دوربین های نیکون کیفیت و کنترل نویز بهتری دارن و سبک تر و خوش دست ترن، اما دوربین های کنون در حالت فیلم برداری و لایو ویو بهترن، همچنین لوازم جانبیش هم ارزان ترن.
اما در مورد این دوربین....
دوربین خوبیه اما در بین دوربین های سطح مبتدی قیمت بالایی داره، با این قیمت میشه یه دوربین پروزیومر خرید، هرچند که این دوربین برخی امکانات دوربین های پروزیومر رو داره. مثلا D7100 یا D7200 میتونن گزینه های خوبی باشن.
اینقدر هم فکر فناوری های جدید مثل WiFi, Bluetooth و nfc نباشید. داشتن این قابلیت ها خوبه ولی اصل نیست.اینا رو دوربین هایی مثل D3400 هم دارن مهمتر از همه کیفیت دوربینه.",2,0,3,4,3,2,3
,,"همه میگن قیمتش نسبت به امکاناتی که داره بالاست ولی به نظر من اصلا این طور نیست.
یکی از بهترین امکاناتی که کنن تو این سری از دوربین ها در نظر گرفته نمایشگر بالای دوربین که خیلی کاربردیه واسه تنظیم iso و تنظیم نقطه فوکوس
همچنین استفاده از کلید چرخشی تواین مدل خیلی خوبه...",5,1,4,4,4,5,5
"کيفيت عکس و فيلم برداري عالي","نسبت به رقيب نيکوني ميتونست از بدنه فلزي و ضد آب بهره ببره","بنده این دوربین رو با کیت 55-18 تابستون خریدم وبعد از 5 ماه کارکرد بیش از 5000 شات زدم باهاش، دوربین حال حاضر من یک نیکون 7200 با لنز 50میلیمتری اف1.8 هست.760 رو به خواهرم دادم و گفتن چند نکته رو برای خریدارای این دوربین مفید دونستم:
1-از نظر کیفیت ساخت نیکون بالاتر هست اما کنون سبک تره
2-کنون ساخت ژاپنه اما نیکون تایلند (برای کسایی که محل ساخت واسشون مهمه)
3- زمانی که دوربین رو ارتقا دادم باتوجه به اینکه 7200 پرچمدار پرسیومر های نیکونه انتظار عکسای خیلی بهتری داشتم اما عکسایی که با 760 دی و اون لنز ارزون قیمتش ثبت کردم خارق العاده بودن و واقعا اینو بدونید من تفاوت چندانی حس نکردم(البته اگه با یه محدوده دیافراگمی عکس بگیری،که بازم خیلی فرق نداره)
4-چشمی کنون بعد از عکاسی طولانی مدت بشدت چشمو خسته میکنه اما نیکون نه
5-تنظیمات حرفه ای تر و کامل تر نیکون در 7100 و 7200 خیلی کامله و از این نظر کنون رو مغلوب میکنه(چیزایی مثل عکاسی تایم لپس و تنظیمات پیشرفته فوکوس و حتی داشتن دو اسلات کارت که شما میتونید هرکدوم رو برای کاری تنظیم کنید)
6-این مدل گرونتر از 7100 هست و قطعا شما بدونید که داشتن کنترل وایرلس روی دوربین واقعا کاربردیه و من عکس هاس بی نظیری تونستم باهاش ثبت کنم
7 - کیفیت فیلم برداری 760 دی با کیت لنز استاندارد منو واقعا شگفت زده کرد.بوکه های عالی و فوکوس سریع و روان.بهتر از هر دوربینی که تاحالا دیدم!",8,1,5,3,5,3,5
"ارتباط NFC
کيفيت مطلوب عکس و فيلم
امکانات سخت افزاري کافي براي اعمال تنظيمات حين عکاسي
ابعاد و وزن کم و جمع و جور در مقايسه با 70d
سيستم فوکوس خودکار سريع 19 نقطه","ساپورت نکردن از قابليت Time Laps
باتري نسبتاً کم ظرفيت
فرمت جديد فايل Raw (CR2)","باسلام
من هم مثل خیلی از دوستداران هنر عکاسی بعد از مطالعه و سبک سنگین کردن زیاد و دست گرفتن انواع دوربین های سری مبتدی دو برند مطرح تصمیم به انتخاب این دوربین گرفتم. متأسفانه در اون زمان این دوربین در دیجی موجود نبود و بنابراین از بازار و باگارانتی ایده آل تهیه کردم. مزایای این دوربین رو نسبت به 750D :
1. داشتن صفحه اطلاعات بالای دوربین که دیافراگم، ایزو،سرعت شاتر، وضعیت باتری، وای فای، تعداد عکسی که میشه گرفت، رو نشون میده که دارای دکمه نور پس زمینه برای تاریکی هم هست.(کاهش مصرف باتری ، عدم نیز به تغییر موقعیت دوربین بعد از کادر بندی برای دیدن تنظیمات)
2. داشتن سنسور چشمی در جلو ویزور که در زمانی که از اون نگاه می کنید صفحه نمایش رو خاموش میکنه.(کاهش مصرف باتری)
3. دیال مود با دگمه وسطش قفل میشه (برای جلوگیری از تماس و تغییر تصادفی)
4. HDR در زمان فیلم برداری
کلاً این امکانات به نظرم به اختلاف قیمتشون میصرفه مخصوصاً اولی.
در خصوص نقاط مثبت و منفی بالا به شکل خلاصه توضیح می دم :
1.NFC , Wifi : یکی از مزیت های اصلی این دوربین نسبت به برادر بزرگترش 70D هستش. اینکه شما عکس بگیرید و با گوشیتون بلافاصله بتونید share کنید. من از این قابلیت خیلی زیاد استفاده می کنم. نحوه برقراری ارتباط اگه گوشی به NFC مجهز باشه خیلی سریعه و الا مثل وصل شدن به یک شبکه وای فایه.
2.کیفیت عکس و فیلم: نسبت به قیمتی که می پردازید شما رو راضی نگه می داره، مخصوصاً تو ایزوهای پایین. کلاً اگر دانش مبتدی عکاسی و مسایل مثلث نوردهی رو بدونید عکس هاش عالیه.
3. امکانات سخت افزاری کافی برای اعمال تنظیمات حین عکاسی: یه پیچ تنظیم در بالا کنار صفحه نمایش اطلاعات و یکی هم پایین کنار صفحه نمایش اصلی LCD هست که در مود های مختلف تغییرات رو خیلی سریع می کنه. نسبت به دوربین هایی که یکی دارندخیلی بهتره.
4.ابعاد و وزن کم و جمع و جور در مقایسه با 70d : این دوربین از جنبه مشخصات فنی خیلی به 70D نزدیکه . مزیت 70D بادی بزرگتر و مقاومت نسبت به گرد وخاکه. خوب این کوچکتره و حمل و نقل اش آسونتر.
5.سیستم فوکوس خودکار سریع 19 نقطه : 700D که نسل قبلی بود 9 تا داشت این 19 تا نقطه فوکوس. که به سه صورت هم میشه اینا رو انتخاب کرد. (تک تک، منطقه ای، اتومات) مخصوصاً تو فیلمبرداری هم به خاطر تکنولوژی جدیدش سرعت فوکوس افزایش پیدا کرده.
معایبشم که واضحه. در خصوص فرمت جدید فایل Raw هم بگم که بخاطر این موضوع مجبور شدم ویندوزم رو از ویستا (خز) به 7 ارتقا بدم تا بشه نرم افزار مناسب برای خوندن این نوع فایلها رو روش نصب کنم. شاید برای بعضی ها مقدور نباشه، پس حواستون باشه.
توصیه میکنم حتماً
1. یک فیلتر برای محافظت از لنزتون بخرید. ( حدود 50 تا 150 بر مبنای کیفیتش خوبه) که هیچ وقت از روش باز نکنید.
2. کیف مناسب هم با توجه به بزرگی لنز تهیه بشه.
3.اگر تو محیط بیرون بیشتر عکس میگیرید Shader برای لنز بخرید که هم جلوی نور خورشید رو بگیره هم یه جور حفاظت فیزیکی در برابر ضربه ایجاد میکنه.
4. حتماً با لنز 18-135 بخرید. چون برای شروع عکاسی امکانات خیلی خوبی بهتون میده . من حتی باهاش عکاسی مایکرو کردم.
5. کیفیت فیلمبرداری و سرعت عکس برداری متناوب خیلی به کیفیت کارت حافظه ای که میخرید ارتباط داره.
فعلاً عزت زیاد",3,0,5,4,4,4,5
,,"معمولا برای دوربین های dslr همه باطری اضافی رو میخان اما متاسفانه برای این دوربین ندارین شما، مخصوصا انرجایزر ،اگر برای این مدل زده باشه، چون قیمتش به نسبت اصلی بهتر و کیفیت بالا رو هم داره.",9,1,5,4,4,5,4
,,"من این دوربینو سفارش دادم اونم بعد 6 ماه تحقیق و بررسی هنوز به دستم نرسیده امیدوارم که کیفیت و همه چیش خوب باشه ولی طبق تحقیقات من در نوع خودش و تو این رنج قیمت با این لنز بهترینه",8,0,4,4,4,5,5
"Continous AF - DIGIC6","نسبت به؟! زياد!","اولین DSLR که از دیجی کالا خریدم! الان فقط در صورتی میتواند بهترین انتخاب باشد که بودجه شما محدود به این دوربین باشد. حد اقل کیفیت از نظر من برای شروع در این تاریخ با اولویت عکس 7D m II و اولویت فیلم 80D میباشد. البته مبنای کیفیت از نظر من Panasonic GH4 در فیلم و Panasonic GX8 در عکس میباشد!!! با اینکه هیچکدام فول فریم نیستند!!! ولی نتیجه حیرت آوری دارند، آنقدر که پس از یک عمر زندگی و اعتقاد عمیق به Canon تمام تجهیزات حرفه ای ام را تعویض کردم!!!",4,5,3,3,4,3,3
