positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"کيفيت عکسهاش عاليه
باتري شارژ خوبي نگه ميدارد","منوي انتخابي خود به خود تغيير ميکند،","اشکال در دوربین
منوی انتخابی خود به خود تغییر میکند، مثلاً هنگام عکس گرفتن، بطور ناگهانی روی حالت فیلم یا حالت های دیگه میره، اشکال دوم: در حین فیلمبرداری صفحه خود به خود تاریک میشه.",0,1,3,3,3,3,3
,,"منوی انتخابی خود به خود تغییر میکند، مثلاً هنگام عکس گرفتن، بطور ناگهانی روی حالت فیلم یا حالت های دیگه میره، اشکال دوم: در حین فیلمبرداری صفحه خود به خود تاریک میشه.",1,2,2,3,3,3,3
,,"دوستان نظرات مفیدی میدن ولی هیچکس نمیگه قبلا با چه مدلی سابقه عکاسی داره
کسی که قبلش دوربین نداشته مسلما تعریف میکنه و کسی که قبلا دوربین حرفه ای داشته احتمال زیاد نقدش میکنه
پس بهتره قبل از نظر دادن بگین تجربه کار با چه دوربینی رو داشتین
ممنونم دیجیکالا",1,1,3,3,3,3,3
,,"از همه لحاظ عالیه",1,0,5,5,5,5,3
"کيفيت عکسها و فيلمبرداري عاليه.
واي فاي واقعا کاربرد زيادي داره
باتري شارژ خوبي نگه ميداره
فوکوس خوبي داره
نور فلاش بسيار عالي هست--کيفيت جنس بدنه عالي",ندارد,"واقعا نسبت به قیمتش عالیه",1,0,3,3,3,3,3
"واي فاي بسيار کاربردي.کيفيت خوب عکس.","موقع زوم در فيلمبرداري لحظه اي تصوير تار ميشه","باسلام. چون دوربین قبلا نداشتم نمیدونم اما از اطرافیان که نظرخواهی کردم گفتند کیفیتش خوبه.از صحنه فیلمبرداری میشه عکس گرفت(نمیدونم همه دوربینا دارن یا نه. انتقال به گوشی راحته فوق العاده. چیز خاصی به نظرم نمیاد.دیجی خوب تخفیف داده خدایی.قیمتاشو تو سایتای دیگه چک کنید. یاعلی",1,0,4,4,4,4,4
"کيفيت عکسها و فيلمبرداري عاليه.
واي فاي واقعا کاربرد زيادي داره
باتري شارژ خوبي نگه ميداره
فوکوس خوبي داره
نور فلاش بسيار عالي هست",ندارد,"کیفت خوبی داره",2,0,3,3,3,3,3
,"کيفيت خيلي پايين عکس","ی ماهه گرفتم کیفیت عکسش نصف دوربین 12mp کانن هم نیست
کیفیت دوربین گوشیم از این بالاتره
وقت نکردم ببرم نمایندگی،",1,5,0,3,2,3,0
,,"سلام
وضعیت تحویلی دوربین خوب بود کیفیت بدنه و ساخت خوبه و عکسها و خصوصا زوم اپتیکال خوبی داره.بر خلاف گفته دوستمون مال من یه کارت حافظه 8 گیگی سامسونگ روش بود ولی یه اشکال دیگه که داشت این بود که از 18ماه گارانتی دوربین فقط 8 ماهش باقی مونده بود که به دیجی زنگ زدم گفتن از تاریخ خرید حساب میشه ولی به من فاکتور خرید هم نداده بودن!",1,1,4,4,3,5,4
"قيمت مناسب در فروش شگفت انگيز","نداشتن کابل hdmi
نداشتن حافظه داخلي
نداشتن مموري (کارت حافظه)
نداشتن شارژر باتري","من این محصول رو در فروش ویژه 9 مهر خریدم؛ ولی از وقتی که به دستم رسیده نتونستم باهاش عکس بگیرم، چون حافظه داخلی نداره و کارت حافظه هم نداره! حتما باید براش کارت حافظه بگیرم تا بتونم عکس بگیرم. در لوازم جانبیش هم کابل hdmi نبود که اون رو هم باید جدا بگیرم. شارژر جدا هم نداره و باتری باید هنگامی که توی دوربینه شارژ بشه که نمی دونم خوبه یا بده. البته من یه دوربین کانن 1200d دارم که شارژر جدا داره!",1,1,3,3,3,3,3
