positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"در تایید نظر آقای عابدینی یکی از مجموعه سازان تلویزیون که اسمش رو بخاطر نمیآرم ظرف دو سال 3 عدد 5D خریده بود. البته فروشنده برای تبلیغ پر فروش بودن این مدل اینگونه می گفت ولی شاید به دلیل کم شدن حساسیت سنسور بوده باشد. چون من خودم از یک دوربین کامپک کانون زیاد استفاده می کردم مجبور به تعویض سنسور شدم.",3,1,3,3,3,3,3
,,"حالا که دوربین کانن 5D مارک 4 هم به بازار اومده، بد نیست اون رو با نیکون D810 مقایسه کنیم. در ادامه، نقاط قوت هر کدوم رو به لحاظ فنی ذکر میکنم:
نقاط قوت Nikon D810
1- باطری قویتر: 1200 عکس در برابر 900 عکس
2- مگاپیکسل بیشتر: 36.3 در برابر 30.4
3- وجود فلاش روی بدنه (کانن ندارد)
4- نبود فیلتر Low Pass (یعنی تصاویر شارپ تری نسبت به کانن ثبت میکنه): نمونه تصاویر این دو مدل رو (برای مقایسه) میتونید در سایت imaging-resource مشاهده کنید، که نیکون نصاویر شارپ تری رو صبت میکنه
5- دارای ایزوی پایه 64 (کانن ندارد)
6- رتبه ی سنسور بالاتر: 97 در برابر 91
7- عمق رنگ بیشتر: 25.7 در برابر 24.8
8- دامنه پویایی بیشتر (یعنی جزئیات بیشتری رو در سایه ها و نقاط روشن، بطور همزمان ثبت میکنه): 14.8 در برابر 13.6
9- دارای نور کمکی برای اتوفوکوس در مکان های کم نور (کانن ندارد)
10- تنظیمات سلف تایمر: 4 گزینه در برابر 2 گزینه
11- سرعت سینک با فلاش، با سرعت بالاتر: 250 (در مواردی 320) در برابر 200
12- ارتباط با اسپدلایت با توجه به ایزو (کانن ندارد)
13- تنظیم اسپیدلایت بصورت وایرلس و نورسنجی TLL (کانن ندارد)
14- بافر بیشتر در عکاسی با فرمت RAW: که 23 فریم در برابر 19 فریم
15- بافر بیشتر در عکاسی با فرمت RAW + JPEG: که 18 فریم در برابر 1 فریم
16- تنظیم قطر محدوده ی نورسنجی، در حالت اسپات (کانن ندارد)
نقاط قوت Canon 5D IV
1- صفحه نمایش لمسی (نیکون لمسی نیست)
2- تصویربرداری 4K (نیکون ندارد)
3- دارای NFC, WiFi, GPS (نیکون ندارد)
4- دارای Phase Detector بر روی سنسور، که عملکرد Live View و اتوفوکوس در زمان تصویربرداری رو بهبود میده (نیکون ندارد)
5- نقاط اتوفوکوسِ صلیبی بیشتر: 41 در برابر 15
6- صفحه نمایش با دقت بالاتر: 540K در برابر 307K پیکسل
7- جدیدتر بودن: 4ماه در برابر 2 سال
8- سرعت بالاتر در عکاسی پیاپی: که 7 در برابر 5.1 فریم در ثانیه
9- بافر بیشتر در عکاسی با فرمت JPEG: که 57 فریم در برابر بی نهایت
10- دارای تصویر برداری Slow Motion 120 fps (نیکون ندارد)
11- دارای ایزوی پایه بالاتر: 32000 در برابر 12800
12- دارای ایزوی گسترده ی بالاتر: 102400 در برابر 51200
13- گزینه های بیشتر برای تعیین کیفیت تصویر: 24 گزینه در برابر 12 گزینه
14- دارای Dual-Pixel RAW (ابداع جدید کانن): که کاربر میتونه در زمان ویرایش عکس در کامپیوتر، اتوفوکوس عکس رو اصلاح کنه. البته نه به این معنا که اگر عکسی تار باشه، در نرم افزار، بطور کامل فوکوسش کرد. در سایت کانن میتونین بهترین شرایط و محدوده ی مجاز که (با توجه به فاصله کانونی لنز) برای اصلاح به فوکوس تعیین شده رو مشاهده کنید. (نیکون ندارد)
15- نقاط اتوفوکوس بیشتر: 61 نقطه در برابر 51 نقطه",27,0,5,5,4,5,4
,,"یکی از بزرگترین تفاوتهای دوربینهای کنون و نیکون در ساخت سنسورهاشونه
شرکت کنون خودش اقدام به ساخت سنسور میکنه
ولی شرکت نیکون این کار حساس و تخصصی رو به شرکت سونی واگذار کرده (قطعا تکنولوژی شرکتی مثل سونی با کنون قابل مقایسه نیست)
بخاطر همین این دو دوربین اصلا تو خروجی با هم برابر نیستند و داینامیک رنج نیکون خیلی بالاتره
یکی دیگه از تفاوتهای این دو شرکت اینه که
شرکت نیکون فقط و فقط به طور تخصصی دوربین و لوازم جانبی دوربین و کلا هر چیزی که به عکاسی مربوطه میسازه
اما شرکت کنون از دوربین گرفته تا پرینتر و دستگاه کپی و... (تخصصی رو دوربین کار نمیکنه)",23,9,5,5,4,4,4
,,"تقریبا یک کیلو هستش و خیلی سنگینه برای تمرکز و کار طولانی مناسب نیست",4,13,3,3,3,3,3
,,"از اونجایی که اکثر اوقات، خطای moire در ویزور دوربین قابل رؤیته، یه روش دیگه برای از بین بردن یا کاهش این خطا (علاوه بر روش هایی که در پست قبلی اشاره کردم) اینه که کمی از سوژه دور بشید یا فاصله کانونی لنز رو اندکی کاهش بدید!",9,0,5,5,4,5,4
"کيفيت عکس بي بديل
شارپنس و جزييات فوق العاده
کيفيت ساخت بسيار عالي
عمر باطري عالي
دايناميک رنج بسيار بسيار عالي","ندارد
لنز 24-120 براي اين دوربين يه مقدار ضعيف هست پيشنهاد ميشود لنز 70-24 را استفاده کنيد","دوست من این دوربین را با دو لنز 70-24 و f2.8 200-70 داره و فوق العاده از خروجی دوربین راضی هست ( پرتره و طبیعت )",9,0,5,5,5,5,5
,,"آقا مهدی، من حالت ایده آل رو در نظر گرفتم برای دوستانی که از دوربین شون فقط برای عکاسی استفاده میکنن -
اینکه من گفتم ""عمر سنسور رو به شدت پایین میاره"" با فرمایش شما که ""اصطحلاک دوربین رو بالاتر میبره"" چه فرقی میکنه؟ جفتش یه معنی رو میده!
درسته، میشه با دوربین 280 ساعت تصویر و چند ده هزار عکس گرفت، ولی این نکته رو هم در نظر بگیرید که با استفاده ی زیاد از Movie ، تصویر عکاسی دیگه Sharpness اولیه رو نداره - من این موضوع رو از شخصی شنیدم که Canon 5D داشت و از این بابت ابراز نارضایتی میکرد - این نکته رو هم به حرفام اضافه کنم که: در دفترچه راهنمای دوربین های کانن نوشته که در زمان استفاده از Movie & live View باید دمای محیط (اگر اشتباه نکنم) زیر 20 درجه سانتیگراد باشه تا دوربین داغ نکنه [و به مادربورد فشار نیاد]! چون یکی از دوستانم بعد از 40 دقیقه تصویر برداری با Canon 70D مادربورد دوربینش سوخت - این مواردی ک ذکر کردم، میتونه استثنا باشه و نمیخام به همه ی دوربین ها تعمیم بدم!
بنده به شخصیه ترجیح میدم از هر وسیله ای در جای خودش استفاده کنم!",13,1,5,5,4,5,4
"[""همه چيش عاليه""]","[""گران است""]","اون آقایی که گفتند حالت movieو...عمر حسگر را پایین می آره...
من از شخص تعمیرکار ایده آل پرسیدم،گفتند :صحت ندارند وحرف کساییکه ادعای حرفه ای میکنن قبول نکنیدواگر ویژگی مخربی بود سازنده روی دوربین قرار نمیدادن وخودتون هم میدونید الان دارن با این دوربینا فیلم سینمایی میسازن وخودم هم کسی روسراغ دارم که میگفت با 5dکانن مارک دو 280ساعت فیلم برداری کرده وچند ده هزارشات ولی هنوز حسگر سالم وخوبه...
ولی درکل اصطحلاک دوربینونسبت به عکاسی بالاتر میبره ولی دلیلی بر استفاده نکردن از این ویژگی جذاب نیس...",4,4,5,5,5,5,3
,,"خوبه اگه واقعا به عکاسی علاقه داریم",1,2,5,5,5,5,3
,,"15 ساله که به طور جدی عکاسی میکنم - ارشد عکاسی دارم - 8 سال اخیر، درکنار عکاسی آنالوگ، با دوربین دیجیتال کار کردم، و فقط با دوربین های کانن (با 7 مدل از دوربین های کانن کار کردم) - به جرات میتونم بگم که کانن باز بودم و اصلا از نیکون خوشم نمیومد و سمتش نمی رفتم - من این دوربین رو چندماه پیش از دیجیکالا خریدم - خودمم باورم نمی شد که یه روزی نیکون بخرم - ولی از خریدم واقعا راضی هستم -
قبل از ادامه ی صحبتم، به دوستانم بگم که برای خرید هر وسیله ای، به اندازه ی نیازتون هزینه کنید - اول تعیین کنید که اون وسیله (در اینجا دوربین) رو برای چه کاری میخاید - من خودم هنوز از موبایل جاوا استفاده میکنم، چون کارم رو راه میندازه و غیر از تماس و فرستادن پیام، کار دیگه ای باهاش انجام نمیدم - دوستانی که برای عکس های خانواده گی میخان دوربین بخرن، به هیچ وجه سراغ این دوربین و هم رده های اون نرن، و به صرف اینکه توانایی مالیِ خریدش رو دارن، اقدام به خرید نکن - دوستانی هم که تازه میخان از صفر عکاسی رو شروع کنن یا آماتور هستند هم از بین مدل های پایین تر، دوربین انتخاب کنن - این دوربین، دوربینی نیست که بخان تازه باهاش عکاسی یادبگیرن - چون در واقع پول تون رو بخاطر اصطحلاک دوربین، هدر میدین - تمرین های عکاسی رو با مدل های پایین تر و ارزون تر انجام بدید - من این دوربین رو برای عکاسی تبلیغاتی داخل آتلیه خریداری کردم، نه چیز دیگه ای -
پیشنهاد میکنم برای افزایش طول عمر دوربین، از Live View و Movie دوربین استفاده نکنید - درسته این گزینه ها روی دوربین تعبیه شده، ولی هنوز هم برای من قابل درک نیست که چرا باید برای تصویر برداری، از دوربین عکاسی استفاده کرد، وقتی دوربین های مخصوص تصویربرداریِ واقعا خوب و پیشرفته ای وجود داره - Live View و Movie به شدت طول عمر سنسور رو پایین میاره -
چی شد که به کانن پشت پا زدم و نیکون خریدم: بین Canon 5D Mark III و این دوربین دودل بودم - تصمیم گرفتم بجای تعصب بیجا به کانن، تحقیق کنم و با توجه به اطلاعاتی که سرچ کردم، دوربین انتخاب کنم - در حین سرچ، به یک سایت خیلی خوب برخوردم که این دو مدل رو بدون هیچ تعصبی و صرفا به لحاظ فنی مقایسه کرده بود.
مزیت های Nikon D810 نسبت به Canon 5D Mark III رو از این لینک بیان میکنم (باتوجه به قوانین دیجیکالا، نمیتونم لینک رو به اشتراک بگذارم):
1- رتبه ی بالاتر سنسور: 97 در برابر 81
2- ایزوی موثر بالاتر: 2853 در برابر 2293
3- قدرت ثبت جزئیات در نورها و سایه ها: 14.8 در برابر 11.7
4- عمق رنگ بیشتر سنسور: 25.7 بیت در برابر 24 بیت
5- ظرفیت بیشتر باطری: 1200 عکس در برابر 950 عکس
6- مگاپیکسل بیشتر: 36 مگاپیکسل در برابر 22 مگاپیکسل
7- جدیدتر بودن: 19ماه در برابر 4 سال (یعنی از تکنولوژی های جدیدتری پشتیبانی میکنه)
8- وجود فلاش روی بدنه (که کانن ندارد)
9- نبود فیلتر Low Pass : یعنی عکس هایی با وضوح بیشتر ثبت میکنه
10- تعیین ریزلوشن عکس: 12 حالت در برابر 5 حالت
11- عکاسی با فرمت Tiff (که کانن ندارد)
12- داشتن نور کمکی برای اتوفوکوس در محیط های کم نور (که کانن ندارد)
13- کیفیت بالاتر نمایشگر پشت دوربین در نیکون
14- پشتیبانیِ از ایزوی 64 (که کانن ندارد)
15- استفاده از تکنولوژی پیشرفته تر در نورسنج: 91K-pixel 3D Color Matrix Metering III (که کانن ندارد)
16-سلف تایمر با گزینه های بیشتر: 4 گزینه در برابر 2 گزینه
17- دارای درگاه USB3 (که کانن USB2 است)
18- بافر بالاتر در عکاسی متوالی با فرمت RAW: که 23 فریم در برابر 18 فریم
19- بافر بالاتر در عکاسی متوالی با فرمت RAW+JPEG: که 18فریم در برابر 7 فریم
20-سینک شدن با فلاش، با سرعت بالاتر: 250 (در مواردی 320) در برابر 200
21- پشتیبانی از UHS-I در ذخیره سازیِ تصویر (که کانن ندارد)
و اما در مورد خطای moire که فقط در سطوح دارای نقوش و بافت بسیار ریز اتفاق میفته، خود سایت نیکون چند راه حل برای جلوگیری و کاهش اون پیشنهاد کرده که نقل قول میکنم:
1- تغییر زاویه ی دوربین نسبت به سوژه
2- تغییر نقطه فوکوس
3- استفاده از دیافراگم 5.6 و 8
4- استفاده از ابزار moiré reduction در نرم افزار Nikon Capture NX2 که قابل اعمال روی فایل raw خواهد بود
در همین لینک توضیح داده شده که چرا شرکت نیکون تصمیم گرفت تا فیلتر Low Pass رو از روی بعضی مدل های خودش برداره: ""از آنجایی که در سنسور دوربین های قطع متوسط [که حرفه ای تر هستن] فیلتر Low Pass وجود ندارد، و عکاسان این رده از دوربین ها حاضر نیستند وضوح عکس رو بخاطر خطای moire از دست بدهند..."" شرکت نیکون نیز تصمیم گرفت چنین کاری رو انجام بده!
لنز همراه بدنه هم لنز واقعا خوبیه -
بدنه و لنز هر دو ساخت تایلند است - اگر به سایت نیکون امریکا هم مراجعه کنید، اونا هم ساخت تایلند است - و دلیل بر کیفیت پایین دوربین نیست -
امیدوارم این مطالب مورد استفاده ی دوستان قرار بگیره
با آرزوی موفقیت برای همگی",78,3,5,5,4,5,4
