positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"امکانات تنظيمات عکاسي که در مدل هاي مشابه نيست","نداشتن امکان زوم","در مجموع راضی هستم. میدونم که بین تمام دوربین های فوری، کیفیت عکس اونقدری نیست که توقع آدم بالا بره. این دوربین به علت امکانات تایمر، میکرو، و سه درجه نورسنجی، به نصبت بهتر از بقیه گزینه هاست، که البته که خب گرونتر هم هست.
اگر فقط عکسهای معمولی و تفریحی میخوایین، گزینه های ارزونتر هم همینکار رو میکنن.",0,0,4,5,5,5,3
,,"چند تا نکته ضعف داره که نقطع قوته اول اینکه کیفیتش عالی نیست.پس نقاط ضعف صورت رو نشون نمیده .مثل لک و جوش و... البته بگم که کیفیتش خوبه ها .نه که بد باشه.دوم اینکه قیمت هر عکس که چاپ میکنه براتون 3 هزار تومن در میاد.پس الکی عکس نندارین.سوم اینکه اندازه عکساش جوریه که میشه راحت تو کیف و .. نگهش داشت و به عنوان خاطره همیشه بهش نگاه کرد چهارم اینکه کیفیت بسار عالی ای داره ولی براش یه کیف از آتلیه ها هم بگیرین خوبه.عکس هاشو از همه آتلیه ها میشه خرید.صبر کنین پیشنهاد ویژه بشه بعد بخرین از دیجیکالا حتما بخرین بنظرم.چون جنس های چینی زیاد شده تو بازار.ولی دیجیکالا جنس های اصل میده با قیمت عالی دمت گرم دیجیکالا ببخشید طولانی شد.اگه خوشت اومد لایک کن که بقیه هم بخونن موفق باشید",37,5,3,5,5,4,5
,,"دوربین خوبیه و جالب اگر مبلغش مهم نیست زیاد براتون همینو بگیرید مدلهای دیگشم خوبه ولی. باتشکر از دیجی کالای عزیز لطفا کیف این دوربین رو موجود کن میخوام فیلمشو سفارش منتظرم با کیفش باهم سفارش بدم.",8,1,3,3,3,3,3
,,"بسیار زیبا وباکارایی بالافقطامیدوارم که فیلم این دوربین براحتی دردسترس جهت خرید واستفاده کاربران باشد",3,1,5,5,5,5,3
"قابليت تنظيم نوع عکس
قابليت گرفتن عکس سلفي","نوار فيلم گران
نداشتن کارت حافظه","کلا از خریدش راضیم...ولی اینکه نمیشه همه ی عکساتو باهاش داشته باشی ادمو اذیت میکنه...
به دیجی پیشنهاد میکنم لوازم جانبیش رو هم موجود کنه...مخصوصا کیفش و نوار فیلم های فانتزیشو",4,1,5,4,4,2,3
[],[],"لطفا موجودش کنید...",0,1,4,5,4,3,3
,,"لطفا دیجی جون، رنگ قهوه ای تیره این محصول خوش ساخت رو بیار؛ حس نوستالژی با این رنگ، بیشتر جلوه می کنه
همه ما با این نوع دوربین ها بالاخره خاطره‌بازی داریم...!!!",6,3,5,5,5,4,3
,,"سلام لطفا این دوربین رو موجود کنین",2,4,0,0,0,0,0
,,"خانوم املی من نمی دونم منظور شما از اونی که یکم فانتزی تره کدومه. اما این دوربین در سری اینس تکس کامل ترینه. اگر به عنوان یه سرگرمی می خواید خرید کنید واقعا تفاوتی نمی کنه که کدوم مدل رو خریداری کنید اما اگر قصد عکاسی باشه هیچ کدوم از مدل ها قابلیت این دوربین رو نداره.",8,1,5,5,5,5,5
,,"سلام به همه
من بین این مدل و اونی که یه کم فانتزی تره موندم.
از ظاهر این خوشم میاد اما خوب یکم گرونتره
میشه راهنماییم کنید",2,3,0,0,0,0,0
,,"دیجی جان لطفا کاملتر توضیح بده!دوربین چند مگاپیکسله؟!و ابعاد عکسا چقدره؟!دوستان خواهشا بگین کیفیت عکسا چجوریه؟",9,4,0,0,0,0,0
,,"عکس 6*4 چاپ می کنه. حافظه داخلی نداره. بدنه بسیار شیک و لوکسی داره.... در مورد قابلیت عکاسی هم قبلا توضیح دادم",10,2,5,5,5,5,5
,,"لطفا در باره کاغذ چاپش و ابعادش توضیح دهید . و این که کاغذ ها چه طور است .",3,2,5,5,5,5,0
,,"لطفا شگفت انگیز قرار بدین",11,0,5,5,5,5,5
,,"نمیدونم چجوری ولی ظاهرا این دوربین یه قابلیت داره که میشه 2 عکس رو با هم ترکیب کرد!",2,1,0,0,0,0,0
,,"این سری از دوربین ها فقط چاپ سریع هستن ؟؟
هیچ مدلی از کارت حافظه پشتی بانی نمیکنه؟؟؟",0,3,0,0,0,0,0
,,"آقا ابعاد عکسش چه اندازه هست؟
لطفا اطلاعات بیشتری بگذارید.",0,3,0,0,0,0,0
,,"دیجی فقط منتظر بودی من بخرم بعد تخفیف بزنی ؛)",10,2,5,5,5,5,5
,,"ابعاد عکس هاش چقدره؟",4,1,0,0,0,0,0
