positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"فول فريم بودن
خروجي صدا
نقاط فکوس زياد
اتصال گريپ
کيفيت ساخت بالا",ندارد,"این دوربین بهتر از مشابه کنونی(6d) خود هست.و کلا نیکون به خاطر ارگونومی ساخت خوب خود بهتر ازکنون است و مردم به خاطر ارزان بودن لوازم جانبی آن سراغ canon میروند.",12,3,5,5,5,3,5
"کيفيت ساخت
ارزش خريد بالا",,"دوستانی که میگن کانن بهتره یا نیکون ...
نیکون و کانن هردو مثل دوتا دانشگاه با کیفیت بالا هستند
شما هرکدوم از این دانشگاه ها رو انتخاب کردین کتاب و وسایل(لنز دوربین و ...) مورد نیاز همون دانشگاه رو تهیه کردین تو همون دانشگاه ادامه بدین فارغ التحصیل خواهید شد ...
البته به نظر من دانشگاه نیکون تخصصی تر عکاسی رو دنبال میکنه و دانشگاه کانن عکاسی و فیلمبرداری رو ...
دانشگاه های دیگه ای هم هست که میتونید انتخاب کنید ،سونی ،فوجی،پنتاکس،سامسونگ و ...
من کلی تحقیق کردم و این دوربین رو با لنز 24-70 تامرون که کیفیت عالی داره خریدم و از خریدم راضی هستم .
در ادامه بازهم خدمت دوستان عرض کنم با کمی جستجو در اینترنت بخصوص در آزمایشگاه سایت dxomark این دوربین از خیلی دوربین ها مثل5d و 6d امتیاز بیشتری گرفته .
در مورد روغن زدن سنسور من با نمایندگی نیکون تماس گرفتم تایید کردن که هیچ مشکلی در d610 نیست .
اما شما باید دوربین رو صحیح در کیف نگهدارب کنید در ماشین تو افتاب جای گرم نذارید ... و از عکاسی پی در پی در دمای بالای محیط خوداری کنید .
امیدوارم مفید واقع شده باشه ...",9,3,4,4,5,5,5
"جزييات فراوان تصوير و نويز بسيار پايين.","رابطه کاربري پيچيده و کمي نامانوس","من این دوربین را از دیجی کالا به همراه دو لنز 85 و 50 خریداری کردم.در وهله اول این دوربین نسبت سیگنال به نویز برابر با canon 5d m3 دارد(سایت techradar).وجزییات تصویر هم برابر 28 مانند ان میباشد.یعنی از canon 6d که برابر 26 میباشد بالاتر است.ولی در ایزوهای بالاتر از 1600 هر دو کانن ها نویز کمتری نسبت به این تولید میکنند.ولی داینامیک رنج این دوربین از هر دو بالاتر است و کسانی که از فایل های raw استفاده میکنن براشون نیکون مفیدتره.در ضمن این دوربین عایق بندی بهتری نسبت به 6dداره چون با تعویض باتری داخلی 6d عایق بندی ان دچار خدشه میشه.در ضمن این دوربین از نمونه های گرانتر 750و 810 هم نویز کمتری تولید کرده و عکس های تمیز تری ارایه میدهد ولی در شرایط استودیو برتری با انهاست به علت ثبت جزییات ببشتر.درضمن این دوربین مدال طلای ظdpreview را هم با نمره 87اخذ کرده و در dxomarkهم حایز بالاترین امتیاز کیفیت و عملکرد سنسور شده است.یا علی",15,3,5,4,4,4,5
"ارزش در برابر قيمت بسيار بالا","39 نقطه فوکوس (که فقط براي عکاسان ورزشي ملاک مهمي است!)","سنسور d610 در مقایسه با 6d مقدار بسیار کمی نویز بیشتری ثبت می کند (ملاک تصاویر RAW است نه jpeg !) و در مقابل داینامیک رنج بسیار بالا تری دارد (بالا تر از 1dx mark II پرچمدار گران قیمت کانن! ) که برای پس پردازش بسیار قابل مانور تر است و کلا فقط برای استفاده حرفه ای سراغ این دوربین بروید.",7,2,5,5,5,4,5
,,"کنون 6d توی ایزوی بالا خیلی خیلی ازین سره
به طور کاملا محسوسی ازین برتره هستش",5,20,3,3,3,3,3
"کيفيت ساخت بالا
شارپنس بالا
قيمت مناسب","عدم وجود gps
عدم وجود wifi","من چند روزی میشه این دوربین رو گرفتم
بیشتر از همه ترس از وجود مشکل روغن زدن روی سنسور که توی d600 وجود داشت من رو دودل کرده بود که بعد از کمی پرس و جو به ان نتیجه رسیدم نیکون این مشکل رو حل کرده و رفتم خریدمش
در کل فکر میکنم با توجه به نوع کاربری که دارید خرید کنید
اگر بدنبال : عکاسی پرتره ، منظره ، ماکرو هستید
D610 گزینه ایده عالی هست
اگر بدنبال : کار خبری ، حیات وحش
D7100 برای شما بهتر خواهد بود",13,3,5,5,5,5,5
,,"چرا تا اومدم بخرم تموم شد دیجی جان موجودش کنید لطفا",3,3,5,5,5,5,5
"فکوس 39 نقطه اي
فلاش سر خود
سرعت بالاي عکاسي پياپي 6fps
ديد 100% visor
داراي دو جک SD card","وزن بيشتر نسبت به canon 6d
iso کمتر نسبت به canon 6d","به نظر من اولین برتری این مدل در مقابل canon 6D فکوس اتوماتیک 39 نقطه ای در مقابل 11 نقطه ای است
رفع نیاز نسبی به فلاش در این مدل که با توجه به قیمت بالای فلاش های خارجی و دم دست بودن بسیار کار آمد است.
دو جک SD card که میتواند یکی برای ذخیره عکس خام RAW , و دیگری برای ذخیره JPEG که این حالت ذخیره قابل تنظیم در دوربین است.
با این که این مدل فاقد WIFI داخلی است ولی برای کنترل و استفاده از صفحه نمایش بزرگ تر در کامپیوتر و تبلت و همچنین سری کردن نمایشه همزمان در نمایشگر های آتلیه ها میتوان از دستگاه WIFI خارجی که جمع و جور و ساده است استفاده کرد.
در مورد GPS هم فکر نمیکنم به اندازه موارد بالا در D610 که با وجود قیمت تقریبا برابر با 6D کار آمد تر و ضروری تر اند مهم باشد.
D610 ایزوی کمتری دارد که در عکاسی با نور کم باید در نظر گرفته شود
دامنه دید در این دوربین 100% است که به نظر من ویژگی مهمی در عکاسی با دوربین های full frame SLR است. در حالی که 6d 97% پوشش دارد .",7,0,4,4,5,3,5
,,"به نظر من دوستانی که میان میپرسن که بین این مدل و مدلهای d7000 شک دارند، بهتر اینه که همون d7000 رو بگیرن، تمامی نیازهاشونو براورده میکنه، مگه اینکه بدونن سنسور فول فریم چی هست.
مقایسه کردن سرعت شاتر ، خنده دارترین مقایسه برای این رده از دوربین ها هست.
شما باید بدونی برای چه استفاده ای داری دوربین میخری، اگه میخواین برا عکاسی خونوادگی و بیرون رفتنعا باشه، همون سری d7000 عالیه",15,4,5,4,3,4,5
,,"سلام دوستان
من واقعا متاسفم که دوستان یک سری مطالب رو عنوان میکنن که بقیه رو گمراه میکنه
مثلا دوست عزیزی که میفرمایند سرعت شاترش یک چهار هزارمه و کمتر از فلان دوربینه که دارم یه سوال داشتم که شما تا حالا از سرعت یک هزارم دوربینتون به بالاتر استفاده کردین یا حتی یک بر روی دویستو پنجاه آخه برادر من این چه حرفیه مگه میخایین سرعت شلیک گلوله رو باهاش ثبت کنی
یا میفرمایید اگه نور کم باشه از فلاش اکسترنال استفاده میکنیم . یه سوال داشتم همین کارم یه دوربین کامپکت میکنه چه کاریه طرف بیاد یه دوربین سنگین بدرد نخور دست بگیره
اصلا کار درستی نیست که میاین یه دوربین قطع دی ایکس رو با یه فول فریم مقایسه میکنین مثل مقایسه کردن یه وانت پیکان با لامبورگینیه حلا این وانت پیکان روش انواع اقسام سیستم های ناوبری و ارتباطی نصب باشه بازم وانته البته ناگفته نماند که این وانت جای خودش بدرد بخوره ولی قابل قیاس نیست
یه نکته کلی خدمت همه دوستان عرض کنم که متاسفانه بهش اشاره کم شده
شما اگه قصد خرید یه لامبرگینی داری نباید زیرش لاستیکه پراید بندازی
منظورم اینه که اگه قصد داری یه دوربین چهار میلیونی فول فریم بخری نرو یه لنز 18 105 بنداز روش چون در اون صورت انگار داری یه 7100 یا7200 میخری اگه میخای تفاوت رو ببینی یه لنز 24 70 نیکور یا تامرون با اف ثابت مچ کن اوقت میفهمی فول فیم یعنی چی اون موقس که بجای اینکه از غروب آفتاب متنفر باشی منتظر غروب آفتاب میشینی تا با هنرت حال کنی
یه مقایسه ریز هم بین 7100 با 7200 داشته باشیم که برادر من، بنده بعد از این همه عکبندهتا حالا به جی پی اس نیاز پیدا نکردم یا وایر لس برام اصلا مهم نبوده من واسه شبکه های اجتماعی عکاسی نمیکنم واسه خودم عکس میگیرم اگه واسه شبکه های اجتماعی داری میری انقد هزینه میکنی که یکم جای تامل داره به نظر من تو دوربین های دی اس ال در نهایت خروجی اهمیت داره
در ضمن از دیجی کالا ممنونم که علاوه بر فروش به بخش اطلاع رسانی هم اهمیت میده",23,3,5,4,4,2,5
,,"با سلام
توی پیشنهاد شگفت انگیز تخفیف قابل قبولی برای این دوربین اعمال شده است و جا داره از دیجی کالا تشکر کنم، ولی متاسفانه من خودم به شخصه کمتر شاهد این بودم که دیجی کالا دوربین های رده بالای نیکون و کانن رو پیشنهاد ویژه کنه، حداقل دوربین ها رو برای فصل بهار پیشنهاد ویژه قرار بده خیلی عالیه.
من خودم D7200 رو از دیجی کالا تهیه کردم، تنها تفاوت اساسی این دو دوربین همین فول فریم بودن D610 است که بزرگترین مزیت برای آن است، در بقیه ویژگیها D7200 سرتر است، D610 نیکون را میشه با EOS 6D کانن مقایسه کرد.
سرعت شاتر کمتر
سرعت فیلمبرداری کمتر
ضبط صدا بصورت مونو
عدم داشتن Wifi و NFC
منو وادار به خرید D7200 کرد.
ولی به یاد داشته باشید که واقعا فول فریم یه چیز دیگه است.
بیشتر لنزهای جدیدی هم که تولید میشوند برای رده FX هستند یا Dx.",4,6,3,3,3,3,3
"کيفيت عالي عکس و عملکرد فوق العاده در نور کم","فوکوس 39 نقطه ي و شاتر حداکثر 1/4000 ب نسبت کلاس دوربين","با عرض سلام
میخاستم خدمت دوستانی که بین d7200 و این دوربین مردد هستند یکم توضیح بدم، انشاله مفید واقع بشه.
من شخصا d7200 رو انتخاب میکنم ب چند دلیل
1. قیمت کمتر دوربین و سایر لوازم آن
2. امکانات بیشتر این دوربین مثل فوکوس قدرتمندتر و شاتر 1/8000 برای فریز کردن هر حرکتی و...
3. کیفیت عکس تقریبا مشابه در لنزهای نچندان گران، مگر در نور کم که ان را هم میشه با یک فلاش اکسترنال یا سه پایه برای سرعت شاتر کم تا حد زیادی جبران کرد.
4.تاثیر تله 1.5 برابر در فاصله کانونی یکسان، بعلت نیم فریم بودن سنسور d7200
در نهایت بنظرمن دوربینهای فول فریم برای افرادی مناسبند که بیشتر با نور کم و شرایط خیلی سخت نوری عکاسی میکنند، وگرنه یک دوربین نیم فرم احتیاجات اکثر ما رو با بهای خیلی کمتر براورده میکنند و ضمنا d7200 از لحاظ امکانات کاملا قابل قبول است.",14,11,5,5,5,3,4
,,"مقایسه کیفیت عکس ها واقعا بد انجام شده.مثل اینکه عکاس دیجی کالا بعضی دوربینا رو حوصله داشته بعضی رو هم همینجوری بدون تنظیمات عکس انداخته بعدشم کدوم عکاسی میاد با JPEG عکسارو مقایسه کنه؟لطفا با فرمت RAW عکسارو بذارید و با شرایط و نور یکسان.از دیجی کالا انتظارمون بیشتر از این حرفاس",8,1,0,0,0,0,0
,,"با سلام.
دوست عزیز، وای به حال به قول شما جامعه ی عکاسی ای که عکاس حرفه ای از غیر حرفه ایش بخواد با برچسب داشتن یا نداشتن فول فریم شناخته بشه! قیاس جنابعالی هم قیاس مناسبی نیست! رانندگی بلد نبودن و دست به کار خطرناک زدن کجا و هزینه کردن برای علایق فردی کجا! (هرچند که تون هزینه هزینه ی اشتباهی باشه). لطفا با لحنی صحبت نکنیم که کسی رو که راهنمایی میخواد بگیره از نظرات رو به اشتباه بندازیم.
مطالعه کنید، مشاهده کنید، سبک عکاسی مورد علاقه تون رو شناسایی کنید و همچنین هدفتون از عکاسی رو و بعد از اون خرید ابزار کارتون یک مساله ی کاملا بدیهی و ساده خواهد بود براتون و در انتخابتون به هیچ وجه شک نخواهید داشت.
یا تشکر",6,0,4,5,3,4,5
,,"سلام دوستان.آیا بنظرتون d7100 رو بدم و بجاش اینو بگیرم؟
کمک کنید ممنون میشم.",0,8,0,0,0,0,0
,,"سلام لطفا دوستان اطلاعات نادرست ثبت نکنند. آقای علیزاده عزیز عدد اف نشانگر میزان بازشدگی دهنه لنز به منظور عبور نور مورد نیاز جهت ثبت بر روی حسگر دوربین هست.الزاما کیفیت لنز به عدد اف مربوط نیست.کما اینکه لنز پرایم 50 اف 1.8 بسیار خروجی و شارپنس خوبی به نسبت قیمت مناسبش داره قیمت یک لنز به خصوصیات کمکی جهت ثبت تصویر شفاف مانند تعداد لنزهای کمکی اسفرکال-ای دی و پوشش نانو بر روی سطح لنز جهت جلوگیری از انعکاس نا مناسب نو داره. یک لنز مناسب برای یک فرد تازه کار لنز واید تا نرمال با بازه 18-105 میلیمتر هست که یک لنز قطع دی کس بوده و کیفیت تقریبا خوب و قیمت مناسب داره.نوع بادی هم به نظرم برای افراد تازه کار همون قطع دی اکس خوبه.البته میتوانید از بادی فول فریم هم استفاده کنید که باید هزینشو هم بپردازید.",8,0,0,0,0,0,0
,,"آقای نیک نژاد عزیز، از لطف و راهنماییتون کمال تشکر رو دارم...",0,1,0,0,0,0,0
,,"احسان علیزاده :
عدد اف درواقع بیانگر ارزش لنز هستش ،هرچه عدد کمتر،لنز گرون تر و فوق العاده تر، زمانی که شمایک لنز زوم مثلا(24-70) با دیافراگم ثابت خریداری میفرمایید،کیفیت عکس شما به مراتب بهتر از یک لنز با دیاف متغییر هستش،ضمن اینکه هرچه عدد اف کمتر باشه مثلا 1.2 1.4 .و یا 1.8 میزان نور دریافتی بسیار زیاد هستش و البته فولو فوکوس بسیار فاحشی رو هم شاهد خواهید بود.
فضای باز (اگر منظورتون منظره هستش)و المان های شهری دو معقوله ی کاملا مجزا هستند که هرکدوم نیاز به لنزهای جداگانه ای دارند. اما یک لنز 24-7- با اف ثابت میتونه گزینه ی کاملا مناسبی باشه.
ضمنا اگر شما یک عکاس مبتدی هستید با خیریدن یه دوربین فول فریم به خودتون و جامعه ی عکاسی صدمه میزنید،فرض کنید کسی که رانندگی بلد نیست بشینه پشت بنز آخرین مدل اتومات! طبیعتا نتیجش چیزه خوشایندی نیست.
در مورد 7100 هم خدمتتون عارضم که دوربینیست بی نهایت کامل در قطع DX و اصلا برای شروع مبتدی ها نیست اما،در صورتی که 7100 خریداری کنید تا چندین سال نیازی به تغییر بادی حس نمیکنید،اگر شرایط مالی مساعد دارید میتونید این دوربین رو خریداری کنید (به شرط یک لنز خوب با دیاف خوب)در غیر این صورت یک بادی ارزون انتخاب کنید و باقی پولتون رو روی لنز مانور بدید",3,18,0,0,0,0,0
,,"دوستان مشگل جمع شدن روغن در این مدل حل شده یا نه؟ اگر کسی اطلاعی داره خبرسانی کنه لطفا",2,1,0,0,0,0,0
