positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"یک ساعت پیش رسید دستم، تصویرش به شدت ضعیفه و ارزونترین تلفن همراه دوربینش از این بهتره...",0,2,0,4,3,2,1
,,"چند تا نکته بگم که دوستان اشتباه مطرح کردن و مشکل از این دستگاه نیست
اون دوستمون که میگه اوتوفوکاس نیست باید بگم عمق میدانش بینهایته . یعنی همه جا همزمان واضح هست چه نزدیک چه دور . پس نیازی به فوکاس نداره . اگه دستگاه شما تار میگیره مشکل از لنز دستگاهه که چند درصد این دستگاهها این مشکل رو داره که خیلی راحت درست میشه آموزشش تو یوتیوب هست .
یکی گفته بود لرره گیر خوبی داره ... در صورتی که اصلا لرزه گیر نداره این . چون لنزش واید هست تقریبا لرزش حس نمیشه بخاطر همین دوستمدن فکر کرده لرزه گیر داره
یکی گفته بود این تایم لپسش بدرد نمیخوره و یک عالمه عکس تحویلت میده و باید اونا رو با برنامه دیگه ای بچسبونیم به هم تا فیلم تایم لپس یا گذر زمان داشته باشیم . باید بگم که عزیز دل برادر این دوربین هم تایم لپس فیلمی میگیره هم تایم لپس عکسی . هر کدوم کاربرد خودشونو دارن .
من شغلم فیلم برداریه برای تایلند رفتن از اینا خریدم و بجای دوربین های حرفه ای که داشتم اینو بردم کلیپ های تدوین شدش رو به هر گی نشون میدم کف و خون قاطی میکنه . بجای اینکه 5 برابر پول بدم گوپرو بگیرم همینو گرفتم که تفاوت آنچنانی برای کار من نمیکرد",15,4,5,3,5,4,5
,,"دمتون گرم عالی بود",2,0,3,3,3,3,3
"کيفيت فيلم برداري 2k
زاويه ديد بسيار وسيع
قيمت مناسب
نگهداري شارژ نسبتا خوب","برد ضعيف wifi
تاري تصوير در حرکات سريع","اول باید بگم کارایی من از این دوربین استفاده در کواد کوپتر هستش و به کسانی که برای این منظور دوربین میخواهند انتخاب کند حتما پیشنهاد میدم از این دوربین استفاده کنند . این دوربین را خیلی راحت میشود به فرستنده تصویر برد بالا متصل کرد و تصویر با کیفیت آنلاین بر روی ایستگاه زمینی کواد کوپتر داشت که البته نیاز به رابط مخصوص دارید.
کیفیت عکس برداری واقعی 16 مگا پیکسل و همچنین کیفیت فیلم برداری 2k عالی یکی از بالاترین نقاط قوت این دوربین بشمار میرود.زاویه دید دوربین بسیار وسیع است بطوری که تمام فضای داخل یک پذیرایی خانه را کاملا پوشش میده.
از نقاط ضعف آن باید به برد خیلی کم و ضعیف wifi آن اشاره کنم بطوری که اگه 10 متر فاصله بگیرید تصاویر با تاخیر و پله پله منتقل میشه و کیفیت تصاویر انتقالی بر روی گوشی بسیار ضعیف و بی کیفیت هستند مگر تصاویر ضبط شده را در گالری گوشی ذخیره کنید که اونم به دلیل سرعت پایین انتقال (یک مگ در ثانیه) و حجم بسیار زیاد فیلم ها کمی حوصله سر بره همچنین در حرکات سریع تاری در تصویر وجود داره. در کل با این قیمت بسیار هم از حد انتظار فراتر رفته.",6,0,5,4,4,4,5
"کيفيت
قيمت مناسب","نداشتن lcd يا نشانگر حالت کاري","با در نظر گرفتن قیمت و کیفیت محصول در کل اصلا از انتخابتان پشیمان نخواهید شد",4,1,5,4,5,5,5
"داراي امکانات لازم از قبيل واي فاي","عدم وجود لوازم جانبي در پکيج اصلي","شیائومی واقعا کیفیت خوبی در تمام محصولاتش داره و این دوربین از این امر جدا نیست. ولی اگر بخوایم این دوربین رو تخصصی استفاده کنیم و بعنوان یک دوربین اکشن روی مولتی کوپتر و یا کلاه و غیره استفاده کنیم در انتها متوجه میشویم که هزینه لوازم جانبی آن مقرون به صرفه بودن این مدل نسبت به دوربین هایی مثل اسپورت کم را مطرح میکند. امیدوارم دیجی کالا بتونه دوربینهای اسپورت کم که پرطرفدار هم هستند رو هم به فروشگاه اضافه کنه.",8,0,4,5,3,5,3
"کيفت ساخت بالا
قيمت بسيار مناسب
امکانات
برنامه ios و اندرويد","نسبت به قيمتش واقعا نقاط ضعف نداره","من الان یک هفته است که خریدم و واقعا خوبه. کیفیت فیلمش خوبه واقعا. عکس باهاش کم گرفتم ولی بد نیست عکاسیش. بیشتر به درد فیلم میخوره.
قاب زد اب براش خریدم و زیر اب هم بردم واقعا مقاومه و خوبه. نمیشه با گوپرو مقایسه کرد ولی واقعا نسبت به قیمت عالیه. اسباب بازی هم نیست، خیالتون راحت باشه واقعا یه دوربین خوبه.",3,1,3,5,3,4,5
"قيمت مناسب","يک درصد شارژ براي هر 30 ثانيه فيلم برداري","اول همه باید بگم واقعا از نحوه ارسال و تحول کالا راضی هستم و زودتر از تمام خریدهای اینترنتی قبلیم از سایت های دیگه به دستم رسید دقیقا 27 ساعت تا درب منزل.
در مورد دوربین باید بگم کیفیت فیلمبرداری عالی داره، و لرزش گیری نسبتا مناسبی داره، ففط برای انتخاب استند به مورد استفادتون دقت کنید، من از استند روی سینه استفاده کردم که برای دوچرخه سواری عادی، و پیاده روی عالی ولی موقع دانهیل کردن فقط پاهای شما توی تصویر هستش که برای این مشکل هم باید دوربین رو وارونه نصب کرد تا از جلوی شما هم تصویر باشه، که در کل استفاده از استندهای رو کلاه تصویر کامل تری برای دانهیل می ده.
با ابن حال با توجه به قیمتش من هیچوقت در حد یک گوپرو ازش توقع نداشتم و نیازهای من رو برطرف کرده. در آینده هم سعی می کنم چند تا از فیلم ها رو با کیفیت بالا تو آپارات آپلود کنم تا دوستان قبل از خرید بتونند استفاده کنند.",4,0,5,4,4,4,5
"کيفيت عکس خوب
اپليکيشن قوي و پرامکانات
وجود امکان اتصال خود دوربين بدون قاب به سه پايه
امکان تعويض باتري و قيمت پايين باتري
قيمت مناسب","نويز در فيلم برداي در نور کم
نبود امکان تنظيم وايت بالانس","من این دوربین رو بیشتر برای عکاسی خریدم با توجه به حجم کم و قاب ضد آب و ضد ضربه و لنز اولترا وایدی که دارد. ولی برای عکاسی ورزشی هم استفاده میکنم برای عکاسی با این دوربین نکاتی هست که باید توجه کرد، اصولا عکاسی با لنزهای اولترا واید کار بسیار دشواریست و نیاز به تجربه کافی دارد اگر از خروجی عکسها راضی نیستید احتمال زیادمیتوناد به دلیل عدم آشنایی با اصول عکاسی با لنزهای واید باش. رویه مرفته فیلمها کیفیت خوبی دارد در خصوص عکسها نسبت به رقبای موجود قویتر است و در شرایط نوری خوب عکسهایی با کیفیت و شارپنس بالا تولید میکند. در نور کم تا حدودی نویز کنترل نشده مشاهده میشود و به نظر من پردازشگر آن در زمینه نویز عیف عمل کرده است.",2,0,4,3,4,5,5
"وزن کم
لوازم جانبي متنوع و فراوان
واي فاي",,"این دوربین در نوع خودش بین سری های ورزشی بسیار عالی هست، من براش قاب ضد آب هم گرفتم، نمیشه گفت کیفیت عکس و فیلم عالی میده اما اگر برای استفاده ورزشی، غواصی و این موارد میخواین شک نکنید انتخاب درستیه، ارزش خرید در برابر قیمتش خیلی بالاست.",2,0,4,5,5,3,5
