positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
,,"سلام لطفا رنگ سفیدشو موجود کنید",4,3,3,3,3,3,3
"ارگونومي+کيفيت عکس","کيفيت ساخت پايين لنز و موتور لنز","تازه دوربین را خریدم...از دیجیکالا... کیفیت عکس ها خوب و قابل قبوله ... دوربین جمع و جور و خوش دستیه و ارگونومیش عالیه.... داشتن وایرلس یکمزیت خوبه...تنها مساله ای که خیلی من را اذیت میکنه شل بودن لنز در حالت زومه به طوری که موقع راه رفتن اگه دوربین زوم شده باشه صدای به هم خورد قطعات میاد و کاملا حس میکنید که داخل دوربین یه چیزی در حال تکون خوردنه...در کل به غیر از این ایراد که ممکنه از ساخت این دوربینی که دست منه باشه بقیش عالیه...",2,3,5,4,5,4,4
,,"با سلام خدمت دوستان دیجی کالا. من بین این و canon sx270 موندم،اگر کسی با این دو دوربین کار کرده لطفا بگه کیفیت این دو دوربین چجوریه و کدام کیفیت خوبی رو داره؟",5,5,0,0,0,0,0
,,"یعنی من هر رنگی رو میخوام دیجی کالا نداره
من سفیدشو میخوام
رسیدگی کنید",4,2,5,5,5,5,5
,,"من همین هفته پیش به دستم رسید
عالیه عالی",6,2,5,5,5,5,5
"امکانات خوب
کيفيت عکس خوب
سريع عمل کردن فلاش براي گرفتن عکس بعدي","کيفيت بدنه پايين
باطري آن مثل باطري موبايله و باطري قلمي نميخوره","سلام
محصول به دستم رسید از آنجا که اطلاع نداشتم یک دستگاه باطری شارژ کن و چهارتا باطری قلمی هم خریداری کرده بودم که بی فایده هست در ابتدا برای باز کردن جعبه باید تلاش زیادی کرد ( با توجه به برچسبهای شرکت گارانتی کننده ) دوریین از آن چیزی که انتظار داشتم کوچک تر بود با یک بدنه پلاستیکی بی کیفیت باطری و حافظه جانبی را در جای خودش قرار دادم روشن کردم کیفیت صفحه نمایش خوب بود و همچنین کیفیت عکسهای گرفته برای عملکرد زوم باید از کلیدی که در بالای دستگاه قرار گرفته استفاده کرد یک کلید کوچک و پلاستیکی ولی کیفیت زومش بد نبود کار کردن با منو دستگاه علی رغم اینکه زبان فارسی را پشتیبانی میکند یک خورده دشوار است اگه صفحه آن لمسی بود عالی میشد در نهایت با این قیمتی که من پرداخت کردم محصول خوب و جمع و جوری است
از پرسنل محترم دیجی کالا سپاسگذارم",5,1,4,1,4,5,3
[],[],"دوربین خوبیه و ازش راضی هستم
ولی دیجی جون چرا رم sd فرستادی؟؟؟؟",4,4,4,4,3,4,5
"[""کيفيت عکس خوب""]","[""کيفيت فيلم پايين و جنس بدنه پلاستيکي و شکننده و ظريف""]","کیفیت فیلم پایین و جنس بدنه ی پلاستیکی و شکننده باعث میشه که کمی آدم منصرف شه اما بد نیست لطفا دوربین های با کیفیت تری بزارید زیاد خوب نیست",6,2,3,3,3,3,3
"[خيلي عاليه همين امروز به دستم رسيد تو خريدش شک نکنيد من ]",,"خیلی عالیه من امروز خریدمش تو خریدش شک نکنید من نزدیک دو ماه دارم دنبال دوربین خوب می گردم و از خریدم اصلا پشیمون نیستم",6,3,3,3,3,3,3
[],[],"هنوز به دستم نرسیده هر موقع رسید می گم چجوریه",1,8,3,3,3,3,3
[],[],"این دوربین دیروز‌ دستم رسید ... فوق العاده س‌تو رنج قیمت خودش ... همه جوره تستش کردم ایرادی ندیدم نه اینکه تکمیل باشه همه چیش ولی با این پولی‌که دادم بهترین دوربین و خریدم ... از‌دی جی‌کالا هم ممنونم و براش آرزوی‌موفقیت دارم",2,2,5,5,5,5,5
"کيفيت عکس
هوشمند بودن
واي فاي داخلي
ارگونومي","کيفيت متوسط فيلم","با سلام خدمت دوستان
دوربین امروز به دستم رسید. چون که یه عکاس تقریبا حرفه ای هستم سطح توقعمم از هر دوربینی بالاست. وقتی که دوربین رو در دست گرفتم کوچیک تر از اونی بود که فکرش رو میکردم. خیلی شیک و جمع و جور بود. کیفیت عکس در شرایط نور مطلوب خوب بود ولی میدونید که سنسور های دوربین های کامپکت کوچیکن پس نباید توقع زیادی در شب داشت(بدون استفاده از فلاش). هر عکسی هم حدودا 3.50 مگ در میاد. فیلمش هم من رو راضی نکرد. در فضای بسته دوربین به خوبی فوکوس نمیکنه اما در فضای باز به دلیل نور مطلوب کیفیت فیلم قابل قبوله. هوشمندیش هم بسیار جالابه. هنوز زیاد با دوربین کار نکردم ولی قابلیت های زیادی رو توش دیدم. دوربین های کامپکت کمتر اینجور چیزایی دارن.باتریش رو هنوز تست نکردم ولی فکر کنم چون دورو ورای 700 میلی امپره به مشکل بر بخورم چون صفحه نمایش باید همیشه روشن باشه واین باتری رو به شدت میخوره",8,4,3,4,5,5,3
"باطري نسبتا خوب
خوشدست و کامپکت
لنز ماکرو و وسعت ديد عالي
کاربدي بسيار اسان همراه افکتها
دارا بودن واي فاي با سرعت بالا","کيفيت ساخت بدنه نه چندان جالب
گاهي نويز ميفته در عکس","این دوربین همین امروز ساعت 12 توسط پیک خوش اخلاق و با معرفت همدان به دستم رسید
دوربین کیفیت عکس بسیار خوبی دارد
فکوس بسیار نرم است
در این قیمت به نظرم بهترین خرید میباشد در خریدش شک نکنید",6,5,5,5,5,5,5
"کمپکت
سوپرزوم
زيبا و خوشدست
رنگ سفيد",ندارد,"هنوز به دستم نرسیده امیدوارم زود برسه تا ی نقد مفصل و صادقانه اراعه بدم",1,4,5,5,5,5,5
,,"سلام لطفا رنگ سفیدشو موجود کنید",4,3,3,3,3,3,3
"ارگونومي+کيفيت عکس","کيفيت ساخت پايين لنز و موتور لنز","تازه دوربین را خریدم...از دیجیکالا... کیفیت عکس ها خوب و قابل قبوله ... دوربین جمع و جور و خوش دستیه و ارگونومیش عالیه.... داشتن وایرلس یکمزیت خوبه...تنها مساله ای که خیلی من را اذیت میکنه شل بودن لنز در حالت زومه به طوری که موقع راه رفتن اگه دوربین زوم شده باشه صدای به هم خورد قطعات میاد و کاملا حس میکنید که داخل دوربین یه چیزی در حال تکون خوردنه...در کل به غیر از این ایراد که ممکنه از ساخت این دوربینی که دست منه باشه بقیش عالیه...",2,3,5,4,5,4,4
,,"با سلام خدمت دوستان دیجی کالا. من بین این و canon sx270 موندم،اگر کسی با این دو دوربین کار کرده لطفا بگه کیفیت این دو دوربین چجوریه و کدام کیفیت خوبی رو داره؟",5,5,0,0,0,0,0
,,"یعنی من هر رنگی رو میخوام دیجی کالا نداره
من سفیدشو میخوام
رسیدگی کنید",4,2,5,5,5,5,5
