positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"بدنه محکم و بدون نياز به کاور البته در ورزش هاي سخت کاور لازم است","کامل نبودن پک و نداشتن کاور ضد آب و ضربه در جعبه
گران بودن لوازم جانبي تا قيمت 3 ميليون ملزم به خريد
داشتن جي پي اس ضعيف","شما در جمع بندی عنوان کردید بهترین دوربین بازار
اما به نظرتون Garmin VIRB Ultra 30 از این مدل بالاتر نیست
جی پی اس گارمین میتونه مسیر رو دنبال کنه و روی تصویر شیب جاده فشار هوا دما و سرعت رو نمایش بده ولی گوپرو این امکانات رو نداره
به نظر من کاملترین دوربین ورزشی موجود گارمین هست و امکانات بسیار بهتری رو نسبت به گوپرو در اختیار قرار میده البته برای کسی که فعالیت ورزشی داره",0,1,4,3,3,3,3
,,"دوربین خوبیه",1,0,4,3,2,4,3
,,"کیفیت عکسش واقعا پایینه
فقط حُسنش اینه که عکسهایی که میگیره بصورت فیش آی هست و همه چیزو دربر میگیره
و دیگه اینکه خیلی جمعوجور و زود عملیاتی میشه",1,2,4,4,4,2,2
"کيفيت خوب فيلم برداري و عکاسي
کيفيت مناسب ساخت
احتياج به هوزينگ نداره و خودش تا عمق ده متر زده آب هستش
قابليت حذف ميکروفوني که در جهت باد هست رو به صورت خودکار داره البته موقت و خودکار بعد از کم شدن باد به کارش ادامه ميده داره","زمان فيلم برداري اگر طولاني بشه زيادي داغ ميشه
با توجه به اينکه گوپرو لوازم جانبي زيادي داره ، لوازم کامپتيبل با اين مدل هنوز خيلي گم و زيادي گرونه
طراحيش ميتونست بهتر باشه زمان بستن قاب روي دوربين محدوديت ايجاد ميشه","من این دوربین رو که مدتها منتظر عرضش بودم رو از دیجی کالا چند ماه قبل خریدم اولین مشکل مشهود زمان شارژ دهی باطری هستش و تا همین چند هفته پیش باطریش هنوز نیومده بود تو بازار و با همون یه دونه باید میساختی الانم که اومده زیادی گرونه
در مجموع حتما پیشنهاد میکنم بهترین گزینه در فیلد خودش هست شک نکنید
کیفیت ضبط صدای بسیار خوبی داره
با کیفیت 4k فیلم میگیره که البته حجم بالایی از رم رو میگیره
اگر دوربین ورزشی میخواد به فکر برندهای دیگه نباشید",3,0,4,3,2,4,3
"بدنه اش محکمه
ضدآبه
صفحه نمايش تاج
کيفيت فيلمبرداري عالي
صداي باد رو ميگيره","عمر باتري کم
چسب پايه ها ضعيف مي باشد
زود داغ ميکنه
قابليت زوم نداره
وسايل جانبي ندارد","در کل بد نیست",1,0,5,4,3,1,2
"کيفيت فوق العاده فيلم برداري
ضد اب بودن
شارژ دهي باطري بيشتر از يک ساعت
داشتن صفحه نمايش تاچ
علاوه بر ورزش جوابگوي استفاده در موارد غير از ورزش نيز ميباشد","تو بعضي از فيلم هاي بالاي 6 دقيقه صداي فيلم ضبط نشد و فقط تصوير داريم.اين امر چند بار برام تکرار شد
کيفيت عکاسي پايين
کابل شارژ انحصاري که در صورت خراب شدن يا گم شدن به دردسر ميخوريم","اگه پولش رو دارید تو خریدش شک نکنید.چون ال سی دی تاچ داره کار رو از مدل قبلیش راحت تر کرده.کیفیت ضبط تصاویرش شما رو حیرت زده میکنه اگه اولین باره که با این دوربین کار میکنید.فقط حواستون باشه که رم سرعت بالا برای ضبط تصاویر 2k و 4k همون لحظه از دیجیکالا سفرش بدید.باطریش برای ضبط کامل یک رم 32 گیگ جوابگو هستش ولی اگه پاور بانک دارید رم 64 بگیرید.شارژ باطریش هم خیلی سریع با پاوربانک انجام میشه.اگه کاور ضد اب هم بگیرید بد نیست چون استرس ضریه به شیشه جلوی لنزش کمتر میشه.در کل پولی که میدید میدونید دور نریختید و به این زودی ها نیاز به آپدیت شدن در زمینه دوربین ورزشی رو ندارید.من برای دوچرخه سواری گرفتم اما الان فیلم های سفرهای خانوادگی رو هم باهاش میگیرم چون از این کیفیت بالاتر تو ی این رنج قیمت یا حتی دوبرابر بالاتر دوربینی نمیتونی با این ابعاد و کارایی پیدا کنی.اگه پولش رو داری شک نکن بگیر",5,0,4,5,4,4,4
"اندازه ي کوچک
کيفيت بالا
قابليت هاي زياد(البته با تجهيزاتش)","عمر باطري کم","من چند وقت پیش این دوربین رو خریدم (ولی از دیجی کالا نخریدم)
دوربین بسیار عالی ای است از نظر مشکلاتش فقط میشه به امر کم باطریش اشاره کرد که این هم با خریدن یک باطری جداگانه مشکل حل می شود
کیفیت دوربین،کیفیت فیلم برداری،کیفیت عکس..بسیار خوب است
خود دوربین به تنهایی زیاد کاریی نداره باید تجهیزاتش رو خریداری کرد تا بتوان در موقعیت های مختلف از ان استفاده کرد",2,1,5,5,5,5,5
"کيفيت بالا ساخت
کيفيت بالا فيلم برداري
ميدان ديد بسيار زياد
کارايي بالا
ضد اب","نداشتن زوم
چون جديده،هنوز زياد واسش وسايل جانبي ساخته نشده
با وسايل جانبي گوپرو هاي قديم سازگار نيست","واقعا از همه نظر عالیه... چون دوربین ورزشی هست، نداشتن زوم زیاد مهم نیست.",4,3,5,5,5,5,5
"ضد آب بودن. کيفيت خوب فيلمبرداري و بدنه","شارژ باطري خيلي کم نگه مي دارد
متعلقات ندارد
چسپ پايه ها با اينکه ار دو برچسب آلماني 3M استفاده مي کند اما بشدت ضعيف مي باشد","من یک هفته پیش اینو از دیجی خریدم در کل ازش راضیم اما...",1,1,5,5,5,4,3
"کيفيت خوب","داغ کردن دستگاه","من چند روز پیش این دوربینو گرفتم کیفیت فیلم برداریش واقعا خوبه صدا هم خوب و با کیفیت ضبط میکنه فقط ضعفش داغ کردنش هست.",0,4,4,5,3,3,3
