positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"دوفرمته بودن FHD وSD براي سهولت تدوين خانگي و بهره مندي از دو اسلات حافظه","سنسور کوچک","سلام
پاسخ من به کلنجارهای نظر دهندگان در باره این دوربین این است که باید دید چه شخصی چه دوربینی را برای چه کاری و با چه قیمتی می خرد،همین و بس! در ادامه به ترجمه دیالوگ من و دوربین Panasonic HC-MDH2 توجه کنید
او میگوید:من یک دوربین قیمت مناسب جهت کارهای معمولی و برای انجام برخی کارهای خلاقانه افراد مبتدی ام
در ادامه میگوید من دوربینی هستم که باید در سبد محصولات نیمه حرفه ای پاناسونیک برای مشتری های سنتی و با توان خرید پایین حضور داشته باشم
وی میگوید اگر در نور کم نویز ی را در تصاویرم مشاهده میکنید به دلیل یک امر طبیعی و آن معلول از سنسور قطع کوچکم است که مبطلابه همه دوربینهای قطع کوچک است
او گفت این اصلا انصاف نیست که مرا با دوربین EA50 سونی مقایسه کنید زیرا اگر برادران بزرگترم مثل AG_AC3 یا AJ-PX230 که در کیفیت و...حرفهای زیادی برای گفتن دارند بشنوند ناراحت میشوند
وی درپایان گفت اگر میخواهید با هزینه ای معقول یک دوربین رودوشی(شولدر)با کیفیت قابل قبول داشته باشیدو بخواهید مناظر دور و اطراف تان را بسیار با کیفیت تر از موبایل های گران قیمت و بالاتر از پخش تلویزیونی SD ضبط نمایید من از عهده آن بر می آیم کوچک شماHC-MDH2
امیدوارم که این مکالمه صمیمی با این دوربین متواضع به کار شما آمده باشد
در پناه حق باشید",5,0,3,4,4,2,4
,"[""به هيچ عنوان پولتونوخراب نکنيد.کيفيتش ابرو ريزيه واقعا""]","به هیچ عنوان پولتونوخراب نکنید.کیفیتش ابرو ریزیه واقعا..من دارم وباهاش کارمیکنم اشکمو دراورده...هرچیم که به تنظیمات وارد باشی نمیشه",5,4,0,0,0,0,0
,,"ناصر چیره
با سلام خدمت دوستانی که نظر دادن . نظر ات در مورد این دوربین خیلی متفاوت و من شخصا این دوربین را تایید نمی کنم ولی هر دوربینی که باشه مهم نیس ،فردی که پشت دوریبن خیلی مهمه ؟",2,1,0,0,0,0,0
,,"بدترین دوربین فیلمبرداری حرفه ای همین مدل پاناسونیک هستش کیفیت تصویر صفر",3,4,0,0,0,0,0
,,"سلام به دوستان محترم
این دوربین در امتداد MD 1000 و برای جلب رضایت مشتریانی که با پاناسونیک حال می کنن تولید شده.
همانطور که بقیه دوستان و عزیزانی که حرفه ای تر کارکردند توضیح دادن،این دوربین اصلا مناسب کار سنگین نیست.
دوربینی مثل EA50 با سنسور APS نیم فریم که در رده FS100 و FS700 سونی هست چه ربطی به این داره.
حتی بین سونی پسندها هم مبحثی برای NX5 هست.
کسی که مهارت فنی لازم رو داره بین NX5 و EA50 کدوم رو انتخاب میکنه.
من که 2 تا از EA50 رو انتخاب کردم به همراه VG900 و A7S همگی از خانواده سونی با لنز زایس
در لینک کانال ما در آپارات با عنوان نجم الثاقب ، نمونه تصاویر این دوربینها هست.",4,2,0,0,0,0,0
,,"به نظر من دوربین خوبیه یه کلیپ با این دوربین برای یکی از شبکه ها هم ساختم
من می پسندمش کسی بلد باشه باهاش کار کنه دوربین خوبیه؟",3,5,5,5,4,4,5
,,"با درود من تا چند روز دیگه میخوام این دوربین رو خریداری کنم
1- چه کارت sd برای این دوربین مناسبه ؟
2- کارت sd دوم برای بک آپ گرفتنه در این دوربین؟
3- شما پروژکتور روی دوربین هم برای فروش دارید؟",0,2,5,5,4,4,5
,,"سلام به همه دوستان...
بچهایی که تو کاره مراسمهای عروسی هستن این دوربین اصلا پیشنهاد نمیشه. واقعا اماتوره فقط جسه بزرگی داره اونم دسته پا گیره... چرا وقتی با md 1000 مقایسه میشه بهتر بودنش معلوم میشه اونم برا کسایی خوبه که قبلا با md1000 کار کردن فرقه کیفیتی میبینن خوبه... برایه کاره مراسمهای عروسی و کلیپهای حرفه ای برید سراغ ea50 که قابلیت تعویض لنز داره خیلی میشه مانوور داد سنسورشم eps هستش، دوربینه شلودریه و ظاهری کاملا متفاوت داره... واقعا حرفه ایی من محرم پارسال با تحقیق بسیار 2 تا گرفتم خیلی راضی ام...",5,0,3,2,2,2,5
,,"سلام به همگی -یه سئوال داشتم از کسانی که حرفه ای هستند:توی قیمت 3میلیون چه دوربینی برای مستند سازی خوبه و کیفیت لازم را متصور میکنه",0,0,0,0,0,0,0
,,"سلام خدمت دوستان
این دوربین رو قبل از عید از دیجی کالا خریدم باید خدمتتون عرض کنم هرچقدر پول بدین آش میخورین. کیفیت تصویر اصلا با مشخصات دوربین نمیخونه. نویز تصویر بسیار بالاست چه تو روز چه در شب حتی با پروژکتور رو دوربینی در شب نویز خیلی زیاده. از دوربین هندی کم 760 سونی نویز بیشتری داره. در کل توصیه میکنم از سونی جدا نشین
فقط جسه این دوربین بدرد میخوره
یا حق",2,1,2,3,2,3,0
