positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"کيفيت زوم قابل قبول
کيفيت عکس خوب
رابط کاربري اسان",نديدم,"با سلام
من این دوربین رو 8 ماهی هست خریدم
این دوربین برای افراد مبتدی بسیار شوق به عکاسی رو بالا میبره و فرد رو وسوسه به انداختن عکس های بیشتر میندازه
اگر می خوایید با یه دوربین عکاسی رو شروع کنید دوربین بسیار خوبی هست
دوربین با زوم بسیار قابل قبول
کیفیت عکس در حالت زوم هم قابل قبول هست.",0,0,4,4,4,4,5
"کيفيت عکس خوب در روز","کيفيت ضعيف در شب","من این دوربین حدود شش و هفت ماه از دیجی کالا خریدم نسبت به قیمتش واقعا دوربین خوبیه و در روز کیفیت عکس بالایی داره حتی با دوربین حرفه ایی هم می تونه رقابت کنه ولی
در شب کیفیت خیلی ضعیفی داره
ولی در کل دوربین خوبیه و می تونین در سفرها عکس خوبی بگیرین",0,0,5,4,4,5,4
,,"نسبت به پولی که میدین ارزش خرید داره. من که واقعا رازیم در عین کوچیکی زوم قابل قبولی داره. کیفیت عکس واقعا خوب",1,0,5,5,2,4,3
,,"بسیار عالیه",1,1,5,5,5,5,5
"همه چيز",ندارد,"من تقریبا یک ماهه این دوربین را خریده ام و واقعا از همه لحاظ از آن راضی هستم و به خاطر ابعاد آن تقریبا همه جا آن را با خودم میبرم و صحنه های بسیار زیبایی را با آن شکار کرده ام به نحوی که دیگر دوربین نیکون p900ی که دارم عکس نمیگیرم",3,2,4,4,4,4,5
"زوم بالا
زيبايي
کيفيت عکاسي بالا
دوام باتري بالا ( بالا که ميگم يعني خيلي بالاهاااا)
فلش قوي","کيفيت متوسط فيلم برداري","سلام و درود خدمت خریداران و مشتریان عزیز دیجی کالا
من این دوربینو حدود 20 روز پیش خریداری کردم و تا الان که دستم واقعا از کیفیتش راضیم یعنی بهتون میگم اگه تحقیقاتونو کردین و به این دوربین رسیدید حتما خریداریش کنید .
نکته ی اول که باید بگم تا کمک کنه تو خریدتون اینه که این دوربین مموری نداره و اگه دوربین بیاد تو دستتون خیلی عکس میندازید(مث خود من) باید یه رم 32 بگیرید.
نکته ی دوم اینه که این دوربین اگه متوسط باهاش کار کنی حدود 5 روز شارژ داره.
نکته ی سوم اینه که الان کیف دوربینتون رو سفارش ندید و مثل من دچار اشتباه نشید من دوربینو که سفارش دادم همراه دوربین یه کیفم خریدم البته اندازه های هردوتا رو چک کردمو درست بود ولی وقتی به دستم رسید کیف دوربین واسش کوچیک بود و الان هم نمیتونم پس بدم.
نکته ی چهارم اینه که باتری دوربینو وقتی میذاری توی شارژ بهش دست نزنید تا چراغی که نوشته روش فول سبز بشه بعد باتری رو درارید اینو گفتم چون اگه زودتر دارید باتری خراب میشه.
نکته ی پنجم اینه که مارک این دوربین ژاپنی هستش و همچنین اصل چون دیجی کالا هیچ وقت جنس تقلبی نمیاره:)
خوب ببخشید زیادی حرف زدم امیدوارم که هر دوربینی که میخرید به خوشی ازش استفاده کنید .",22,4,5,5,5,5,5
"کيفيت تصوير بسيار خوب
دوام باتري عالي
طراحي خوب
زوم فوق العاده عالي
فلش قوي",,"درود
کیفیت عکاسی خیلی خوبه، تصاویر شفاف و روشن، زوم بسیار قوی بدون افت کیفیت ، لرزش گیر خوبه.
فوکوس بسیار عالی و سریعی داره.
در کل به عنوان یک دوربین کامپکت نسبت به قیمت عالیه.
عکاسی توی نو ر روز خیلی خوبه اما برای شرایط دیگه و شدت نور کمتر، نباید از حالت اتوماتیک استفاده کنید.
پس برای بهترین نتیجه استفاده از حالت اتوماتیک به هیچ عنوان پیشنهاد نمیشه.
نسبت به قیمت دوربین خیلی خوبیه
با دوربین گوشی Note 5 که مقایسه کردم هرچند استفاده از Note 5 آسان تره، اما کیفیت و جزئیات این دوربین خیلی بهتره. پس اگه خواهان جزئیات تصویر بیشتر هستید، تردید نداشته باشید Powershot SX610 HS بهتر از دوربین گوشی موبایله اما برای عکاسی تو خونه شاید موبایل بهتر باشه.",6,1,4,4,4,3,4
,,"دیجی کالا سلام..من خیلی زود به یه دوربین احتیاج دارم..اینو میخوام...خواهش میکنم سفیدشو زود بزار..خیلی عجله دارم",5,11,3,3,3,3,3
"کيفيت عکاسي و تصوير برداري قابل قبول در مقايسه با دوربين هاي کامپکت
سنسور مناسب با توجه به قيمت","نداشتن قابليت فيلم برداري 60 فريم بر ثانيه","3 ماهه که این دوربین رو خریدم ، تا حد خیلی زیادی راضی هستم ازش ،با یه مقدار تنظیم میشه بهترین کیفیت رو ازش بگیری ، در مورد باطری هم باید عرض کنم اگه باطری اورجینال روش باشه فوق العادست، اما در مورد چینی یا ژاپنی بودنش باید بگم خدمتتون که دوربین مثل موبایل یا چیزهای دیگه نیست که فکر کنید تقلبی داشته باشه ، تو لوازم جانبی مثل باطری ممکنه ولی خود دوربین نه، اینو از خودم نمیگم همون مقع که میخواستم بخرم با یه کارشناس صحبت کردم و فهمیدم که این مدل در ایران الان صرفا یا ساخت چین داره یا لیبل حرفه ای ژاپن و در واقع هیچکدوم از ساخت ژاپنهای این دوربین در واقع اصلا ژاپنی نیستند، دوربین من ساخت چین هستش و هیچ کدوم از ایرادهایی که دوستان فرمودند رو نداره",3,1,4,4,3,4,4
[],[],"دیجی جان مرسی که موجودش کردی...
یه لطفی کن پیشنهاد ویژه کن...
قیمت یه کم بالاست...",9,1,3,3,3,3,3
