positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"همه فاکتورها غير از ذکر شده ها","سنگيني
نورسنجي","از داشتن این دوربین بسیار لذت میبرم. فقط در استفاده طولانی به علت وزنش مچ دستتون همش اذیت میشه ،
از لحاظ فنی هم باید بگم که سیستمش در جبران نوردهی در نور کم در محاسباتش اشتباه داره تا حدی ، و خودتون مجبور میشید عکساتونو قبل از عکس گرفتن در حالت over expose چند پله نوردهی کنید تا جبران خطای دوربین بشه.ولی با استفاده مکرر دستتون میاد که تنظیماتش رو چطور قرار بدید که نوردهی مناسبتر بشه.",1,0,4,4,4,4,4
,,"من تاکید کردم برای دوستانی که‌ آماتور تر هستند، D5500 رو توصیه می کنم
قطعا یک شخص آماتور فرق تعداد نقاط فوکوس این دوتا دوربین رو حس نمی کنه و عمر شاتر بالا و موتور فوکوس داخلی خیلی براش مهم نیست. ضمن اینکه می تونه لنزی با موتور فوکوس تهیه کنه که‌ اشکال D5500 رو رفع می کنه
برای آماتور تر ها، مانیتور متحرک و لمسی، سنسور بغل چشمی، وای فای، پردازشگر جدیدتر، ارگونومی و کیفیت jpg بهتر خیلی جذابیت بیشتری داره تا سنگینی زاید الوصف D7100. برای کسی که‌ می خواد اولین DSLR ش رو بگیره، این دوربین به علت وزن بالا واقعا اذیت کننده خواهد بود
ضمن اینکه دکمه های فراوان باعث سردرگمی عکاس آماتور میشه اما در D5500 با لمس مانیتور همه تنظیمات به راحتی قابل تغییره",2,3,5,5,4,3,4
"موتور فوکوس داخلي
بدنه تمام فلزي",,"دوست عزیز چرا خریدار ها به اشتباه می اندازید. من خودم D5500 دارم. اما مسلما D7100 دوربین خیلی بهتریه. شاید کیفیت تصاویر D5500 اونم تو حالت jpeg یکم بهتر باشه اما داشتن موتور فوکوس داخلی ک مزیت بزرگه!!!! همچنین عمر شاتر یک و نیم برابر D5500 داره یعنی 150000 شات!
کنترلر های بهتری هم داره. من خودم تقریبا اصلا از صفحه نمایش لمسی استفاده نمیکنم. فقط دکمه. حتی دوربینی مثل d810 هم صفحش لمسی نیست.
اینا همش حاشیست. D7100 مسلما یک سر و گردن بالاتر از سری D3000 و d5000 هستش.
من خودم الآن دنبال اینم که دوربینم رو بفروشم و D7100 بخرم.",6,1,4,5,5,4,5
"تعداد نقاط فوکوس بالا","ارگونومي نه چندان جالب
پردازشگر قديمي","شاید برای حرفه ای ها این دوربین اصلا قابل قیاس با D5500 نباشد
اما برای دوستانی که‌ خیلی حرفه ای نیستند قطعا پیشنهاد D5500 است
چون مانیتور متحرک، صفحه نمایش لمسی، پردازشگر جدیدتر، وای فای",3,7,5,5,4,3,4
,,"حتما پیشنهاد میکنم. کیفیت عکس و فیلم عالی نسبت به قیمت",2,0,5,4,4,4,5
"رزولوشن مناسب عکس 24mp
بدنه مقاوم (environmental sealing)
داشتن موتور فوکوس داخلي (بسيار ويژگي مهمي است) به دليل داشتن موتور فوکوس از تمامي لنز هاي نيکون پشتيباني مي کنه
continues shooting 6fps in burst shot
داشتن اکًثر قابليت هاي دوربين هاي fullframe","بسيار سنگين براي عکاسي مشکلي ندارم اما حمل و نقل چرا!
نداشتن صفحه چرخان ولمسي (که عکاسان حرفه اي قبول ندارن و معتقدن عکاس حرفه اي بايد از view finder نگاه کنه)
نداشتن wifi(آنچنان کاربردي نيست)","دوربین بسیار خوبیه خریدش رو به کسایی که در این رنج میخوان هزینه کنن پیشنهاد میکنم
و توصیه میکنم بادی رو جدا بگیرید و لنز رو با تحقیق و جدا بگیرید
بنده با 60D و 70D کار کردم این دوربین از جفتشون بهتره نه اینکه تعصبی صحبت کنم در عکاسی این دوربین بسیار عالی عمل میکنه اما در فیلم برداری از رقبای کنون خودش کم میاره
پیشنهاد می کنم یک grip با باتری اضافه براش بگیرید خیلی خوش دست تر میشه بعلاوه باتریش چندین برابر بیشتر شارژ نگه میداره
در کل برای کار خبر نگاری-شکار لحظه ها-عکاسی ورزشی و فیلم برداری-->کنون
برای عکاسی آتولیه ای عکاسی پرتره عکاسی هنری عکاسی اجسام و... -->نیکون
پیشنهاد مینم با جفت برند ها کار کنید و ببینید رابط کاربری کدومشون با شما مچ تره بعد خرید کنید",10,0,5,3,4,4,4
"همه چي","لنز 18-140 بي کيفيت","لنز 18-105 رو پیشنهاد میکنم",5,8,5,5,0,5,5
"کيفيت ساخت عالي
مقاوم در برابر آب و گرد و غبار
ضبظ صداي استريو
فکوس خودکار حتي براي لنز هاي بدون متور
داشتن صفحه نمايش دوم","وزن زياد
لنز 18-140 بي کيفيت و خشک
صداي نا هنجار شاتر نسبت که کنون","در نگاه کلی نسب به قیمت بدون شک بهترین انتخاب برای یک دوربین عکاسی تقریبا حرفه ای هست و به نوعی این دوربین دروازه ورود به فول فریم هاست. لنز همراه این دوربین با توجه به قیمت پایین و امکان عکاسی از گستره واید تا تله (نکته مثبت) کیفییت چندان دلچسبی نداره با وجود نقاط فکوس بالا تصاویر این لنز در اندازه وقعی شارپ نیست، پیشنهاد من ایه که بادی ولنز رو بصورت مجزا خریداری کنید. در عکاسی بودن شک از رقبای هم قیمت و حتی قیمت بالاتر خودش بهتر هست ، اما ه دلیل نداشتن صفحه تاچ و ال سی دی قابل چرخش مناسب فیلم برداری نیست. صدای شاتر نسبت به دوربین های کنون واقعا بد هست (البته این اصلا ملاک نیست)",4,7,3,5,4,2,5
,"يه خورده سنگيني","این دوربین فقط میتونم بگم عالیه من که خیلی دوسش دارم به قیمتشم خیلی می ارزه بنظرم برا اولین و اخرین دوربین اینو بخرین فقط لنز و عوض کنین",3,0,5,5,5,5,5
"جنس خوب بدنه
خوش دست
باتري عالي
کيفيت مناسب تصوير","کيفيت نسبتاً ضعيف در نور کم
صفحه نمايش ثابت
نداشتن Wifi","سلام، چند ماهی میشه این محصول رو خریداری کردم.
در کل بسیار راضی هستم از خریدم.
پیشنهاد می کنم بدنه دوربین رو بگیرید و لنز رو به انتخاب خودتون خریداری کنید.",6,2,4,5,4,3,4
,,"عااااالیه.... به هیچ چیزدیگه فکرنکنید.... خیلی از کنون سرتره",9,3,3,3,3,3,3
"جنس بدنه.امکانات فراوان","رنگهاي غيرطبيعي در مود اتوونورمصنوعي","باسلام.مطمینا کسانیکه با خواندن این کامنتهاتصمیمگیری میکنند کاربران عمومی هستند.چراکه حرفه ای ها تجربه استفاده اش را داشته ونیازی به نظر کاربران ندارند.این دوربین در نور مصنوعی بسیار وایت بالانس خنگی داره.ورنگها رونمیتونه واقعی نشون بده مگر باتنظیم درجه کلوین.یعنی عملا استفاده از مود اوتودر نورمصنوعی امکانپذیرنیست.براکاربران عمومی هرگز توصیه نمیکنم.کنون درقیاس با نیکون و فوجی در نهایت برنده بهترین پردازش داخلی میباشد.",5,20,3,3,3,3,3
,"وجود گردو خاک در سنسور","آخریشو خودم خریدم ولی خورد تو ذوقم روی سنسورش گرد وخاک نشسته که تو دیاف بالای شونزده پنج شش تا لکه نمایان میشه",0,8,5,4,5,5,4
,,"خداروشکر زود جنبیدم و خریدم هفته پیش به دستم رسید الان موجود نیست وای اگه نمیخریدم سکته رو زده بودما
منکه فعلا رو اتومات عکس گرفتم کیفیت عالی",3,0,3,3,3,3,3
"عکاسي عالي ارگونومي عالي کيفيت عکس در ايزو عالي کيفيت ساخت مو لا درز ش نميره","وزن زياد","قابل توجه دوستمون که گفتن کیفیت عکس این دوربین در تاریکی کمتر از 70d هست باید بگم که این حرف کاملا اشتباه است
بنده خودم این دوربین و پسرخاله من دوربین 80d که از جنبه های زیادی از 70dبهتر هست رو داریم و باهم تو کویر عکس ها ی گرفته شده را مقایسه کردیم
و به وضوح کیفیت عکس های این دوربین در میزان نویز عکس ها بهتر بود و هر کسی که عکاس حرفه ای هم نبود میفهمید.
اکثر اوقات کیفیت عکاسی دوربین های نیکون بهتر از کانن بوده و هست و کیفیت فیلمبرداری دوربین های کانن بهتر از دوربین های نیکون بوده .
با تشکر .
یا علی.",16,2,5,5,5,5,5
"خيلي داره","عکاسي توي نور کم بد","توی نور کم نسبت به 70D خیلی کم میاره",0,9,4,4,3,5,3
خيلي,"نداشتن واي فاي
نداشتن صفحه نمايش چرخشي و لمسي","دوستان سلام، من اهمیت زیادی به صفحه نمایش چرخشی و لمسی دارم و همینطور وای فای
و این دوربین فاقد این امکانات است ولی از لحاظ دیگر دوربین بسیار عالی به نظر میرسه...
حالا ب نظر شما این علاقه ها ینی صفحه نمایش چرخشی و لمسی و وای فای مهم نیستن و بهشون توجه نکنم؟؟
این دوربینو خیلی دوست دارم ولی حیف فاقد این امکاناته...
خیلی دلم میسوزه..",6,7,5,5,3,5,3
,,"چند ماهی هست که این دوربین رو از دجی کالا تهیه کردم و بنظرم نصبت به قیمت عالی هست سپاس از دی جی کالا",10,1,5,4,5,4,5
"کيفيت بدنه عالي
باطري فوق العاده با توان بيش از 900 شات
ويزور با ديد 100٪
دو جاي رم با امکان تغيير محل ذخيره عکس و فيلم
سرعت بالا در ذخيره عکس با فرمت RAW+",ندارد,"این دوربین علاوه بر نکات مثبت فوق خیلی قابلیتهای بیشتری هم داره از جمله فیلم برداری 60 فریم و نمایشگر با رزولوشن بالا
از همه نظر از 70D بالاتره دوستانی که گفتن تاچ نیست در عوض دکمه های کاملی جهت تنظیم سریع داره در کل نسبت به قیمت و امکانات عالیه",15,1,4,5,4,4,5
"بدنه
کيفيت بالاي عکس
داشتن موتور فوکوس داخلي",ندارد,"بهترین اس ال آر کراپ، شک نکنید، به هیچ چیز! دو ساله دارمش، هر روز منو شگفت زده میکنه",13,2,5,5,5,5,5
"امکانات ، کيفيت","پيچيده و در تاريکي زياد جالب نيست","دوربین خوب و به صرفه ای ولی تو نور کم مثل روشنایی عمل نمیکنه",4,9,5,5,4,4,5
,,"با سلام خدمت کسانی که این دوربین رو خریداری کردند و به اشتباه در ذهنشان هک شده که لنزشون تقلبیه دوربین و لنز های نیکون چه چینی باشد چه تایلند هیچ تفاوتی با هم ندارن چه بسا لنز چینی برای تعمیرات در اثر خوردن ضربه در ایران افراد بیشتری هستند که این تعمیرات رو انجام بدن تا تایلندی و از این نظر لنز چینی برتری نسبی به لنز تایلندی داره دیجی کالا هم هم لنز 18-140 رو اصلی اوورده هم d7100 رو .... موفق باشید
.",5,1,5,5,3,5,5
,,"دوستانی که میگن لنز چینیه!
هیچ تفاوتی نداره با تایلندی و البته دیگه تایلندیش تولید نمیشه!
تایلندیش تا حدود سال پیش که من این دوربینو خریدم تولید میشد شایدم تا چند ماه پیش!
ولی چند روز پیش برای یه دوستان d5500 برداشتیم با 18-140 کیفیت لنز فرقی نداره!",2,2,5,5,5,4,5
,,"من این دوربین رو خریداری کردم و انشالله که فردا به دستم میرسه ممنون از دیجی کالا که همیشه به موقع و گاهی اوقات زودتر از چیزی فکرشو پیکردم به دستم رسونده سفارشاتی که داشتم جهت اطلاع من اهواز هستم. حتما از دوربین استفاده میکنم و مجددا نتیجه رو از کار کردن با دوربین برای دوستان میذارم. با تشکر از دیجی کالا",0,3,5,5,5,5,5
