positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
,,"من قصد خرید این محصولو داشتم برای تحقیق یه سر به سایتای خارجی زدم متوجه شدم سامسونگ محصولی با این نام نداره حتی در سایت اصلی خودش ولی خب ازونجایی که این اتفاق معمولا میافته و اسم یه محصول بر حسب منطقه یا کشور ممکنه تغییر کنه تصمیم گرفتم از رو عکس های سری k که به معنای سال تولید 2016 هست اقدام کنم.
و چیزی که خیلی جالب و عجیب بود این بود که سامسونگ تو سری k5xxx از این طراحی استفاده کرده!
واقعا چرا باید سری 5 رو با نام سری 6 تولید کنن؟ چطور میشه به همچین محصولی اعتماد کرد.
جای تاسفه که چنین اتفاقاتی میافته
اینم بگم من از طرفدارای سامسونگ بودم اما با این اطفاق واقعا اعتمادمو به محصولاتی که تو ایران تولید میشه از دست دادم.",0,0,3,4,3,3
"تمام فرمت هارو مياره کيفيت عالي زيرنويس رو خودتون تنظيم ميکنيد همه چيش انصافا عاليه","يک مقدار کند در اوردن هارد اکسترنال يک ترابايت که به نظر من مهم اينه که هر هاردي رو مياره","در خریدش شک نکنید. من صبح تا شب دارم باهاش ps4 بازی میکنم و خیلی عالیه.بدون هیچ مشکلی. اگه دو دل هستید من میگم بخرید چون به محض وصل کردنش نظرتون عوض میشه.قیمت دیجیکالا هم از همه جا ارزون تر هست و حتما بزارید از نمایندگی بیان وصل کنن",1,0,5,5,5,5
"قميت مناسب
شکل ظاهري زيبا
شفافيت تصوير خوب",,"این کالا از لحاط شکل ظاهری زیباست و تصویر خیلی خوبی داره .
کارایی خوبی هم داره
تمام این ویژگی ها در برابر قیمت بسیار مناسبش، بسیار ارزشمند است .
خرید این کالا را به تمام دوستان دیجی کالایی توصیه میکنم .
باتشکر",0,0,4,5,3,5
"کارايي و کيفيت بالا وکيفيت تصوير بسيار مطلوب
بلندگوهايي با صداي واضح با کيفيت و پرقدرت
پشتيباني کامل و جامعه از زبان فارسي و منوي نه چندان پيچيده
طراحي ارگونوميک بسيار زيبا
پورتهاي متعدد و بسيار کاربردي","پردازنده نسبتا ضعيف و ديرعمل کردن به فرامين
قيمت به نسبت ساير رقبا کمي بالاتر و البته قابل پيش بيني","درکل از خریدن این تلویزیون نه تنها پشیمون نمیشید بلکه کاملا نظر شمارو به خودش جلب میکنه و از خرید خودتون راضی خواهید بود",2,0,5,4,3,4
"طراحي زيبا
اتصال راحت به گوشي هاي سامسونگ
شفافيت عالي تصوير
رابط کاربري قوي
طراحي بسيار زيباي کنترل",ندارد,"ما این تلویزیون رو تو دوران جشنواره از سامسونگ گرفتیم. دو ماهی شده که استفاده می کنیم و به نظرم عالیه. از همون موقع که نصب کردیم خیلی راحت به گوشیم (نوت 5) وصل شد، بدون نیاز به نتوورک فقط از طریق وایرلس و Samsung smart view و خیلی راحت میشه از طریق تلویزیون آهنگ یا فیلم و عکس گوشی رو پخش کرد. طراحی منوها و رابط کاربریش عالیه. شفافیت و وضوح تصویرش خیلی خوبه. طراحی کنترلش هم که فوق العاده است. در کل حرف نداره.",2,0,5,5,5,5
"طراحي زيبا. مناسب افرادي که به دکوراسون منزل اهميت ميدن.
کنترل جذاب و ساده و راحت
کيفيت تصوير خوب(کنتراست بالا-دقت رنگ مشکي و عمق رنگ مشکي مناسب-دقت رنگ بالا همراه قابليت شخصي سازي)
پورت هاي زياد
صداي بلند بلندگو ها","کند بودن در تعويض کانال
کيفيت نسبتا ضعيف پخش شبکه هاي ديجيتال
افت کيفيت در زاويه بالاي 20-30 درجه","سلام
با توجه به قیمت این تلویزیون این نقد رو مینویسم.من تو 2 هفته ای که از این تلویزیون استفاده کردم میتونم بگم کیفیت تصویر خیلی خوبی داره مخصوصا کسایی که کنتراست و عمق تصویر مشکی بیشتر توجه میکنن و اگه زیاد از زاویه نگاه نمیکنید این تلویزیون انتخاب خیلی خوبی هستش.برای کانال های ایران کیفیت خیلی ارتقاع پیدا نمیکنه و شاید بشه تلویزیون های بهتری هم پیدا کرد برای این موضوع اما وقتی که برای بازی یا فیلمهای اچ دی و فول اچ دی از این تلویزیون استفاده میکنید کیفیت خیلی خوبی داره و با تغییر تنظیمات کنتراست و نور و رنگ به تصویر دلخواه خودتون میرسد.برای بازی هم مناسبه شاید اینپوت لگ برای بازی های سریع و مخصوصا افراد حساس به بازی کمی اذیت کنه اما در کل به چشم نمیاد.تصویر میتونید در حالت بازی هم بزارید که سرعت بهتری بهتون میده که البته کمی از کیفیت کاسته میشه.
کیفیت صدا هم خوبه که اونم حالت های مختلفی داره میتونید به نسبت تصویری که تماشا میکنید مثل فیلم یا فوتبال اون رو هم تغییر بدید.
نقاط ضعفی که خیلی به چشم میاد سرعت پایین تعویض کانال هستش و شاید هم بازتاب نور که اونم بستگی به محل قرار گیری تلویزیونتون داره و همینطور زاویه دید کمه دستگاه که باز اونم بستگی به محل نشستن شما نسبت به تلویزیون داره.",1,0,4,4,5,5
"کنترل کوچک",,"این تلوزیون از همه نظر عالی ،
کیفیت عالی
از نظر ظاهری هم عالیه
کنترل کوچک
نسبت به قیمتش حتما پیشنهاد میکنم
خیلی هم باریکه و شیک",2,0,5,5,5,5
"تصوير تلويزيون در حد فول اچ دي ظاهر تلويزيون عالي کنترل تلويزيون بسيار زيبا با کارکرده بسيار راحت",ندارد,"تصویر عالی شکل تلویزیون عالی کنترل تلوزیون زیبا کوچک",1,0,5,5,5,5
"کيفيت تصوير","مکث در اجراي فرامين","با سلام تلوزیون خوبیه برای دفتر کار گرفتم فیلمهای که با کیفیت اچ دی ویا فول اچ دی هستند خیلی عالی نشون میده",4,0,3,3,3,3
"کيفيت تصوير منحصر به فرد
وضوح و بلندي بسيار عالي صدا
ظاهر شيک و جذاب از لحاظ طراحي 360 درجه و قاب باريک
کنترلر هوشمند
سيستم عامل تايزن جديد","ممکن است براي کسانيکه اهل تکنولوژي نباشند، کار کردن با تلويزيون هوشمند مخصوصا کنترلر آن کمي سخت باشد","قصد خرید مدل 40K5950 را داشتم که با توصیه ی یکی از بستگان که در کار لوازم خانگی بودند، سری 6 یعنی همین مدل را برای خرید انتخاب کردم. اصلی ترین هدف من از خرید تلویزیون سامسونگ، هماهنگی عالی با گوشی S7 Edge و وصل کردن دستگاه PS4 به آن بود که با روشن کردن تلویزیون از نظر کیفیت تصویر و صدا و ساخت تلویزیون بسیار شگفت زده شدم. با اعتمادی که به دیجی کالا داشتم، تلویزیون را خریداری کردم و 24 ساعت بعد، نصاب سام سرویس بطور رایگان دستگاه را راه اندازی کردن. سرویس اینترنتی Aio امکان فوق العاده عالی است که 6 ماه بصورت رایگان در اختیار کاربران قرار داده.",4,1,5,5,4,5
