positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"گيرنده ديجيتال قوي ضبط برنامه هاي تلويزيوني","دير روشن شدن هنگ کردن بعضي مواقع پاک شدن شبکه ها بعضي مواقع","در مقابل قیمتی که پرداخت میکنید ارزش خرید دارد و ظاهر و کیفیت خوبی دارد و همچنین کیفیت تصویر قابل قبولی دارد.اگه برندش الجی یا سامسونگ بود چهار صد تومان گرانتر میبود",1,0,3,3,5,5
"قيمت مناسب
کيفيت تصوير خوب
سرعت قابل قبول
گيرنده ديجيتال قدرتمند","با توجه به قيمت ضعف خاصي ندارد","در پیشنهاد ویژه از دیجیکالا خرید کردم.
به نسبت قیمتی که پرداخت کردم کیفیت مناسبی داره ، از مدل های مشابه ال جی و سامسونگ حدود 300 تومنی ارزون تر هست ولی کیفیتش قابل قبول هست.
مقایسه ای که انجام دادم بین این مدل و مدل مشابه ال جی ، مدل ال جی سرعت پردازش تصویر بهتری داشت اما برای دیدن شبکه های تلوزیونی و فیلم های HD زیاد تفاوتی ندارند.
ولی بنظر میاد به درد گیم نمی خوره ، هرچند توقعی هم نباید ازش داشت.
در کل با توجه به قیمتش قابل قبول هست",0,0,3,3,3,5
"کيفيت بالاي تصوير
امکانات و درگاه هاي متنوع و عالي
قيمت مناسب دي جي کالا
پشتيباني از همه فرمت هاي ويديويي حتي فرمت X265 !!
ميزان مصرف انرژي +A","فعلا که هيچ اشکالي نمي تونم بگيرم...","با سلام
من با قیمت های بازار مقایسه کردم دی جی کالا ارزون تر حساب میکنه...
نسبت به قیمت تلویزیون بسیار عالی ای هستش حتی با کیفیت تر از نمونه ی سامسونگش!!
قبل از خرید توی فروشگاهی دیدم که کنار یه 32 اینچ سامسونگ گذاشته بودنش ... باور کنید کیفیتش خیلی بهتر از سامسونگ بود.
فکر می کنم ایکس ویژن تنها برند ایرانی باشه که کیفیت خوب و قابل رقابتی داشته باشه و انشاا... این کیفیت عالی رو حفظ کنه
من زیاد به کالاهای ساخت ایران اعتقاد ندارم چون چند بار کالای ایرانی خریدم و پشیمون شدم البته به جز ایکس ویژن! ای کاش صنعت گران ایرانی دیگه هم یه کم وجدان و انصاف داشته باشن و جنس با کیفیت تولید کنن لااقل به خاطر خودشون!
نسبت به اندازش امکانات عالی ای داره حتی درگاه کامپیوتر!!! نگاه نکنین فسقلیه تست کردم ببینم فرمت x265 رو هم که فرمت فشره ی ویدیویی هست و خیلی از پلیرها و تلویزیون ها بازش نمی کنن این باز میکنه یا نه... که در کمال تعجب دیدم مثل راحت الحلقوم باز کرد!! خیلی عالی",5,3,5,5,5,5
,,"سلام . من هم چند روز پیش توی پیشنهاد شگفت انگیز برای مغازه خریدمش و واقعا نسبت به قیمتش عالیه .",4,4,4,4,4,5
,,"ی راهنمایی کنم شاید از دوستان کسی مشکل من رو داشته باشه ،
1,تو تنظیمات تو قسمت صفحه نمایش حالت ""شفافیت پویا"" رو غیرفعال کنید تصویر بهتری بهتون میده، این گزینه تصاویر تاریک رو تاریکتر و تصاویر روشن رو روشنتر میکنه که نوسان نور به عینه مشخصه و اذیت کننده، درست مثل حالت صفحه نمایش گوشی که وقتی از سنسور روشنایی صفحه نمایش استفاده میکنی نور خودکار کم و زیاد میشه
2، گیرنده داخلی خوبی داره ولی اگه یک تصویر مناسب میخواید از یک دستگاه گیرنده باکیفیت استفاده کنید و حتما از کابل hdmi واسه انتقال تصویر استفاده کنید،
لپ تاپو با hdmi واسه تماشای فیلم بهش وصل کردمکیفیت واقعا مناسبی داره(البته به کیفیت فیلم شما هم مربوط میشه) همچنین به عنوان مانیتور همازش استفاده میکنم بدک نیست خوبه",8,1,4,4,4,4
"کيفيت تصوير و امکانات عالي نسبت به قيمت","ضخامت زياد نسبت به اينکه تلويزيون LED هست","من هفته گذشته در شگفت انگیز از دیجی کالا خریدم. واقعا از کیفیت تصویر و امکاناتش راضیم و به همه علاقمندان پیشنهاد میکنم با خرید این محصول ضمن اینکه پول کمتری نسبت به مشابه خارجی پرداخت میکنن از کالای ایرانی هم حمایت کنن.واقعا هم امکاناتش از LG و Samsung بیشتره و هم قیمتش کمتر از اونهاست. یا علی",5,5,5,5,4,4
"تصوير و صداي خوبي داره ، راه اندازي راحتي داره نصبت به قيمتش خوبه اميدوارم گارانتي شرکت خوب باشه","نمي‌دونم منطقه ما مشکل داره يا نه اما هنوز موفق نشدم همه 20 کانال داشته باشيم و فقط هنوز 10 شبکه داريم ، البته يکي از دوستان دستگاه مبدل ديجيتال ايکس ويژن داره و همين مشکلو داره","سلام ممنون از دیجی کالا با اینکه به دست من خیلی دیر رسید و تقریبا یک هفته منتظر بودم اما راضیم",2,1,4,4,4,5
"ظاهر مناسب
کيفيت بالا","صداي کم در مدل 22 و 24 اينچ","بنده 12 عدد از تلویزیون مارک ایکس ویژن رو در سایزهای مختلف مخصوصا 32 و 48 و 29 اینج برای استفاده در مجل آموزشی خریداری کردم و حدود 2سال است که مداوم در حال استفاده است . کیفیت نسبت به قیمت عالی ،در کل در خریدش شک نکنید",6,0,5,4,5,5
"صداي عالي خروجي هاي مناسب و کافي نصب ساده","چيز خاصي نيست","توی ویژه از دیجی خریدم‌ حدود 10 روزه‌ استفاده می کنم در کل حرف دوستان که از خریدشون‌ راضی بودن‌ رو تایید می کنم در عین حال چون برخی از صدا اشکال گرفته بودند باید عرض کنم هیچ مشکلی نداره‌ و صداش‌ بلند هست تا حالا که ما از عدد 50 به بالا تر صداش‌ رو بلند نکردیم‌ در این رنج‌ قیمتی بی رقیبه و پشیمون نمی شید .",4,2,5,5,5,5
"قيمت ارزان","صداي ضعيف","درود بر همه دوستان سال نو مبارک
به خاطر یه ال ای دی بیخودی اینقدر اغراق نکنید
اخه ایکس ویژن پنل چینی کجا و سونی ساخت ژاپن کجا .بدون شک شرکت سونی یکی از بهترین برند ها حال حاضر دنیاست من که از بچه گی تا حالا همراه با سونی بزرگ شدم میدونم سونی یه چیز دیگه هست. یه ضرب المثل انگلیسی هست که میگه اینقدر پول ندارم که جنس خوب بخرم",2,41,2,2,1,1
