positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"کيفيت عاليه..هر چقدر که تازه کار هم باشي ولي کار باهاش راحتي..",,"سلام تقریبا 4 ماهه این تلویزیون رو خریده‌ام واقعا نسبت به قیمتش و کیفیتش با هم رده های خودش خیلی عالیه..",0,0,4,4,4,4
"کيفيت قيمت مناسب زيباي",صدا,"با سلام خدمت دوستان عزیز من این تلویزیون رو 2 هفته ای هست که خریداری کردم البته از فروشگاه با قیمت بالاتر
دوستانی که در آمد متوسط و به فکر جایگزین کردن تلویزیون و یا خریدن تلویزیون جدید هستند شک نکید و هر چه سریع تر این تلویزیون رو سفارش بدید و ببینید چه تاثیری تو دکوراسیون خونتون بوجود میارید
از کیفیت این محصولم باید بگم من که باهاش مشکلی ندارم واقعا عالیه در مقابله پولی که پرداخت میکنید
شبکه هایی که hd نیست رو شاید تار نشون بده که اونم اگه برید تو تنظیمات تصویر از حالت پویا برش دارید مثلا بزارید رو استاندارد یا حالت سینمایی رو انتخاب کنید دیدن اون شبکه یا تصویر قابل قبول تر میشه
در مورد شبکه های hd هم که خودتون بگیرید و ببینید تنظیم تصویر رو رو حالت استانداردبزارید تا بهترین تصویر ممکن رو ببینید مطمعنم که از دیدن فیلما تو شبکه hd خسته نمیشید و حتی امکان داره با همسرتون سره اینکه چرا اینقد فیلم میبینید دعواتون بشه مثله بنده
واقعا از خریدی که کردم خوشحالم به شماهم پیشنهاد میکنم حتما این تلویزیون رو خریداری کنیدالبته باید بگم من این تلویزیون رو همراه با یه سینما خانگی سامسونگ خریداری کردم چونکه صدای این تلویزیون کم هستش اگر تنها بخوایید گوش بدید خوبه ولی اگر مهمون بیاد خونتون به سختی متوجه صدا میشیدبخاطر این اگه تونستیدحتما سینما خانگی تهیه کنید تا هم صداش بلندتر و رسا تر بشه هم زیبایش صد برابر
ممنون",2,0,4,4,5,5
"تصوير وصحفه منحني",,"من 4 ماهی میشه خریدمشه کیفیت تصورش خیلی خوب وعالیه از هرگوشه اتاقم نگاه کنم عالیه البته از فاصله 3 تا 4 متری",1,0,5,4,4,3
"خميده. قيمت مناسب باکيفيت","من فقط بلد نيستم تصوير درتصوير کنم اگه اين مشکل نباشه عاليه","خیلی خوبه پیشنهاد میکنم بخریدش. بااین قیمت از دستتون رفته",1,3,5,4,4,5
,,"من 1 ماهه خریدمش کیفیتش خیلی خوبه کار باهاش راحتو لذتبخشه.ظاهرشم عالیه در کل از خریدش راضیم",1,1,4,3,3,3
"واقعا کيفيت و توان بلندگو سنسور نور همش عالي","بعضي وقت ها اتصال به واي فايش قطع ميشه ولي سريع اوکي ميشه","واقعا ارزش خرید دارد",2,1,5,5,5,5
"کيفيت عالي تصوير وصدا ،منو فارسي،هوشمند بودن،آسوني کار با تلويزيون ورابط کاربري سادش، کنترل جالب وجديد","بلندگو هاش با اينکه صداي باکيفيتي داره ولي کمي قدرت صداش ضعيفه .","سلام
من چند روزی که خریدمش واقعا خیلی عالیه کیفیت تصویرش خیلی عالیه ورابط کاربری خالی ساده ای داره در حدی که خیلی راحت میتونی کار کردن باهاش رو خیلی سریع یادبگیری

البته صدای اسپیکرش کمی ضعیفه وبهتره که از سینما خانواده استفاده بشه ولی توی اتاق های متوسط با همین اسپیکراش خوب جواب میده .

درکل عالیه .................تو خریدش شک نکنید.",1,2,5,5,5,4
,"تصوير بي کيفيت","تصویر اصلا کیفیت نداره و تاره و در مقابل قیمتش اصلا ارزش خرید با همچین کیفیت پایینی نداره. خریدنش اشتباهه",3,7,0,3,3,0
,,"تلویزیونی در حد متوسط",4,0,2,2,4,3
"امکانات عالي صداي خوب و کيفيت خوب",,"در کل راضیم پیشنهاد میکنم بگیرید",3,1,4,4,5,5
"قيمت
صداي با کيفيت","افت کيفيت در اطراف به دليل قابليت منحني
کنتراست پايين","چند روز پیش این تلویزیون خریدم البته نه از دیجیکالا ولی با قیمت مشابه که نشانگر قیمت صحیح دیجیکالا برای این محصول هست ، جمع بندی من متاسفانه مثبت نیست به دو دلیل 1- کنتراست پایین این تلویزیون که در مقایسه با تلویزیون قدیمی سونی اچ ایکس که استفاده میکردم واقعا ضعیف بود 2- قابلیت منحنی شاید جذاب بنظر بیاد ولی نه از همه جهات و تنها برای شخصی که از روبرو این تلویزیون تماشا میکنه شرایط قابل قبول هست و برای اطرافیان تصویر شفافیت خوبی را ارایه نمی کند که متاسفانه در فروشگاه این مورد رو بررسی نکردم .....",11,6,3,4,4,3
"قيمت مناسب",نديدم,"واقعا نسبت به قیمتی که داره ارزش خرید را داره",3,2,3,3,3,3
"کيفيت محصول","گارانتي نداشتن قطعه اصلي","متاسفانه صفحه نمایش تلویزیون من ضربه خوده و ناقص شده جالب اینجاست که شرکت قطعه نداره که عوض کنه و باید .... فاتحه را خوند گارنتی فقط ...",13,3,5,4,4,5
"زيبايي خيره کننده
قيمت مناسب",ندارد,"دیجی جون ممنون
خیلی عالی و مقرون به صرفه نسبت به قیمت شگفت انگیز هست. ضمن اینکه اگر تلویزیون تخت داشتید قبل از این با خرید این تی وی تغییر خوبی در منزل ایجاد میکنید.در خریدش شک نکنید",7,1,4,4,4,5
"عمق تصوير","نديدم و برخورد نکردم","این تلویزیون زیبا رو یک ماه خریدم تا حالا نقطه ضعفی ندیدم . نقاط قوت عمق تصویر ریگ کف کوه یا در یا را با وضوح عالی قابل رویت میکنه حتی شبکه های غیر hd را بعد از چند لحظه تا حدود زیای کیفیت تصور را به hd نزدیک می کنه اما شبکه های hd و ویدوهای فول hd را فوق العاده و عالیه ، بدنه زخیم ترین قسمت به اندازه عرض بند انگشته با کیفیت عالی ، گیرنده دیجتال قوی با یک آنتن معمولی کیفیت و سیگنال 100% میگیره ، منو جدید عالی ، وایفا قوی فرستنده را از 80 متر 100% میگیره و با امکانت عالی ...",9,2,5,4,4,5
"بعضي امکانات جديدش خوبه ...","تصوير تار... صحنه هاي ورزشي و سريع خيلي ضعيف...","من چند روزی میشه که این تلویزیون خریدم ...
با اینکه فول اچ دی اما تصویر تار ...
درسته تلویزیون ایران ضعیف اما نه انقدر افتضاح که من تو این تلویزیون دیدم...
چشم و اذیت میکنه و از دیدن حتی فیلم مورد علاقت لذت نمی بری ...",14,20,1,2,2,2
"عالييييييييييي-فقط همين",,"من گرفتم خیلی عالیه",35,15,5,5,5,5
"خميده. قيمت مناسب باکيفيت","من فقط بلد نيستم تصوير درتصوير کنم اگه اين مشکل نباشه عاليه","خیلی خوبه پیشنهاد میکنم بخریدش. بااین قیمت از دستتون رفته",1,3,5,4,4,5
,,"من 1 ماهه خریدمش کیفیتش خیلی خوبه کار باهاش راحتو لذتبخشه.ظاهرشم عالیه در کل از خریدش راضیم",1,1,4,3,3,3
"واقعا کيفيت و توان بلندگو سنسور نور همش عالي","بعضي وقت ها اتصال به واي فايش قطع ميشه ولي سريع اوکي ميشه","واقعا ارزش خرید دارد",2,1,5,5,5,5
"کيفيت عالي تصوير وصدا ،منو فارسي،هوشمند بودن،آسوني کار با تلويزيون ورابط کاربري سادش، کنترل جالب وجديد","بلندگو هاش با اينکه صداي باکيفيتي داره ولي کمي قدرت صداش ضعيفه .","سلام
من چند روزی که خریدمش واقعا خیلی عالیه کیفیت تصویرش خیلی عالیه ورابط کاربری خالی ساده ای داره در حدی که خیلی راحت میتونی کار کردن باهاش رو خیلی سریع یادبگیری

البته صدای اسپیکرش کمی ضعیفه وبهتره که از سینما خانواده استفاده بشه ولی توی اتاق های متوسط با همین اسپیکراش خوب جواب میده .

درکل عالیه .................تو خریدش شک نکنید.",1,2,5,5,5,4
,"تصوير بي کيفيت","تصویر اصلا کیفیت نداره و تاره و در مقابل قیمتش اصلا ارزش خرید با همچین کیفیت پایینی نداره. خریدنش اشتباهه",3,7,0,3,3,0
,,"تلویزیونی در حد متوسط",4,0,2,2,4,3
"امکانات عالي صداي خوب و کيفيت خوب",,"در کل راضیم پیشنهاد میکنم بگیرید",3,1,4,4,5,5
