positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
,,"این مدل در واقع تغییر نام یافته ی مدل اصلی 49KU7500. برای اطلاع دوستانی که دنبال مشخصات کامل تر و بررسی این مدل در سایت های معتبر نقد و بررسی هستند.",0,0,3,3,3,3
,,"بدون ایراد با توجه به قیمت و تلویزیونهای همسطح",2,1,5,5,5,5
"کيفيت عالي تصوير و صدا قيمت مناسب طراحي زيبا
رابط کاربري عالي",ندارد,"کلا تلویزیونهای سامسونگ کیفیت تصویر خوبی دارند این مدل هم بخاطر قیمت مناسبش از هر لحاظ عالیه ایرادی نمیشه ازش گرفت کیفیت دیدنی تصاویر طراحی زیبا صدای با کیفیت کنترل جالب ولی کوچیک برای خریدش شک نکنید بخرید .با کیفیتی که کانالهای صدا وسیما داره و کمیاب بودن فیلمهای 4k خریدن تلویزیون گران به صرفه نیست نظر شخصی .",2,1,5,5,5,5
"کيفيت تصوير خوب","بدنه ضعيف","من این تلوزیون قبل عید خریدم تا الان شرکت سام سرویس دوبار تلوزیون برام تعویض کرده به خاطر اینکه قاب پشت تلوزیون از کناره ها باز میشه ازشون دلیلشم میپرسی که چرا اینطوری میشه میگن به خاطر نازکی و خمیده بودن تلوزیون قاب پشتش پیچ نداره و با خار متصله که این خارا برخی مواقع شل میشن و قاب باز میشه این نقص اساسی تلوزیونهای خمیده سامسونگه من الان یک ماه خریدم همش درگیر تعویض تلوزیون با شرکت سام سرویس بودم و هنوزم یک تلوزیون درست تحویل من ندادن",2,0,3,1,3,1
"امکان اتصال هدست بلوتوث","کيفيت بدنه","هفته پیش کالا را تحویل گرفتم بعد از حدود یکهفته بدون هیچ دلیل و یا ضربه و یا حرارتی چسب اتصال قاب پشتی دستگاه از بدنه جدا شد و حدود سه میلیمتر در کناره های دستگاه بیرون زدگی ایجاد شد
کیفیت بدنه ی دستگاه بسیار ضعیف است و به نظر قابهای تلویزیونهای خمیده با قالبی با زوایای نادقیق و نامناسب ساخته شده اند",4,2,4,4,4,2
"کيفيت صفحه عالي",ندارد,"واقعا بی نظیر...تو خریدش شک نکنین.بهترین و زیباترینو دارین انتخاب میکنین.",2,0,5,5,5,5
"کيفيت عالي تصوير
صداي مناسب
سهولت کاربري
قابليت هاي متعدد
بسيار زيبا و شيک",ندارد,"من یک ماهه این تلویزیون رو خریدم. کاملا راضی هستم و هرگز نظرم عوض نمیشه . هرکی بگه بده اشتباه گفته. ممنون از دیجی کالا.",6,2,5,5,4,5
,ندارد,"تلوزیونش فوق العاده است",5,1,4,4,4,3
"تصوير با کيفيت و کنتراست بالا
خروجي صوتي بلوتوث و اتصال به ادوات صوتي با بلوتوث مثل ساند بار ها
کار کردن راحت با ريموت کنترل هوشمند
صداي شفاف و بلند
طراحي شيک و زيبا",,"پس از 20 روز تحقیق و مقایسه بین دو مدل سامسونگ 50ku7970 و ال جی 49uh65200gi تصمیم به سامسونگ گرفتم و در حالیکه برای خرید رفته بودم با مقایسه تصویر و بعضی امکانات مدل 49ku7975 تصمیم به خرید این دستگاه گرفتم.
تصویر این سری از دستگاه ها بعلت استفاده از تکنولوژی کریستال به مراتب شفاف تر از ال ای دی های تخت هستش. در مقایسه با مدل 50ku7970 دارای خروجی صوتی بلوتوثی هم هست که برای من مهم بود که بتونم با هدست بی سیم تلویزیون نگاه کنم. اوج کیفیت تصویر و کنتراست بالا رو میتونید با کانال ها یا فیلم های UHD درک کنید. بر خلاف گفته برخی از افراد کار با ریموت کنترل هوشند این تلویزیون بسیار راحت و لذت بخشه بطوریکه من خودم یه ریموت معمولی خریده بودم که پس دادم.منوی طراحی شده برای این تلویزیون شاید در اولین گام برایتون سخت به نظر بیاد اما اگه نیم ساعت باهاش کار کنید یبینید که چقدر خوب طراحی شده و جوابگوی شما خواهد بود. منوی تنظیمات کارشناس که در سری های جدید اضافه شده امکان اعمال تنظیمات حرفه ای تری رو براتون میده.",8,1,5,4,4,4
"کيفيت فوق العاده تصوير
کيفيت ساخت
کنترل زيبا
سرعت در تغيير کانال
پشتيباني از فرمت ويديويي x265",ندارد,"من 1 ماهه خریدم این مدل سامسونگو واقعاااااااا عالیه یعنی عالیه هااا کیفیت تصویر مبهوت کننده ست چنان جذبش میشی که نمیخوای از تلوزیون جدا چیزی- سرعت تغییر کانال ها عالی - من موقع خرید خیلی ها میگفتند صفحه تخت بگیر منحنیی به درد نمیخوره گوش ندادم و چه خوب که گوش ندادم منحنی هم خیلی خوشکل تره هم هم تو تماشای فیلم و سریال یه لذت خاصی بهت دست میده- کسی میخواد بگیره شک نکنه بی درنگ بگیره - کنترل اش چه شیکه و مختصر مفید و دستخوری بی نظیر فقط 3D نداره دیگه که اونم مهم نیست",7,2,5,4,5,4
,ندارد,"عالیه این تلویزیون",8,1,5,5,4,5
"طراحي بسيار شيک کيفيت بسيار عالي ارزش خريد بالا","نداشتنone connect،که آنهم خيلي مهم نيست.","با تشکر از دیجی کالا بابت انجام بررسی تخصصی این محصول،که باعث میشود مشتریان با چشم بازتری خرید کنند،
من ده روز پیش این تلویزیون را خریدم،راستش در ابتدا در خریدش دو دل
بودم ولی بعد از خرید تجربه ام را با شما در میان میگذارم:
1-این تلویزیون بسیار شیک و زیبا و ظریف طراحی شده به طوری که در نگاه اول نظر هر بیننده ای را جلب میکند،و تقریبا در حد پرچمداران 2016 سامسونگ دیزاین شده است.
2-کیفیت تصویر فوق العاده ای دارد،بطوریکه تصویر را حتی از برخی تلویزیونهای بالاتر از خودش هم بهتر نمایش میدهد و تصویر بسیار شفاف و روشنی را به نمایش میگذارد.
3-کیفیت صدا واقعا عالیست،من با چندین تلویزیون از برندهای مختلف در خانه اطرافیان کار کرده ام،بدون اغراق صدای بسیار با کیفیتی ارائه میدهد.
4-رابط کاربری و کنترل بسیار شیک و زیبایی دارد،که کار کردن با تلویزیون را لذت بخش میکند.
،در ضمن صفحه نمایش خمیده اش،نمای بسیار زیبا و مدرنی به این تلویزیون بخشیده است.
امیدوارم به دوستانی که قصد خرید دارند،کمک کرده باشم،یا علی",9,1,3,3,3,3
"ديزاين عالي امکانات به روز","نسبت به قيمت نقطه ضعف ندارد","باتشکر از دیجی کالا،در صورت امکان بررسی تخصصی این تلویزیون را در قسمت بررسی تخصصی قرار بدهید.",3,2,3,3,3,3
"طراحي منحصر بفرد وزيبا","قيمت اندکي بالا","دوستان ابن تلویزیون رو از دست ندهید...بلحاظ طراحی وکیفیت کم نظیر ه تقریبا شبیه سری 9 جدید دیزاین شده ..ولی با قیمت بهتر از سری9 طبیعتا",6,1,3,3,3,3
"طراحي شيک و مدرن امکانات کامل و به روز","انطباق تصوير پايين","این تلویزیون خیلی به روز و شیک هستش ولی تنها موردی که منو تو خریدش دودل میکنه انطباق تصویر پایینش(100) هست که در یه سایت دیگه خوندم که سامسونگ در سری جدید K انطباق تصویر رو حذف کرده،این حرف دقیقا به چه معناست؟
مسئله دوم برای من اینه که واقعا کیفیت تصویر این تلویزیون با انچه در توضیحات گفته شده یکی هست یا نه؟
دوستانی که اطلاعاتی تو این موارد دارن لطفا راهنماییم کنند؟",4,1,5,5,5,4
,,"دوستان این مدل، مدل 7920 سامسونگه همراه با قاب جدید، وزن کمتر، داشتن قابلیت تنظیم با نور محیط، hdr, upscale, و حدود شیش میلیمتر نازک تر.. نکته مهم فرق قیمتیه این دوتاس امیدوارم کمکتون کرده باشم..",18,2,3,3,3,3
"کيفيت عالي تصوير و صدا قيمت مناسب طراحي زيبا
رابط کاربري عالي",ندارد,"کلا تلویزیونهای سامسونگ کیفیت تصویر خوبی دارند این مدل هم بخاطر قیمت مناسبش از هر لحاظ عالیه ایرادی نمیشه ازش گرفت کیفیت دیدنی تصاویر طراحی زیبا صدای با کیفیت کنترل جالب ولی کوچیک برای خریدش شک نکنید بخرید .با کیفیتی که کانالهای صدا وسیما داره و کمیاب بودن فیلمهای 4k خریدن تلویزیون گران به صرفه نیست نظر شخصی .",2,1,5,5,5,5
"کيفيت تصوير خوب","بدنه ضعيف","من این تلوزیون قبل عید خریدم تا الان شرکت سام سرویس دوبار تلوزیون برام تعویض کرده به خاطر اینکه قاب پشت تلوزیون از کناره ها باز میشه ازشون دلیلشم میپرسی که چرا اینطوری میشه میگن به خاطر نازکی و خمیده بودن تلوزیون قاب پشتش پیچ نداره و با خار متصله که این خارا برخی مواقع شل میشن و قاب باز میشه این نقص اساسی تلوزیونهای خمیده سامسونگه من الان یک ماه خریدم همش درگیر تعویض تلوزیون با شرکت سام سرویس بودم و هنوزم یک تلوزیون درست تحویل من ندادن",2,0,3,1,3,1
"امکان اتصال هدست بلوتوث","کيفيت بدنه","هفته پیش کالا را تحویل گرفتم بعد از حدود یکهفته بدون هیچ دلیل و یا ضربه و یا حرارتی چسب اتصال قاب پشتی دستگاه از بدنه جدا شد و حدود سه میلیمتر در کناره های دستگاه بیرون زدگی ایجاد شد
کیفیت بدنه ی دستگاه بسیار ضعیف است و به نظر قابهای تلویزیونهای خمیده با قالبی با زوایای نادقیق و نامناسب ساخته شده اند",4,2,4,4,4,2
"کيفيت صفحه عالي",ندارد,"واقعا بی نظیر...تو خریدش شک نکنین.بهترین و زیباترینو دارین انتخاب میکنین.",2,0,5,5,5,5
"کيفيت عالي تصوير
صداي مناسب
سهولت کاربري
قابليت هاي متعدد
بسيار زيبا و شيک",ندارد,"من یک ماهه این تلویزیون رو خریدم. کاملا راضی هستم و هرگز نظرم عوض نمیشه . هرکی بگه بده اشتباه گفته. ممنون از دیجی کالا.",6,2,5,5,4,5
,ندارد,"تلوزیونش فوق العاده است",5,1,4,4,4,3
"تصوير با کيفيت و کنتراست بالا
خروجي صوتي بلوتوث و اتصال به ادوات صوتي با بلوتوث مثل ساند بار ها
کار کردن راحت با ريموت کنترل هوشمند
صداي شفاف و بلند
طراحي شيک و زيبا",,"پس از 20 روز تحقیق و مقایسه بین دو مدل سامسونگ 50ku7970 و ال جی 49uh65200gi تصمیم به سامسونگ گرفتم و در حالیکه برای خرید رفته بودم با مقایسه تصویر و بعضی امکانات مدل 49ku7975 تصمیم به خرید این دستگاه گرفتم.
تصویر این سری از دستگاه ها بعلت استفاده از تکنولوژی کریستال به مراتب شفاف تر از ال ای دی های تخت هستش. در مقایسه با مدل 50ku7970 دارای خروجی صوتی بلوتوثی هم هست که برای من مهم بود که بتونم با هدست بی سیم تلویزیون نگاه کنم. اوج کیفیت تصویر و کنتراست بالا رو میتونید با کانال ها یا فیلم های UHD درک کنید. بر خلاف گفته برخی از افراد کار با ریموت کنترل هوشند این تلویزیون بسیار راحت و لذت بخشه بطوریکه من خودم یه ریموت معمولی خریده بودم که پس دادم.منوی طراحی شده برای این تلویزیون شاید در اولین گام برایتون سخت به نظر بیاد اما اگه نیم ساعت باهاش کار کنید یبینید که چقدر خوب طراحی شده و جوابگوی شما خواهد بود. منوی تنظیمات کارشناس که در سری های جدید اضافه شده امکان اعمال تنظیمات حرفه ای تری رو براتون میده.",8,1,5,4,4,4
"کيفيت فوق العاده تصوير
کيفيت ساخت
کنترل زيبا
سرعت در تغيير کانال
پشتيباني از فرمت ويديويي x265",ندارد,"من 1 ماهه خریدم این مدل سامسونگو واقعاااااااا عالیه یعنی عالیه هااا کیفیت تصویر مبهوت کننده ست چنان جذبش میشی که نمیخوای از تلوزیون جدا چیزی- سرعت تغییر کانال ها عالی - من موقع خرید خیلی ها میگفتند صفحه تخت بگیر منحنیی به درد نمیخوره گوش ندادم و چه خوب که گوش ندادم منحنی هم خیلی خوشکل تره هم هم تو تماشای فیلم و سریال یه لذت خاصی بهت دست میده- کسی میخواد بگیره شک نکنه بی درنگ بگیره - کنترل اش چه شیکه و مختصر مفید و دستخوری بی نظیر فقط 3D نداره دیگه که اونم مهم نیست",7,2,5,4,5,4
,ندارد,"عالیه این تلویزیون",8,1,5,5,4,5
