positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"مثل تمامي تلوزيون ال اي دي هاي ديگر است","مثل تمامي تلوزيون ال اي دي هاي ديگر است","برای خریدن یک جنس حتما وقت بگذارید
بعد از انتخاب اگر مشابه ایرانی داشت ، خریدش را در اولویت قرار دهید
بیش از یک ماه است این ال ای دی را خریدم
از کیفیت ساخت و وضوح تصویرش راضی هستم
خریدش را به شما کاربران دیجی کالا پیشنهاد می کنم",1,0,5,4,4,5
"گيرنده ديجيتال داخلي",,"قابل توجه دوستانی که گفته بودن تاخیر در اجرای دستورات داره که تلویزیون های اسنوا و ال جی نیز تاخیر دارن (من خودم تست کردم)
چون باید سیگنال آنالوگ را بگیره و به دیجیتال تبدیل کنه و اندکی تاخیر طبیعی هست.حتی تلویزیون های با قیمت بیشتر نیز مقداری تاخیر دارند
نظرات گمراه کننده نزارید.
با تشکر فراوان",4,0,5,4,5,5
"قيمت مناسب","هنوزاستفاده نکردم","من میخوام یکی بگیرم ولی نظرات خیلی متفاوت",2,0,3,3,3,3
"قوي با کيفيت و با قيمت مناسب",ندارد,"قوی با کیفیت هست و قیمت بسیار مناسب که در تقابل با برندهای دیگه که باز هم همین کیفیت رو دارن میشه گفت قیمتش فوق العاده به حساب میاد
همین تلویزیون رو ما برای منزل تهیه کردیم الان حدودا دو سال هست داره مداوم کار میکنه و آخ نگفته و یک نکته مهم این هست ک کیفیتش خوبه و شبکه های اچ دی رو ساپرت میکنه به نظرم بهترین اتفاقی ک برامون افتاده خرید مناسب این تلویزیون بوده
ما حامی تولیدکننده ایرانی هستیم",7,1,5,4,4,5
,,"هم قیمت هم کیفیت محصول مطلوب و مناسبه",10,2,3,3,3,3
,,"بخاطر ایرانی بودنش واقعا خوبه، ارزش خرید داره.",10,7,2,2,4,4
"تصوير فول اچ دي
کيفيت صداي خوب
قابل رقابت با مدل هاي خارجي
رابط کاربري ساده واسان
درگاا هاي متنوع وزياد","من که چيزي نمي بينم","اول به اون دوستانی بگم که گفته بودن. در اجرای دستورات تاخیر داره باید بگم که اصلا اینجوری نیست تلویزیون های الجی و سامسونگ هم در اجرای دستورات تاخیر دارن.دوستان عزیز کالای ایرانی بخرید.واز کالای ایرانی حمایت کنید.حیف نیست اون پول بیزبونو خرج مدل خارجی .میکنید.که همین کیفیتو داره.منکه کاملا ازش راضیم.و پیشنهاد میکنم اگه قصد خرید تلویزیون با کیفیت و با هزینه ی کم دارید بهترین مدله",27,7,5,3,3,5
"قيمت مناسب
حمايت از کلاي ايراني و ساخت داخل
کيفيت مناسب",,"من رضایت کامل از محصول دارم",17,6,3,3,3,3
"کيفيت تصوير-صاي خوب","تاخير در اجرا ي دستورات","یکسالی و نیم هست که از این تلویزیون استفاده میکنم و خیلی ازش راضیم.کیفیت تصویرش عالیه .",35,11,4,4,4,5
"قيمت در پيشنهاد شگفت انگيز","کند بودن منوها
عدم پشتيباني از برخي فرمت ها
خطاهاي بسيار
ضعف در خواندن هارد اکسترنال
اتوماتيک نبودن خواندن سورس","خرید آسان، تحویل به موقع، بسته بندی خوب مزایای خرید از دیجی کالا هستند.
ولیکن کیفیت جنس در حد چینی درجه چندم می باشد.
عملکرد تلوزیون در موقع کار کردن با منوها بسیار کند می باشد که احتمالا به خاطر ضعیف بودن چیپ ست آن است.
برای کاربردهای معمول مثل آنتن دیجیتال و ماهواره کفایت می کند ولیکن به علت کند بودن در خواندن فایل ها و عدم پشتیبانی از برخی فرمت ها، انتخاب مناسبی برای مالتی مدیا نیست.
در مجموع با کمی پرداخت بیشتر می توانید از برندهای دیگر مثلا سامسونگ کیفیت بهتری داشته باشید.",36,61,2,2,1,2
