positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"طراحي بدنه
پورتهاي زياد
کنترل راه دور خوب
پشتيباني از فرمتهاي مختلف صدا و تصوير","مشکي نه چندان عميق
کندي در منوها و تغيير کانال","با اینکه یک مدل قدیمی است ولی امکانات کاملی جز سه بعدی در برابر قیمت عرضه میکند.بدنه باریک و زیباست.شکل پایه، آن را برای میزهای کم عرض مناسب میکند.بلندی صدا مناسب است.تنظیمات کاملی روی نور و رنگ به تفکیک قابل اجراست.انعکاس نور روی صفحه کمی بیش از حد انتظار است.ترکیب کنترل جادویی و معمولی در یک دستگاه ایده خوبی است.خدمات نصب به سرعت و خوبی انجام شد(مشهد).زاویه دید بسیار خوب است ولی رنگ مشکی میتوانست بهتر باشد.قدرت گیرنده وایفای خوب است ولی فرصت آزمایش امکانات اینترنتی پیش نیامد.برای پخش زیرنویس منوی کاملی دارد.ولی sub/idx را تشخیص نداد.در بررسیهای سایتهای خارجی ،از هرتز پایین بعنوان نکته منفی یاد شده که تا اینجابه نظر نرسید.ولی upscale تلوزیون الجی سه بعدی و قدیمی تر من بهتر از این مدل است.",0,0,4,4,4,4
,,"پیشنهاد میکنم امتحان کنید و لذت ببرید",0,0,4,4,4,3
"کيفيت تصوير نسبتا خوب
صداي مناسب و فراگير","نرم افزارهاي نامناسب و بدون کاربرد","کیفیت مناسب نسبت به قیمت",0,0,3,3,4,3
"همه چي عالي","usb3 ندارد","تلویزیون هوشمند همه چیزش خوبه",0,1,3,3,3,3
,,"(خریدار این محصول) دکمه خاموش روشن نزدیک پایه تلویزیونه. زیر آرم تلویزیون زیر چراغ. ال جی ها اکثرا مخفی هستن",1,0,3,3,3,3
,,"این تلویزیون بجز ریموت کنترل روی خودشم یه دکمه داره که چند عملکرد میشه باهاش انجام داد.که این دکمه دقیقا زیر نوشته الجی می باشد",2,0,5,5,5,5
"کيفيت تصوير صداي بالا رابط کاربري جالب هوشمند بودن و ....","نداشتن دکمه روي خود دستگاه","به نظر‌من این تلویزیون همه جوره عالی هست اما تنها مشکلش اینه که دکمه نداره و فقط با ریموت کنترل کار میکنه.",3,13,3,3,3,3
"کيفيت ساخت
خدمات پشتيباني مناسب
امکانات مناسب","عدم چرخش صفحه نمايش","من این تلویزیونو حدود دوماه پیش از دیجی خریدم اگر منصفانه بخوام نظر بدم واقعا ازش راضییم.",2,3,4,4,3,4
,,"کیفیت پایین نسبت به قیمتش ، اشتباه کردم خریدم",4,16,0,0,0,0
"تقريبا نسبت به قيمتي که پرداخت ميکنيد تمام امکانات رو داره","يکم کندي تعويض کانال
، اسپيکرهاشم ميتونست يکم قوي تر باشه
کاربريش هم اگه آشنا نباشيد با تلوزيون ها","تنها نقطه ضعف این تلوزیون شرکت گلدایران هست، نصب این تلوزیون باید رایگان باشه ولی نمایندگان این شرکت تحت عنوان شیرینی اقدام به دریافت پول میکنند. از خود من 15000 دریافت کردند. احتمال زیاد اگه تلوزیون به مشکل بخوره تعمیرکاران این شرکت هم همچین رویه ای داشته باشند. از شرکت گلدایران خواهش میکنم یکم حقوق کارمندانش رو افزایش بده تا با رضایت شغلی همچین کارهایی انجام ندن. قطعا من به عنوان خریدار از این به بعد ترجیح میدم محصولات بدون گارانتی رو که قیمتش خیلی ارزون تره خریداری بکنم",26,7,4,4,3,4
