positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"کيفيت عالي تصوير و کيفيت ساخت",ندارد,"با سلام کیفیت جنس و تصویر محصولات پاناسونیک و سونی با محصولاتی مثل ال جی و سامسونگ قابل مقایسه نیست عزیزانی که استفاده کرده باشد میدونند",3,0,5,4,3,5
,,"سلام دوستان یک ماه این تی وی رو از بندر گرفتم انعکاس نور محیط خیلی شدیده و کیفیت تصویر شبکه های داخلی زیاد خوب نیست اگر اهل فوتبال دیدن هستین شبکه 3 و بخصوص فوتبال داخلی رو بد نشون میده باجناقم 55 اینج ایکس ویژن گرفته کیفیتش از سونی بهتره شاید خندتون بگیره ولی واقعا بهتره فوتبال باهاش دیدم حال کردم از خریدم پشیمونم در خریدتون بیشتر دقت کنید من به نظرات دوستان اهمیت ندادم دوستانی که خوب گفتن فکر کنم فقط فیلم فول اچ دی و ماهواره شبکه اچ دی می بینن.
نور تصویر کمه چی بگم نظرات رو کامل بخونین تو فوتبال در حرکات افقی سریع مشکل داره اگر نخریدین بیشتر مطالعه کنید برید جمهوری نمایندگی یه برند نرید برید جایی که چند برند رو با هم و در کنار هم دارن و بخواین رو شبکه داخلی امتحان کنن اگر زمان پخش فوتبال داخلی و یا خارجی برین خیلی چیزا دستتون میاد موفق باشین",2,9,3,3,3,3
"تصوير فوق العاده
قابليت نصب بازي و نرم افزارهاي اندرويدي
قابليت اتصال بيسيم موس ، کيبرد ، گيم پد و...
فريم فوق باريک و حاشيه بسيار کم
قابليت مچ شدن با گوشي اندرويدي","نور بکگراند پايين
انعکاس نور محيط
منوي نسبتا کند (با اپديت اندرويد 6 بهتر شد)","مدل 65 اینچ این دستگاه رو بدون گارانتی خریداری کردم
کیفیت تصویر و فریم ریت فوق العاده ای داره
با اپدیت اندروید 6 قابلیت تعریف یک فلش مموری به عنوان حافظه جانبی سیستم اندروید رو داره
براحتی نرم افزارهایی همچون mx player رو میشه نصب کرد، البته پلیر پیش فرض دستگاه هم بسیار قدرتمنده.
به همه کسانی که این دستگاه رو دارن توصیه میکنم نرم افزار فوق العاده CetusPlay رو نصب کنند ، هم نسخه گوشی و هم نسخه android tv
بوسیله برنامه CetusPlay و اتصال وایفای به تلوزیون ،میتونید بصورت مجازی یک کنترل هوشمند داشته باشه ، گوشی به عنوان صفحه لمسی ، موس و صفحه کلید قابلیت کنترل تلوزیون رو پیدا میکنه
براحتی میتونید برنامه های اندرویدی موجود در گوشی رو روی تلوزیون نصب کنید.
مشکل عمده این تلویزیون میزان نور دهی کم پنل و انعکاس نور محیط هست.",7,0,4,5,5,5
"تصوير عالي و فوق العاده و زنده","3D ندارد","من این تلویزیون و حدود یک ماهی میشه خریدم تصویر عالیه مخصوصا تو شبکه های HD عالی نشون میده مناظر طبیعی مثل جنگل و دشت وقتی با کیفیت ببینی فکر میکنی همونجایی فیلم های FULL HD و 4K وقتی باهاشی ببینید قشنگ متوجه کیفیتش میشی تو زیر نویس ها هم هیچ مشکلی نداشتم و همرو پخش کرده . فیلم 4K رو خیلی راحت نگاه کردم . من اول میخواستم W800 بگیرم بخاطر 3D بودنش ولی وقتی اینو دیدم کلا نظرم عوض شد و الان دارم با فیلمهای 4K و FULL HD کلی لذت میبرم
این مشکلاتی هم که بقیه میگن مثل گیر کردن تصویر من نداشتم فقط کندی منو رو قبول دارم که اینم با اپدیت قابل رفعه در کل میخوام بگم از خرید این تلویزیون با این قیمت اصلا پشیمون نمیشین و تنها تلویزیونی که با تصویرش بیشتر حال کردم OLED LG بود که من پولشو نداشتم البته سونی هم داره OLED میزنه",3,1,5,5,4,5
,,"قابلیت ضبط فیلم نداره...",3,2,5,5,5,5
,,"یک محصول فوق العاده من از بیرون خریدم ونقص نداره",6,2,5,4,3,5
,,"از همه لحاظ بی نظیره من واقعا راضی هستم",13,2,5,5,5,5
"من خودم جنوبيم لين تلويزيون عاليه فقط mirrorshareاين تي وي باگوشي هواوي خوب جواب نميده کسي راه حلي داره.باگوشي سوني کسي تست کرده.باهواوي يه بارفقط تونستم گوشيموبندازم توش","نورصفحه ميتونه بيشتربشه","خوبه من خودم جنوبیم این تلویزیون عالیه فقط mirrorshareاین تی وی باگوشی هواوی خوب جواب نمیده کسی راه حلی داره.باگوشی سونی کسی تست کرده.باهواوی یه بارفقط تونستم",4,5,3,3,3,3
,,"همه چی بی نظیر... سونی sony مثل هیچکدام از شعارش مشخصه واقعاً",12,4,5,4,5,5
"کيفيت عالي تصوير و امکانات مناسب",ندارد,"من 3ماه هست که که این دستگاه رو دارم هیچکدوم از این ایرادهایی که دوستان گفتن توش ندیدم بنظرم عالیه",11,3,5,4,5,5
