positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"بدليل اندروييد بودن سيستم عامل داراي نرم افزار قوي
داراي تنوع سخت افزار داخلي","کيفيت پايين تصوير
کيفيت پايين صدا
تاخير زماني بالا در روشن شدن و تغيير کانال
قدرت پايين سي پي يو","من نظرات پایین را خوندم و با تعریفی که از این محصول شده بود اون رو خریدم ولی اشتباه کردم این تلویزیون دارای سیستم عامل اندرویید و میشه برنامه های اندرویید رو توش اجرا کرد اما سی پی یو این محصول مدیاتک و کورتکس A7
که از کم سرعت ترین سی پی یو ها هستش و من درحالی که چند تا برنامه ساده مثل اینستاگرام و تلگرام و چند تا برنامه دیگه توش نصب کردم هر در دفعه موقع نصب کم میاورد و ریست میشد یعنی خاموش روشن میشد و بعد از سه روز استفاده تمام سخت افزار های داخلیش مثل وای فا و پورت های یو اس بی و اچ دی ام آی ودی وی بی داخلی اون کاملا سوخت بله سوخت و فقط یه ال سی دی از اون روشن میشد بردم نمایندگی اول سیستم رو فلاش کرد دید درست نمیشه و بعد بازش کرد دید سوخته و الان منتظر قطعه از اصفهان هستن تا تعمیرش کنن
در ضمن کدوم محصول ملی این مونتاژ محصولات شرکت دوو توسط شرکت اسنوا هست و فقط اسمش رو عوض کردن در صورتی که ال جی رو شرکت گلدیران مونتاژ میکنه وحتی سامسونگ هم در ایران مونتاژ میشه و اونها اسمش رو عوض نکردند",1,2,1,4,3,2
"سيستم عامل اندرويد","وضوح تصوير پايين و بي روح بود تصوير","حدود بیست روزی میشه که همین مدل ولی 50 اینچ از نمایندگی اسنوا خریداری نموده ام ، کیفیت تصویر بی روحی داره هر چقدر تنظیم کنید رنگ در حد انتظار نیست ، کنترل هوشمند داره که خیلی بد مونتاژ شده ، چند بار برای کنترل به نمایندگی خدمات پس از فروش رفتم ولی جواب درست حسابی ندادن گفتن کنترل سالمه و یکی از دکمه هاش بد کار می کنه که نمایندگی خدمات پس از فروش گفته باید این دکمه را بیشتر فشار دهید !!! و کنترل جزء گارانتی نیست که در جوابش باید گفت پس فروش کالای معیوب ...... به هر حال دیگه بی خیال کنترل شدم ، ورودی های زیادی داره ولی اگر بخوای از HDMI استفاده کنید و چند بار ورودی ها را جابجا کنید دستگاه هنگ می کنه - صدا و تصویر قاطی می کنه و نویز پیدا می کنه ....",0,0,1,3,2,2
"امکانات متنوع کيفيت عالي وخيلي","من که چند ماهه خريدم خدايش چيزي نديدم","فقط خیلی خیلی خیلی عالی",0,0,5,5,5,5
"داراي option هاي زياد","کيفيت تصوير واقعا ضعيف
صداي بم
زمان روشن شدن و عوض کردن کانال زياد","من قبلا تلویزیون LG داشتم.بعد از 6 سال خراب شد.متاسفانه به تازگی این تلویزیون رو خریدم
اینجوری که بعضی ها توی نظرات نوشتند گول خوردم.واقعا خیلی ضعیفه.کیفیت تصویر به وضوح از تلویزون LG و SONY و کلی مارک دیگه پایین تره.صداش هم فوق العاده بمه.هر چقدر توی تنظیماتش صدا و تصویرشو عوض می کنم اصلا بهتر نمیشه.رنگ های مشکی و تیره رو خیلی بد نشون میده
من موندم چجوری توی نظرات به این میگن خوب.اینجا مشتری ها تحقیق می کنند.لطفا نظرات معتبر بگذارید و احساسی نظر ندید
در ضمن این تلویزیون همون قدر ایرانیه که LG و سامسونگ ایرانی هستند.من از فروشگاه خانه اسنوا پرسیدم.خود فروشنده گفت تولید کره است و قطعاتش در ایران مونتاژ میشه
طبق گفته ی رئیس اتحادیه فروشندگان لوازم خانگی 90 درصد محصولات LG و سامسونگ در کشور مونتاژ میشه.پس انقدر نگید ایرانی و حمایت از تولید ملی
در نهایت توصیه می کنم که به هیچ وجه این محصول رو نخرید",1,1,0,4,4,0
"کنترل دو طرفه باقابليت تبديل به موس طراحي زيبا هوشمند و کارامد کيفيت تصوير خوب کنترل شارژي باقيش در ذهنم نيست","فعلا هيچ","سلام اولین حرفم اینه که از برند اسنوا نترسید . برند کاملا معتبر و خوبی هستش بنده طی گفت و گو با فروشندگان و نمایندگان فروش متوجه شدم لوازم تلوزیونهای اسنوا همان لوازم دوو هستند که در اصفهان با دونام متفاوت به فروش میرسند بعضی ها هم گفتند که اوازمش همون لوازم الجی هست که با اختلاف قیمت نسبتا کمتر میشه اون رو خرید ولی مهم تر از بحث اختلاف قیمت باید به خدمات پس از فروش اسنوا اشاره کنیم.بعد از اون صددرصد تلوزیونی که میخرید اسمارت بگیرید واقعا بهتره و امکانات خیلی عالی داره که به صرفه تر هم در میاد .بعد از اون بحث کنترل های این تلوزیون هستش که. دوطرفه با قابلیت تبدیل شدن به موس رو داره و خیلی خوبه نکته بعدی شارژی بودت کنترل هستش که من اول از این مسعله ناراحت شدم ولی الان که نزدیک به دوماه شارژ نکردم و حالا حالا معلوم نیست چقدر دیگه دوام بیاره منو شگفت زده کرد طراحی خوبی هم داره و پایه هاش در دو حالت قابل جایگذاری هستش که خوبه
وقتتون رو بیشتر از این نمیگیرم امیدوارم اطلاعات خوبی داده باشم",5,0,5,5,5,5
"تصوير بسيار شفاف و با کيفيت(نور، کانتراست و رنگ)،
کيفيت صداي عالي! از فرمتهاي مختلف خروجي صدا بسيار خوب و محسوس پشتيباني مي کند
اتصال به اينترنت و باز کردن صفحات وب بسيار سريع
طراحي زيبا. پايه ها به شکلهاي مختلف قابل اسمبل کردن است
رابط کاربري آسان. User friendly","هنگام روشن شدن کمي دير بالا مي آيد.","تبریک به اسنوا!! البته با این یادآوری که بنده بیش از ده سال است که از تلوزیون اسنوا استفاده می کنم.تلوزیون قبلی که از این شرکت داشتم هم 21 اینچ فلت بود که به گمانم از همان تکنولوژی CRT در آن استفاده شده است. جالب است بدانید که کانتک برد آن حتی ویدیوهای با فرمن Divx را به خوبی پخش می کرد!! این تلوزیون بعد از ده سال استفاده صحیح و سالم فقط گذاشتمش در انباری. بنابراین هنگام خرید این تلوزیون ذهنیت خوبی داشتم اما باید اعتراف کنم که باز هم بیشتر از ذهنیت و توقعم از یک تلوزیون ایرانی بود.",6,1,5,5,5,5
"تصوير: خيلي خوب با شفافيت بالا-شفافيت مثل سامسونگ-منظور از شفافيت اينه که رنگ تصوير روشن تره
صدا: خيلي خوب و واضح
سرعت کار با اينترنت: مناسب(خيلي کار نکردم)
پايه هاي مناسب با طراحي زيبا
تنظيمات آسان","زمان روشن شدن تا آمدن تصوير کمي طولاني","این تجربه یک روزه منه",5,0,5,5,5,5
"کيفيت عالي
زيبا
هوشمند
شفاف",,"خیلی به وسایل الکتریکی ایرانی خیلی اعتماد نداشتم ولی خیلی خوبه",5,2,5,4,4,4
"[""کيفيت تصوير عالي"",""ظاهر زيبا\nدستگاه ديجيتال\n\nsmartبودن\n""]","[""نبود حروف فارسي روي کنترل ""]","من این LEDرو یکساله دارم
من اوایل اصلا به برند ایرانی اعتماد نداشتم.
ولی باید اعتراف کنم بعد از خرید این محصول نگرشم به محصولات ایرانی'180درجه تغییر کرد
کیفت تصویرش انصافا عالیه.
یه مزیت دیگه که داره کنترل دو طرفه این محصوله که خیلی عالیه.
ظاهره خود دستگاه هم خیلی عالیه.",11,1,5,5,5,5
"["" کيفيت تصوير عالي\nکنترل با امکانات عالي"",""قيمت مناسب\nظاهر زيبا""]",[],"کیفیتش انصافا عالیه.
من اول میخواستم ال جی بگیرم.ولی این محصول رو دیدم .هم از کیفیت تصویرش خوشم اومد
هم از امکانات عالی که نسبت به قیمتش داره خوشم اومد.
واقعا از انتخابم راضیم.
این محصول رو به سایر هم وطنای عزیزم پیشنهاد میکنم
مطمئن باشید پشیمون نمیشین.
با تشکر از عوامل DIGIKALA
(مسلم.دزفول)",7,1,5,5,5,5
