positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
زيبايي,"نرم افزار ضعيف
سرعت پايين
ريست شدن متوالي
کنترل ضعيف
عدم هماهنگي با نرم افزارها","با توجه به تعریف کاربران در دیجی کالا این تلویزیون رو خریداری کردم ولی به شدت پشیمونم چون با این پول تلویزیون بهتری میتونستم بخرم از یکی دیگه از دوستام هم پرسیدم اون هم دقیقا بعد از خرید این تلویزیون به دلیل مشکلاتی که مشترکا داریم پشیمونه فکر کن وسط یه فیلم 2 ساعته حداقل دو بار خود به خود ریست میشه",3,8,0,0,0,0
"اجراي هر بازي اندرويد حتي بازي هاي سنگين ديتا دار کيفيت تصوير عالي و....",ندارد,"سلام دوستان ما این تی وی داریم از نظر کیفیت تصویر حرف نداره بخصوص برای گیمینگ کسایی ک کنسول دارن حتما بگیرن این تی وی رو چون واقعا عالیه در گیم بازی کردن و همچنین اون هایی ک میگن منو کند و....با اپدیت کردن تی وی کل مشگلاتش برطرف میشه و همونجور ک میدونید این تی وی سیستم عاملش اندروید و من داخلgta saاتدروید نصب کردم بدون مشگل بالا اورد و بازی می کنم اگر شک دارید بگید ک عکسشو براتون اپلود کنم میتونم بگم بهترین تی وی نصب ب تی وی های هم ردش و این که بنظر من اگ پولشو دارید ی تومن بزارید روش تی وی سونی4kبخرید چون 4kسونی واقعا کیفیتش دیونه کنندس",0,0,5,5,4,4
,,"این تی وی رو هم با گارانتی ایرانکو خریدم که واقعا ناراضیم.",2,2,3,3,3,3
,,"برای گیم فوق‌العاده است.
این تی وی نکته قوتش همینه که واسه گیمینگ خوب جواب میده",0,0,5,3,3,4
"شفافيت تصوير","عملکرد کند منو","دوستان تصویر سونی رو با هیچ تصویر دیگه ای مقایسه نکنید چون سونی واقعا معرکس داخل تصویر ولی سری اندروید همگی منو کندی دارن ولی با فعال کردن دولوپر سری اندرویدی و خاموش کردن انیمیشن ها سرعتش سه برابر میشه ولی بازم میگم سونی کمتر از 50 اینچ نخرید چون تصاویر اینقدر زنده و شفاف هستن که نیاز به تصویر بزرگتر واقعا حس میشه",8,1,5,5,5,5
مفد,مفد,"واقعا قیمت خیلی پایینی داره چی میدن این قیمت",2,9,3,3,3,3
همچي,"قيمت بالا","رو دست این تلویزیون نیست!!!!
اگه پولش واستون مهم نیس شک نکنین تو خریدش",7,1,5,5,5,3
عالي,"سرعت کند usb
پوشه ها را روي يو اس بي نشون نميده و دسته بندي بر اساس فيلم عکس و موسيقي انجام ميده که جالب نيست
نداشتن عينک","فقط دوستان حتما آپدیت کنید همه مشکلاتتئون رفع میشه
من از بیرون گرفتم شرایطی ولی قیمت بیرون با دیجی کالا یکی بود",5,1,5,4,2,5
"تصوير خوب
واقعيت رنگ ها","کيفيت متوسط","سونی دارای 3 رده کیفی در تلویزیون است سری R کیفیت پایین -سریW کیفیت متوسط و سری X که بالاترین کیفیت سونی را دارد.سری W800 دارای کیفیت متوسط در محصولات سونی است و بیشتر مونتاژ مالزی است .در این مدل تصویر متوسط با رنگ های واقعی و صدای متوسط به همراه امکانات نه چندان زیاد وجود دارد .برای تجربه اندروید بر روی تلویزیون میتوان از اندروید باکس های بسیار بهتر استفاده کرد. پردازنده روی این تلویزیون کند وضعیف است صدا برای محیط های کوچک کافی است کنترل آن در مقایسه با LG جادوئی ضعیف است .در کل کسانی که به سونی اعتقاد دارند به سراغ این می روند ولی در مقایسه بی طرفانه با توجه به امکانات رقبا در این رده کیفی و در این قیمت حرفی برای گفتن ندارد مثلا در مدل های 2016 LG ریسیور بسیار قوی به همراه تصویر 4K به تلویزیون اضافه شده در حالی که در این رده سونی وجود ندارد .در کل کسانی که به جزئیات و امکانات و کیفیت اهمیت میدهند این مدل آنها را راضی نمیکند ولی کسانی که از تلویزیون برای تصویر ساده ساده میکنند راضی کننده است.",5,11,3,2,3,2
تصوير,ندارد,"جتد ماهه که این تلویزیون رو خریدم واقعا عااااالیه تصویرش ولی یکی از رفقا 55 همین مدل رو خرید اونم واقعا معرکه بود قبلا میدیدم تلویزیون های سایز بزرگ تصویرشون کمی شطرنجی میشد و چون پذیرایی خونمون هم زیاد بزرگ نبود 43 گرفتم ولی الان پشیمون شدم و بایستی 50 اینچش رو میگرفتم ولی 55 برای مکانهای کوچیک واقعا بزرگه.",7,0,5,5,5,5
