positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"قيمت مناسب
رابط کاربري خوب
کيفيت تصوير نسبتا خوب",,"ارزش خرید داره",3,0,4,4,4,5
"همه موارد ذکر شده در مشخصات","عدم وجود دکمه هاي کنترلي روي بدنه","سلام به همه دوستان.
ما این تلویزیون رو بهمن 95 خریدیم و در این مدت به شخصه از خریدی که انجام دادیم راضی ام.
محصول تمام انتظاراتی رو که در مشخصات بهشون اشاره کرده به بهترین نحو برآورده می کنه و وجود دستیار تعاملی الکترونیک آن، که داخل خود سیستم عاملش وجود دارد، گام به گام کاربر رو برای تنظیم هرچه بهتر آن همراهی می کنه.
وجود حالت های مختلف سینمایی، ورزشی، موسیقی، شفاف و... هم برای صدا و هم برای تصویر، تجربه خوبی از کیفیت رو برای کاربر به ارمغان میاره و از طرفی با کمی حوصله و انجام دسای برخی تنظیمات، هر سلیقه ای رو راضی خواهد کرد.
مدلهای موجود در ایران که سال 2016 وارد شده اند، نیازمند به روز رسانی ای در حدود 1.1گیگ هستند که هم می توان با کمک اتصال مستقیم دستگاه به اینترنت اون رو انجام داد یا مستقیم از سایت سامسونگ دانلود کرد و با کمک فلش اقدام به بروزرسانی نمود. در این آپدیت پشتیبانی بهتری از فرمت های تصویری انجام میشه. علیرغم اینکه به پشتیبانی این دستگاه از فرمت x265 اشاره نشده، اما در پخش اونها، به صورت محدود، با مشکلی مواجه نشدم.
کنترل دستگاه علیرغم کم دکمه بودن، امکانات کامل و راحتی را در اختیار کار بر می گذارد.
در مورد کانالهای غیر HD: به شخصه توصیه می کنم که با بالابردن سیاهی پس زمینه تصویر، تجربه بهتری را کسب کنید.",2,1,5,4,4,4
"کيفيف تصوير خوب
پنل و پايه متفاوت با مدل هاي ديگر
کيفيت صداي خوب و بلند
سيستم عامل تايزن. برنامه آيو که 6ماه رايگان هست","فعلا کشف نکردم","با سلام من این تلوزیون رو دو ماهه که گرفتم البته از بیرون ولی قیمت دیجی کالا پایینتره در کل تلوزیون خوبیه تو این دو ماه ایراد و ضعف ندیدم کیفیت صدا و تصویر خوب داره در اتصال به دستگاه hd کیفیتش بهتر هم میشه کنترل هوشمند داره ولی برای استفاده راحتر یه کنترل دکمه دار سری 6 هم تهیه کنید ظاهرش هم کمی زیباتره",3,0,4,4,4,5
"کيفيت تصوير و رنگ عالي",ندارد,"بنده دیروز این تلویزون رو گرفتم همه چیز عالی و چیزی کم ندارد بسیار زیبا و با کیفیت تصویر عالی خصوصا در تصاویر اچ دی",2,0,5,4,5,5
"بلوتوث
واي فاي
کيفيت خوب تصوير
کنترل هوشمند","فعلا نديدم","تدویزیون خوبیه و برامون کنترل دوم هم فرستادن تاحالا بدی ازش ندیدم وکیفیتش هم بسیار عالیه نسبت به قیمت خیلی می ارزه وهمه چیزش خوبه شک نکنید.",4,0,5,4,5,4
"کيفيت تصوير و کيفيت صدا عالي",ندارد,"کیفیت تصویر و کیفیت صدا عالی بسیار زیبا و رنگهای زنده",4,0,5,5,5,5
"کيفيت تصوير و صدا بالا
نازک
قابليت وصل شدن به واي فاي و نصب نرم‌افزار
اندازه مناسب
قابليت نصب نرم افزار","نميشه سوارش شد","من این تلویزیون را از بیرون خریدم و حتما پیشنهاد میکنم چون خیلی عالیه و قابلیت های زیادی داره.",5,0,5,5,5,5
ندارد,"بسيار زياد تصوير بي کيفيت","با عرض سلام .این دستگاه اصلا ارزش خرید نداره کیفیت تصویر بسیار پایین .
گیرنده این دستگاه بسیار ضعیف خلاصه بگم ال جی از همه نظر بهتره خدمات پس از فروش ضعیف",0,23,2,2,2,3
,,"سلام
این تلویزیون رو از دیجی کالا گرفتم ولی با یک روز تاخیر یا بهتر بگم بدقولی که اصلا انتظار نداشتم
تو قسمت نظرات ، خیلی منفی نوشتن دوستان و واقعا این طور نیست
بلندگو ها انصافا در حد هستند و خروجی صدا واضح و شفافه و اصلا تا آخرین حد ، خش دار نمیشه.
امکانات خوبه و عملکرد با کنترل هم سادس . اتفاقا به نظرم این دکمه های کم کارکردش رو راحت تر کرده
تصویر، کیفیت خوب فول اچ دی رو داره ولی خب شبکه های معمولی تلویزیون کمی بی کیفیت به نظر میاد و این به خاطر ضعف سیگنال شبکه هست اما این ارتباطی به ضعیف بودن نمایشگر و یا تیونر داخلی دستگاه نداره.شما با دستگاه خارجی هم بگیرید همین کیفیت رو میده اما شبکه های اچ دی تلویزیون به مراتب بهتره.
سایر دستگاه های ورودی هم که کیفیت عالی داره.
در کل با توجه به قیمت انتخاب عالی هستش.",5,1,5,5,5,5
نديدم,"همه چيز","صدای تلویزیون از 50 بالا تر میرود بلند گو خش خش میکند.
تصویر فوق العاده ضعیفی دارد و به صورت شطرنجی دیده میشود.
خدمات پس از فروش آن بعد از یک ماه هنوز جواب درست حسابی به من نداده اند.",4,13,2,2,3,2
"کيفيت تصوير و کيفيت صدا عالي",نديدم,"از هر نظر عالیه کیفیت خوب صدا و تصویر",8,0,5,4,5,5
"ورودي ها و خروجي ها","کيفيت پايين تصوير صداي نامناسب رابط کاربري بد","تازه این محصول رو خریدم و یجوری پشیمونم کرد که تصمیم به تعویضش گرفتم کیفیت تصویرفوق لعاده پایین جوری که تصویر شطرنجی دیده میشه وصورت اشخاص تار میشه کلا گیرنده دیجیتالشش هم خیلی ضعیفه من از خریدم پشیمونم برید سمت ال جی بسیار تصاویر با کیفیتی داره",5,12,0,2,2,0
"سايز مناسب براي خانه هاي 75 متري
کيفيت قابل قبول تصوير
خدمات پس از فروش قوي
قيمت مناسب","کنترل از راه دور با طراحي ضعيف","سلام.من این تلویزیون رو چند روزی هست که از دیجی کالا گرفتم.شاید برای قضاوت کردنش زود باشه.و باید بگم این اولین تجربه من در خرید تلویزیون های هوشمند با چنین ابعادیه .
در کل باید بگم از خریدم راضی هستم .خودم خیلی بررسی کردم و این تلویزیون رو انتخاب کردم.چون دل خوشی از محصولات ال جی نداشتم اصلا سمت اونها نرفتم.تلویزیون های سونی هم از لحاظ آپشن به پای سامسونگ نمیرسن ولی منکر کیفیت ساختشون نیستم .از لحاظ کیفیت تصویر اون طور که بعضی دوستان میگفتن بد و افتصاح نبود.شنیده بودم که برای تماشای تلویزیون ایران که اچ دی نباشه افت کیفیت داره و ...ولی اونقدر ضایع نبود.عمق رنگ مشکی جالب نیس.
سرعتش و جزییات تصویرش خوبه
تو کانالهای اج دی یکم صابونی نشون میده.
تعداد درگاه های ورودیش خوبه و مناسبه
کیفیت بلندگوهاش بد نیست ولی جالب هم نیست.با خرید یه سوندبار تکمیل میشه.
گیرنده تلویزیون یکم ضعیفه ولی اگر مستقیم به آنتن هوایی وصل کنید درست میشه
کار‌کردن با منوهاش راحته.
در کل با این قیمت خرید خوبیه",6,4,4,4,2,4
"کيفيت بسيارعالي
کنترل هوشمند
کيفيت صداي بالا","ديجيتالش جالب نيست","درکل تلویزیون خوبیه",6,5,5,4,5,4
"داشتن ورودي هايه اچ دي ام اي و يواس بي","گيرنده ديجيتال ضعيف وزن بسيار زياد تلوزيون ريموت کنترل با کارکرد بسيار سخت","باعرض سلام وادب .
کارکرد با این تلوزیون کاریست دشوار البته برایه بزرگ سالان . کیفیت این تلوزیون برای دریافت شبکه هایه دیجیتال اصلا خوب نیست . ولی با زدن فلش مموری ودیدن ویدئو کلیپ هایه با کیفیت فول اچ دی رضایت بخش میشه . در کل ظاهر زیبایی داره ولی ارزش خرید اصلا نداره",8,8,2,2,2,3
"تصوير خيلي شفاف طراحي زيبا در داخل و بيرون",,"شک نکنید بخرید از",6,4,4,4,4,5
"کيفيت و تصوير از هر جهت عالي و صداي واضح خوب هوشمند و بروز و شيک",ندارد,"کیفیت و تصویر از هر جهت عالی و صدای واضح خوب هوشمند و بروز و شیک سریع و روان در کل ارزش بالا دارد",5,4,5,5,5,5
,,"از همه جا ارزون تر دیجی کالا میده این تلویزیون رو. از دیجی خرید کنید.",6,4,3,3,3,3
