positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"کيفيت تصاوير عالي
ظاهر زيبا
امکانات قابل قبول
زاويه ديد خيلي خوب","کنترل ميتونست کاربردي تر باشه","از اونجایی که نقد کامل و منصفانه برای این کالا وجود نداشت تصمیم گرفتم اطلاعات زیر رو به دوستان بدم شاید تو انتخاب کمکشون کنه
1-طراحی و ساخت:
طراحی و نمای جلویی تلوزیون به لطف حاشیه بسیار کم، باعت ایجاد یک منظره بسار خوب شده و زیبایی رو دوچندان کرده میشه از 10 بهش 8.5 داد.لوگوی سامسونگ هم به شکل بسار کوچیک نوشته شده تا تو طراحی زیبای تلوزیون اختلالی ایجاد نکنه
2-کیفیت تصویر :
از اونجایی که این تلوزیون 4کی هست و شبکه های داخلی صدا و سیما هنوز hd هم نشدن و این بخش رو به دو دسته تقسیم میکنم:
الف-شبکه های داخلی:از اونجایی که شبکه های داخلی بجز 2 3تاشون که hd هستن مابقی sd هستن، تلوزیون شبکه های sd رو 576i شناسایی و اجرا میکنه.به دلیل کیفیت بد این شبکه ها در فواصل کمتر از 2متر (نسخه 55اینچ) کیفیت بد sd تو ذوق میزنه ولی در فواصل 3 یا 4 متر بهتر میشه و تصاویر قابل قبول هستن پس در استفاده روزمره به عنوان تلوزیون اصلیتون نباید انتظار چیز فوق العاده ای داشته باشید.بگم که این ایراد اصلا به تلوزیون ربط نداره بلکه مربوط به شبکه های صدا و سیماست.خود تلوزیون هم یک گزینه بهبود شبکه های sd داره که اگه اونو فعال کنید بهتر میشه.تو این شبکه ها موشن بلور و تاری تصاویر در سرعت بالا دیده میشه ولی اذیت کننده نیست.
ب- محتوا و فیل و سریالهای full HD & 4K: اگه میخواید قدرت و کیفیت اصلی این دستگاه رو ببینید حتما یه فیلم با کیفیت اجرا کنید تا ببینید چجوری مجذوب کیفیت تصویر میشید.(فیلما صرف اینکه نوشته باشن full hd یا 4k هستن دلیل با کیفیت بودنشون نمیشه.حتما به فریم ریت و بیت ریت و حجم فایل توجه کنید.)چندین فیلم 4k با حجهای 10گیگ تا 56 گیگ روی فلش usb2 & usb3 تست کردم که کیفیت ، کنتراست و روشنایی واقعا عالی بوده و من رو مجذوب کرد.حتی تو این فیلمها که اکثرا صحنه های اکشن و پر جنب و جوش داشتن حتی 1بار هم به موشن بلور و فرکانس پایین بر نخوردم و دارم به این نتیجه میرسم که موشن بلور و تاری تصویر تا حد زیادی به رفرش ریت و فرکانس و بیت ریت خود منبع اصلی هم بستگی داره.از زمانی که این محتواهای با کیفیت رو روی این دستگاه اجرا کردم شدیدا از انتخابم راضیم.
زاویه دید هم خیلی خوبه.رنگها واقعی هستن و اشباع شده نیستن.فلیکر خیلی خوبه داره و راضیم ازش.
3-سیستم آپ اسکیلینک(بهبود دهنده تصویر):
رو شبکه های داخلی خیلی مشهود نیست ولی فایل های hd - full hd رو بخودی بهبود میده و واقعا لذتبخش تر میکنه
4-صدا:
کیفیت و وضوح صدا بسیار خوبه ولی حجمش چنگی به دل نمیزنه.مخصوصا موقع اجرای موزیک، که کمبود یک ساندبار به شدت حس میشه ولی در استفاده عادی میشه خوب ارزیابیش کرد
5-اتصالات:
این تلوزینو چندین نوع اتصال داره که دونه دونه توضیح میدم:
الف-AIR MIRROR : نوعی اتصال هست که گوشی و تبلت رو به تلوزین متصل میکنه و تمامی هرچی که روی گوشی دیده میشه رو میندازه روی تلوزیون و صوت و تصویر از تلوزیون پخش میشه که واسه پخش اهنگ و عکس و فیلمهای گرفته شده واققعا عالیه.متصل میکنید و هم ابعاد بزرگتر میشه و هم این که همه خونواده میتونن ببینن و لذت ببرن و دیگه لازم نیست شما فایلهاتون رو تو فلش بریزید و وصل کنید به تلوزیون.
ب- SMART VIEW : نرم افزاری هست که هم رو گوشی ها عرضه شده و هم برای ویندوز مایکروسافت.اگه رو گوشی نصب کنید با اجراش شما یه کنترل تو گوشیتون دارید.میتونید تمام کارهایی که کنترل انجام میده رو خیلی بهتر با گوشی انجام بدید.مخصوصا برای تایپ و مرورگری عالیه.گوشی تبدیل به یک پد و موس میشه و با اون میتونید تو منوها حرکت کنید.خیلی خوبه.شبکه عوض میکنه و ....
اما با نصب این برنامه رو لپتاپ یه آپشن فووووق العاده میده بهمون.ااونم اینه که شما هرچی فایل رو لپتاپتون داشته باشد رو میتونید مستقیم رو تلوزیون اجرا کنید.فرض کنید فیلمی یا اهنگی دانلود کردید رو کامپیوتر یا لپتاپتون و حوصله یا زمان ندارید اونو تو فلش بریزید.یا حجم زیاده و تو فلش جا نمیشه.این برنامه رو اجرا میکیند و اون فیلم دانلود شده رو رو لپتاپ یا کامپیوتر پلی میکنید و میبینید که بدون اینکه رو لپتاپ اجرا شه داره روی تلوزینو اجرا میشه.حتی میتونید یه لیست بسازید و همه فیلما رو توش قرار بدبد تا با پایان یکی،خود به خود بره روی فیلم یا قسمت بعدی..نکته جالبش اینکه که با این اپشن شمتا کاملا میتونید از لپتاپتون هنوزم استفاده کنید و محدودیتی اعمال نمیشه .در ضمن در این حالت هم زیرنویس بخوبی اجرا میشه و فیلما با حجم بالا هم لگ ندارند و بدون تاخیر اجرا میشن.(آپشن مورد علاقه منه )
پ-USB : از 2تا پورت بهره میبره که یکیش مخصوص هارد و دیگری مخصوص فلش هست.پس دقت کنید.سرعتشم عالیه.حجم بالا رو با usb2 راحت و بدون لگ اجرا میکنه
6-نرم افزارها:
حافظه داخلی در دسترس برای نصب نرم افزارها حدود 500مگ هست که خیلی هم زیاده و اصلا کم نیست چون حجم برنامه ها کمه و خیلیاشون از قبل نصب هست و احتیاجی به نصب ندارن.برنامه ها توع زیادی ندارن ولی همونایی که هستن خیلی خوبن.زود به زود اپدیت دریافت میکنن و هنگی ندارن.برای ضبط شبکه ها و یا دانلود کلیپ یا فایل احتیاج به هارد یا فلش دارید و میتونید دانلود هاتون رو داخل فلش بریزید.توجه کنید که استفاده از نرم افزارها لازم به اینترنت دارن پس
حواستون به حجم ترافیکتون باشه باشه.برنامه هایی مثل 90،ورزش3،آیو ، تی وی پلاس داره که همشون کاربردی و کار راه اندازن.تعداد نرم افزارها کم و نمیشه از جای دیگه دانلود کرد و باید منتظر بود خودشون انرم افزار بذارن روی استورشون
7-مرورگری در اینترنت:
مرورگریش واسم خیلی جالب نیست چون کنترلش خیلی واسه این کار طراحی نشده.لازمش یه پد لمسی روی کنترل بود که متاسفانه نداره.من شخصا مرورگری رو با smart view که توضیحشو دادم انجام میدم که تجربه بهتری ارائه میده.
از سایهای پخش انلاین هم پستیبانی میکنه و مشکلی نداره
8-نام تلوزیون:
دیدم که دوستان میگن این تلوزیون 6300 هست که تغییر نام شده به 7970.در صورتی که اگه به بخش پشتیبانی سایت سامسونگ برید و شماره مدل 7970 رو بدید مدل بین المللی اون رو 7000، میزنه نه 6300. و من نمیدونم دوستان بر چه اساسی میگن 6300 هست.
سخن پایانی:
از انتخابم راضیم و لذت میبرم ازش.
شرمنده طولانی شد.چون اینا سوالای خودم قبل خرید بود و نتونسته بودم جوابای کاملی پیدا کنم گفتم یه بررسی برای دوستان بذارم",4,2,4,3,4,5
"کيفيت تصوير بالا براي کانال هاي HD","نداشتن بلوتوث
صداي کم","سلام
من این تلویزیون را 2 ماه پیش خریدیم .کیفیت تصویر کانالاهای HD خیلی عالیه ولی بقیه کانال ها معمولیه که این یه چیز طبیعیه در کل باید بگم با توجه به قیمتش خرید خیلی خوبیه",1,0,3,3,3,3
,,"کیفیت تصویر قاب بدنه صفر مدل این ال ای دی من درآوری ساخت ایران قابل مقایسه با مدلهای پایینتر مونتاژ کشور مصر نمیباشد من اینو اسفندماه 95ازدی جی گرفتم بعداز20روزیه خط عمودی سبز رنگ سمت راست پنل مشاهده کردم با نمایندگی تماس گرفتم گفتند که پنل سوخته باید بفرستیم تهران هنوز هم منتظر تماس نمایندگی هستم.پیشنهاد می‌کنم نخرید نخرید نخرید",5,3,5,3,4,5
"کيفيت تصوير نسبتا خوب","نداشتن بلوتوث و کيفيت پايين ساخت پنل","با سلام خدمت دوستان. بعضی از دوستان می گن تولید در ایران خوبه ولی چرا باید مصرف کننده بهاش رو بده. شرکت سامسونگ بیش از یک دهه است که بیشترین فروش تلویزیون در دنیا رو داره و این بخاطر خطوط تولید سامسونگ در کشور های مختلف از جمله ایران است وگرنه سامسونگ اگه می خواست تنها تو کره تولید کنه که اصلا نمی تونست بازارها رو تسخیر کنه. نامگذاری مدل ها و اپشن ها و کیفیت با هماهنگی خود ساسونگ انجام میشه و سام سرویس خودش مستقل کاری نمی کنه.",5,0,3,3,3,3
"کيفيت نسبتا خوب تصوير","بلوتوث ندارد
خروجي هدفون ندارد
تصاوير با تحرک زياد را عملا نميتوان ديد
صداي بلندگو هاي تلوزيون مناسب نيست","من این تلوزیون را در جشنواره زمستانی سامسونگ خریدم و اصلا راضی نیستم. البته کیفیت تصویر خوبه . ولی امکانات نداره. hdr اون فقط یک ادعای تبلیغاتیه و وجود خارجی نداره. عملا فعال کردنش بی تاثیره. بلوتوث و خروجی هدفون نداره. نمیشه هیچ هدفونی را چه باسیم چه بی سبم بهش وصل کرد. مدل اصلی اش 55ku7000 در سایت سامسونگ ثبت شده. به نظر من مدل بهتر و کامل تری مثل 55ju6990 را خرید کنید که واقعا فوق العاده است و گول سری 7 بودن این مدل را نخورید.",4,2,3,1,3,2
"کيفيت عالي فقط در کانالهاي HD","نداشتن بلوتوث !
کيفيت بد قطعات
پايه لغزنده و شل
مونتاژ ضعيف
صداي بلند ولي بدون کيفيت","واقعا وقتی از سام سرویس برای نصب اومدن انقدر بد مونتاژ شده بود که اول احساس کردم تلوزیون دست دوم هست با اینکه جعبه تلوزیون دو چسب نبود و پلمپ کارخونه بود و پلمپ تصویر را هم چک کرده بودم و جالب تر از همه این بود که یک سری از پیچهای پشت پنل به صورت رندوم جای آچارخوردگی داشت...
که حتی انقدر شک کردم با سام سرویس تماس گرفتم که گفتن سریال نامبر تلوزیون شما توی شرکت نو هست و اولین نصبش میباشد که گفتم اگه قبلا نصب شده باشه و به شرکت اعلام نشده باشه و مثلا نمونه فروشگاه بوده باشه از کجا متوجه بشم که گفتن نشونه نو بودن تلوزیون همون پلمپ تصویرش هست که قانع نشدم.
که بعد از سالها خرید از سامسونگ و سام سرویس بعید میدونم دیگه تلوزیون سامسونگ بخرم.",3,3,5,2,1,5
,,"این تلویزیون در ایران مونتاژ میشه که میتونه جای خوشخالی هم داشته باشه اما هزیمه این خوشحالی رو مصرف کننده باید پرداز کنه و شاید بشه کفت که سرش کلاه بره.
کیفیت ساخت اقلام پلاستیکی اصلا خوب نیست و بی کیفیت جلوه میده دستگاه رو
حدود یک‌ ماه از خریدم متوجه شدم‌ که این تلویزیون در واقع از سری K6300 هست و فقط یک تغییر نام در اون صورت گرفته برای جذب مشتری
در نظر اول به نظر اومد که کیفیت هیلی موبی تلویزیون داره اما دلیلش تغییر تصویر تلویزیون قدیمی به تلویزیون جدید بود و با کلی دستکاری در منوها و تغییر رنگ و نور و کنتراست تصویر تا حدی قابل قبول به نظر میاد
اما این که بشه گفت عالی یک هیجان زود گذر هست و از سر ناآگاهی (خودم) ابن حرف زده شده قطعا
به دلیل تغییر نام این مدل در اینترنت وجود خارجی نداره که بشه بررسی کرد که در سطح جهانی چه بازخوردی روش بوده
این موضوعی هست که شرکت سام سرویس باید در برابرش پاسخگو باشه، و سازمان حمایت از مصرف کنندگان هم برخورد جدی کنه
که چطور از اعتماد مشتری به نام شرکت سامسونگ سواستفاده این چنینی می کنند",7,3,5,2,3,3
,"بلوتوث ندارد","نسبت به قیمتش نمی ارزد وکیفیتش با تلویزیون معمولی فرقی ندارد",4,3,3,3,3,3
"کيفيت فوق العاده تصوير و وضوح بي نظير،صداي عالي با بهره گيري از آمپلي فاير،پردازنده 4هسته ايي و سرعت عالي،اچ دي آر پرميوم","نبود درگاه هاي تاريخ مصرف گذشته مثل خروجي هدفون.","دوستان کیفیت و شفافیت این تلوزیون واقعا بیداد می کنه به نحوی که ویدیوی hd 720p رو با وضوح مثال زدنی نمایش می ده چه برسه به 4kهمچنین صدای جذابی با بهره گیری از آمپلی فایر داخلی داره،پایه زیبایی هم داره و در کل چیزی ز suhd های سامسونگ کم نداره تو این بازه قیمتی بهترین انتخاب هست.یا علی",2,3,5,5,5,5
"کيفيت بسيار خوب تصوير","امکانات محدود شده هوشمند به استفاده از نرم افزارهاي ايراني و چند اپ خارجي
حذف بلوتوث که کار با بعضي از دستگاهها رو محدود ميکنه
کامل نبودن تجهيزات داخل کارتون مثل نبود کابل HDMI و دستمال مخصوص تميزکردن صفحه نمايش
کنترل اصطلاحا مجيک نيست و به دليل حذف دکمه هاي مينابر از روي آن، کار را سخت ميکند، در نسخه هاي مجيک کنترل مانند يک‌ موس کامپيوتر با حرکت کنترل به اطراف به آساني عمل ميکند","2 هفته میشه که این تلویزیون رو‌خریدم
کیفیت تصویر عالی است
اما امکانات نرم‌افزاری احتمالا به دلیل اینکه این تلویزیون در ایران تولید میشه بسیار محدود هستند و قابلیت نصب نرم افزارهای زیادی رو‌ ندارید، چندین اپ پیش فرض هم‌نصب شده اند که قابلیت حذف ندارند!
کنترل تلویزیون تنها چند دکمه روش داره که در نگاه اول جالب بنظر میاد، اما بر خلاف چیزی که فکر میکردم داخلش از ژیروسکوپ استفاده نشده و اصطلاحا مجیک نیست و حرکت بین منوها فقط از طریق فشردن همون چند دکمه انجام‌میشه، که استفاده از همون میزان محدود امکانات هوشمند تلویزیون رو اژ جذابیت میندازه.
نبود بلوتوث باعث میشه که نتونه با یک سری از دستگاه‌های حتی خود سامسونگ مثل ساندبار، ارتباط بیسیم برقرار کنه
داخل جعبه دستگاه کابل HDMI و دستمال مخصوص تمیز کردن صفحه نمایش وجود نداشت
در تلویزیون های هم رده LG از پنل تقویت شده IPS استفاده میشه که ضد ضربه و ضد خش میکنه صفحه نمایش رو که از این نظر میتونه برتری محسوب بشه
حجم صدای خود دستگاه بسیار بلند هست اما کیفیت بالایی نداره اصلا، بنابر این خرید یک ساندبار شاید الزامی بنظر بیاد

در کل دستگاهی هست که هیچ‌جا وجود خارجی نداره جز در ایران که در مورد ال جی هم این موضوع صادق هست، مدلهایی که سفارشی سازی شده هستند برای ایران و در اینترنت هیچ منبع مناسبی برای بررسی یا دریافت اطلاعات از اون ها وجود ندارد
میشد امیدوار بود که محصولات تکنولوژیک کمی تفاوت با صنایع خودرو سازی در حذف آپشن ها داشته باشند.... که اینطور نبود",4,2,5,2,3,3
